OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/BAR/030,"Transco Site (BAR1i), Barbican Road Barnstaple EX32 9HE",-4.052054,51.076354,https://www.northdevon.gov.uk/media/378041/bfl-bar-030-transco-site-1-1250.pdf,0.6,not owned by a public authority,,permissioned,reserved matters approval,2012-03-22,,21,,yes,"""50833 : DEMOLITION OF EXISTING BUILDINGS & ENVIRONMENTAL IMPROVEMENT WORKS (PHASE 2) (AMENDED INFORMATION). Approved 03/03/11

50834 : OUTLINE APPLICATION FOR ERECTION OF 21 RESIDENTIAL UNITS, INCLUDING REVISED ACCESS ARRANGEMENTS. Approved 09/01/12

51965 : APPROVAL OF DETAIL IN RESPECT OF DISCHARGE OF CONDITIONS 3 (GROUND LEVELS);  5 (ASBESTOS REMOVAL); 8 (NOISE/VIBRATION MITIGATION); 9 (DUST/GAS MITIGATION); 10 (CONTACT DETAILS); 11(i,ii,iii) (CONTAMINATION RISK); 14 (ACCESS TREATMENT); 15 (VEHICLE CLEANSING); 17 (BOUNDARY SCREENING); & 18 (ECOLOGICAL MANAGEMENT) ATTACHED TO PLANNING PERMISSION 50833 (AMENDED DESCRIPTION). Approved 06/05/11

53137 : APPROVAL OF DETAILS IN RESPECT OF DISCHARGE OF CONDITION 4 (WALL DETAILS) ATTACHED TO PLANNING PERMISSION 50833. Approved 28/02/12

53487 :  Approved 22/03/12""",2017-08-02,2017-08-02,
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/BAR/031,"St Johns Garden Centre, St Johns Lane Newport Barnstaple EX32 9DD",-4.03796,51.072068,https://www.northdevon.gov.uk/media/378042/bfl-bar-031-st-johns-garden-centre-1-2000.pdf,1.6,not owned by a public authority,,permissioned,reserved matters approval,2017-07-03,,44,,yes,"""62838 : APPROVAL OF DETAILS IN RESPECT OF DISCHARGE OF CONDITION 3 (WATER COURSE, BUFFER ZONE, LANDSCAPING) 4 (SURFACE WATER DRAINAGE) 5 (LAND CONTAMINATION) 6 (UNSUSPECTED CONTAMINATION) 8 (REFUSE STORAGE), 10 (CONSTRUCTION TRAFFIC MANAGEMENT PLAN) 12 (ROADS, CYCLEWAYS, FOOTWAYS, FOOTPATHS ETC) 16 (SURFACE WATER DISPOSAL) ATTACHED TO PLANNING PERMISSION 57304. Approved 09/06/17

57304 : DEMOLITION OF EXISTING GARDEN CENTRE & REDEVELOPMENT OF SITE TO ACCOMMODATE 44 RESIDENTIAL DWELLINGS TOGETHER WITH NEW ADOPTABLE HIGHWAY & ASSOCIATED WORKS (AMENDED DRAWINGS). Approved 21/10/14""",2017-08-02,2017-08-02,
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/ILF/032,"Robins and Putts Garage, Northfield Road ILFRACOMBE EX34 9QB",-4.125441,51.208137,https://www.northdevon.gov.uk/media/378084/bfl-ilf-032-former-robins-and-putts-garage-ilfracombe-1-750.pdf,0.1,not owned by a public authority,,permissioned,full planning permission,2016-06-28,,12,,yes,"""Planning permission was granted in October 2017 to allow alluminium windows within the development as opposed to wooden windows.""",2017-08-02,2017-08-02,
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/BAR/033,"Land Adjacent Holland Street and Paiges Lane, Barnstaple EX31 1DP",-4.061825,51.080013,https://www.northdevon.gov.uk/media/378045/bfl-bar-033-holland-street-paiges-lane-1-750.pdf,0.04,not owned by a public authority,,permissioned,full planning permission,2016-08-18,,6,,yes,"""Gross 6 residential units net 5.""",2017-08-02,2017-08-02,
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/SMO/034,"Lamaton Park, South Molton EX36 4BE",-3.829901,51.014078,https://www.northdevon.gov.uk/media/378096/bfl-smo-034-lamaton-park-south-molton-1-1250.pdf,0.41,not owned by a public authority,,permissioned,full planning permission,2017-04-28,,33,,yes,"""Gross 33 residential units net 12.""",2017-08-02,2017-08-02,
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/SMO/035,"Old Coaching Inn, Queen Street South Molton EX363BJ",-3.836084,51.01757,https://www.northdevon.gov.uk/media/378097/bfl-smo-035-old-coaching-inn-queen-street-south-molton-1-1250.pdf,0.28,not owned by a public authority,,permissioned,full planning permission,2016-09-30,,7,,yes,"""55952 - EXTENSION OF TIME LIMIT FOR IMPLEMENTATION OF PLANNING PERMISSION 48212 FOR THE ERECTION OF EIGHT DWELLINGS & REVISED DESIGN (AMENDED PLANS). Finally Disposed Of.

55500 - DISCHARGE OF CONDITIONS 9 (ARCHAEOLOGICAL WORK) & 11 (PHASING OF WORKS) ATTACHED TO PLANNING PERMISSION 48212. Finally Disposed Of.

48212 - ERECTION OF 8 DWELLINGS (AMENDED PLANS). Approved 08/07/10.""",2017-08-02,2017-08-02,
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/SMO/036,"Quince Honey Farm, North Road South Molton EX36 3 AZ",-3.838484,51.02094,https://www.northdevon.gov.uk/media/378098/bfl-smo-036-quince-honey-farm-north-road-south-molton-1-1250.pdf,1.51,not owned by a public authority,,permissioned,outline planning permission,2017-02-28,,14,31,yes,"""Outline planning permission for 14 dwellings with a further proposal (no application) to convert existing listed building with a further element of new build to deliver an additional 17 dwellings (Phase II).

The site is allocated within the adopted Local Plan for approximately 30 dwellings (SM01a).""",2017-08-02,2017-08-02,
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/SWI/037,"Tannery Site (SWM1a), Swimbridge EX32 0PL",-3.971107,51.052161,https://www.northdevon.gov.uk/media/378100/bfl-swi-037-former-tannery-site-swimbridge-1-1250.pdf,0.56,not owned by a public authority,,permissioned,outline planning permission,2016-12-05,,5,,yes,,2017-08-02,2017-08-02,
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/ILF/039,"Berkeley Hotel, Wilder Road ILFRACOMBE EX34 9AF",-4.125204,51.208888,https://www.northdevon.gov.uk/media/378085/bfl-ilf-039-former-berkeley-hotel-ilfracombe-1-750.pdf,0.11,not owned by a public authority,,permissioned,full planning permission,2017-03-02,,11,,yes,"""42969 - CONVERSION OF HOTEL TO FORM 11 FLATS. Approved 15/06/07

42972 - LISTED BUILDING APPLICATION FOR CONVERSION OF HOTEL TO FORM 11 FLATS. Approved 15/06/17

51147 - Conversion of hotel to form 11 self contained apartments. Refused 15-6-12

51148 - LBA Conversion of hotel to form 11 self contained apartments Refused 15-6-12

58381 : CONVERSION, EXTENSION & ALTERATIONS TO HOTEL TO FORM 8 NO SELF CONTAINED APARTMENTS. Withdrawn 05/02/15

58382 : LISTED BUILDING APPLICATION CONVERSION, EXTENSION & ALTERATIONS TO HOTEL TO FORM 8 NO SELF CONTAINED APARTMENTS. Withdrawn 05/02/15""",2017-08-02,2017-08-02,
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/ILF/040,"Southcliffe Hotel, Torrs Park ILFRACOMBE EX34 8AZ",-4.130924,51.206266,https://www.northdevon.gov.uk/media/378086/bfl-ilf-040-former-southcliffe-hotel-ilfracombe-1-1250.pdf,0.12,not owned by a public authority,,permissioned,full planning permission,2015-12-20,,8,10,yes,"""63053 : ERECTION OF EIGHT APARTMENTS TO INCLUDE ASSOCIATED WORKS (ADDITIONAL INFORMATION). Pending Decision

56334 - Partial demolition of former hotel and erection of 10 apartments. Withdrawn""",2017-08-02,2017-08-02,
