OrganisationURI,SiteReference,GeoX,GeoY,Hectares,FirstAddedDate,LastUpdatedDate
https://digital-land.github.io/organisation/local-authority-eng/STO/,BR001,-2.4588083,51.692418,0.08,2017-12-18,2019-12-01
https://digital-land.github.io/organisation/local-authority-eng/STO/,BR002,-2.1764534,51.718852,0.44,2017-12-18,2019-12-01
https://digital-land.github.io/organisation/local-authority-eng/STO/,BR003,-2.1942073,51.720424,1.46,2017-12-18,2019-12-01
https://digital-land.github.io/organisation/local-authority-eng/STO/,BR004,-2.1940209,51.720838,0.24,2017-12-18,2019-12-01
https://digital-land.github.io/organisation/local-authority-eng/STO/,BR005,-2.189743,51.719074,3.86,2017-12-18,2019-12-01
https://digital-land.github.io/organisation/local-authority-eng/STO/,BR006,-2.1860462,51.717731,0.47,2017-12-18,2019-12-01
https://digital-land.github.io/organisation/local-authority-eng/STO/,BR007,-2.2493525,51.739858,0.16,2017-12-18,2019-12-01
https://digital-land.github.io/organisation/local-authority-eng/STO/,BR008,-2.3647178,51.71635,1.75,2017-12-18,2019-12-01
https://digital-land.github.io/organisation/local-authority-eng/STO/,BR009,-2.3787456,51.69577,0.09,2017-12-18,2019-12-01
https://digital-land.github.io/organisation/local-authority-eng/STO/,BR010,-2.3669096,51.697435,0.11,2017-12-18,2019-12-01
https://digital-land.github.io/organisation/local-authority-eng/STO/,BR011,-2.3525111,51.680432,0.13,2017-12-18,2019-12-01
https://digital-land.github.io/organisation/local-authority-eng/STO/,BR012,-2.3555395,51.681142,0.37,2017-12-18,2019-12-01
https://digital-land.github.io/organisation/local-authority-eng/STO/,BR013,-2.3537109,51.682199,0.48,2017-12-18,2019-12-01
https://digital-land.github.io/organisation/local-authority-eng/STO/,BR014,-2.3568712,51.681264,0.04,2017-12-18,2019-12-01
https://digital-land.github.io/organisation/local-authority-eng/STO/,BR015,-2.3577994,51.683428,0.07,2017-12-18,2019-12-01
https://digital-land.github.io/organisation/local-authority-eng/STO/,BR016,-2.1827007,51.717314,1.04,2017-12-18,2019-12-01
https://digital-land.github.io/organisation/local-authority-eng/STO/,BR017,-2.1803856,51.717551,0.42,2017-12-18,2019-12-01
https://digital-land.github.io/organisation/local-authority-eng/STO/,BR018,-2.2376382,51.698838,2.83,2017-12-18,2019-12-01
https://digital-land.github.io/organisation/local-authority-eng/STO/,BR019,-2.2335232,51.737031,2.52,2017-12-18,2019-12-01
https://digital-land.github.io/organisation/local-authority-eng/STO/,BR020,-2.2326276,51.737474,0.45,2017-12-18,2019-12-01
https://digital-land.github.io/organisation/local-authority-eng/STO/,BR021,-2.2289435,51.742057,0.47,2017-12-18,2019-12-01
https://digital-land.github.io/organisation/local-authority-eng/STO/,BR023,-2.267856,51.7586,13.07,2017-12-18,2019-12-01
https://digital-land.github.io/organisation/local-authority-eng/STO/,BR024,-2.282837,51.756299,0.22,2017-12-18,2019-12-01
https://digital-land.github.io/organisation/local-authority-eng/STO/,BR025,-2.2936068,51.745986,0.31,2017-12-18,2019-12-01
https://digital-land.github.io/organisation/local-authority-eng/STO/,BR026,-2.2140855,51.745448,0.41,2017-12-18,2019-12-01
https://digital-land.github.io/organisation/local-authority-eng/STO/,BR027,-2.2157149,51.743917,0.11,2017-12-18,2019-12-01
https://digital-land.github.io/organisation/local-authority-eng/STO/,BR028,-2.2238265,51.744072,0.64,2017-12-18,2019-12-01
