OrganisationURI,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/chiltern,CD0008,"''Chesham Car and Van Sales, Bellingdon Road''",-0.615843,51.713903,http://www.chiltern.gov.uk/planning/brownfieldregister,0.1,not owned by a public authority,,not permissioned,,,,3,5,,,2017-12-08,2018-12-10,
http://opendatacommunities.org/id/district-council/chiltern,CD0031,"''Wicks Garage, Rignall Road''",-0.713428,51.707625,http://www.chiltern.gov.uk/planning/brownfieldregister,0.17,not owned by a public authority,,not permissioned,,,,5,10,,,2017-12-08,2018-12-10,
http://opendatacommunities.org/id/district-council/chiltern,CD0109,"''Coach Depot and Adjacent Land, Lycrome Road, Lye Green''",-0.587762,51.720914,http://www.chiltern.gov.uk/planning/brownfieldregister,0.52,not owned by a public authority,,not permissioned,,,,12,13,yes,Any future development proposals should consider that the site is within the Green Belt. Green Belt policies will apply to any future development proposals.,2017-12-08,2018-12-10,
http://opendatacommunities.org/id/district-council/chiltern,CD0128,"''Chalfont St Peter Youth Centre, Tithe Barn, Sandy Rise''",-0.554498,51.607887,http://www.chiltern.gov.uk/planning/brownfieldregister,0.24,not owned by a public authority,,not permissioned,,,,7,8,,Any future development proposals should ensure that leisure and community facilities are reprovided.,2017-12-08,2018-12-10,
http://opendatacommunities.org/id/district-council/chiltern,CD0129,"''Epilepsy Society Site (Middle Site), Chesham Lane''",-0.549708,51.620903,http://www.chiltern.gov.uk/planning/brownfieldregister,2.94,not owned by a public authority,,pending decision,,,,15,25,yes,Any future development proposals should consider that the site is within the Green Belt. Green Belt policies will apply to any future development proposals.,2017-12-08,2018-12-10,
http://opendatacommunities.org/id/district-council/chiltern,CD0130,"''Epilepsy Society Site (Debenham House and Land to Rear), Chalfont St Peter''",-0.551338,51.625035,http://www.chiltern.gov.uk/planning/brownfieldregister,4.61,not owned by a public authority,,not permissioned,,,,12,15,yes,Any future development proposals should consider that the site is within the Green Belt. Green Belt policies will apply to any future development proposals.,2017-12-08,2018-12-10,
http://opendatacommunities.org/id/district-council/chiltern,CD0131,"''Gold Hill Baptist Church, Gold Hill East, Chalfont St Peter''",-0.564296,51.602503,http://www.chiltern.gov.uk/planning/brownfieldregister,0.23,not owned by a public authority,,permissioned,full planning permission,2018-05-02,,13,13,yes,". Redevelopment of site to create thirteen dwellings comprising change of use of church (Use Class D1) to form 6 apartments (Use Class C3) incorporating alteration to roof, erection of 4 new dwellings, refurbishment of existing dwelling and two flats, and associated landscaping and parking",2017-12-08,2018-12-10,
http://opendatacommunities.org/id/district-council/chiltern,CD0145,"''Land at Springfield Industrial Estate, Springfield Road''",-0.605439,51.700844,http://www.chiltern.gov.uk/planning/brownfieldregister,1.81,not owned by a public authority,,permissioned,outline planning permission,2107-10-19,,55,55,yes,". Outline application for up to 55 residential units with associated access infrastructure and landscaping, refurbishment and retention of existing commercial units (Matters of access only to be considered at this stage)",2017-12-08,2018-12-10,
http://opendatacommunities.org/id/district-council/chiltern,CD0152,"''Area around Chalfont and Latimer Station, Little Chalfont''",-0.561355,51.6679,http://www.chiltern.gov.uk/planning/brownfieldregister,0.62,not owned by a public authority,,not permissioned,,,,25,31,,,2017-12-08,2018-12-10,
http://opendatacommunities.org/id/district-council/chiltern,CD0153,"''68 to 78 Elizabeth Avenue, Little Chalfont''",-0.567174,51.67175,http://www.chiltern.gov.uk/planning/brownfieldregister,0.26,not owned by a public authority,,permissioned,full planning permission,2015-07-15,,7,7,yes,. Redevelopment of site to provide a terrace of four dwellings and a three storey building comprising two retail units and six flats with associated  vehicular accesses and parking,2017-12-08,2018-12-10,
