OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/guildford,Guildford,BLR_075,"53 Chantry View Road, Guildford, GU1 3XT",,,https://www.guildford.gov.uk/media/31144/BLR-075/pdf/BLR_075.pdf,0.57,not owned by a public authority,,permissioned,full planning permission,2016-02-12,http://www2.guildford.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=_GUILD_DCAPR_166242,,,yes,"""Application ref. 15/P/02169""",2019-11-01,2019-11-01,
http://opendatacommunities.org/id/district-council/guildford,Guildford,BLR_076,"28b Boxgrove Avenue, Guildford, GU1 1XG",,,https://www.guildford.gov.uk/media/31145/BLR-076/pdf/BLR_076.pdf,0.28,not owned by a public authority,,permissioned,full planning permission,2017-02-09,http://www2.guildford.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=_GUILD_DCAPR_167181,,,yes,"""Application ref. 16/P/00040""",2019-11-01,2019-11-01,
http://opendatacommunities.org/id/district-council/guildford,Guildford,BLR_077,"Old Manor House Cottages, Upper Street, Shere, Guildford, GU5 9JE",,,https://www.guildford.gov.uk/media/31146/BLR-077/pdf/BLR_077.pdf,0.59,not owned by a public authority,,permissioned,full planning permission,2017-04-13,http://www2.guildford.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=_GUILD_DCAPR_175634,,,yes,"""Application ref. 17/P/00035""",2019-11-01,2019-11-01,
http://opendatacommunities.org/id/district-council/guildford,Guildford,BLR_078,"Land to the rear of 2 Ash Street and at 4a Ash Street, Aldershot, Guildford, GU12 6LT",,,https://www.guildford.gov.uk/media/31147/BLR-078/pdf/BLR_078.pdf,0.18,not owned by a public authority,,permissioned,full planning permission,2018-10-23,http://www2.guildford.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=_GUILD_DCAPR_179854,,,yes,"""Application ref. 17/P/02286""",2019-11-01,2019-11-01,
http://opendatacommunities.org/id/district-council/guildford,Guildford,BLR_079,"47 Station Road East, Ash Vale, Guildford, GU12 5LY",,,https://www.guildford.gov.uk/media/31148/BLR-079/pdf/BLR_079.pdf,0.13,not owned by a public authority,,permissioned,full planning permission,2018-07-13,http://www2.guildford.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=_GUILD_DCAPR_180716,,,yes,"""Application ref. 18/P/00095""",2019-11-01,2019-11-01,
http://opendatacommunities.org/id/district-council/guildford,Guildford,BLR_080,"74 New Road, and land to the rear of 76 to 88 New Road, Chilworth, Guildford, GU4 8LU",,,https://www.guildford.gov.uk/media/31149/BLR-080/pdf/BLR_080.pdf,0.38,not owned by a public authority,,permissioned,full planning permission,2018-08-16,http://www2.guildford.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=_GUILD_DCAPR_181007,,,yes,"""Application ref. 18/P/00257""",2019-11-01,2019-11-01,
http://opendatacommunities.org/id/district-council/guildford,Guildford,BLR_081,"Ripley Village Hall, High Street, Ripley",,,https://www.guildford.gov.uk/media/31150/BLR-081/pdf/BLR_081.pdf,0.39,not owned by a public authority,,permissioned,full planning permission,2019-02-20,http://www2.guildford.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=_GUILD_DCAPR_182692,,,yes,"""Application ref. 18/P/01192""",2019-11-01,2019-11-01,
http://opendatacommunities.org/id/district-council/guildford,Guildford,BLR_082,"Land rear of 90-96, New Road, Chilworth, GU4 8LU",,,https://www.guildford.gov.uk/media/31151/BLR-082/pdf/BLR_082.pdf,0.19,not owned by a public authority,,permissioned,full planning permission,2019-01-24,http://www2.guildford.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=_GUILD_DCAPR_184599,,,yes,"""Application ref. 18/P/02248""",2019-11-01,2019-11-01,
http://opendatacommunities.org/id/district-council/guildford,Guildford,BLR_083,"33 Manor Road, Tongham, Farnham, GU10 1BL",,,https://www.guildford.gov.uk/media/31152/BLR-083/pdf/BLR_083.pdf,0.31,not owned by a public authority,,permissioned,full planning permission,2019-03-13,http://www2.guildford.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=_GUILD_DCAPR_184710,,,yes,"""Application ref. 18/P/02310""",2019-11-01,2019-11-01,
http://opendatacommunities.org/id/district-council/guildford,Guildford,BLR_084,"Units 2 & 3 Pannells Court, Guildford, GU1 4EU",,,https://www.guildford.gov.uk/media/31153/BLR-084/pdf/BLR_084.pdf,0.02,not owned by a public authority,,permissioned,full planning permission,2018-08-17,http://www2.guildford.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=_GUILD_DCAPR_182747,,,yes,"""Application ref. 18/W/00082""",2019-11-01,2019-11-01,
