OrganisationURI,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/east-staffordshire,ESBC-BR14,Goat Maltings,-1.643232,52.799658,http://www.eaststaffsbc.gov.uk/planning/planning-policy,0.19,not owned by a public authority,,not permissioned,,,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,60,60,,"Site historically a SHLAA site - Site vacant (PA/07932/027 - 2006 Application for the conversion of the Goat Maltings to 60 apartments , never implemented). Conversion of the Goat Maltings building to form 60 apartments",2017-09-29,2017-09-29,
http://opendatacommunities.org/id/district-council/east-staffordshire,ESBC-BR15,Burton Beer Mats,-1.642164,52.803323,http://www.eaststaffsbc.gov.uk/planning/planning-policy,0.28,not owned by a public authority,,not permissioned,,,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,8,8,,Site historically a SHLAA site - Site vacant,2017-09-29,2017-09-29,
http://opendatacommunities.org/id/district-council/east-staffordshire,ESBC-BR16,Derby Street Auction Rooms,-1.636711,52.813347,http://www.eaststaffsbc.gov.uk/planning/planning-policy,0.22,not owned by a public authority,,not permissioned,,,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,6,6,,"Site historically a SHLAA site - Site vacant (P/2011/00272/MB - 2011 Application for the erection of a 61 bedroomed residential nursing home (Class C2) , never implemented)",2017-09-29,2017-09-29,
http://opendatacommunities.org/id/district-council/east-staffordshire,ESBC-BR18,Uttoxeter Highways Depot,-1.86979,52.89443,http://www.eaststaffsbc.gov.uk/planning/planning-policy,0.87,owned by a public authority,,not permissioned,,,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,30,30,,"Site historically a SHLAA site - Site could become vacant as new recycling centre now open (P/2010/01298/JPM - 2010 Application for the erection of upto 30 dwellings, never implemented). New Full application for 39 dwellings valid - 26/07/2019, awaiting determination. Outline application for the erection of up to 30 dwellings",2017-09-29,2019-09-30,
http://opendatacommunities.org/id/district-council/east-staffordshire,ESBC-BR19,132 Derby Street Burton,-1.637114,52.81307,http://www.eaststaffsbc.gov.uk/planning/planning-policy,0.13,not owned by a public authority,,not permissioned,,,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,8,8,,Site included in the Housing Permissions previously but has since expired due to non commencement. Conversion of existing buildings to form 8 dwellings,2017-09-29,2018-09-30,
http://opendatacommunities.org/id/district-council/east-staffordshire,ESBC-BR20,36 Derby Road Burton,-1.633023,52.816168,http://www.eaststaffsbc.gov.uk/planning/planning-policy,0.1,not owned by a public authority,,not permissioned,,,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,10,10,,Site included in the Housing Permissions previously but has since expired due to non commencement. New application approved after the September 2019 cut off (amend next time). Erection of 7 dwellings and conversion and extension of existing building to form 3 flats,2017-09-29,2019-09-30,
http://opendatacommunities.org/id/district-council/east-staffordshire,ESBC-BR22,43 High Street Burton,-1.62951,52.80349,http://www.eaststaffsbc.gov.uk/planning/planning-policy,0.02,not owned by a public authority,,permissioned,full planning permission,2012-08-21,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,8,8,yes,Site included in the Housing Permissions  - Under Construction but no residential completions on site yet. Raising of roof by 1 metre to facilitate the conversion of first and second floors into 8 apartments and installation of new shop front,2017-09-29,2017-09-29,
http://opendatacommunities.org/id/district-council/east-staffordshire,ESBC-BR23,The Refinery,-1.629313,52.802294,http://www.eaststaffsbc.gov.uk/planning/planning-policy,0.04,not owned by a public authority,,permissioned,full planning permission,2011-03-08,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,10,10,yes,"Site included in the Housing Permissions  - Under Construction but no residential completions on site yet. Change of use of nightclub (Sui Generis) to Class A1 (Shops), Class A2 (Financial and Professional Services), Class A3 (Restaurants and Cafes) and Class B1 (Offices) uses, with 7 apartments on the first and second floors and erection of a two and half storey building and glazed link extension for Class A1, A2, A3 and B1 uses, with 3 apartments on the first and second floors",2017-09-29,2017-09-29,
http://opendatacommunities.org/id/district-council/east-staffordshire,ESBC-BR24,Britannia House,-1.634105,52.8039,http://www.eaststaffsbc.gov.uk/planning/planning-policy,0.09,not owned by a public authority,,permissioned,other,2019-05-23,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,7,7,yes,Site included in the Housing Permissions  - Under Construction but no residential completions on site yet (New application approved for the conversion of the 1st  floor Approved). Prior Approval for the conversion of first floor offices (Class B1(a)) to form 7 flats (Class C3),2017-09-29,2019-09-30,
http://opendatacommunities.org/id/district-council/east-staffordshire,ESBC-BR25,146 and 146A Horninglow Street,-1.631208,52.807991,http://www.eaststaffsbc.gov.uk/planning/planning-policy,0.04,not owned by a public authority,,not permissioned,,,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,5,5,,Site included in the Housing Permissions previously but has since expired due to non commencement. Conversion of existing building to 2 self contained flats and the erection of 3 self contained flats,2017-09-29,2018-09-30,
