Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,If permissioned,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
Brownfield Register Reference,Local Plan reference/SLAA reference,Site Name,Site Address ,Co-ordinate Reference System,Eastings,Northings,Area (ha),Ownership Status,Planning Status ,Type of Permission ,Date Permission Obtained ,Date Permission Lapses ,Planning Application Number ,Description of Proposed Development,Minimum amount of Dwellings,Maximum amount of Dwellings,Non-housing development,Additional Notes ,Date Entered on Part 1 of Brownfield Register
BR21,Commitment,110 Turners Hill,"110 Turners Hill, Cheshunt, EN8 9BN",OSGB36,535975,202139,0.077,not owned by a public authority ,permissioned,Full Planning Permission,2016-04-14 00:00:00,2019-04-18 00:00:00,07/15/0573/F,Demolition of existing car garage buildings and redevelopment of 1 no. three storey block of retail/office on ground floor and offices on first and second floors  and 1 no. three storey block of 2 no. one bed and 4 no. two bed residential units,6,6,,Implementation of planning permission unconfirmed as of 2019 - To be confirmed in due course. Superseded 07/13/1072/F,2017-12-15 00:00:00
BR22,Commitment,The Windmill,"210A Windmill Lane, Cheshunt, EN8 9AF",OSGB36,536616,202323,0.022,not owned by a public authority ,permissioned,Full Planning Permission,2016-11-18 00:00:00,2019-11-22 00:00:00,07/16/0951/F,Development of a four storey building with commercial unit on ground floor and 5 no. residential flats on floors above,5,5,,,2017-12-15 00:00:00
BR23,Commitment,134 Crossbrook Street,"134 Crossbrook Street, Cheshunt, EN8 8JH",OSGB36,535953,201662,0.042,not owned by a public authority ,permissioned,Full Planning Permission,2017-02-27 00:00:00,2020-02-28 00:00:00,07/16/1281/F,"Partial conversion of ground floor, two storey rear extension and addition of new second floor to create 3 no. one bed and 3 no. two bed flats with off-street parking and cycle/bin storage",5,5,,,2017-12-15 00:00:00
BR24,Commitment,The Coach House,"90 Ware Road, Hoddesdon, EN11 9ET",OSGB36,209693,537160,0.148,not owned by a public authority ,permissioned,Full Planning Permission,2016-12-09 00:00:00,2019-12-09 00:00:00,07/16/0918/F,Erection of a residential building comprising of 8 two bedroom flats ,7,7,,,2017-12-15 00:00:00
BR25,Commitment,Rear of 40 Park Lane ,"Rear of 40 Park Lane, Waltham Cross, EN8 8BE",OSGB36,200522,535837,0.26,not owned by a public authority ,permissioned,Other ,2016-02-09 00:00:00,2019-02-09 00:00:00,07/15/0970/F,6 no. three bed and 4 no. two bed. Part outline with matters reserved for redevelopment/reuse of 40 Park Lane to provide 2 no. dwelling units,11,11,,Has started. Completion date unknown. ,2017-12-15 00:00:00
BR26,Commitment,75-81 High Street,"75-81 High Street, Waltham Cross, EN8 7AF",OSGB36,200249,536058,0.076,not owned by a public authority ,permissioned,Reserved Matters Approval,2016-11-07 00:00:00,2019-11-09 00:00:00,07/16/1017/RM,"Reserved matters pursuant to outline planning permission 07/12/0703/O for first floor rear and side extensions, addition of a second floor and conversion to provide seven residential apartments",7,7,,,2017-12-15 00:00:00
BR27,Commitment,Volker Fitzpatrick ,"Fitzpatrick Contractors Ltd, Woollens Brook, Hertford Road, Hoddesdon, EN11 9BX",OSGB36,209837,535809,1.532,not owned by a public authority ,permissioned,Full Planning Permission,,,07/16/1222/F,Two storey (plus basement) extension to head office and development of 21 residential units ,21,21,,,2017-12-15 00:00:00
BR28,Commitment,Former Wormley Primary ,"St Laurence Drive, Wormley, EN10 6LH",OSGB37,536509,205817,0.384,,permissioned,Outline Planning Permission ,2018-06-20 00:00:00,2021-06-20 00:00:00,07/14/0569/O,"Residential development of 13 dwellings, access, car parking, public open space and other related development",13,13,,,2019-08-30 00:00:00
BR29,Commitment,Wellington House,"Trust Road, Waltham Cross, EN8 7HF",OSGB36,200393,536486,0.095,not owned by a public authority ,permissioned,Full Planning Permission,2016-08-01 00:00:00,2019-08-01 00:00:00,07/16/0113/F,Conversion of existing loft space into one bedroom apartment.,1,1,,07/15/0828/PNRES Lapsed. Unknown if new permission implemented. To be confirmed in due course. ,2019-08-30 00:00:00
BR30,Commitment,Former Rivers Education Centre,"Cameron Drive, EN8 8BN",OSGB37,535591,200076,0.06,not owned by a public authority ,permissioned,Full Planning Permission,2019-03-18 00:00:00,2022-03-18 00:00:00,07/19/0084/F,Two semi-detached and one detached dwellings with dormer and rooflights (Resubmission 07/17/0722/F),2,2,,,2019-08-31 00:00:00
BR31,Commitment,Former Rivers Education Centre Car Park,"Cameron Drive, EN8 8BN",OSGB38,535591,200108,0.03,not owned by a public authority ,permissioned,Full Planning Permission,2019-03-18 00:00:00,2022-03-18 00:00:00,07/19/0085/F,Construction of two semi-detached dwellings with dormer and rooflights (Resubmission 07/17/0720/F),2,2,,,2019-09-01 00:00:00
