OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SitePlanURL,CoordinateReferenceSystem,GeoX,GeoY,Easting,Northing,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/district-council/guildford,Guildford,BLR_003,,"""Land at Guildford Park Road Surface Car Park, Guildford GU2 7NF""",https://www.guildford.gov.uk/media/26679/Land-at-Guildford-Park-Road-Surface-Car-Park-Guildford-GU2-7NF/pdf/BFLR2017_003,ETRS89,4001087.39,-40747.37,498979,149907,2.15,owned by a public authority,yes,permissioned,full planning permission,2017-01-23,http://www2.guildford.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=_GUILD_DCAPR_171221,,160,"""Demolition of existing garage buildings and redevelopment of the site to provide 160 residential apartments and houses (Use Class C3) with new infrastructure, parking, access, landscaping, cycle storage and associated facilities including private and communal amenity space together with a five storey 541 space multi-storey public car park (Sui Generis) and 825 sqm. (GEFA) flexible commercial floorspace (Use Class A1, B1 and D2) on the ground floor of the multi-storey car park""","""541 space multi-storey public car park (Sui Generis) and 825 sq. m (GEFA) flexible commercial floorspace (Use Class A1, B1 and D2) on the ground floor of the multi-storey car park.""",,,,,,"""Application ref. 16/P/01290""",2017-09-27,2017-09-27
http://opendatacommunities.org/id/district-council/guildford,Guildford,BLR_015,,"""Works, Poyle Road, Tongham, GU10 1DS""",https://www.guildford.gov.uk/media/26691/Works-Poyle-Road-Tongham-GU10-1DS/pdf/BFLR2017_015,ETRS89,4001544.76,-51082.50,488668,148980,0.12,not owned by a public authority,,not permissioned,,,,,10,,,,10,10,,,,2017-09-27,2017-09-27
http://opendatacommunities.org/id/district-council/guildford,Guildford,BLR_016,,"""Public House, Oxenden Road, Tongham""",https://www.guildford.gov.uk/media/26692/Public-House-Oxenden-Road-Tongham/pdf/BFLR2017_016,ETRS89,4001258.52,-51167.57,488573,149344,0.17,not owned by a public authority,,not permissioned,,,,,15,,,,15,15,,,,2017-09-27,2017-09-27
http://opendatacommunities.org/id/district-council/guildford,Guildford,BLR_017,,"""Builders Yard (Elms Garden), Glaziers Lane, Normandy""",https://www.guildford.gov.uk/media/26693/Builders-Yard-Elms-Garden-Glaziers-Lane-Normandy/pdf/BFLR2017_018,ETRS89,3999988.03,-46522.53,493170,151127,1.25,not owned by a public authority,yes,not permissioned,,,,,15,,,,15,15,,,,2017-09-27,2017-09-27
http://opendatacommunities.org/id/district-council/guildford,Guildford,BLR_019,,"""Slyfield Area Regeneration Project, Guildford""",https://www.guildford.gov.uk/media/26695/Slyfield-Area-Regeneration-Project-Guildford/pdf/BFLR2017_019,ETRS89,3999557.75,-39415.97,500256,151910,40,mixed ownership,,not permissioned,,,,,1000,,"""Local Plan proposes 6500 sq. m light industrial (B1c)/ trade counters and 6 traveller pitches (sui generis)""",,1000,1000,,,"""Local Plan allocation ref. A24. Policy proposes 1,500 homes of which 1,000 will be delivered within the Plan period.""",2017-09-27,2019-11-01
http://opendatacommunities.org/id/district-council/guildford,Guildford,BLR_020,,"""Land at Westway, off Aldershot Road, Guildford""",https://www.guildford.gov.uk/media/26696/Land-at-Westway-off-Aldershot-Road-Guildford/pdf/BFLR2017_020,ETRS89,4000135.17,-41989.13,497705,151087,0.56,not owned by a public authority,yes,not permissioned,,,,,38,,,,38,38,,,"""Local Plan allocation ref. A19""",2017-09-27,2019-11-01
http://opendatacommunities.org/id/district-council/guildford,Guildford,BLR_021,,"""Land at Guildford Cathedral, Alresford Road,  Guildford""",https://www.guildford.gov.uk/media/26697/Land-at-Guildford-Cathedral-Alresford-Road-Guildford/pdf/BFLR2017_021,ETRS89,4001001.07,-41199.71,498524,150003,3.28,not owned by a public authority,,not permissioned,,,,,93,,,,93,93,,,"""Local Plan allocation ref. A15""",2017-09-27,2019-11-01
http://opendatacommunities.org/id/district-council/guildford,Guildford,BLR_022,,"""The Plaza, Portsmouth Road, Guildford""",https://www.guildford.gov.uk/media/26698/The-Plaza-Portsmouth-Road-Guildford/pdf/BFLR2017_022,ETRS89,4001594.69,-40369.78,499374,149269,0.38,not owned by a public authority,,not permissioned,full planning permission,2018-03-14,http://www2.guildford.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=_GUILD_DCAPR_177442,,90,,,,90,90,,,"""Local Plan allocation ref. A1. Current permitted scheme not considered viable by applicant and site is no longer for sale, therefore site remains available for residential development.""",2019-11-01,2019-11-01
http://opendatacommunities.org/id/district-council/guildford,Guildford,BLR_023,,"""Jewsons, Walnut Tree Close, Guildford""",https://www.guildford.gov.uk/media/26699/Jewsons-Walnut-Tree-Close-Guildford/pdf/BFLR2017_023,ETRS89,4000973.78,-40642.33,499080,150056,0.64,not owned by a public authority,,not permissioned,,,,,175,,,,175,175,,,"""Local Plan allocation ref. A4""",2017-09-27,2019-11-01
http://opendatacommunities.org/id/district-council/guildford,Guildford,BLR_024,,"""Surrey Police Headquarters, Mount Browne, Sandy Lane, Guildford""",https://www.guildford.gov.uk/media/26700/Surrey-Police-Headquarters-Mount-Browne-Sandy-Lane-Guildford/pdf/BFLR2017_024,ETRS89,4002602.58,-40898.35,498881,147960,5.9,not owned by a public authority,,not permissioned,,,,,116,,,,116,116,,,"""Local Plan allocation ref. A33""",2017-09-27,2019-11-01
