Organisation URI,Organisation Label,Site Reference,Previously Part Of,Site Name ,Site Address ,Site Plan URL,Coordinate Reference System,Geo X,Geo Y,Hectares,Ownership Status,Deliverable,Planning Status,Permission Type,Permission Date,Planning History,Proposed For PIP,Min Net Dwellings,Development Description,Non Housing Development,Part 2,Net Dwellings Range From,Net Dwellings Range To,Hazardous Substances,Site Information,Notes,First Added Date,Last Updated Date
http://opendatacommunities.org/doc/district-council/dover,Dover District Council,BR61-16,,Former Barwick Site ,"Coombe Valley Road, Dover",http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR61-16.pdf,OSGB36,630616,142230,0.74,Not in public ownership,Yes ,Permissioned,Full planning permission ,04/10/2013,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_221339,,24,"Erection of 24 dwellings, construction of vehicular access and associated car parking (existing buildings to be demolished)",,,24,24,,,Under Construction - forms part of a wider allocated site (LA8 - land in Coombe Valley),20/06/2016,20/06/2016
http://opendatacommunities.org/doc/district-council/dover,Dover District Council,BR68-16,,Land north of River Stour  and including part of Sandwich Industrial Estate,Land north of River Stour & including part of Sandwich Industrial Estate,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR68-16.pdf,OSGB36,633537,158335,12.2,Not in public ownership,Yes ,Permissioned,Full planning permission ,10/07/2003,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_148512,,303,"Residential development comprising 303 flats and houses with garages, parking and access thereto by way of a new estate road layout connecting to Ramsgate Road and with emergency access to Sandwich Industrial Estate, together with associated works including bunding, landscaping and drainage works and the formation of public open space",,,303,303,,,Under Construction,20/06/2016,20/06/2016
http://opendatacommunities.org/doc/district-council/dover,Dover District Council,BR71-16,,"Site of King Lear PH, Aycliffe","Old Folkestone Road, Aycliffe",http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR71-16.pdf,OSGB36,630601,140047,0.15,Not in public ownership,Yes ,Permissioned,,21/06/2007,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_205044,,18,Erection of a detached building incorporating 12 no. residential flats and erection of 6 no. two bedroom dwellings and construction of vehicular access (existing public house to be demolished),,,18,18,,,,20/06/2016,20/06/2016
http://opendatacommunities.org/doc/district-council/dover,Dover District Council,BR87-16,,Discovery Park,"Discovery Park, Ramsgate Road, Sandwich",http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR87-16.pdf,OSGB36,633350,159568,72.3,Not in public ownership,Yes ,Permissioned,Outline planning permission,02/09/2015,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_223268,,500,"Outline application for the redevelopment of site to include: demolition of some existing buildings (and associated infrastructure); change of use of some existing buildings (from B1 to use classes: B2, B8, Sui Generis (Energy) and D1 uses); the provision of new commercial (use classes: A3/4, B1, B2, B8, C1, D1 and Sui Generis) and residential (use class: C3) development; associated site preparation/enabling, infrastructure, and landscaping works; and provision of car parking (with some matters reserved)",,,500,500,,,Not Started - the housing on this site forms part of a wider mixed use application on a predominantly brownfield site. Expiry date extended from 3 years for approval of reserved matters to 10 years from date of decision,20/06/2016,20/06/2016
http://opendatacommunities.org/doc/district-council/dover,Dover District Council,BR89-16,,"Former council yard, Molland Lea","Former council yard, Molland Lea, Ash",http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR89-16.pdf,OSGB36,628624,158825,0.16,Public ownership,Yes ,Not Permissioned,,,,,5,Allocated in the Land Allocations Local Plan (LA23) on the 28/01/2015,,,5,5,,,,20/06/2016,20/06/2016
http://opendatacommunities.org/doc/district-council/dover,Dover District Council,BR129-16,,Charlton Green Sorting Office,"The Old Sorting Office, Charlton Green, Dover, CT16 1AP ",http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR129-16.pdf,OSGB36,631489,142172,0.69,Not in public ownership,Yes ,Permissioned,Outline planning permission,07/10/2016,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_229059,,65,"Outline application for the erection of 65 residential apartments and houses comprising 10 x 1 Bedroom Units, 32 x 2 Bedroom Units, 9 x 3 Bedroom Units, 14 x 4 Bedroom Units , together with 78 parking spaces, vehicular and pedestrian access and garden and open space areas (matters to be considered access, appearance, layout and scale) (landscape to be reserved)",,,65,65,,,Not Started ,20/06/2016,20/06/2016
http://opendatacommunities.org/doc/district-council/dover,Dover District Council,BR130-16,,Albany Place Car Park,"Albany Place Car Park, Dover",http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR130-16.pdf,OSGB36,631829,141243,0.4,Public ownership,Yes ,Not Permissioned,,,,,15,Allocated in the Land Allocations Local Plan (LA4) on the 28/01/2015,,,15,15,,,,20/06/2016,20/06/2016
http://opendatacommunities.org/doc/district-council/dover,Dover District Council,BR133-16,,Land in Coombe Valley ,"Coombe Valley, Dover",http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR133-16.pdf,OSGB36,629745,142037,6.78,Not in public ownership,Yes ,Not Permissioned,,,,,189,Allocated in the Land Allocations Local Plan (LA8) on 28/01/2015,,,189,189,,,Allocated site - part of the site has already been granted permission. See BR60-16 and BR61-16 below. A third application on the Former Motorline Line Site in Coombe Valley has been completed https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_213882. Min homes has been adjusted to take account of this.,20/06/2016,20/06/2016
http://opendatacommunities.org/doc/district-council/dover,Dover District Council,BR135-16,,Land off Dunedin Drive,"Land off Dunedin Drive, Dover",http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR135-16.pdf,OSGB36,631088,143130,0.26,Public ownership,Yes ,Not Permissioned,,,,,8,Allocated in the Land Allocations Local Plan (LA10) on 28/01/2015,,,8,8,,,,20/06/2016,20/06/2016
http://opendatacommunities.org/doc/district-council/dover,Dover District Council,BR171-16,,East Studdal Nursery,"East Studdal Nursery, Downs Road, East Studdal",http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR171-16.pdf,OSGB36,632590,149771,1,Not in public ownership,Yes ,Not Permissioned,,,,,30,Allocated in the Land Allocations Local Plan (LA35) on the 28/01/2015,,,30,30,,,,20/06/2016,20/06/2016
