OrganisationURI,Organisation Label,Site Reference,Previously Part Of,Site Name Address,Site plan URL,Coordinate Reference System,GeoX,GeoY,Hectares,Ownership Status,Deliverable,Planning Status,Permission Type,Permission Date,Planning History,Proposed For PIP,Min Net Dwellings,Development Description,Non Housing Development,Part2,Net Dwellings Range From,Net Dwellings Range To,Hazardous Substances,Site Information,Notes,First Added Date,Last Updated Date,Location
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR18,,"The Unicorn, Market Place, Banbury",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,445612,240640,0.04,Not owned by a public authority,yes,Permissioned,full planning permission,2017-01-24,https://www.publicaccess.cherwell.gov.uk/online-applications/,,7,16/01661/F - Conversion of Unicorn Inn and coach house to residential use (7 flats).  Internal and external alterations.,,,,,,,,2017-12-04,2017-12-04,Banbury
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR20,,"Former Bicester Library, Old Place Yard, Bicester",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,458354,222208,0.04,Owned by a public authority,yes,Not permissioned,,,,,6,2017 HELAA site - HELAA080. The site could accommodate 6 dwellings.,,,,,,,The site was previously used as a library however is now vacant. Part of land identified for residential development in the Non-Statutory Cherwell Local Plan 2011.,2017-12-04,2017-12-04,Bicester
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR21,,"Garage Block Rear Of 52 To 58 Bucknell Road, Bicester",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,457893,223267,0.1,Not owned by a public authority,yes,Permissioned,full planning permission,2016-09-19,https://www.publicaccess.cherwell.gov.uk/online-applications/,,6,16/01421/F - Demolition of existing garage. Development of 4 apartments (2 x 1 bed units and 2 x 2 bed units). Provision of associated external areas to include parking| bin and cycle stores.,,,,,,,,2017-12-04,2017-12-04,Bicester
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR22,,"McKay Trading Estate, Station Approach, Bicester",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,458622,222054,1.2,Not owned by a public authority,yes,Not permissioned,,,,,60,2017 HELAA site - HELAA070.  The site could accommodate 60 dwellings as part of a mixed-use scheme.,Employment - B use class (commensurate scale),,,,,,The site is currently being used for employment purposes and is located at an industrial estate. Planning permission given for redevelopment to include new offices.,2017-12-04,2017-12-04,Bicester
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR23,,"St Edburg's School, Cemetery Road, Bicester",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,458143,222246,0.37,Not owned by a public authority,yes,Not permissioned,,,,,10,2017 HELAA site - HELAA262. The site could accommodate 14 dwellings.,,,,,,,Development principles approved in October 2008 for re-use of school buildings.,2017-12-04,2017-12-04,Bicester
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR25,,"The George And Dragon, 15 East Street, Fritwell",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,452817,229340,0.15,Not owned by a public authority,,Permissioned,full planning permission,2017-11-15,https://www.publicaccess.cherwell.gov.uk/online-applications/,,7,"17/01954/F - 7 No new residential
dwellings with associated
access and parking
arrangements.",,,,,,,,2017-12-04,2018-12-03,Fritwell
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR26,,"Varneys Garage, Quarry Road, Hornton",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,437897,245768,0.35,Not owned by a public authority,yes,Permissioned,outline planning permission,2015-04-08,https://www.publicaccess.cherwell.gov.uk/online-applications/,,3,"15/00243/OUT - Application for redevelopment of existing car repair/sales, scrap yard/waste handling depot to residential development for three dwellings.",,,,,,,,2017-12-04,2017-12-04,Hornton
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR27,,"65 Oxford Road, Kidlington",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,449288,213797,0.1,Not owned by a public authority,yes,Permissioned,full planning permission,2017-02-24,https://www.publicaccess.cherwell.gov.uk/online-applications/,,6,16/02550/F - Demolition of existing dwelling; erection of 6 No two bed flats; parking for six vehicles is to be provided as well as accompanying ancillary/amenity provision.,,,,,,,,2017-12-04,2017-12-04,Kidlington
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR28,,"Builder's Yard, The Moors, Kidlington",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,449362,214579,0.3,Unknown ownership,,Not permissioned,,,,,6,2017 HELAA site - HELAA149. The site could accommodate 13 dwellings only in the form of apartments within one building.,B1a office (0.31 ha),,,,,,Planning permission for 6 dwellings approved on 25/5/18 (18/00384/OUT),2017-12-04,2018-12-03,Kidlington
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR31,,"The Plough Inn, Merton",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,457575,217639,0.38,Not owned by a public authority,yes,Permissioned,outline planning permission,2015-05-11,https://www.publicaccess.cherwell.gov.uk/online-applications/,,1,15/00429/OUT - Development of 1No dwelling house - all matters reserved,,,,,,,,2017-12-04,2017-12-04,Merton
