OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
E06000041,Wokingham Borough Council,BR175,"Land At The Manor, Brookers Hill Shinfield Reading RG2 9BX",http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,ETRS89,473023,168400,4.4596047,not owned by a public authority,Yes,permissioned,Reserved Matters Approval,2017-06-30,RM/2014/2062,,126,"Reserved Matters application pursuant to planning consent VAR/2013/0602 for a development of 126 dwellings, a sports pavilion, public open space, landscaping and associated works. This application comprises details of appearance, landscaping, layout and s cale.",No,,,,,,,2017-08-18,2018-12-10
E06000041,Wokingham Borough Council,BR191,"Land At, Arborfield Garrison Biggs Lane  -Parcel K",http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,ETRS89,476653,165499,0.4845755,not owned by a public authority,Yes,permissioned,Reserved Matters Approval,2018-04-11,173734,,12,"Application for approval of Reserved Matters pursuant to Outline Planning Consent O/2014/2280 for 12 dwellings with access from Sheerlands Road, with associated internal access roads, parking, landscaping and open space, footpaths/cycleway, Sustainable Urban Drainage (SuDs) (Parcel K) (Appearance, Landscaping, Layout and scale to be considered)",No,,,,,,,2018-04-01,2018-12-10
E06000041,Wokingham Borough Council,BR192,"Land At, Arborfield Garrison Biggs Lane Arborfield - (Parcel Q)",http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,ETRS89,476769,164956,2.584773,not owned by a public authority,Yes,permissioned,Reserved Matters Approval,2018-01-22,172005,,114,Application for the Reserved Matters for the erection of 114 dwellings,No,,,,,,,2018-04-01,2018-12-10
E06000041,Wokingham Borough Council,BR193,"Land At, Arborfield Garrison Biggs Lane Arborfield -Parcel U2",http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,ETRS89,477227,165803,2.8068251,not owned by a public authority,Yes,permissioned,Reserved Matters Approval,2017-08-09,171333,,79,Application for approval of Reserved Matters pursuant to Outline Planning Consent O/2014/2280 for 79 dwellings,No,,,,,,,2018-04-01,2018-12-10
E06000041,Wokingham Borough Council,BR194,"Land At, Arborfield Garrison Biggs Lane Arborfield - Parcel H, I and J",http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,ETRS89,476525,164913,8.9807685,not owned by a public authority,Yes,permissioned,Reserved Matters Approval,2017-07-25,170686,,179,Reserved Matters application pursuant to Outline Planning Consent O/2014/2280 for the erection of 179 dwellings,No,,,,,,,2018-04-01,2018-12-10
E06000041,Wokingham Borough Council,BR195,"Sutton Court, Culver Lane, Earley",http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,ETRS89,474535,173074,0.8208384,not owned by a public authority,Yes,permissioned,full planning permission,2013-06-21,F/2013/0517,,20,"Proposed demolition of existing block of flats and erection of 20 dwelling houses with access, parking and landscaping.",No,,,,,,,2018-04-01,2018-12-10
E06000041,Wokingham Borough Council,BR196,"15-27 High Street, Wargrave, RG10 8BU",http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,ETRS89,478617,178790,0.2888888,not owned by a public authority,Yes,permissioned,full planning permission,2017-08-10,171328,,10,"Full planning application for demolition of existing car showroom, repair/MOT garage plus ""Suncroft"" dwelling and proposed erection of 10 dwellings with provision of car-parking, private amenity space, bin and bicycle storage.",No,,,,,,,2018-04-01,2018-12-10
E06000041,Wokingham Borough Council,BR197,"Former Bearwood Golf Course, Mole Rd, Sindlesham",http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,ETRS89,477178,168810,48.195304,not owned by a public authority,Yes,permissioned,full planning permission,2015-07-20,F/2014/2119,,18,Full application for the redevelopment of Former Bearwood Golf Course to provide a new football training ground and academy facility & 18 net residential units,No,,,,,,,2018-04-01,2018-12-10
E06000041,Wokingham Borough Council,BR198,74-80 Peach Street Wokingham RG40 1XH,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,ETRS89,481455,168707,0.1840316,not owned by a public authority,Yes,permissioned,full planning permission,2015-01-30,F/2014/1317,,39,"Proposed demolition of existing building (comprising office, retail and residential floorspace) and erection of a new building comprising 140 sq m retail floorspace on ground level, and 39 residential units",No,,,,,,,2018-04-01,2018-12-10
E06000041,Wokingham Borough Council,BR199,7-9 Shute End Wokingham RG40 1BH,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,ETRS89,480970,168746,1.9064435,not owned by a public authority,Yes,permissioned,full planning permission,2017-08-09,171648,,10,Full application for the change of use from bed and breakfast (Use Class C1) to a residential hostel (Sui Generis) with 10 no self- contained units including changes to fenestration and internal refurbishment.,No,,,,,,,2018-04-01,2018-12-10
