Organisation URL,Organisation Label,Site Reference,Previously Part Of,Site Name Address,Siteplan URL,Coordinate Reference System,GeoX,GeoY,Hectares,Ownership Status,Deliverable,Planning Status,Permission Type,Permission Date,Planning History,Proposed For PiP,Min Net Dwellings,Development Description,Non Housing Development,End Date
http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,18HMR005,,"14 Bath Road And Land To Rear Of 12-24 Bath Road, Old Town",,OSGB 1936 / British National Grid,415440.02,183816.7627,0.13,Unknown,Deliverable,Permissioned,Full,03-Feb-15,S/14/0886 | Erection of 10no. dwellings and change of use from office to 2no. flats and associated works.,,12,Currently under-construction at the time of visiting the site in September 2019,,
http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,18HMR006,,"Abbey Stadium, Lady Lane, Swindon (Residual)",,OSGB 1936 / British National Grid,414559.7153,189764.5153,6.4,Unknown,Deliverable,Permissioned,Outline,02-Apr-15,"S/OUT/14/0833 | Outline application for a mixed use development comprising up to 100no. dwellings, car parking in association with stadium events, fire station and associated facilities, access works, landscaping and open space - Access not reserved - (Variation to outline permission S/12/1826).

S/07/1365 | Outline application for the demolition of existing stadium and construction of new stadium, with youth training facilities, 16,745 sq.m. of business (B1) floorspace, a care home and 450 no. residential dwellings - Access not reserved.",,171,Currently under-construction at the time of visiting the site in September 2019,,
http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,18HMR010,,"Land At Clevedon House, 29 Woodland View, Wroughton",,OSGB 1936 / British National Grid,414404.6894,180379.1375,0.6,Unknown,Deliverable,Permissioned,Outline,04-Aug-15,"S/OUT/15/1338 | Outline application for the demolition of 3no. existing dwellings and the erection of up to 10no. dwellings and associated works (All matters reserved).

S/RES/19/0446 | Reserved Matters application for the erection of 10no. dwellings and associated works following outline permission S/OUT/15/1338.",,10,,,
http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,18HMR012,,"Land At Nursery Close, Wroughton, Swindon",,OSGB 1936 / British National Grid,415315.5446,185114.8144,0.08,Unknown,Deliverable,Permissioned,Full,26-Nov-15,"S/15/0467 | Erection of 5 no. dwellings, a detached garage and construction of a new vehicular access.",,5,All constructed and complete,,30-Sep-19
http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,18HMR015,,"3-5 Lagos Street, Swindon, SN1 2BU",,OSGB 1936 / British National Grid,414405.6822,188793.9649,0.12,Unknown,Deliverable,Permissioned,Full,03-Nov-16,S/16/1911 | Erection of 8no. flats and associated works.,,8,The site is under construction at the time of visiting the site in September 2019,,
http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,18HMR016,,44 Victoria RoadOld TownSwindonSN1 3AY,,OSGB 1936 / British National Grid,412626.9609,184816.897,0.01,Unknown,Deliverable,Permissioned,Full,12-Sep-17,"S/17/1150 | Change of use of house in multiple occupation (HMO) to 5no. flats, increase in size of front lightwell and insertion of new basement window.",,5,,,
http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,18HMR019,,"Abbeymeads Medical Practice, Elstree Way, Abbey Meads, Swindon",,OSGB 1936 / British National Grid,412811.9327,184583.1546,0.19,Unknown,Deliverable,Permissioned,Full,21-Jun-16,S/16/1059 | Erection of a new dental practice and adjoining opticians (Class A1) with 3no. flats above. and 4 no. dwellings.,,7,The site is under construction at the time of visiting the site in September 2019,,
http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,18HMR023,,"The Quadrant, Stonehill Green, Swindon",,OSGB 1936 / British National Grid,413913.624,190088.4813,0.62,Unknown,Deliverable,Permissioned,Full,11-Mar-16,S/PRIORC/16/0477 | Prior Approval Notification for the change of use from offices (class B1(a)) to dwelling houses (class C3) (100no. flats).,,100,All constructed and complete,,30-Sep-19
http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,18HMR024,,"Minerva House, Delta 800, Welton Road, Westlea, Swindon",,OSGB 1936 / British National Grid,416993.4521,187711.9714,0.42,Unknown,Deliverable,Permissioned,Prior Approval,02-Jun-16,S/PRIORC/16/0988 | Prior Approval Notification for the change of use from offices (Class B1a) to dwellings (Class C3) (38no. apartments).,,38,,,
http://opendatacommunities.org/id/unitary-authority/swindon,Swindon Borough Council,18HMR025,,"Land At Abbey Farm, Tadpole Lane Blunsdon St. Andrew Swindon",,OSGB 1936 / British National Grid,419518.0399,187653.8776,0.076,Unknown,Deliverable,Permissioned,Full,10-Jan-18,S/17/0775 | Erection of 2no. retail units with 6no. flats above and associated parking.,,6,,,
