,OrganisationURL,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SitePlanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part 2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubtances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
,http://opendatacommunities.org/id/district-council/craven,CravenDistrictCouncil,BRL12,GA019,"""LandatMartonRoad""",,OSGB36,392292.78,453929.025,0.74,Notownedbyapublicauthority,No,Not permissioned,,,,,,,,,,,,,,2018-01-09 00:00:00,2018-02-02 00:00:00
,http://opendatacommunities.org/id/district-council/craven,CravenDistrictCouncil,BRL13,HB001,"""GolfClubcarparkandclubhouse,RobinLane""",,OSGB36,366934.432,469906.131,0.67,Notownedbyapublicauthority,No,Not permissioned,,,,,,,,,,,,,,2018-01-09 00:00:00,2018-02-02 00:00:00
,http://opendatacommunities.org/id/district-council/craven,CravenDistrictCouncil,BRL14,HB003,"""BankHeadwestofRobinLanesouthofLakeberDrive""",,OSGB36,366872.431,469571.295,0.84,Notownedbyapublicauthority,No,Not permissioned,,,,,,,,,,,,,,2018-01-09 00:00:00,2018-02-02 00:00:00
,http://opendatacommunities.org/id/district-council/craven,CravenDistrictCouncil,BRL15,HB011,"""PrimaryschooleastofRobinLane,westofLowcroft""",,OSGB36,366936.22,469312.54,0.962,Ownedbyapublicauthority,Yes,Pending decision,Full planning permission,,https://publicaccess.cravendc.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=OZ1FM5FKGPB00,,72,"Residential development for extra care housing comprising 64 apartments and 8 bungalows including associated parking, landscaping and formation of new access off Robin Lane.",,,70,,,,Land allocated within Draft Local Plan,2018-01-09 00:00:00,2018-02-02 00:00:00
,http://opendatacommunities.org/id/district-council/craven,CravenDistrictCouncil,BRL16,HB014,"""LandtoeastofLairgillRowonButtsLane""",,OSGB36,367097.957,469362.973,0.42,Ownedbyapublicauthority,Yes,Not permissioned,,,,,,,,,,,,,,2018-01-09 00:00:00,2018-02-02 00:00:00
,http://opendatacommunities.org/id/district-council/craven,CravenDistrictCouncil,BRL17,HB017,"""WestofStationRoad,southofrailwaystation""",,OSGB36,366636.664,468957.163,0.44,MultipleOwners,No,Not permissioned,,,,,,,,,,,,,,2018-01-09 00:00:00,2018-02-02 00:00:00
,http://opendatacommunities.org/id/district-council/craven,CravenDistrictCouncil,BRL18,HB020,"""StorageYardandpremiseswestofMayfieldRoad""",,OSGB36,366485.871,468769.456,0.26,Notownedbyapublicauthority,No,Not permissioned,,,,,,,,,,,,,,2018-01-09 00:00:00,2018-02-02 00:00:00
,http://opendatacommunities.org/id/district-council/craven,CravenDistrictCouncil,BRL19,HB030,"""LandoffDukeStreet""",,OSGB36,366256.589,469235.203,0.4,Notownedbyapublicauthority,No,Not permissioned,,,,,,,,,,,,,,2018-01-09 00:00:00,2018-02-02 00:00:00
,http://opendatacommunities.org/id/district-council/craven,CravenDistrictCouncil,BRL20,HB031,"""AuctionMartandlandsouthofMountPleasant""",,OSGB36,366867.959,469160.896,1.179,Notownedbyapublicauthority,No,Not permissioned,,,,,,,,,,,,,,2018-01-09 00:00:00,2018-02-02 00:00:00
,http://opendatacommunities.org/id/district-council/craven,CravenDistrictCouncil,BRL21,HB034,"""HighBenthamWaterTreatmentWorks""",,OSGB36,367828.292,467091.563,0.51,Ownedbyapublicauthority,No,Pending decision,Full planning permission,,https://publicaccess.cravendc.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=P2CEXSFKH6I00,,1,Conversion of former water treatment works building to a residential dwelling.,,,,,,,A large part of the site is still available for development.,2018-01-09 00:00:00,2018-02-02 00:00:00
,http://opendatacommunities.org/id/district-council/craven,CravenDistrictCouncil,BRL22,HB035,"""CampleHatcheries,LowBenthamRoad""",,OSGB36,365910.546,469456.215,0.501,Notownedbyapublicauthority,Yes,Permissioned,Outline permission,2015-05-14 00:00:00,https://publicaccess.cravendc.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZZ1FKJV733,,,Residential development,,,,,,,https://publicaccess.cravendc.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=ZZZZYYFKJV980. A new application has been put in on site and is awaiting a decision.,2018-01-09 00:00:00,2018-02-02 00:00:00
,http://opendatacommunities.org/id/district-council/craven,CravenDistrictCouncil,BRL23,HE005,"""LandtowestofGisburnRd,BlackHorseSite""",,OSGB36,385539.518,456482.297,0.23,Notownedbyapublicauthority,No,Not permissioned,,,,,,,,,,,,,,2018-01-09 00:00:00,2018-02-02 00:00:00
,http://opendatacommunities.org/id/district-council/craven,CravenDistrictCouncil,BRL24,IN008,"""HighwaysDepotandadjoininglandBackgate""",,OSGB36,369652.555,472888.499,1.273,MultipleOwners,No,Pending decision,Full planning permission,,https://publicaccess.cravendc.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=P2AB5DFK00R00,,13,"Proposed residential development to create 13 No dwellings accessed from Back Gate, Ingleton",,,,,,,,2018-01-09 00:00:00,2018-02-02 00:00:00
,http://opendatacommunities.org/id/district-council/craven,CravenDistrictCouncil,BRL25,IN034,"""MoorgarthHall""",,OSGB36,369754.394,472018.179,0.77,Notownedbyapublicauthority,No,Pending decision,Full planning permission,,https://publicaccess.cravendc.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=OYDA55FKGL400,,5,Construction of five dwellings with integral garages and off street parking.,,,,,,,,2018-01-09 00:00:00,2018-02-02 00:00:00
,http://opendatacommunities.org/id/district-council/craven,CravenDistrictCouncil,BRL26,IN046,"""ScrapYard,NewRoad""",,OSGB36,369507.429,472290.232,0.46,Notownedbyapublicauthority,No,Not permissioned,,,,,,,,,,,,,,2018-01-09 00:00:00,2018-02-02 00:00:00
,http://opendatacommunities.org/id/district-council/craven,CravenDistrictCouncil,BRL27,LB020,"""FormerSedberghJuniorSchool""",,OSGB36,364443.216,469306.427,1.45,Notownedbyapublicauthority,No,Not permissioned,,,,,,,,,,,,,,2018-01-09 00:00:00,2018-02-02 00:00:00
,http://opendatacommunities.org/id/district-council/craven,CravenDistrictCouncil,BRL28,SC004,"""LandatcornerofSkiptonRoadandKeighleyRoad""",,OSGB36,401235.079,445048.851,0.26,Notownedbyapublicauthority,Yes,Not permissioned,,,,,,,,,,,,,,2018-01-09 00:00:00,2018-02-02 00:00:00
,http://opendatacommunities.org/id/district-council/craven,CravenDistrictCouncil,BRL29,SC014,"""SouthandeastofHayfieldMillsColneRoad""",,OSGB36,400039.701,444578.996,0.62,Notownedbyapublicauthority,No,Not permissioned,,,,,,,,,,,,,,2018-01-09 00:00:00,2018-02-02 00:00:00
,http://opendatacommunities.org/id/district-council/craven,CravenDistrictCouncil,BRL30,SC030,"""WorksandlandatLowFold,ManorWay""",,OSGB36,400440.213,444024.599,0.34,Notownedbyapublicauthority,Yes,Permissioned,Outline permission,2015-07-30 00:00:00,https://publicaccess.cravendc.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=ZZZZZ1FKJV260 |https://publicaccess.cravendc.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=ZZZZYZFKJV523,,10,Outline application for demolition of redundant commercial premises and erection of 10 dwellings with access and siting considered.,,,,,,,Planning permission has not yet been implemented.,2018-01-09 00:00:00,2018-02-02 00:00:00
,http://opendatacommunities.org/id/district-council/craven,CravenDistrictCouncil,BRL31,SC082,"""HayfieldMills,ColneRoad""",,OSGB36,400073.683,444663.689,2.61,Notownedbyapublicauthority,No,Not permissioned,,,,,,,,,,,,,,2018-01-09 00:00:00,2018-02-02 00:00:00
,http://opendatacommunities.org/id/district-council/craven,CravenDistrictCouncil,BRL32,SC085,"""LandatMalsis""",,OSGB36,399061.796,444544.069,1.29,Ownedbyapublicauthority,Yes,Pending decision,Full planning permission & listed building consent,,https://publicaccess.cravendc.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=ZZZZYZFKJV763   | https://publicaccess.cravendc.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=ZZZZYZFKJV764,,67,"Conversion and restoration of Malsis Hall to create care facility (use class C2) including demolition of existing extensions and construction of new extensions, upgrading and re-opening of former sports facilities and residential development of 67 dwellings within grounds (including conversion of listed lodge building to dwellinghouse).","Use Class C2 care facility - 1,882 sqm",,33,,,,Land allocated within Draft Local Plan,2018-01-09 00:00:00,2018-02-02 00:00:00
,http://opendatacommunities.org/id/district-council/craven,CravenDistrictCouncil,BRL33,SG011,"""CastlebergHospital,RainesRoad""",,OSGB36,381003.025,463729.581,1.12,Notownedbyapublicauthority,Yes,Not permissioned,,,,,,,,,,,,,,2018-01-09 00:00:00,2018-02-02 00:00:00
,http://opendatacommunities.org/id/district-council/craven,CravenDistrictCouncil,BRL34,SG018,"""NYCCDepotnorthofKing'sMill""",,OSGB36,381481.302,463946.368,0.52,Notownedbyapublicauthority,No,Not permissioned,,,,,,,,,,,,,,2018-01-09 00:00:00,2018-02-02 00:00:00
,http://opendatacommunities.org/id/district-council/craven,CravenDistrictCouncil,BRL35,SG032,"""CarparkoffLowerGreenfootandCommercialStreet""",,OSGB36,382046.708,463398.768,0.412,Ownedbyapublicauthority,Yes,Not permissioned,,,,,,,,,13,,,,Land allocated within Draft Local Plan,2018-01-09 00:00:00,2018-02-02 00:00:00
,http://opendatacommunities.org/id/district-council/craven,CravenDistrictCouncil,BRL36,SG042,"""NYCCDepot,Kirkgate""",,OSGB36,381847.07,463732.06,0.24,Ownedbyapublicauthority,Yes,Not permissioned,,,,,,,,,8,,,,Land allocated within Draft Local Plan,2018-01-09 00:00:00,2018-02-02 00:00:00
,http://opendatacommunities.org/id/district-council/craven,CravenDistrictCouncil,BRL37,SG060,"""Premisesandfirestation,MillCloseandKingsMillLane""",,OSGB36,381552.567,463727.843,1.09,Notownedbyapublicauthority,No,Not permissioned,,,,,,,,,,,,,,2018-01-09 00:00:00,2018-02-02 00:00:00
,http://opendatacommunities.org/id/district-council/craven,CravenDistrictCouncil,BRL38,SK022,"""LandtoeastofmineralrailwayoffBroughamSt""",,OSGB36,399341.73,451276.128,0.868,Ownedbyapublicauthority,No,Not permissioned,,,,,,,,,,,,,,2018-01-09 00:00:00,2018-02-02 00:00:00
,http://opendatacommunities.org/id/district-council/craven,CravenDistrictCouncil,BRL39,SK034,"""MillandbuildersyardnorthofMartonStreet""",,OSGB36,397737.216,451448.811,0.27,Notownedbyapublicauthority,No,Not permissioned,,,,,,,,,,,,,,2018-01-09 00:00:00,2018-02-02 00:00:00
,http://opendatacommunities.org/id/district-council/craven,CravenDistrictCouncil,BRL40,SK044,"""Formerallotmentsandgarages,BroughtonRoad""",,OSGB36,397696.476,451239.707,0.591,Notownedbyapublicauthority,Yes,Permissioned,Full Planning Permission,2017-12-14 00:00:00,https://publicaccess.cravendc.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=OY2DNUFK00R00,,8,Erection of 8 semi-detached dwellings (Phase 1),,,19,,,,Land allocated within Draft Local Plan. Planning application not yet implemented.,2018-01-09 00:00:00,2018-02-02 00:00:00
,http://opendatacommunities.org/id/district-council/craven,CravenDistrictCouncil,BRL41,SKO47,"""WestofIngsLane/southofrailway""",,OSGB36,397659.873,451080.691,0.482,Notownedbyapublicauthority,No,Not permissioned,,,,,,,,,,,,,,2018-01-09 00:00:00,2018-02-02 00:00:00
,http://opendatacommunities.org/id/district-council/craven,CravenDistrictCouncil,BRL42,SK058,"""WhitakersFactorySite,KeighleyRoad""",,OSGB36,398866.127,451114.993,0.492,Notownedbyapublicauthority,Yes,Not permissioned,,,,,,,,,16,,,,Land allocated within Draft Local Plan,2018-01-09 00:00:00,2018-02-02 00:00:00
,http://opendatacommunities.org/id/district-council/craven,CravenDistrictCouncil,BRL43,SK060,"""BusinesspremisesandlandwestofFirthStreet""",,OSGB36,399019.142,451015.71,2.351,Notownedbyapublicauthority,Yes,Permissioned,MMA/Full planning permission,2017-03-07 | 2015-06-04,https://publicaccess.cravendc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=ZZZZZ1FKJV333 | https://publicaccess.cravendc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=ZZZZYZFKJV241,,78,Application for non-material amendment to original planning consent reference 63/2016/16584 for alteration to apartment layouts resulting in the reduction of units to 34 no. Minor changes to elevations to reflect the revised apartment layouts with balcony and window positions altered. Parking amended to reflect the structural arrangement of the ground floor. | Re-development of land for residential use including retention of existing stone mill and demolition of redundant modern commerical buildings.,,,123,,,,Land allocated within Draft Local Plan. Planning permission not yet implemented.,2018-01-09 00:00:00,2018-02-02 00:00:00
,http://opendatacommunities.org/id/district-council/craven,CravenDistrictCouncil,BRL44,SK118,"""JNBentleyLtd,SnaygillIndustrialEstate,WestofKeighleyRoad""",,OSGB36,399061.691,450125.428,0.792,Notownedbyapublicauthority,No,Not permissioned,,,,,,,,,,,,,,2018-01-09 00:00:00,2018-02-02 00:00:00
