OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Northing,Easting,Hectares,OwenrshipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Notes,FirstAddedDate,LastUpdatedDate,
http://opendatacommunities.org/id/district-council/hart,Hart District Council,17/00828/PRIOR,,"""115-123 Fleet Road, Fleet""",https://publicaccess.hart.gov.uk/online-applications/,OSGB36,-0.8383003406,51.2839715314,154511,481114,0.14,Not owned by a public authority,Yes,permissioned,other,2017-05-30,,,6,Change of use of B1a offices to 6 flats,,,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,Hart District Council,16/03413/PRIOR,,"""115-123 Fleet Road, Fleet""",https://publicaccess.hart.gov.uk/online-applications/,OSGB36,-0.8383003406,51.2839715314,154511,481114,0.14,Not owned by a public authority,Yes,permissioned,other,2017-02-02,,,12,"Change of use of ground floor (part), 1st floor (part) and 2nd floor (part) from Use Class B1a offices to 12 flats (8 x 1 bedroom and 4 x 2 bedroom)",,,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,Hart District Council,16/03411/PRIOR,,"""111-113 Fleet Road, Fleet""",https://publicaccess.hart.gov.uk/online-applications/,OSGB36,-0.8379669889,51.2841121128,154527,481137,0.1,Not owned by a public authority,Yes,permissioned,other,2017-02-02,,,12,Change of use of 1st and 2nd floors from Use Class B1a offices to 12 flats (10 x 1 bedroom and 2 x 2 bedroom),,,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,Hart District Council,14/02101/MAJOR,,93 Fleet Road,https://publicaccess.hart.gov.uk/online-applications/,OSGB36,-0.8365626149,51.2852132769,154651,481233,0.17,Not owned by a public authority,Yes,permissioned,FUL,2014-11-20,,,10,"Conversion of existing office to form eight two-bedroom flats, and erection of new detached three storey building to the rear to form two one-bedroom flats",,,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,Hart District Council,15/01540/FUL,,"""Pioneer House, Unit 2 Fleetwood Park, Barley Way, Fleet""",https://publicaccess.hart.gov.uk/online-applications/,OSGB36,-0.8316665778,51.2984556028,156129,481551,0.48,Not owned by a public authority,Yes,permissioned,FUL,2015-10-14,,,33,Conversion of the building into 33 residential units,,,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,Hart District Council,15/00828/FUL,,"""Former Auxiliary Stores Unit, Former Queen Elizabeth Barracks, Naishes Lane, Fleet""",https://publicaccess.hart.gov.uk/online-applications/,OSGB36,-0.8298820338,51.2563083666,151444,481750,0.75,Not owned by a public authority,Yes,permissioned,FUL,2015-07-31,,,16,Redevelopment of the site to provide 16 Dwellings,,,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,Hart District Council,16/01441/FUL,,"""Oak House, Harvest Crescent, Fleet""",https://publicaccess.hart.gov.uk/online-applications/,OSGB36,-0.8258503154,51.2981638213,156103,481957,0.61,Not owned by a public authority,Yes,permissioned,FUL,2016-11-14,,,14,To create 14 new flats on the second floor of Oak House,,,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,Hart District Council,16/01445/PRIOR,,"""Oak House, Harvest Crescent, Fleet""",https://publicaccess.hart.gov.uk/online-applications/,OSGB36,-0.8258503154,51.2981638213,156103,481957,0.61,Not owned by a public authority,Yes,permissioned,other,2016-07-26,,,31,Change of use from offices (Class B1a) to form 31 apartments,,,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,Hart District Council,13/02633/MAJOR,,"""Guillemont Park, Minley Road, Blackwater""",https://publicaccess.hart.gov.uk/online-applications/,OSGB36,-0.7919749197,51.3045099289,156847,484307,3.4,Not owned by a public authority,Yes,permissioned,FUL,2014-11-21,,,102,Demolition of the existing part-built steel framed structures. Redevelopment of the site for the construction of 150 dwellings,Open space and provision of school parking area,,2017-12-22,2017-12-22,
http://opendatacommunities.org/id/district-council/hart,Hart District Council,16/03072/PRIOR,,"""White Hart House, London Road, Blackwater""",https://publicaccess.hart.gov.uk/online-applications/,OSGB36,-0.7773843781,51.3315688373,159873,485274,0.16,Not owned by a public authority,Yes,permissioned,other,2017-01-19,,,18,Change of use from B1(a) to 18 dwellings: 17 1-bed and 1 2-bed,,,2017-12-22,2017-12-22,
