SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
ROSBS030,,"KNOTT MILL WORKS, MILLAR BARN LANE, WATERFOOT",https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,ETRS89,-2.25074,53.6928,0.06,not owned by a public authority,,not permissioned,,,,,5,Local Plan Submission version proposes to allocate the site (H56)  for 5 dwellings.,,,,,,,Identified as a potential allocation but no planning history.,2017-12-15,2019-12-20
ROSBS032,,"LAND AT BLACKWOOD ROAD, STACKSTEADS",https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,ETRS89,-2.23073,53.6884,1.23,not owned by a public authority,,not permissioned,,,https://publicaccess.rossendale.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZXBNDJV233,,31,Change of use of former scrap yard to campsite for static and touring caravans with an area for tents including the provision of a welfare block and the use of the on site house for use as a warden house,,,,,,,2011/0548 - Permission for change of use of former scrap yard to campsite expired. Part of the site H25 proposed to be allocated for housing in the Local Plan Submission version.,2017-12-15,2019-12-20
ROSBS034,,"MAGISTRATES COURT, RAWTENSTALL",https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,ETRS89,-2.29152,53.7003,0.03,not owned by a public authority,yes,permissioned,full planning permission,2014-10-16,https://publicaccess.rossendale.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=N5XRCBNDKLH00,,11,"11 apartments, including rooflights",,,,,,,Planning application: 2014/0233. Local Plan Submission version proposes to allocate the site (H2) for 11 dwellings. ,2017-12-15,2019-12-20
ROSBS035,,"OLD MARKET HALL, BACUP",https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,ETRS89,-2.20192,53.7021,0.16,not owned by a public authority,,not permissioned,,,https://publicaccess.rossendale.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZXCNDJV042,,16,Local Plan Submission version proposes to allocate the site (H20) for 16 dwellings,,,,,,,"2010/0101, 2009/0562",2017-12-15,2019-12-20
ROSBS037,,REEDSHOLME WORKS,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,ETRS89,-2.2899,53.7176,3.24,not owned by a public authority,yes,permissioned,reserved matters approval,2019-01-17,https://publicaccess.rossendale.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=MJLQT100DT035,,97,"Application for reserved matters approval (appearance, landscaping, layout and scale) for the erection of 97 dwellings and associated infrastructure (pursuant to outline approval 2016/0267).",,,,,,,2016/0267 - Outline approved; 2018/0535 Reserved Matters approved. Part of the proposed allocation (H12) in the Local Plan Submission version.,2017-12-15,2019-12-20
ROSBS038,,"WATERSIDE MILL, BACUP",https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,ETRS89,-2.20301,53.7056,0.17,not owned by a public authority,,not permissioned,,,https://publicaccess.rossendale.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZX0NDJV060,,5,Local Plan Submission version proposes to allocate the site (M1) for mixed-use including 39 dwellings,,,,,,,"2000/299 - 
Conversion of mill to 16 no self contained flats  ",2017-12-15,2019-12-20
ROSBS040,,"LAND TO SIDE AND REAR OF PETROL STATION, MANCHESTER ROAD",https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,ETRS89,-2.318415,53.700799,0.16,not owned by a public authority,,not permissioned,,,,,6,Local Plan Submission version proposes to allocate the site (H51)  for 6 dwellings,,,,,,,2004/877,2018-12-14,2019-12-20
ROSBS041,,"SPINNING POINT, RAWTENSTALL",https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,ETRS89,-2.283841,53.701429,0.88,mixed ownership,yes,permissioned,full planning permission,2018-03-27,https://publicaccess.rossendale.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=N44CH7ND01A00,,28,"Full planning application for the redevelopment of the former Valley Centre site for a mixed use development comprising leisure, hotel, housing and commercial uses (including Use Classes A1, A2, A3, A4, B1, C1, C3 and D2 of the Town and Country Planning (Use Classes) (Amendment) (England) Order 2015) including the creation of an area of public open space with associated landscape and highway works.","Full planning application for the redevelopment of the former Valley Centre site for a mixed use development comprising leisure, hotel, housing and commercial uses (including Use Classes A1, A2, A3, A4, B1, C1, C3 and D2 of the Town and Country Planning (Use Classes) (Amendment) (England) Order 2015) including the creation of an area of public open space with associated landscape and highway works.",,,,,,2017/0617. Local Plan Submission version proposes to allocate the site (M2) for mixed-use including  28 apartments.,2018-12-14,2019-12-20
ROSBS042,,"CEDAR WORKS, MILLAR BARN LANE, WATERFOOT",https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,ETRS89,-2.249848,53.692644,0.16,not owned by a public authority,,not permissioned,,,https://publicaccess.rossendale.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=MJLQR300DT01R,,9,Outline application (including layout and access) for demolition of existing factory and the erection of 9 no. town houses expired in September 2019.,,,,,,,2016-0306 outline application expired in September 2019,2018-12-14,2019-12-20
ROSBS043,,"WEIR HOTEL, BURNLEY ROAD",https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,ETRS89,-2.196664,53.72274,0.18,unknown ownership,yes,permissioned,full planning permission,2018-02-28,https://publicaccess.rossendale.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=MJLQDJ00DT02I,,3,"Demolition of existing public house and erection of 6 no. new dwellings (3 no. three-bedroom and 3 no. four-bedroom) with associated levelling, access and landscaping works (resubmission of application 2017/0415)",,,,,,,Planning permission for 6 dwellings (2017-0640). However only 3 dwellings are likely to be built as a recent permission was granted for the change of use of the public house to B1c use with retention of the flat above (2019/0254).,2018-12-14,2019-12-20
ROSBS044,,BREARLEY ST GARAGE SITE,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,ETRS89,-2.216789,53.693547,0.13,mixed ownership,,not permissioned,,,,,3,"The site is considered available, suitable and achievable but too small to be included in the housing land supply as it would deliver less than 5 dwellings.",,,,,,,,2018-12-14,2019-12-20
ROSBS045,,"THE HOLLIES, 2 RISING BRIDGE ROAD, HASLINGDEN",https://publicaccess.rossendale.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,ETRS89,-2.328928,53.717264,0.14,unknown ownership,yes,permissioned,full planning permission,2017-08-31,https://publicaccess.rossendale.gov.uk/online-applications/searchResultsBack.do?action=back,,6,Change of use of nursing home to 6 residnetial apartments.,,,,,,,Planning permission: 2017/0257,2019-12-20,2019-12-20
