OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings, DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,AlternativeReferences,UPRN,PlanningAppNumber
http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,South Gloucestershire Council,86,,Land Rear Of 160-166 Station Road Filton Bristol South Gloucestershire BS34 7JW,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O100OMOKGEM00,OSGB36,360990,178895,0.20,not owned by a public authority,yes,permissioned,full planning permission,2016-04-22,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O100OMOKGEM00,,9,New development of 9 new dwellings with new access and associated works,,,,,,,,2017-12-31,2018-12-31,rls:Small site,506304,PT16/0166/F
http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,South Gloucestershire Council,87,,34 - 36 Overnhill Road Downend Bristol South Gloucestershire BS16 5DP,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NOPC9ROKHA600,OSGB36,364508,176143,0.12,not owned by a public authority,yes,permissioned,full planning permission,2015-12-07,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NOPC9ROKHA600,,9,Change of use from existing hostel (sui generis) and a detached garage to Dwelling Houses (Class C3) to facilitate the formation of 9no. residential units,,,,,,,,2017-12-31,2018-12-31,rls:Small site,622644,PK15/2216/F
http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,South Gloucestershire Council,89,,Hanson Social Club Barnhill Road Chipping Sodbury Bristol South Gloucestershire BS37 6AY,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O9YCQ9OKMEO00,OSGB36,372332,182458,0.18,not owned by a public authority,yes,permissioned,full planning permission,2016-11-15,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O9YCQ9OKMEO00,,9,Demolition of former Social Club and erection of 9no. dwellings with parking and associated works.,,,,,,,,2017-12-31,2018-12-31,rls:Small site,648609,PK16/4125/F
http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,South Gloucestershire Council,91,,Portland Building Portland Street Staple Hill South Gloucestershire BS16 4PS,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OD6ZB4OKGDT00,OSGB36,364722,175435,0.14,not owned by a public authority,yes,permissioned,full planning permission,2017-03-03,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OD6ZB4OKGDT00,,8,"Demolition of existing office building. Erection of 5 no. flats and 3 no. dwellings, parking and associated works.",,,,,,,,2017-12-31,2018-12-31,rls:Small site,664339,PK16/5111/F
http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,South Gloucestershire Council,92,,24 - 50 South Parade Yate South Gloucestershire BS37 4BB,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OF8XP3OK0CW00,OSGB36,371478,182327,0.07,not owned by a public authority,yes,permissioned,other,2016-11-29,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OF8XP3OK0CW00,,8,Prior notification of a change of use from Office (Class B1)  to residential dwellings (Class C3) ,,,,,,,,2017-12-31,2018-12-31,rls:Small site,645944,PK16/5727/PNOR
http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,South Gloucestershire Council,93,,Frenchay Park House Frenchay Park Road Frenchay South Gloucestershire BS16 1JE,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O8RPU2OKLNX00,OSGB36,363890,177610,0.28,not owned by a public authority,yes,permissioned,full planning permission,2016-10-28,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O8RPU2OKLNX00,,7,"Conversion of existing barn into 7no. residential units with garaging, parking and associated works",,,,,,,,2017-12-31,2018-12-31,rls:Small site,666321,PT16/3703/F
http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,South Gloucestershire Council,94,,Royal Archer Public House 5 Lees Hill Kingswood Bristol South Gloucestershire BS15 4TL,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OJIFZMOKK0O00,OSGB36,365361,174435,0.17,not owned by a public authority,yes,permissioned,full planning permission,2017-03-10,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OJIFZMOKK0O00,,7,"Erection of 4no. terraced dwellings, 2no. semi detached dwellings and 1no. self contained flat above a garage with access, parking, landscaping and associated works.",,,,,,,,2017-12-31,2018-12-31,rls:Small site,529005,PK17/0080/F
http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,South Gloucestershire Council,96,,21 Portland Street Staple Hill Bristol South Gloucestershire BS16 4PT,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O64XCHOKJDV00,OSGB36,364687,175431,0.07,not owned by a public authority,yes,permissioned,full planning permission,2016-06-17,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O64XCHOKJDV00,,7,Erection of three storey building to form 7no. residential apartments and associated works.,,,,,,,,2017-12-31,2018-12-31,rls:Small site,519267,PK16/1960/F
http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,South Gloucestershire Council,97,,The Cherry Tree 128 West Street Oldland Common Bristol South Gloucestershire BS30 9QR,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O103JMOKGEU00,OSGB36,367298,171240,0.09,not owned by a public authority,yes,permissioned,full planning permission,2016-06-13,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O103JMOKGEU00,,7,Erection of 2 storey rear extension to facilitate conversion of existing public house to 7no apartments with associated works,,,,,,,,2017-12-31,2018-12-31,rls:Small site,582225,PK16/0173/F
http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,South Gloucestershire Council,98,,Greenaways Land At Woodmans Road Chipping Sodbury,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NIH9OEOK7T000,OSGB36,373017,181877,0.22,not owned by a public authority,yes,permissioned,full planning permission,2015-04-08,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NIH9OEOK7T000,,7,Demolition of 2no. buildings and erection of 7no.detached dormer bungalows with associated works.,,,,,,,,2017-12-31,2018-12-31,rls:Small site,597907,PK15/0255/F
http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,South Gloucestershire Council,99,,1 Gayner Road Filton Bristol South Gloucestershire BS7 0SP,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NZRSRTOKFSN00,OSGB36,360027,178534,0.06,not owned by a public authority,yes,permissioned,full planning permission,2017-03-24,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NZRSRTOKFSN00,,6,Erection of single storey side extension to existing dwelling to facilitate conversion to 2no flats and erection of detached building to form 4no flats with associated works and access,,,,,,,,2017-12-31,2018-12-31,rls:Small site,508075,PT15/5491/F
http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,South Gloucestershire Council,101,,Warmley Court 33 Deanery Road Kingswood South Gloucestershire BS15 9JB,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OG4M08OKI5W00,OSGB36,366625,173603,0.19,not owned by a public authority,yes,permissioned,full planning permission,2017-01-09,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OG4M08OKI5W00,,6,Erection of a single storey building to provide 10no. bed care facility (Class C2) with associated works.,,,,,,,,2017-12-31,2018-12-31,rls:Small site,544780,PK16/6136/F
http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,South Gloucestershire Council,102,,46 High Street Formerly Bollywood Spice Warmley Bristol South Gloucestershire BS15 4NF,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NCB1UQOK0BR00,OSGB36,367009,173533,0.13,not owned by a public authority,yes,permissioned,full planning permission,2015-03-02,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NCB1UQOK0BR00,,6,"Demolition of existing building and erection of 4no. semi-detached dwellings, 2no. self-contained flats",Offices for B1 use,,,,,,,2017-12-31,2018-12-31,rls:Small site,552380,PK14/3626/F
http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,South Gloucestershire Council,106,,Collins Avenue Little Stoke Bristol South Gloucestershire BS34 6JZ,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OWA6I7OKJRU00,OSGB36,361476,180909,0.34,not owned by a public authority,yes,permissioned,full planning permission,2017-10-11,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OWA6I7OKJRU00,,15,"Demolition of existing residential units and erection of 9no houses, 6no flats and provision of 26 parking spaces with access and associated works.",,,,,,,,2017-12-31,2018-12-31,rls:0174t,557272,PT17/4327/F
http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,South Gloucestershire Council,107,,Parcel LC2 Charlton Boulevard Patchway South Gloucestershire BS34 5BN,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OBSPGAOKFQ900,OSGB36,359634,180539,0.65,not owned by a public authority,yes,permissioned,reserved matters approval,2018-10-16,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OBSPGAOKFQ900,,52,Erection of 2no. buildings to form 52 residential apartments (Approval of reserved matters to be read in conjunction with PT03/3143/O),"2no. retail units (Class A1) and 1no. childrens day nursery (Class D2). Laying out of carpark with associated access, engineering and landscaping",,,,,,Variation of condition 1 to substitute plans attached to PT16/4740/RM,2017-12-31,2018-12-31,rls:0008aa,667277,PT18/3452/RVC
http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,South Gloucestershire Council,108,,"Charlton Hayes Parcels H11, H12 & H13, North Field, Filton Bristol BS34 5GZ ",https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OHJZWROKIZD00,OSGB36,359562,181207,3.87,not owned by a public authority,yes,permissioned,reserved matters approval,2017-07-01,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OHJZWROKIZD00,,130,"Erection of 130 No. dwellings with garages, parking, associated infrastructure and hard & soft landscaping proposals for Parcels H11, H12 & H13. (Approval of Reserved Matters to be read in conjunction with Outline Planning Permission PT03/3143/O",,,,,,,,2017-12-31,2018-12-31,rls:0008ab,504483,PT16/6598/RM
http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,South Gloucestershire Council,109,,Kerr House Residential Home 50 Morley Road Staple Hill South Gloucestershire BS16 4QD,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OFAY16OKHLV00,OSGB36,365086,175261,0.32,not owned by a public authority,yes,permissioned,full planning permission,2017-05-19,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OFAY16OKHLV00,,21,"Erection of 21no. dwellings with access, landscaping and associated works",,,,,,,,2017-12-31,2018-12-31,rls:0197,532475,PK16/5889/F
http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,South Gloucestershire Council,110,,Plot MU5 Land At Junction Of Hayes Way Charlton Boulevard Patchway South Gloucestershire BS34 5AG ,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OCS7L7OKG6T00,OSGB36,360077,181029,0.53,not owned by a public authority,yes,permissioned,full planning permission,2017-05-25,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OCS7L7OKG6T00,,42,"Erection of a part three, part four and part two storey building comprising 42no. Retirement Living apartments",,,,,,,,2017-12-31,2018-12-31,rls:0198,667676,PT16/4976/F
http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,South Gloucestershire Council,111,,Plot MU6 Land At Junction Of Hayes Way Charlton Boulevard Patchway South Gloucestershire BS34 5AG,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OCS7IVOKG6R00,OSGB36,360286,181096,0.55,not owned by a public authority,yes,permissioned,full planning permission,2017-07-24,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OCS7IVOKG6R00,,60,"Erection of part three, part four storey building comprising of 60no. extra care apartments (Class C2 ) for the elderly with associated communal lounges, restaurants, kitchen, guest room, staff accommodation, communal refuse and electric buggy stores",,,,,,,,2017-12-31,2018-12-31,rls:0199,666678,PT16/4975/F
http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,South Gloucestershire Council,112,,Rawlings And Sons Bristol Ltd Cecil Road Kingswood South Gloucestershire BS15 8NA ,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O6X3CLOKK4N00,OSGB36,364755,173718,0.17,not owned by a public authority,yes,permissioned,other,2017-07-06,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O6X3CLOKK4N00,,29,Demolition of existing building and erection of 29 no flats with associated parking and landscaping.,,,,,,,Allowed at Appeal,2017-12-31,2018-12-31,rls:0202,517427,PK16/2566/F
http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,South Gloucestershire Council,113,,The Council Offices Castle Street Thornbury South Gloucestershire BS35 1HF,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O3DFF5OKHU500,OSGB36,363521,190362,1.00,not owned by a public authority,yes,permissioned,other,2017-05-30,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O3DFF5OKHU500,,61,"Demolition and redevelopment to form 5 cottages and 57 sheltered apartments for the elderly including communal facilities, landscaping, parking, access and associated works",,,,,,,Allowed at Appeal,2017-12-31,2018-12-31,rls:0206 ,578768,PT16/0982/F
http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,South Gloucestershire Council,114,,72 Magpie Bottom Lane Kingswood Bristol South Gloucestershire BS15 8HD,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OZ5UD5OKLFL00,OSGB36,364202,172816,0.67,not owned by a public authority,yes,permissioned,full planning permission,2018-02-26,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OZ5UD5OKLFL00,,9,"Erection of 9 no. dwellings, two storey rear extension and alterations to existing bungalow to form 1 no. dwelling with garage under. Alteration of access to Magpie Bottom Lane. ",,,,,,,,2018-12-31,2018-12-31,rls:Small site,514462,PK17/5253/F
http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,South Gloucestershire Council,115,,Bridge House Farm Siston Common Siston Bristol South Gloucestershire BS30 5LS,https://developments.southglos.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,OSGB36,366533,174402,0.44,not owned by a public authority,yes,permissioned,outline planning permission,2018-02-23,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ORHLQ0OKGZK00,,8,Demolition of existing dwelling and outbuildings and erection of 8. no dwellings with access and layout to be determined and all other matters reserved (Outline).,,,,,,,,2018-12-31,2018-12-31,rls:Small site,545791,PK17/2778/O
http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,South Gloucestershire Council,116,,41 - 43A Deanery Road Kingswood Bristol South Gloucestershire BS15 9JB,https://developments.southglos.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,OSGB36,366709,173588,0.09,not owned by a public authority,yes,permissioned,full planning permission,2018-02-16,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ONMSAIOK0C500,,6,"Demolition of existing garage. Erection of 2no. flats and 4 no. dwellings with access, parking and associated works.",,,,,,,,2018-12-31,2018-12-31,rls:Small site,544784,PK17/1407/F
http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,South Gloucestershire Council,117,,Land Rear Of 57 Court Farm Road Longwell Green Bristol South Gloucestershire BS30 9AD,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?keyVal=OW4CM3OKJNW00&activeTab=summary,OSGB36,365567,170594,0.35,not owned by a public authority,yes,permissioned,outline planning permission,2018-02-09,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?keyVal=OW4CM3OKJNW00&activeTab=summary,,5,"Erection of 5no. dwellings (Outline) with access, landscaping, layout and scale to be determined, all other matters reserved.",,,,,,,,2018-12-31,2018-12-31,rls:Small site,524005,PK17/4284/O
http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,South Gloucestershire Council,118,,Frenchay Hospital Beckspool Road Frenchay South Gloucestershire BS16 1JE,https://developments.southglos.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,OSGB36,363890,177610,0.29,not owned by a public authority,yes,permissioned,full planning permission,2018-01-17,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OZI72WOK0B000,,7,"Conversion of existing barn into 7no. residential units with garaging, parking and associated works (amendment to previously approved scheme PT16/3703/F)",,,,,,,,2018-12-31,2018-12-31,rls:Small site,666321,PT17/5315/F
http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,South Gloucestershire Council,119,,21 Portland Street Staple Hill South Gloucestershire BS16 4PT,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?keyVal=OXEHMCOKKDV00&activeTab=summary,OSGB36,364629,175413,0.07,not owned by a public authority,yes,permissioned,full planning permission,2018-01-12,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?keyVal=OXEHMCOKKDV00&activeTab=summary,,8,Erection of detached 3 storey building to form 8 no. self-contained flats with associated works,,,,,,,,2018-12-31,2018-12-31,rls:Small site,664414,PK17/4706/F
http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,South Gloucestershire Council,120,,Land Off New Road Tytherington Wotton Under Edge South Gloucestershire GL12 8UP,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?keyVal=OBFV36OKFJU00&activeTab=summary,OSGB36,366824,188515,0.52,not owned by a public authority,yes,permissioned,full planning permission,2018-01-12,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?keyVal=OBFV36OKFJU00&activeTab=summary,,7,"Erection of seven dwellings, garages, roadway and associated works",,,,,,,,2018-12-31,2018-12-31,rls:Small site,575127,PT16/4657/F
http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,South Gloucestershire Council,122,,180 - 182 Gloucester Road Patchway Bristol South Gloucestershire BS34 5BD,https://developments.southglos.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,OSGB36,360629,181496,0.16,not owned by a public authority,yes,permissioned,full planning permission,2017-12-18,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OLD14POK0CW00,,7,"Erection of single storey rear extension and installation of front, rear and side dormers to facilitate conversion of 2no. dwellings to form 7no. self contained flats with associated works.",,,,,,,,2018-12-31,2018-12-31,rls:Small site,554157,PT17/0629/F
http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,South Gloucestershire Council,124,,Redmay Wotton Road Rangeworthy South Gloucestershire BS37 7LZ,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?keyVal=OONIN2OKMZA00&activeTab=summary,OSGB36,369190,185659,0.30,not owned by a public authority,yes,permissioned,outline planning permission,2017-11-16,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?keyVal=OONIN2OKMZA00&activeTab=summary,,5,Erection of 5no. detached bungalows (Outline) with access and layout to be determined. All other matters reserved.,,,,,,,,2018-12-31,2018-12-31,rls:Small site,663459,PT17/1761/O
http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,South Gloucestershire Council,125,,Amberley Lodge 4 Broad Lane Yate Bristol South Gloucestershire BS37 7LA,https://developments.southglos.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,OSGB36,370864,183749,0.19,not owned by a public authority,yes,permissioned,reserved matters approval,2017-10-27,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OR9VSLOKGVE00,,5,"Approval of the appearance, landscaping, layout and scale in relation to the erection of 5no. dwellings with associated works. (Approval of Reserved Matters to be read in conjunction with Outline Planning Permission PK16/5622/O).",,,,,,,Outline application PK16/5622/O,2018-12-31,2018-12-31,rls:Small site,589031,PK17/2712/RM
http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,South Gloucestershire Council,126,,Land To The Rear Of Holmelea House Tanhouse Lane Yate Bristol South Gloucestershire BS37 7LP,https://developments.southglos.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,OSGB36,369945,184994,0.59,not owned by a public authority,yes,permissioned,outline planning permission,2017-10-17,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OMX2MDOKLZL00,,7,Erection of 7no dwellings (outline) with access and layout to be determined. All other matters reserved. (re-submission of PK16/4890/O).,,,,,,,,2018-12-31,2018-12-31,rls:Small site,637972,PK17/1226/O
http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,South Gloucestershire Council,127,,Royal Archer Public House 5 Lees Hill Kingswood Bristol South Gloucestershire BS15 4TL,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?keyVal=OU461DOKIJS00&activeTab=summary,OSGB36,365361,174435,0.18,not owned by a public authority,yes,permissioned,full planning permission,2017-09-26,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?keyVal=OU461DOKIJS00&activeTab=summary,,7,"Erection of 6no. dwellings and 1no. self contained flat above garages with access, parking, landscaping and associated works. (amendment to previously approved scheme PK17/0080/F)",,,,,,,,2018-12-31,2018-12-31,rls:Small site,529005,PK17/3656/F
http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,South Gloucestershire Council,129,,11 Hortham Lane Almondsbury Bristol South Gloucestershire BS32 4JH,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?keyVal=O8E0OHOKLFK00&activeTab=summary,OSGB36,361732,184562,0.57,not owned by a public authority,yes,permissioned,outline planning permission,2017-06-27,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?keyVal=O8E0OHOKLFK00&activeTab=summary,,9,Demolition of existing buildings and erection of 9no self build dwellings (outline) with access to be determined. All other matters reserved.,,,,,,,,2018-12-31,2018-12-31,rls:Small site,563150,PT16/3579/O
http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,South Gloucestershire Council,130,,The Gloucester 83 Gloucester Road North Filton Bristol South Gloucestershire BS34 7PT,https://developments.southglos.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,OSGB36,360032,178734,0.07,not owned by a public authority,yes,permissioned,full planning permission,2017-06-21,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ONL1WSOKMDO00,,6,Change of use from Elderly Care Home (Class C2) to 6no. self contained apartments (Class C3) as defined by the Town and Country Planning (Use Classes) Order 1987 (as amended) with associated works.,,,,,,,,2018-12-31,2018-12-31,rls:Small site,507151,PT17/1424/F
http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,South Gloucestershire Council,131,,Severn Beach United Church Beach Avenue Severn Beach South Gloucestershire BS35 4PD,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?keyVal=OLVZACOKLD200&activeTab=summary,OSGB36,353972,185110,0.09,not owned by a public authority,yes,permissioned,full planning permission,2017-06-15,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?keyVal=OLVZACOKLD200&activeTab=summary,,5,Demolition of existing chapel to facilitate erection of 5no. dwellings with new access and associated works . (resubmission of planning application PT16/5229/F).,,,,,,,,2018-12-31,2018-12-31,rls:Small site,665947,PT17/0821/F
http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,South Gloucestershire Council,132,,Land At North Road Yate Bristol South Gloucestershire BS37 7LQ,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?keyVal=OD399XOKGBI00&activeTab=summary,OSGB36,369940,183606,1.25,not owned by a public authority,yes,permissioned,full planning permission,2017-05-26,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?keyVal=OD399XOKGBI00&activeTab=summary,,7,"Change of use of land from agricultural to 7no. plot Travelling Showpeople yard (Sui Generis, as defined in the Town and Country (Use Classes) Order 1987 as amended) with landscaping, access and associated works",,,,,,,,2018-12-31,2018-12-31,rls:Small site,578066,PK16/5067/F
http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,South Gloucestershire Council,134,,The Cherry Tree 128 West Street Oldland Common Bristol South Gloucestershire BS30 9QR,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?keyVal=OME015OK02R00&activeTab=summary,OSGB36,367298,171240,0.09,not owned by a public authority,yes,permissioned,full planning permission,2017-05-26,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?keyVal=OME015OK02R00&activeTab=summary,,8,Erection of 2 storey rear extension to facilitate conversion of existing public house to 8no apartments with associated works (amendment to previously approved sceheme PK16/0173/F),,,,,,,,2018-12-31,2018-12-31,rls:Small site,582225,PK17/0953/F
http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,South Gloucestershire Council,135,,Land At Cabot Court Gloucester Road North Filton Bristol South Gloucestershire BS7 0SH,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?keyVal=OLFE1YOKL3J00&activeTab=summary,OSGB36,359865,178263,0.11,not owned by a public authority,yes,permissioned,full planning permission,2017-05-08,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?keyVal=OLFE1YOKL3J00&activeTab=summary,,9,Erection of 9no. flats with parking and associated works.,,,,,,,,2018-12-31,2018-12-31,rls:Small site,651889,PT17/0685/F
http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,South Gloucestershire Council,137,,Amberley Lodge 4 Broad Lane Yate Bristol South Gloucestershire BS37 7LA,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OP4OPDOKFLS00,OSGB36,370864,183749,0.83,not owned by a public authority,yes,permissioned,full planning permission,2018-01-30,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OP4OPDOKFLS00,,26,"Demolition of existing agricultural buildings. Erection of 26 no new dwellings with garages, parking and associated works.",,,,,,,,2018-12-31,2018-12-31,rls:0209,589031,PK17/2020/F
http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,South Gloucestershire Council,138,,North Avon Magistrates Court Kennedy Way Yate Bristol South Gloucestershire BS37 4PY,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=P492BHOKGN300,OSGB36,371187,182396,0.75,not owned by a public authority,yes,pending decision,outline planning permission,,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=P492BHOKGN300,,45,"Erection of 45 no. dwellings (Outline) with access, layout and scale to be determined. All other matters reserved.",,,,,,,,2018-12-31,2018-12-31,rls:0224,591811,PK18/0799/O 
http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,South Gloucestershire Council,139,,The Shant Crown Road Kingswood Bristol South Gloucestershire BS15 1PR,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OS08M3OKHAS00,OSGB36,364831,174615,0.22,not owned by a public authority,yes,permissioned,outline planning permission,2018-09-21,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OS08M3OKHAS00,,10,Demolition of public house and erection of 10no. dwellings (Outline) with access to be determined. All other matters reserved.,,,,,,,Allowed at Appeal,2018-12-31,2018-12-31,rls:0225,518607,PK17/2957/O
