OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings, DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,AlternativeReferences,UPRN,PlanningAppNumber
http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,South Gloucestershire Council,33,,10 Algars Drive Iron Acton BS37 9UT,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NGZG7OOK7T000,OSGB36,368216,183159,0.15,not owned by a public authority,yes,permissioned,full planning permission,2015-03-10,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=details&keyVal=NGZG7OOK7T000,,6,Erection of 14 dwellings Figure shows remaining homes (Net) to be completed,,,,,,,,2016-06-30,2018-12-31,rls:0174h,577603,PK14/4994/F
http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,South Gloucestershire Council,34,,38 Nibley Lane Iron Acton BS37 9UP,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NGZG9FOK7T000,OSGB36,368324,183262,0.30,not owned by a public authority,yes,permissioned,full planning permission,2015-03-10,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=details&keyVal=NGZG9FOK7T000,,5,Demolition of existing dwellings and garages to facilitate erection of 13 dwellings Figure shows remaining homes (Net) to be completed,,,,,,,,2016-06-30,2018-12-31,rls:0174i,577566,PK14/4995/F
http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,South Gloucestershire Council,39,,Area H24 And LC3 Northfield Patchway BS34 5DJ,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OZXGRUOKLU400,OSGB36,359634,180539,0.46,not owned by a public authority,yes,permissioned,full planning permission,2014-07-01,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=N1PU68OK7T000,,29,"Erection of 4no. dwellings and a standalone 40 bed care home together with access, parking and associated works (amendment to previously approved scheme PT14/0760/F)",,,,,,,Previously PT14/0760/F,2016-06-30,2018-12-31,rls:0175,667277,PT17/5476/F
http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,South Gloucestershire Council,45,,Golden Valley Mill Bath Road Bitton BS30 6HJ,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NJK1RCOK7T000,OSGB36,368191,169722,7.42,not owned by a public authority,yes,permissioned,full planning permission,2016-10-18,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NJK1RCOK7T000,,113,Mixed use development on 7.4 hectares of land comprising up to 115 dwellings; ,Change of use of the Gatehouse to commercial use (Use Class B1); change of use of existing 'canteen' building to commercial and community uses (Use Classes B1/D1); engineering works to raise the raise the existing ground levels; associated landscaping and the retention of Ash House and Heather House in residential use (Use Class C3),,,,,,,2016-06-30,2018-12-31,rls:0128,506157,PK15/0532/F
http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,South Gloucestershire Council,46,,Former Filton Airfield Filton,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=ND0W86OK7T000,OSGB36,357241,180373,142.97,not owned by a public authority,yes,pending decision,outline planning permission,2018-03-01,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ND0W86OK7T000,,2675,Mixed use development including residential,"24ha of stand-alone employment land (comprising up to 12ha Use Class B1a and a minimum of 12ha Use Class B1b/c, B2 ) ; 120 Bed Hotel up to 3,800 sqm (Use Class C1); Rail Station (0.45ha Use Class Sui Generis); Education provision to include a Secondary School (8.31ha), 2 no. Primary Schools (total 5ha) and 2 no. Childrens Nurseries (total 0.8ha) (all Use Class D1); Community Centre incorporating Library, Built Sports facilities and Doctors surgery up to 3,400 sqm (Use Classes D1 & D2); Dental Surgery up to 800sqm; (Use Class D1); 70 Bed Extra Care Facility up to 12,500sqm (Use Class C2); Shops/Financial Services/Food and Drink facilities up to 4,787sqm (Use Classes A1, A2, A3, A4 and A5) - comprising Retail Supermarket up to 2,787sqm gross maximum (Use Class A1); Business Offices up to 500sqm (Use Class B1) together with; supporting infrastructure and facilities including demolition, ground works and remediation, highways, utilities, landscaping, sustainable urban drainage system, wildlife water basins and public open space.",,,,,,Resolution to grant permission subject to S106 28/11/17,2016-06-30,2018-12-31,rls:0134c,502499,PT14/3867/O
http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,South Gloucestershire Council,49,,Hayes Way Charlton Hayes Northfield Patchway BS34 5BZ,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NH1C99OK7T000,OSGB36,359634,180539,6.24,not owned by a public authority,yes,permissioned,outline planning permission,2018-03-29,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=NH1C99OK7T000,,120,Mixed use development on 6.24 hectares of land comprising up to 120 new dwellings ,"Up to 8000 sq m of office development (Use Class B1) and up to 400sqm of ancillary retail use (Use Classes A1, A2, A3, A4 and A5) together with supporting infrastructure and facilities, including new vehicular access, landscaping and services.",,,,,,Outline Application PT14/5028/O,2016-06-30,2018-12-31,rls:0169,667277,PT17/4963/RM
http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,South Gloucestershire Council,52,,Land at Lower Chapel Road Hanham,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=N07NYHOK7T000,OSGB36,364160,172430,0.12,not owned by a public authority,yes,permissioned,outline planning permission,2015-06-22,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=N07NYHOK7T000,,6,Erection of 6 dwellings,,,,,,,,2016-06-30,2018-12-31,rls:Small site,515903,PK14/0340/O
http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,South Gloucestershire Council,56,,The Old Bank 17 High Street Warmley BS15 4NE,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=L7DY1GOK7T000,OSGB36,366920,173584,0.04,not owned by a public authority,yes,permissioned,full planning permission,2007-03-19,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=L7DY1GOK7T000,,5,Erection of first and second floor extensions above existing building.  Erection of two and three storey rear extensions to facilitate conversion of offices to 5 flats ,,,,,,,Amends application PK06/3417/F,2016-06-30,2018-12-31,rls:Small site,545107,PK10/2153/F
http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,South Gloucestershire Council,61,,33 Deanery Road Kingswood BS15 9JB,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=N8PJ4LOK7T000,OSGB36,366625,173603,0.06,not owned by a public authority,yes,permissioned,full planning permission,2014-10-17,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=N8PJ4LOK7T000,,7,Erection of two storey building to provide 7 apartments,,,,,,,Permission lapsed,2016-06-30,2018-12-31,rls:Small site,544780, PK14/2752/F
http://opendatacommunities.org/id/unitary-authority/south-gloucestershire,South Gloucestershire Council,62,,Hill Crest Down Road Winterbourne BS36 1BN,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=MWIRFOOK7T000,OSGB36,365026,179784,1.10,not owned by a public authority,yes,permissioned,full planning permission,2015-06-12,https://developments.southglos.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=MWIRFOOK7T000,,6,Demolition of existing dwelling and the erection of 6 dwellings,,,,,,,,2016-06-30,2018-12-31,rls:Small site,538728,PT13/4286/F
