OrganisationURI,OrganisationLabel,SIteReference,PreviouslyPartOf,SiteNameAddress,SitePlanURL,CoordinateReferenceSystem,GeoX,GeoY,Easting,Northing,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,EndDate,EndReason
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/BAR/033,,"""Land Adjacent Holland Street and Paiges Lane,    Barnstaple EX31 1DP""",,ETRS89,-4.0618245521,51.0800133690,255672,133211,0.04,Not owned by a Public Authority,Yes,Not permissioned,,,,,5,"""DEMOLITION OF EXISTING STORE AND COTTAGE AND ERECTION OF SIX RESIDENTIAL APARTMENTS (AMENDED DESCRIPTION & PLANS)""",,,5,6,,,"""Gross 6 residential units net 5. Planning permission lapsed in August 2019 and there is no application to renew. Availability is now uncertain.""",2017-08-02,2019-12-03,18-Aug-19,Availability is now uncertain.
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/SMO/034,,"""Lamaton Park,    South Molton EX36 4BE""",,ETRS89,-3.8299012204,51.0140783951,271734,125450,0.41,Not owned by a Public Authority,Yes,Permissioned,Full planning permission,2017-04-28,,,21,"""DEMOLITION OF LAMATON PARK AND REPLACE WITH 33 SELF CONTAINED FLATS & COMMUNAL FACILITIES (AMENDED PLANS) (FURTHER AMENDED PLANS, AMENDED NUMBERS & AMENDED DESIGN BLOCK D)""",,,21,33,,,"""Gross 33 residential units net 12 (21 units are being demolished). Site is under construction.""",2017-08-02,2019-12-03,31-Mar-19,Site is under construction with a local housebuilder.
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/SMO/035,,"""Old Coaching Inn, Queen Street   South Molton EX363BJ""",,ETRS89,-3.8360840138,51.0175697242,271310,125849,0.28,Not owned by a Public Authority,Yes,Permissioned,Full planning permission,2016-09-30,,,7,"""ERECTION OF 7 DWELLINGS (AMENDED PLANS).""",,,7,7,,,"""Site is under construction with a local housebuilder.""",2017-08-02,2019-12-03,01-Apr-19,Site is under construction with a local housebuilder.
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/SMO/036,,"""Quince Honey Farm, North Road   South Molton EX36 3 AZ""",https://www.northdevon.gov.uk/media/379764/bfl-smo-036-quince-honey-farm-north-road-south-molton-1-1250.pdf,ETRS89,-3.8384843385,51.0209404754,271151,126228,1.51,Not owned by a Public Authority,Yes,Permissioned,Reserved matters approval,2019-09-05,,,14,"""RESERVED MATTERS APPLICATION FOR ERECTION OF 14 DWELLINGS (OUTLINE PLANNING PERMISSION 61443)""",,,14,29,,,"""Outline planning permission (61443) for 14 dwellings on part of the site with RM now approved (65936). A further proposal under full application (70614) for the renovation & restoration of the former South Molton Workhouse to form 10x new dwellings, 4x New Build 3 bed houses & 1x 2 bedroom Bungalow is pending a decision (Phase II).""",2017-08-02,2019-12-03,,
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/SWI/037,,"""Tannery Site (SWM1a),    Swimbridge EX32 0PL""",https://www.northdevon.gov.uk/media/379767/bfl-swi-037-former-tannery-site-swimbridge-1-1250.pdf,ETRS89,-3.9711070562,51.0521613354,261943,129940,0.56,Not owned by a Public Authority,Yes,Permissioned,Outline planning permission,2016-12-05,,,5,"""OUTLINE PLANNING APPLICATION FOR ERECTION OF FIVE DWELLINGS (INCLUDING
ACCESS, LAYOUT & SCALE) (AMENDED PLANS)""",,,5,5,,,"""A new undetermined planning application (70869) has been received to renew the previous planning permission""",2017-08-02,2019-12-03,,
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/MOR/038,,"""Former Narracott Hotel, Beach Road Woolacombe  Ilfracombe EX34 7BS""",,ETRS89,-4.2054178896,51.1730564825,245925,143848,0.7,Not owned by a Public Authority,Yes,Permissioned,Full planning permission,2016-03-22,,,57,"""REMOVAL OF CONDITION 3 (OCCUPANCY) ATTACHED TO PLANNING PERMISSION 57953 TO ENABLE THE APARTMENTS TO BE OCCUPIED AS RESIDENTIAL APARTMENTS (CLASS C3) (AMENDED DESCRIPTION)""",,,57,57,,,"""62267: ERECTION OF ONE ADDITIONAL APARTMENT (56TH). Approved 23/01/17

65420: ERECTION OF ONE ADDITIONAL APARTMENT (57TH). Approved 01/10/18.""",2017-08-02,2019-12-03,23-Jul-19,Site is built.
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/ILF/039,,"""Berkeley Hotel, Wilder Road   ILFRACOMBE EX34 9AF""",,ETRS89,-4.1252038835,51.2088880722,251647,147667,0.11,Not owned by a Public Authority,Yes,Permissioned,Full planning permission,2017-03-02,,,11,"""CONVERSION OF FORMER HOTEL TO RESIDENTIAL USE (11 FLATS).""",,,11,11,,,"""Site is currently under construction with a local developer.

64100 - VARIATION OF CONDITION 2 (APPROVED PLANS) ATTACHED TO PLANNING PERMISSION 62254 TO ALLOW AMENDED INTERNAL LAYOUT. Approved 21/12/17

42969 - CONVERSION OF HOTEL TO FORM 11 FLATS. Approved 15/06/07

42972 - LISTED BUILDING APPLICATION FOR CONVERSION OF HOTEL TO FORM 11 FLATS. Approved 15/06/17

51147 - Conversion of hotel to form 11 self contained apartments. Refused 15-6-12

51148 - LBA Conversion of hotel to form 11 self contained apartments Refused 15-6-12

58381 : CONVERSION, EXTENSION & ALTERATIONS TO HOTEL TO FORM 8 NO SELF CONTAINED APARTMENTS. Withdrawn 05/02/15

58382 : LISTED BUILDING APPLICATION CONVERSION, EXTENSION & ALTERATIONS TO HOTEL TO FORM 8 NO SELF CONTAINED APARTMENTS. Withdrawn 05/02/15""",2017-08-02,2019-12-03,31-Mar-19,Site is currently under construction with a local developer.
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/ILF/040,,"""Southcliffe Hotel, Torrs Park   ILFRACOMBE EX34 8AZ""",https://www.northdevon.gov.uk/media/379757/bfl-ilf-040-southcliffe-torrs-park-ilfracombe-1-1250.pdf,ETRS89,-4.1309244004,51.2062658159,251239,147387,0.12,Not owned by a Public Authority,Yes,Permissioned,Full planning permission,2018-05-14,,,8,"""ERECTION OF EIGHT APARTMENTS TO INCLUDE ASSOCIATED WORKS (ADDITIONAL INFORMATION)""",,,8,10,,,"""63053 : ERECTION OF EIGHT APARTMENTS TO INCLUDE ASSOCIATED WORKS (ADDITIONAL INFORMATION). Approved 14/05/18

56334 - Partial demolition of former hotel and erection of 10 apartments. Withdrawn""",2017-08-02,2019-12-03,,
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/ILF/041,,"""Former Glendower Hotel, (now The Strand) Wilder Road  ILFRACOMBE EX34 9AW""",,ETRS89,-4.1217627207,51.2097150000,251890,147752,0.03,Not owned by a Public Authority,,Permissioned,Full planning permission,2016-05-25,,,5,"""DEMOLITION OF EXISTING PROPERTY & ERECTION OF FIVE APARTMENTS (AMENDED PLANS)""",,,5,5,,,"""Site is under construction with a local developer.

60448 : DEMOLITION OF EXISTING PROPERTY & ERECTION OF FIVE APARTMENTS (AMENDED PLANS). Approved 25/05/16

62885: APPROVAL OF DETAILS IN RESPECT OF DISCHARGE OF CONDITION 3 (MATERIALS) ATTACHED TO PLANNING PERMISSION 60448. Approved 12/05/17.

42219 - CONVERSION OF HOTEL TO FORM 1 DWELLING

42652 - CONSERVATION AREA APPLICATION FOR DEMOLITION OF HOTEL - Withdrawn

42653 - DEMOLITION OF HOTEL & ERECTION OF 13 RESIDENTIAL APARTMENTS - Withdrawn

43458 - DEMOLITION OF HOTEL & ERECTION OF 12 FLATS. Approved 01/03/07

43459 - CONSERVATION AREA APPLICATION FOR DEMOLITION OF HOTEL. Approved 01/03/07

49891 - EXTENSION OF TIME LIMIT FOR IMPLEMENTATION OF PLANNING PERMISSION 43458 - DEMOLITION OF HOTEL & ERECTION OF 12 FLATS - Not Determined""",2017-08-02,2019-12-03,31-Mar-19,Site is under construction with a local developer.
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/SMO/042,,"""North Devon Tyre Depot, 107 East Street   SOUTH MOLTON EX36 3DB""",,ETRS89,-3.8305403163,51.0179985170,271700,125887,0.43,Not owned by a Public Authority,,Not permissioned,,,,,14,,,,14,28,,,"""Availability for housing is now uncertain although promoted through the SHLAA process.""",2017-08-02,2019-12-03,03-Dec-19,Availability for housing is now uncertain although promoted through the SHLAA process.
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/BAR/043,,"""Anchorwood Bank,    BARNSTAPLE EX31 2BD""",,ETRS89,-4.0650551973,51.0775370604,255438,132942,10.75,Not owned by a Public Authority,Yes,Permissioned,Full planning permission,2016-08-05,,,172,"""ERECTION OF 172 RESIDENTIAL DWELLINGS WITH ACCESS, LANDSCAPING &
ASSOCIATED WORKS""","A RETAIL FOOD STORE (USE CLASS A1) OF 6,820 SQM GROSS WITH A PETROL FILLING STATION & ACCESS; HOTEL OF UP TO 60 BEDS (USE CLASS C1); EMPLOYMENT (USE CLASS B1) SPACE OF UP TO 4,000 SQM GROSS FLOORSPACE; COMMUNITY FACILITIES (USE CLASS D1) OF UP TO 200 SQM; CONVENIENCE RETAIL/SERVICE (USE CLASS A1 & A2) OF UP TO 1,000 SQM; RESTAURANTS/CAFES (USE CLASS A3) OF UP TO 1,300 SQM; PUBLIC HOUSE (USE CLASS A4) OF UP TO 400 SQM; HOT FOOD TAKEAWAY (USE CLASS A5) OF UP TO 400 SQM; LEISURE USES (USE CLASS D2) OF UP TO 1,000 SQM.",,172,172,,,"""Retail food store, petrol filling station and commercial units are built. The housing element of the scheme is expected to commence in November 2017.

62882 : APPLICATION FOR A NON-MATERIAL AMENDMENT TO PLANNING PERMISSION 60370 IN RESPECT OF MATERIALS & LANDSCAPING. Approved 06/04/17

60711 : ERECTION OF SIX RESIDENTIAL DWELLINGS WITH ACCESS, LANDSCAPING & ASSOCIATED WORKS. Approved 05/08/16

60406 : RESERVED MATTERS APPLICATION FOR THE ERECTION OF 166 RESIDENTIAL UNITS FOLLOWING OUTLINE APPROVAL 55809. Approved 05/08/16

61018 : APPROVAL OF DETAILS IN RESPECT OF DISCHARGE OF CONDITION 7 (CONSTRUCTION TRAFFIC MANAGEMENT), 8 (CONSTRUCTION ENVIRONMENT MANAGEMENT PLAN), 10 (CONSTRUCTION NOISE) ATTACHED TO PLANNING PERMISSION 59837 (SUPERMARKET PHASE OF DEVELOPMENT). Approved 22/04/16

60757 : NON MATERIAL AMENDMENT TO PLANNING PERMISSION 59837 IN RESPECT OF DESIGN & LAYOUT CHANGES. Approved 29/02/16

59848 : APPROVAL OF DETAILS IN RESPECT OF DISCHARGE OF  CONDITIONS 22 (EXTERNAL PLANT), 23 (ROOF MATERIALS), 24 (CAR PARK MANAGEMENT), 25 (CAR PARK LIGHTING SCHEME, 27 (WASTE MANAGEMENT PLAN), & 29 (ENERGY REQUIREMENTS) ATTACHED TO PLANNING PERMISSION 59837 (AMENDED DESCRIPTION). Approved 23/12/15

55809 : HYBRID APPLICATION FOR FULL: (A) APPLICATION FOR A RETAIL FOOD STORE (USE CLASS A1) OF 6,820 SQM GROSS WITH A PETROL FILLING STATION & ACCESS; (B) OUTLINE APPLICATION FOR UP TO 350 DWELLINGS (USE CLASS C3); HOTEL OF UP TO 60 BEDS (USE CLASS C1); EMPLOYMENT (USE CLASS B1) SPACE OF UP TO 4,000 SQM GROSS FLOORSPACE; COMMUNITY FACILITIES (USE CLASS D1) OF UP TO 200 SQM; CONVENIENCE RETAIL/SERVICE (USE CLASS A1 & A2) OF UP TO 1,000 SQM; RESTAURANTS/CAFES (USE CLASS A3) OF UP TO 1,300 SQM; PUBLIC HOUSE (USE CLASS A4) OF UP TO 400 SQM; HOT FOOD TAKEAWAY (USE CLASS A5) OF UP TO 400 SQM; LEISURE USES (USE CLASS D2) OF UP TO 1,000 SQM; TOGETHER WITH; (C) ALL THE ASSOCIATED INFRASTRUCTURE INCLUDING REMOVAL OF CONTAMINATION, INCREASING GROUND LEVELS, ROADS, FOOTPATHS, CYCLEWAYS, DRAINAGE (INCLUDING ATTENUATION WORKS), FLOOD DEFENCE WORKS, LANDSCAPING, NATURE CONSERVATION, PUBLIC OPEN SPACE, UTILITIES & VEHICLE PARKING ALSO INCLUDING DEMOLITION OF BUILDINGS WITH THE EXCEPTION OF THE OLIVER BUILDING. Approved 14/03/14""",2017-08-02,2019-12-03,31-Mar-18,Site is currently under construction with a local housebuilder.
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/BAR/044,,"""Telephone Repeater Station, Rackfield   BARNSTAPLE EX31 1RL""",https://www.northdevon.gov.uk/media/379740/bfl-bar-044-telephone-repeater-station-rackfield-court-barnstaple-1-750.pdf,ETRS89,-4.0596564322,51.0835950460,255835,133605,0.23,Not owned by a Public Authority,,Not permissioned,,,,,10,,,,10,30,,,"""Telerealtrillium would estimate that this site will be decommissioned within the next 5 years and adding planning and any development timelines, any housing delivery (subject to purchaser?s strategy) would likely be from 2026 onwards.""",2017-08-02,2019-12-03,,
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/BAR/047,,"""Queen Street/Bear Street (BAR6a),    Barnstaple EX32 8XX""",https://www.northdevon.gov.uk/media/379741/bfl-bar-047-queen-street-bear-street-barnstaple-1-1500.pdf,ETRS89,-4.0559127033,51.0799916338,256086,133197,3.2,Mixed ownership,,Not permissioned,,,,,20,,Town centre expansion including a mix of retail and other commercial uses.,,20,60,,,"""The site is allocated within the adopted Local Plan (BAR11) for a mix of commercial uses which could aso facilitate an element of residential. The use and proposed number of residential uses on the upper floors, probably in the form of flats will depend on more detailed design work and potential height of any new building.""",2017-08-02,2019-12-03,,
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/ILF/049,,"""Golden Coast Amusements, Wilder Road   ILFRACOMBE EX34 9AE""",,ETRS89,-4.1244223782,51.2096397300,251704,147749,0.1,Not owned by a Public Authority,,Not permissioned,,,,,23,,,,23,23,,,"""35991 - DEMOLITION OF REDUNDANT ARCADE & ERECTION OF 23 FLATS & 2 SHOPS (AMENDED PLANS). Lapsed Planning Permission

Site is within a floodzone and existing culvert will need to be diverted.""",2017-08-02,2019-12-03,03-Dec-19,The site lies within flood zone 2 and 3. The landowner is not actively pursuing a residential led scheme due to viability issues and flooding concerns. Recent planning enquiries has involved proposals for a new hotel. Availability is now uncertain.
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/ILF/050,,"""Garages at Northfield Road,    ILFRACOMBE EX34 8AL""",,ETRS89,-4.1254693055,51.2084335791,251627,147617,,Not owned by a Public Authority,,Not permissioned,,,,,1,,,,1,5,,,"""Planning permission has lapsed and availability is now uncertain.""",2017-04-20,2019-12-03,31-Mar-18,Planning permission has lapsed and availability is now uncertain.
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/BTA/051,,"""Workshops, Village Street Bishops Tawton  Barnstaple EX32 0DS""",https://www.northdevon.gov.uk/media/379752/bfl-bta-051-workshops-village-street-bishops-tawton-1-750.pdf,ETRS89,-4.0453917694,51.0508934297,256733,129941,0.1,Not owned by a Public Authority,,Permissioned,Full planning permission,2019-02-14,,,5,"""CHANGE OF USE & ALTERATIONS OF THORNCLIFFE WORKS TO FORM  3 DWELLINGS, ALTERATIONS TO THE READING ROOM TO FORM 1 DWELLING TOGETHER WITH ERECTION OF 1 DWELLING (AMENDED PLANS)""",,,5,6,,,"""Proposed for residential in the emerging Local Plan (BTA01)

65757: CHANGE OF USE & ALTERATIONS OF THORNCLIFFE WORKS TO FORM  3 DWELLINGS, ALTERATIONS TO THE READING ROOM TO FORM 1 DWELLING TOGETHER WITH ERECTION OF 1 DWELLING (AMENDED PLANS). Approved 14/02/19""",2017-08-02,2019-12-03,,
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/BRA/052,,"""Wildae Restorations, Knowle Industrial Estate Ilfracombe Road Knowle Braunton EX33 2NA""",,ETRS89,-4.1568304892,51.1270075281,249171,138627,0.9,Not owned by a Public Authority,,Not permissioned,,,,,10,,,,10,18,,,"""Availability for housing is uncertain although promoted through the SHLAA process.""",2017-08-02,2019-12-03,03-Dec-19,Availability for housing is uncertain although promoted through the SHLAA process.
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/ILF/053,,"""Former Wellington Laundry, Regents Place   ILFRACOMBE EX34 9AA""",,ETRS89,-4.1238108605,51.2087964677,251744,147654,0.08,Not owned by a Public Authority,,Not permissioned,,,,,3,,,,3,5,,,"""49797 : DEMOLITION OF WAREHOUSE & ERECTION OF 5 DWELLINGS. Refused 07/04/10""",2017-08-02,2019-12-03,03-Dec-19,Availability for housing is uncertain although promoted through the SHLAA process.
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/BAR/055,,"""Land at North Devon Hospital, Raleigh Park North Road  BARNSTAPLE EX31 4HX""",,ETRS89,-4.0515745902,51.0932703189,256431,134665,,Not owned by a Public Authority,,Not permissioned,,,,,231,,,,231,231,,,"""Planning permission has lapsed and availability is now uncertain.""",2012-12-31,2019-12-03,31-Mar-16,Planning permission has lapsed and availability is now uncertain.
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/BTA/056,,"""Bishops Tawton Service Station,    BISHOPS TAWTON EX32 0DU""",,ETRS89,-4.0445616982,51.0492171768,256786,129753,,Not owned by a Public Authority,,Not permissioned,,,,,8,,,,8,8,,,"""Planning permission has lapsed and availability is now uncertain.""",2007-11-21,2019-12-03,31-Mar-10,Planning permission has lapsed and availability is now uncertain.
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/INS/057,,"""Mollands Garage, Quay Lane   INSTOW EX39 4JR""",https://www.northdevon.gov.uk/media/379761/bfl-ins-057-mollands-garage-instow-1-750.pdf,ETRS89,-4.1803666283,51.0519772250,247277,130333,0.18,Not owned by a Public Authority,,Not permissioned,,,,,7,,,,7,7,,,"""Lapsed Planning Permission. Site is allocated for housing in the adopted North Devon & Torridge Local Plan.

41172 - OUTLINE APPLICATION FOR ERECTION OF 7 DWELLINGS TOGETHER WITH IMPROVED ACCESS & VISIBILITY WORKS ON TO QUAY LANE approved 3/10/08. Lapsed permission

52220 - EXTENSION OF TIME LIMIT FOR IMPLEMENTATION OF PLANNING APPLICATION 41172 - Approved 6/6/13. Lapsed permission

52222 : EXTENSION OF TIME LIMIT FOR IMPLEMENTATION OF PLANNING PERMISSION 41173 FOR CONSERVATION AREA APPLICATION FOR DEMOLITION OF NON-LISTED BUILDINGS IN CONNECTION WITH ERECTION OF 7 DWELLINGS TOGETHER WITH IMPROVED ACCESS & VISIBILITY WORKS ON TO QUAY LANE. Approved 13/06/13. Lapsed permission""",2017-08-02,2019-12-03,,
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/INS/058,,"""Sands Residential Care Home, 4-5 Bath Terrace  Instow Bideford EX39 4JJ""",https://www.northdevon.gov.uk/media/379762/bfl-ins-058-former-sands-residential-home-instow-1-750.pdf,ETRS89,-4.1807988567,51.0541906119,247254,130580,0.14,Not owned by a Public Authority,,Permissioned,Full planning permission,2019-06-20,,,3,"""EXTENSION, ALTERATIONS (INCLUDING DEMOLITION) & CONVERSION OF BUILDING TO FORM TWO DWELLINGS TOGETHER WITH ERECTION OF ONE DWELLING IN REAR GARDEN (AMENDED PLANS)""",,,3,6,,,"""49762 - CONVERSION OF FORMER CARE HOME TO FORM 12 APARTMENTS. Refused 22/04/16

66260 - EXTENSION, ALTERATIONS (INCLUDING DEMOLITION) & CONVERSION OF BUILDING TO FORM TWO DWELLINGS TOGETHER WITH ERECTION OF ONE DWELLING IN REAR GARDEN (AMENDED PLANS). Approved 20/6/19

Site is allocated for about 6 dwellings within the adopted Local Plan.""",2017-08-02,2019-12-03,,
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/ILF/060,,"""Lloyds Bank, 109 High Street   Ilfracombe EX34 9ET""",,ETRS89,-4.1241111865,51.2078557013,251720,147550,,Not owned by a Public Authority,,Not permissioned,,,,,6,,,,6,6,,,"""Planning permission has lapsed and availability is now uncertain.""",2010-07-08,2019-12-03,31-Mar-14,Planning permission has lapsed and availability is now uncertain.
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/BAR/062,,"""Units 1-8 Castle Park Road, Whiddon Valley   Barnstaple EX32 8PA""",https://www.northdevon.gov.uk/media/379742/bfl-bar-062-units-1-8-castle-park-road-whiddon-valley-barnstaple-1-2500.pdf,ETRS89,-4.0225993379,51.0723710202,258396,132285,0.71,Not owned by a Public Authority,,Not permissioned,,,,,10,,Alternative secondary road access and landscaping to serve Westacott urban extension (BAR01 - upto 950 dwellings),,10,17,,,"""The site is allocated within the emerging North Devon & Torridge Local Plan to deliver an alternative secondary vehicular access in to the adjoining Westacott urban extension (BAR01) for approximately 950 dwellings, 5 ha of land for economic uses and community facilities. If this site is required for such a route then once an adoptable standard highway, including appropriate landscaping has been delivered and the existing business has been re-located then residential uses could be delivered on any land that remains. Until such time as a potential secondary access route has been agreed through to BAR01 then housing on this site would only be acceptable after this time.""",2017-09-01,2019-12-03,,
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/ILF/063,,"""Chambercombe Bakery (ILF1a), Chambercombe Road   Ilfracombe EX34 9PH""",https://www.northdevon.gov.uk/media/379758/bfl-ilf-063-former-chambercombe-bakery-ilfracombe-1-750.pdf,ETRS89,-4.1045066131,51.2049366064,253080,147186,0.45,Not owned by a Public Authority,,Not permissioned,,,,,20,,,,20,25,,,"""Site is currently occupied as small scale employment although the long term vision is to develop the site for housing. Allocated for housing in the adopted North Devon & Torridge Local Plan Local Plan.

40002 	Outline Application in respect of demolition of existing buildings & erection of 16 flats & 15 houses Refused 04	/07/05

40737 	Outline Application in respect of demolition of existing buildings & erection of 16 flats & 15 houses together with surface & underground garaging, landscaping & associated works Withdrawn 03/03/06

38946 	Outline Application in respect of demolition of existing buildings & erection of 16 flats & 16 houses together with surface & underground garaging & associated works Refused 03/02/05

32555 	Outline Application in respect of demolition of existing building and erection of 19no. flats and 16no. houses including affordable housing together with surface and underground garaging, landscaping and associated works Refused 04/10/04""",2017-08-02,2019-12-03,,
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/CMA/064,,"""Rows Garage (CBM2a), Victoria Street   Combe Martin EX34 0LU""",,ETRS89,-4.0207460304,51.1968452059,258906,146122,,Not owned by a Public Authority,,Not permissioned,,,,,11,,,,11,11,,,"""Planning permission has lapsed and availability is now uncertain.""",2012-12-11,2019-12-03,31-Mar-16,Planning permission has lapsed and availability is now uncertain.
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/BAR/065,,"""Gaydon Street Motors and Dairy to rear, Gaydon Street   Barnstaple EX32 7DN""",https://www.northdevon.gov.uk/media/379743/bfl-bar-065-gaydon-street-motors-dairy-to-rear-barnstaple-1-750.pdf,ETRS89,-4.0552279658,51.0819372808,256140,133412,,Mixed ownership,,Not permissioned,,,,,8,,,,8,15,,,"""Availability is uncertain with regard to Gaydon Street Motors along Alexandra Road although the dairy to the rear is owned by NDC and the previous lease with the tenant has expired. NDC are actively exploring housing proposals.""",2019-10-08,2019-12-03,,
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/ILF/066,,"""Montebello Hotel, Fore Street   Ilfracombe EX34 9DJ""",https://www.northdevon.gov.uk/media/379759/bfl-ilf-066-former-montebello-hotel-fore-street-ilfracombe-1-750.pdf,ETRS89,-4.1196227439,51.2092591749,252038,147697,0.06,Not owned by a Public Authority,,Not permissioned,,,,,20,"""Flats on upper floors""",Commercial uses on the ground floor,,20,25,,,"""Allocated for housing in the adopted North Devon & Torridge Local Plan.""",2017-08-02,2019-12-03,,
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/BAR/067,,"""Old Laundry Works, Lower Raleigh Road   BARNSTAPLE EX31 4HY""",https://www.northdevon.gov.uk/media/379744/bfl-bar-067-old-laundry-works-lower-raleigh-road-barnstaple-1-750.pdf,ETRS89,-4.0520990486,51.0886654406,256380,134154,0.5,Not owned by a Public Authority,,Not permissioned,,,,,6,,,,6,12,,,"""Allocated for housing in the adopted North Devon & Torridge Local Plan.

52590 : Outline consent for residential development of 12 dwellings. Approved 16/07/13 (Lapsed permission).""",2017-08-02,2019-12-03,,
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/SMO/068,,"""Former Tannery Site & Land Adjoining, 77 East Street   South Molton EX36 3DQ""",https://www.northdevon.gov.uk/media/379765/bfl-smo-068-former-tannery-site-77-east-street-south-molton-1-1250.pdf,ETRS89,-3.8268595341,51.0175795114,271957,125834,0.51,Not owned by a Public Authority,,Pending Decision,,,,,6,"""Conversion of existing buildings to create 14 dwellings together with erection of 7 new dwellings & associated works""",,,6,14,,,"""Allocated for housing in the adopted North Devon & Torridge Local Plan.

Due to the current access constraints, conservation area and listing status of no. 77 East Street, it is considered that a conversion of the existing buildings is the most appropriate form of development for this site. More detailed design work will establish the overall level of development that is likely to be acceptable.

70262 : Conversion of existing buildings to create 14 dwellings together with erection of 7 new dwellings & associated works. Pending Approval""",2017-08-02,2019-12-03,,
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/BAR/069,,"""Former Lace Works, Derby Road   Barnstaple EX32 7HA""",https://www.northdevon.gov.uk/media/379745/bfl-bar-069-former-derby-lace-works-derby-road-barnstaple-1-1250.pdf,ETRS89,-4.0551341188,51.0840074335,256153,133642,1.01,Owned by a Public Authority,,Not permissioned,,,,,50,,,,50,75,,,"""Site is in close proximity to Barnstaple town centre. Development opportunities could include conversion of some of the more traditional buildings, including the Grade II listed building plus an element of demolition and rebuild of the more modern industrial buildings. Avoid development within the flood zone.""",2017-08-02,2019-12-03,,
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/BTA/070,,"""Land at Sanibel & Point House, New Road Bishops Tawton  Barnstaple EX32 0EN""",,ETRS89,-4.0436105150,51.0473811526,256847,129547,0.16,Not owned by a Public Authority,,Not permissioned,,,,,0,,,,0,0,,,"""The site is not well related to the built up area of Bishops Tawton, adjacent to the AGLV. The site, which for the brownfield land register only includes land at Point House is considered to be within the countryside. Therefore, the site is not considered suitable as it does not accord with the housing distribution strategy in the development plan.""",2017-09-14,2019-12-03,31-Aug-17,"The submitted site is below threshold as set out within Reg 4 (1a - the land has an area of at least 0.25 ha or is capable of supporting at least 5 dwellings) of the  Town and Country Planning (Brownfield Land Register) Regulations 2017. Also, the site is not well related to the built up area of Bishops Tawton and considered to be within the countryside. Therefore, the site is not considered suitable as it does not accord with the housing distribution strategy in the development plan."
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/ASH/072,,"""Wyevale Garden Centre, Strand Lane Ashford  Barnstaple EX31 4BW""",,ETRS89,-4.1050175284,51.0945502013,252693,134913,1.9,Not owned by a Public Authority,,Not permissioned,,,,,0,,,,0,0,,,"""Site is within the countryside, not well related to a recognised settlement in terms of housing distribution strategy in the development plan so developoment is not achievable. Also, garden centre has been recently sold to St. Johns Garden Centre so availability is now uncertain.""",2017-09-18,2019-12-03,29-Oct-18,"Site is within the countryside, not well related to a recognised settlement in terms of housing distribution strategy in the development plan so developoment is not achievable. Also, garden centre has been recently sold and availability is now uncertain."
