OrganisationURI,OrganisationLabel,SIteReference,PreviouslyPartOf,SiteNameAddress,SitePlanURL,CoordinateReferenceSystem,GeoX,GeoY,Easting,Northing,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,EndDate,EndReason
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/BAR/011,,"""Brunswick Wharf, North Walk   BARNSTAPLE EX31 1JE""",,ETRS89,-4.0626454114,51.0824181329,255622,133480,0.11,Not owned by a Public Authority,Yes,Permissioned,Full planning permission,2016-03-16,,,12,"""VARIATION OF CONDITION 2 (APPROVED PLANS) ATTACHED TO PLANNING PERMISSION 57328 TO ALLOW AMENDED FLOOR LEVELS & ELEVATION TREATMENT.""",,,12,12,,,"""Site is completed in HLA 2017/2018.""",2017-08-02,2019-12-03,31-Mar-18,Built
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/GEO/012,,"""Bay View Farm, Croyde Road Croyde  Braunton EX33 1PN""",https://www.northdevon.gov.uk/media/379754/bfl-geo-012-bay-view-caravan-park-croyde-1-750.pdf,ETRS89,-4.2266187220,51.1269849367,244288,138770,0.25,Not owned by a Public Authority,,Not permissioned,,,,,3,,,,3,6,,,"""Car parking / reception area and traditional stone barn attached to existing camping and caravan site.""",2017-08-02,2019-12-03,,
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/EAN/013,,"""Former Blackerton Care Village, East Anstey   Tiverton EX16 9JT""",,ETRS89,-3.6282528331,51.0074677466,285862,124383,2.65,Not owned by a Public Authority,Yes,Permissioned,Reserved matters approval,2014-09-30,,,9,"""55662 : HYBRID APPLICATION: (1) OUTLINE PLANNING PERMISSION FOR THE ERECTION OF 9 AFFORDABLE HOMES (ACCESS TO BE APPROVED; ALL OTHER MATTERS RESERVED); (2) FULL PLANNING PERMISSION FOR THE CONVERSION OF RESIDENTS / STAFF ACCOMMODATION TO 9 OPEN MARKET DWELLINGS & THE ERECTION OF 4 OPEN MARKET DWELLINGS WITH ASSOCIATED ACCESS, PARKING, RECREATION & AMENITY AREAS.""",,,9,9,,,"""Brownfield element of the proposed development has been built in HLA 2016/2017.

55662 : HYBRID APPLICATION: (1) OUTLINE PLANNING PERMISSION FOR THE ERECTION OF 9 AFFORDABLE HOMES (ACCESS TO BE APPROVED; ALL OTHER MATTERS RESERVED); (2) FULL PLANNING PERMISSION FOR THE CONVERSION OF RESIDENTS / STAFF ACCOMMODATION TO 9 OPEN MARKET DWELLINGS & THE ERECTION OF 4 OPEN MARKET DWELLINGS WITH ASSOCIATED ACCESS, PARKING, RECREATION & AMENITY AREAS. Approved 13/01/14""",2017-08-02,2019-12-03,31-Mar-17,Built
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/BAR/014,,"""Bryan House, 25 Pilton Street   Barnstaple EX31 1PJ""",,ETRS89,-4.0622766088,51.0869663588,255662,133985,,Not owned by a Public Authority,Yes,Permissioned,Full planning permission,2013-07-17,,,5,"""CHANGE OF USE FROM RESIDENTIAL INSTITUTION (CLASS C2) TO 5 RESIDENTIAL UNITS""",,,5,5,,,"""Site built in HLA 2017/2018.""",,2019-12-03,31-Mar-18,Built
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/BAR/015,,"""Former Glove Factory, Ladywell Pilton  Barnstaple EX31 1QS""",,ETRS89,-4.0633319349,51.0885395771,255593,134162,0.09,Not owned by a Public Authority,Yes,Permissioned,Full planning permission,2015-06-07,,,9,"""APPLICATION FOR A NON-MATERIAL AMENDMENT TO PLANNING PERMISSION 53428 IN RESPECT OF REDUCTION OF UNITS FROM 11 TO 9""",,,9,9,,,"""Site has been completed in HLA 2017/2018.""",2017-08-02,2019-12-03,31-Mar-18,Built
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/MOR/016,,"""Europa Park, Beach Road Woolacombe  Ilfracombe EX34 7AN""",,ETRS89,-4.1833842550,51.1718152977,247461,143664,0.83,Not owned by a Public Authority,,Not permissioned,,,,,10,,,,10,10,,,"""Site is not considered suitable as it does not accord with the housing distribution strategy in the development plan.""",2017-08-02,2019-12-03,29-Oct-18,Site is not considered suitable as it does not accord with the housing distribution strategy in the development plan.
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/GEO/017,,"""Fairleigh, Crowborough Road Georgeham  Braunton EX33 1JZ""",https://www.northdevon.gov.uk/media/379755/bfl-geo-017-fairleigh-crowborough-road-georgeham-1-1250.pdf,ETRS89,-5.9328850215,51.0874951222,124688,139380,0.37,Not owned by a Public Authority,,Permissioned,Full planning permission,2017-04-19,,,8,"""DEMOLITION OF EXISTING BUILDINGS & ERECTION OF 8 DWELLINGS TOGETHER WITH THE ERECTION OF 2 ADDITIONAL DWELLINGS (GROSS 10 NET 8)""",,,8,10,,,"""Gross 10 residential units net 8.

63390 : ERECTION OF TWO DWELLINGS (ADDITIONAL TO 8 APPROVED DWELLING UNDER PLANNING PERMISSION 59996). Approved subject to s106.""",2017-08-02,2019-12-03,,
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/BAR/018,,"""The Tile Centre, 113 Boutport Street   Barnstaple EX31 1TD""",https://www.northdevon.gov.uk/media/379738/bfl-bar-018-113-boutport-street-barnstaple-1-750.pdf,ETRS89,-4.0589737839,51.0817274370,255877,133396,0.03,Not owned by a Public Authority,Yes,Permissioned,Full planning permission,2018-11-06,,,6,"""ALTERATIONS TO & CONVERSION OF BUILDING TO FORM 6 FLATS TO INCLUDE SEVERAL MINOR AMENDMENTS FROM THE ORIGINAL APPROVAL (61963)""",,,6,6,,,,2017-08-02,2019-12-03,,
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/MOR/019,,"""Land adjacent Woolacombe Station Road, Mortehoe   Ilfracombe EX34 7HN""",,ETRS89,-4.1701149442,51.1737891358,248395,143856,0.21,Not owned by a Public Authority,Yes,Permissioned,Reserved matters approval,2017-06-21,,,4,"""APPROVAL OF DETAILS IN RESPECT OF DISCHARGE OF CONDITION 7 (CONSTRUCTION MANAGEMENT PLAN) ATTACHED TO PLANNING PERMISSION 59371)""",,,4,4,,,"""59371 : ERECTION OF FOUR NEW DWELLINGS (AMENDED PLANS & CONTAMINATION REPORT) (ADDITIONAL INFORMATION). Approved 24/01/17.

Part of site for 6 dwellings has been built. The remaining 4 dwellings were completed in HLA 2018/2019.

55668 : THE PROVISION OF TWO INTERMEDIATE RENT HOUSES (AFFORDABLE) & THE PROVISION OF FOUR OPEN MARKET HOUSES TOGETHER WITH FORMATION OF ACCESS AND CAR PARKING (AMENDED DESCRIPTION & PLANS). Approved 17/09/15""",2017-08-02,2019-12-03,31-Mar-19,Site completed.
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/ILF/020,,"""Barclays Bank PLC, 136 High Street   Ilfracombe EX34 9HB""",,ETRS89,-4.1217813731,51.2085635098,251885,147624,0.02,Not owned by a Public Authority,Yes,Permissioned,Full planning permission,2015-03-03,,,5,"""CONVERSION OF SECOND & THIRD FLOORS TO FORM 5 NO. FLATS""",,,5,5,,,"""Built in HLA 2018/2019""",2017-08-02,2019-12-03,31-Mar-19,Built
