OrganistionURI,OrganistionLabel,Site Reference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateRefernceSystem,GeoX,GeoY,Easting,Northing,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,BLA/0039(a),BLA/0039,"""Land to rear of 21-33 Western Avenue, Blacon""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3823572.318,-195513.7376,338165,367821,0.29,not owned by a public authority,,not permissioned,,,,,16,"""Residential development""",,,,,,,,21/12/2017,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,BLA/0070,,"""27 Blacon Point Road, Blacon, Chester. CH1 5LD""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3823766.531,-195095.1485,338590,367600,0.17,not owned by a public authority,yes,permissioned,full planning permission,11/09/2012,,,6,"""Two storey side extension to provide four (4) new flats. Addition of two (2) more flats - total of six (6)""",,,,,,,11/01876/FUL  12/02648/FUL,21/12/2017,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,BOU/0010,,"""King Edward Buildings/ Bensons site and surrounding land, Christleton""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3825063.388,-191418.1312,342309,366168,0.34,mixed ownership,,not permissioned,,,,,11,"""Residential development""",,,,,,,,21/12/2017,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,BOU/0045,,"""Land at Premier House, Charterhall Drive, Chester""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3824562.568,-192188.3567,341522,366754,2.48,not owned by a public authority,,permissioned,reserved matters approval,24/04/2014| 10/09/2014,,,200,"""Full permission for first office building and outline permission for mixed use development comprising office buildings, dwellings, shops, financial and professional services, restaurants and cafes, drinking establishments, hot food takeaways, non residential institutions, assembly and leisure, access, car parking, servicing and landscaping""",,,,,,,"12/04895/FUL  14/03317/REM
14/01799/NMA",21/12/2017,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,BOU/0074,,"""125-127 Boughton, Chester, CH3 5BH""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3824744.676,-191966.5106,341750,366538,,not owned by a public authority,yes,permissioned,,30/01/2017,,,14,"""Change of use of a listed building to residential (8 apartments), demolition of out-building and erection of 2 storey building for 6 apartments """,,,,,,,,30/12/2018,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,BOU/0084,,"""The Cloud, 10 Boughton, Chester, CH3 5BH""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3824777.139,-192413.0429,341305,366475,0.07,not owned by a public authority,yes,permissioned,planning permission granted under an order,08/11/2018,,,8,"""Change of use of building to 8 apartments""",,,,,,,"17/04633/PDO, 18/01720/FUL",30/12/2018,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,CHC/0003,,"""Linenhall car park, Stanley Street, Chester, CH1 2LR""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3824871.611,-193505.3099,340217,366302,0.74,not owned by a public authority,,permissioned,full planning permission,23/12/2013,,,202,"""Six-storey student accommodation comprising 59 cluster flats and 143 studios, together with ancilliary and communal facilities, landscaping and car parking""",,,,,,,"13/03210/FUL
17/00530/NMA",21/12/2017,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,CHC/0004,,"""Land off Hoole Way/Black Diamond Street, Chester""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3824328.535,-192722.6664,340980,367019,0.3,not owned by a public authority,,permissioned,,,,,20,"""Residential development""",,,,,,,,21/12/2017,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,CHC/0005A,CHC/0005,"Land at Trafford Street, Chester",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3824346.368,-193054.5836,340649,366980,,not owned by a public authority,,not permissioned,,,,,,"""Residential development""",,,,,,,,21/12/2017,30/12/2018
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,CHC/0005B,CHC/0005,"""Former Partco Autoparts, Trafford Street, Chester""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3824345.608,-193053.5561,340650,366981,,not owned by a public authority,yes,permissioned,full planning permission,17/08/2018,,,35,"""Re-development of site to provide 35 residential apartments (Class C3)""",,,,,,,18/00486/FUL,30/12/2018,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,CHC/0006,,"""St Anne Street car park, Black Diamond Street, Chester""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3824391.743,-192804.9459,340900,366936,0.34,owned by a public authority,,not permissioned,,,,,11,"""Residential development""",,,,,,,,21/12/2017,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,CHC/0008,,"""Browns Yard car park, Chester""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3824743.993,-192737.1759,340980,366500,0.28,owned by a public authority,,not permissioned,,,,,13,"""Residential development""",,,,,,,,21/12/2017,
