OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURI,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part 2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/metropolitan-district-council/stockport,Stockport Council,SKB0010,,"""Adswood Road/Stockholm Road (north of), Stockport, SK3 9QT""",https://www.stockport.gov.uk/brownfield/brownfield-land-register,ETRS89,-2.16449504,53.39507311,0.99,Unknown ownership,yes,Not permissioned,,,,,35,,,,35,35,,,,21/12/2017,11/12/2018
http://opendatacommunities.org/id/metropolitan-district-council/stockport,Stockport Council,SKB0013,,"""Land Off Stockholm Road, Adswood SK3 9QR""",https://www.stockport.gov.uk/brownfield/brownfield-land-register,ETRS89,-2.166962999,53.39444071,0.46,unknown ownership,yes,Permissioned,outline planning permission,20170213,,,48,,,,48,48,,,DC/060605,21/12/2017,11/12/2018
http://opendatacommunities.org/id/metropolitan-district-council/stockport,Stockport Council,SKB0014,,"""Land to rear of Athlone Avenue, Cheadle Hulme SK8 5QP""",https://www.stockport.gov.uk/brownfield/brownfield-land-register,ETRS89,-2.177477593,53.39071894,0.31,unknown ownership,yes,Permissioned,full planning permission,20180329,,,12,,,,12,12,,,DC/065603,21/12/2017,11/12/2018
http://opendatacommunities.org/id/metropolitan-district-council/stockport,Stockport Council,SKB0024,,"""10 Manor Road, Marple, SK6 6PW""",https://www.stockport.gov.uk/brownfield/brownfield-land-register,ETRS89,-2.064909528,53.40149591,0.27,unknown ownership,yes,Permissioned,full planning permission,20170327,,,7,,,,7,7,,,DC/064057,21/12/2017,11/12/2018
http://opendatacommunities.org/id/metropolitan-district-council/stockport,Stockport Council,SKB0034,,"""Thorn Works, Mill Pool Close, Woodley, SK6 1SB""",https://www.stockport.gov.uk/brownfield/brownfield-land-register,ETRS89,-2.101240503,53.42958443,0.3,mixed ownership,yes,Permissioned,full planning permission,20160916,,,9,,,,9,9,,,DC/060451,21/12/2017,11/12/2018
http://opendatacommunities.org/id/metropolitan-district-council/stockport,Stockport Council,SKB0043,,"""70 Range Road, Cale Green SK3 8EE""",https://www.stockport.gov.uk/brownfield/brownfield-land-register,ETRS89,-2.163464333,53.39746708,0.33,unknown ownership,yes,Permissioned,full planning permission,20180104,,,21,,,,21,21,,,DC/066642,21/12/2017,11/12/2018
http://opendatacommunities.org/id/metropolitan-district-council/stockport,Stockport Council,SKB0044,,"""Station Approach, Gorton Road, Reddish, Stockport, SK5 6RL""",https://www.stockport.gov.uk/brownfield/brownfield-land-register,ETRS89,-2.156065292,53.44936635,0.3,Unknown ownership,yes,Not permissioned,,,,,12,,,,12,12,,,,21/12/2017,11/12/2018
http://opendatacommunities.org/id/metropolitan-district-council/stockport,Stockport Council,SKB0045,,"""Land off Stitch Lane, Heaton Norris, Stockport, SK4 1HS""",https://www.stockport.gov.uk/brownfield/brownfield-land-register,ETRS89,-2.170098279,53.41521668,0.34,Unknown ownership,yes,Not permissioned,,,,,13,,,,13,13,,,,21/12/2017,11/12/2018
http://opendatacommunities.org/id/metropolitan-district-council/stockport,Stockport Council,SKB0046,,"""R Bullock & Co, Commercial Garage, Stockport Road, SK8 2AG""",https://www.stockport.gov.uk/brownfield/brownfield-land-register,ETRS89,-2.208922957,53.39529674,0.33,Unknown ownership,yes,Not permissioned,,,,,18,,,,18,18,,,,21/12/2017,11/12/2018
http://opendatacommunities.org/id/metropolitan-district-council/stockport,Stockport Council,SKB0050,,"""Land near 265 Edgeley Road, Edgeley, Stockport""",https://www.stockport.gov.uk/brownfield/brownfield-land-register,ETRS89,-2.184630553,53.39893784,0.48,Unknown ownership,yes,Not permissioned,,,,,17,,,,17,17,,,,21/12/2017,11/12/2018
