SiteReference,SourcesOtherReference,SiteName,SiteAddress,UPRN,CoordinateReferenceSystem,GeoX,GeoY,Hectares,PlanningStatus,PlanningHistory,Constraints,OwnershipStatus,Owners,HousingEstimate,MinHomes,Events,Notes,Polygon,OrganisationURI,OrganisationLabel,FirstAddedDate,LastUpdatedDate
ROSBS001,"""CFDS80, H59, 2012/0588""","""Former Albert Mill, Sunnyside Mill and Sunnyside Works""","""Market Street, Whitworth, OL12 8PJ""",100012841374|010014330898|010014331007 ,WGS84,-2.17635,53.652819,1.53,Not Permissioned,http://www.rossendale.gov.uk/site/scripts/planx_details.php?appID=2992,,Public Ownership,,49,49,,Permission subject to s106 agreement being signed off. A small part of the site is owned by the public sector.,http://planaccess.rossendale.gov.uk:8080/connect/,http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,17/06/2016,08/07/2016
ROSBS002,2015/0037,Waterfoot Primary School,"""Thornfield Avenue, Waterfoot""",1.00E+11,WGS84,-2.251179,53.694168,0.4,Permissioned,http://www.rossendale.gov.uk/site/scripts/planx_details.php?appID=3967,,Not in Public Ownership,,28,28,,Planning permission 2015/0037 approved,http://planaccess.rossendale.gov.uk:8080/connect/,http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,17/06/2016,08/07/2016
ROSBS003,2015/0238,Horse and Jockey Hotel,"""85 Market Street, Edenfield, BL0 0JQ""",1.00E+11,WGS84,-2.305961,53.67122,0.21,Permissioned,http://www.rossendale.gov.uk/site/scripts/planx_details.php?appID=4166,,Not in Public Ownership,,10,10,,Planning permission 2015/0238 approved,http://planaccess.rossendale.gov.uk:8080/connect/,http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,17/06/2016,08/07/2016
ROSBS004,2014/0355,Former Whinberry View,"""Bacup Road, Rawtenstall, BB4 7PA"" ",1.00E+11,WGS84,-2.274792,53.70101,0.72,Permissioned,http://www.rossendale.gov.uk/site/scripts/planx_details.php?appID=3804,,Not in Public Ownership,,29,29,,Underconstruction,http://planaccess.rossendale.gov.uk:8080/connect/,http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,17/06/2016,08/07/2016
ROSBS005,"""BSB10, CFDS35, 2010/0557""",Anvil Street,Stacksteads,,WGS84,-2.210749,53.693094,0.19,Not Permissioned,http://www.rossendale.gov.uk/site/scripts/planx_details.php?appID=1811,,Not in Public Ownership,,11,11,,Low market area,http://planaccess.rossendale.gov.uk:8080/connect/,http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,17/06/2016,08/07/2016
ROSBS006,"""BSB11,2015/0329""",Land near Greensnook Farm,Bacup,1.00E+11,WGS84,-2.195352,53.706652,0.11,Permissioned,http://www.rossendale.gov.uk/site/scripts/planx_details.php?appID=4190,,Not in Public Ownership,,7,7,,Site is advertised for sale,http://planaccess.rossendale.gov.uk:8080/connect/,http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,17/06/2016,08/07/2016
ROSBS007,"""BSB2, CFDS35, 2008/0244""",Reed Street,Bacup,1.00E+11,WGS84,-2.196131,53.704355,0.5,Not Permissioned,http://www.rossendale.gov.uk/site/scripts/planx_details.php?appID=99,,Not in Public Ownership,,50 apartments,15,,Low market area,http://planaccess.rossendale.gov.uk:8080/connect/,http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,17/06/2016,08/07/2016
ROSBS008,2011/0568,Former Holden Vale Hotel,"""Holcombe Road, Helmshore""",2.00E+11,WGS84,-2.342265,53.695105,0.25,Permissioned,http://www.rossendale.gov.uk/site/scripts/planx_details.php?appID=2806,,Not in Public Ownership,,15 apartments,15,,,http://planaccess.rossendale.gov.uk:8080/connect/,http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,17/06/2016,08/07/2016
ROSBS009,2015/0030,Hare and Hounds Garage,"""Newchurch Road, Stacksteads""",10013836993,WGS84,-2.231968,53.692298,0.14,Permissioned,http://www.rossendale.gov.uk/site/scripts/planx_details.php?appID=3985,,Not in Public Ownership,,9 dwellings,9,,,http://planaccess.rossendale.gov.uk:8080/connect/,http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,17/06/2016,08/07/2016
ROSBS010,2015/0085,Bacup Conservative Club,"""Irwell Terrace, Bacup, OL13 9AW""",1.00E+11,WGS84,-2.199426,53.703122,0.05,Permissioned,http://www.rossendale.gov.uk/site/scripts/planx_details.php?appID=4003,,Not in Public Ownership,,5 flats,5,,,http://planaccess.rossendale.gov.uk:8080/connect/,http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,17/06/2016,08/07/2016
ROSBS011,2015/0261,The Former Commercial Hotel,"""318A, 316B and 316C Newchurch Road, Stacksteads, Bacup, OL13 0UJ""",1.00E+11,WGS84,-2.224314,53.691377,0.04,Permissioned,http://www.rossendale.gov.uk/site/scripts/planx_details.php?appID=4226,,Not in Public Ownership,,7 apartments,7,,,http://planaccess.rossendale.gov.uk:8080/connect/,http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,17/06/2016,08/07/2016
ROSBS012,2016/0001,14 Deardengate,"""Haslingden, Rossendale, BB4 5QJ""",1.00E+11,WGS84,-2.324634,53.706205,0.05,Permissioned,http://www.rossendale.gov.uk/site/scripts/planx_details.php?appID=4377,,Not in Public Ownership,,6 flats,6,,,http://planaccess.rossendale.gov.uk:8080/connect/,http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,17/06/2016,08/07/2016
ROSBS013,2011/0457,Loveclough Working Mens Club,"""Commercial Street, Loveclough""",1.00E+11,WGS84,-2.286121,53.739938,0.44,Permissioned,http://www.rossendale.gov.uk/site/scripts/planx_details.php?appID=2523,,Not in Public Ownership,,10 houses,10,,,http://planaccess.rossendale.gov.uk:8080/connect/,http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,17/06/2016,08/07/2016
ROSBS014,2010/0433,Land off Eastgate,Whitworth ,10014331967,WGS84,-2.185751,53.649828,1.56,Permissioned,http://www.rossendale.gov.uk/site/scripts/planx_details.php?appID=1708,,Not in Public Ownership,,45 dwellings,45,,Planning permission extant,http://planaccess.rossendale.gov.uk:8080/connect/,http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,17/06/2016,08/07/2016
ROSBS015,2014/0494,Land adjacent to 368 Rochdale Road,Bacup,1.00E+11,WGS84,-2.183293,53.691938,0.23,Permissioned,http://www.rossendale.gov.uk/site/scripts/planx_details.php?appID=3921,,Not in Public Ownership,,12 dwellings,12,,,http://planaccess.rossendale.gov.uk:8080/connect/,http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,17/06/2016,08/07/2016
ROSBS016,2015/0024,Former Kearns Mill Site,"""Cowpe Road, Cowpe, Waterfoot, Rossendale""",10014330413,WGS84,-2.243312,53.680944,1.68,Permissioned,http://www.rossendale.gov.uk/site/scripts/planx_details.php?appID=3965,,Not in Public Ownership,,22 dwellings,22,,,http://planaccess.rossendale.gov.uk:8080/connect/,http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,17/06/2016,08/07/2016
ROSBS017,"""BSB46, H68""",Shadlock Skip and Glen Mill,"""Newchurch Road, Stacksteads""",,WGS84,-2.238046,53.690851,1.48,Not Permissioned,,,Not in Public Ownership,,40 dwellings,30,,"""Flood risk, Employment use""",http://planaccess.rossendale.gov.uk:8080/connect/,http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,21/06/2016,08/07/2016
ROSBS018,"""BSB1, 2016/0035""",Former Bacup Health Centre,Bacup,1.00E+11,WGS84,-2.199348,53.703646,0.2,Not Permissioned,http://www.rossendale.gov.uk/site/scripts/planx_details.php?appID=4519,,Not in Public Ownership,,10 apartments,10,,Planning permission (2013/0168) expired. New outline planning application for a mixed use (including 10 dwellings) pending consideration,http://planaccess.rossendale.gov.uk:8080/connect/,http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,21/06/2016,08/07/2016
ROSBS019,HRB29,Former Haslingden Police Station,"""Manchester Road, Haslingden""",1.00E+11,WGS84,-2.322781,53.702355,0.12,Not Permissioned,,,Not in Public Ownership,,7 dwellings,7,,,http://planaccess.rossendale.gov.uk:8080/connect/,http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,21/06/2016,08/07/2016
ROSBS020,2006/0189,Land off Lee's Street,Bacup,,WGS84,-2.18138,53.691635,0.07,Not Permissioned,,,Not in Public Ownership,,5 dwellings,5,,,http://planaccess.rossendale.gov.uk:8080/connect/,http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,28/06/2016,08/07/2016
