OrganisationURI,OrganisationalLabel,SiteReference,AlternativeReference,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Achieavble,PlanningStatus,PermissionType,PermissionDate,MinNetDwellings,Development Description,NetDwellingsRangeFrom,NetDwellingsRangeTo,FirstAddedDate,LastUpdatedDate,Notes
http://opendatacommunities.org/doc/unitary-authority/central-bedfordshire,Central Bedfordshire Council,CB/19/00001/BRWN,CB/18/01696/RM,"Brickyard Quarry, Leighton Linslade",https://centralbedfordshire.box.com/s/6q9szxnzaeekng0hfzmrwdwtj4fiu567,OSGB36,492327,223783,5.9,Not owned by a public authority,Yes,Permissioned,Reserved Matters Approval,23/07/2018,165,Erection of 165 dwellings,165,165,19/11/2018,31/12/2018,
http://opendatacommunities.org/doc/unitary-authority/central-bedfordshire,Central Bedfordshire Council,CB/19/00227/BRWN,CB/16/00181/FULL,"Land r/o 33-57 Shortmead Street, Biggleswade",https://centralbedfordshire.box.com/s/i6e10sq5suhd9fjlbhvc5qzn1lyfckno,OSGB36,518680,244883,0.66,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,23/03/2017,30,Erection of 30 dwellings,30,30,19/11/2018,31/12/2018,
http://opendatacommunities.org/doc/unitary-authority/central-bedfordshire,Central Bedfordshire Council,CB/19/00003/BRWN,CB/14/04720/FULL,"11-15 High Street South, Dunstable",https://centralbedfordshire.box.com/s/ufqdyn2tclnprr3ofouma6r0zdkrmxmv,OSGB36,501965,221853,0.9,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,01/04/2015,26,Erection of  and 26 residential units on 3 upper floors,26,26,19/11/2018,31/12/2018,
http://opendatacommunities.org/doc/unitary-authority/central-bedfordshire,Central Bedfordshire Council,CB/19/00004/BRWN,CB/16/05657/FULL,"Land adjacent to 192 High Street North and north west of and adjoining Tavistock Street, Tavistock Street, Dunstable",https://centralbedfordshire.box.com/s/1ca1lvww9h9jjdnj2bvwlgkpsrn16rbd,OSGB36,501327,222647,1.071,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,22/03/2018,55,Erection of 55 dwellings,55,55,19/11/2018,31/12/2018,
http://opendatacommunities.org/doc/unitary-authority/central-bedfordshire,Central Bedfordshire Council,CB/19/00005/BRWN,CB/14/02174/REG3,"Flitwick Leisure Centre Site, Steppingley Road, Flitwick",https://centralbedfordshire.box.com/s/r8jllbpal3exk0b82ah7mzl3fnvwqkic,OSGB36,502599,235543,2.792,Not owned by a public authority,Yes,Permissioned,Outline Reg 3 Planning Permission,11/09/2014,72,Erection of 72 dwellings,72,72,19/11/2018,31/12/2018,
http://opendatacommunities.org/doc/unitary-authority/central-bedfordshire,Central Bedfordshire Council,CB/19/00006/BRWN,CB/18/01651/RM,"Harlington Station Yard, Station Road, Harlington",https://centralbedfordshire.box.com/s/rorq1pvmw104v5chfikyl9m04qdop396,OSGB36,503515,230259,0.85,Not owned by a public authority,Yes,Pending Decision,Reserved Matters Approval,,45,Erection of 45 dwellings,45,45,19/11/2018,31/12/2018,
http://opendatacommunities.org/doc/unitary-authority/central-bedfordshire,Central Bedfordshire Council,CB/19/00007/BRWN,CB/16/02741/FULL,"Land at 20 Ampthill Road, Shefford",https://centralbedfordshire.box.com/s/mzzf8hpv81z34rj68tzzxz019y2pgejt,OSGB36,513896,239062,0.86,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,27/01/2017,26,Erection of 26 dwellings,26,26,19/11/2018,31/12/2018,
http://opendatacommunities.org/doc/unitary-authority/central-bedfordshire,Central Bedfordshire Council,CB/19/00008/BRWN,CB/17/00517/FULL,"The Old Laundry, 33 High Street, Shefford",https://centralbedfordshire.box.com/s/j9jqwx0ahu7pbqjr640s2bd1xsh4bu1x,OSGB36,514199,238915,0.93,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,01/12/2017,49,"erection of retail building with 8 two-bedroom apartments above linked to a building containing 4 two- bedroom apartments and 2 one-bedroom apartments, erection of 35 dwellings",51,51,19/11/2018,31/12/2018,
http://opendatacommunities.org/doc/unitary-authority/central-bedfordshire,Central Bedfordshire Council,CB/19/00009/BRWN,CB/17/05557/RM,"Stondon Museum & Garden Centre, Lower Stondon",https://centralbedfordshire.box.com/s/krqbbgdkpny129ycnjxauyh7df2leirq,OSGB36,515670,235287,0.8,Not owned by a public authority,Yes,Pending Decision,Reserved Matters Approval,,24,Erection of 24 dwellings,24,24,19/11/2018,31/12/2018,
http://opendatacommunities.org/doc/unitary-authority/central-bedfordshire,Central Bedfordshire Council,CB/19/00010/BRWN,CB/15/03182/FULL,"Land at former Pig Development Unit, Hitchin Road, Fairfield",https://centralbedfordshire.box.com/s/ze9qia2996xr7xsw69fnf45tqjl48wpd,OSGB36,520865,235423,5.366,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,17/12/2015,131,Erection of 131 dwellings,131,131,19/11/2018,31/12/2018,
http://opendatacommunities.org/doc/unitary-authority/central-bedfordshire,Central Bedfordshire Council,CB/19/00011/BRWN,CB/16/04498/FULL,"A 5 Salvage Works, Watling Street, Hockliffe, Leighton Buzzard,",https://centralbedfordshire.box.com/s/ifa6h56hewfut86svjl398hod7swlobu,OSGB36,499161,224957,2.03,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,28/06/2017,12,Erection of 12 dwellings,12,12,19/11/2018,31/12/2018,
http://opendatacommunities.org/doc/unitary-authority/central-bedfordshire,Central Bedfordshire Council,CB/19/00012/BRWN,CB/16/01635/FULL,"37 & 39  High Street South, Dunstable, LU6 3RZ, Dunstable",https://centralbedfordshire.box.com/s/mn6c1yv5qmn28mkgr4qjx21pl05qgc9i,OSGB36,502026,221755,0.57,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,21/06/2017,10,Erection of 10 self-contained flats,10,10,19/11/2018,31/12/2018,
http://opendatacommunities.org/doc/unitary-authority/central-bedfordshire,Central Bedfordshire Council,CB/19/00013/BRWN,CB/17/01911/FULL,"Chiltern Aquatics Centre, Westoning Road, Harlington, Dunstable,",https://centralbedfordshire.box.com/s/nxzthjch8v10d66nlqf08tunsrw098qy,OSGB36,503418,231111,0.43,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,16/08/2017,10,Erection of 10 dwellings,10,10,19/11/2018,31/12/2018,
http://opendatacommunities.org/doc/unitary-authority/central-bedfordshire,Central Bedfordshire Council,CB/19/00014/BRWN,CB/14/03488/FULL,"The Dog And Duck, Parkside Drive, Houghton Regis, Dunstable,",https://centralbedfordshire.box.com/s/obu2ijyvpu4l9c2t4l8cl7d88666pecs,OSGB36,503270,224487,0.25,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,17/12/2014,12,Erection of 12 dwellings,12,12,07/12/2018,31/12/2018,
http://opendatacommunities.org/doc/unitary-authority/central-bedfordshire,Central Bedfordshire Council,CB/19/00015/BRWN,CB/17/04123/RM,"Silsoe Lower School, High Street, Silsoe, Bedford,  Silsoe",https://centralbedfordshire.box.com/s/2uenij3vkfzsnfjovqp79es227jl0dva,OSGB36,507992,235952,0.8,Not owned by a public authority,Yes,Permissioned,Reserved Matters Approval,26/02/2018,14,Erection of 14 dwellings,14,14,07/12/2018,31/12/2018,
http://opendatacommunities.org/doc/unitary-authority/central-bedfordshire,Central Bedfordshire Council,CB/19/00016/BRWN,CB/16/03378/REG3,"Red House Court, Houghton Regis Central",https://centralbedfordshire.box.com/s/1td9qtu65iwcflj850aus46dyd27qp99,OSGB36,502007,223881,1.47,Not owned by a public authority,Yes,Permissioned,Outline Reg 3 Planning Permission,11/11/2016,168,Erection of 168 dwellings,168,168,07/12/2018,31/12/2018,
http://opendatacommunities.org/doc/unitary-authority/central-bedfordshire,Central Bedfordshire Council,CB/19/00017/BRWN,CB/16/03048/FULL,Biggleswade Town Centre,https://centralbedfordshire.box.com/s/ndi7xfhm9nctmj30oan06qr2opb33dbs,OSGB36,519090,244463,0.09,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,07/12/2016,9,Erection of 6 houses and 3 flats,9,9,07/12/2018,31/12/2018,
http://opendatacommunities.org/doc/unitary-authority/central-bedfordshire,Central Bedfordshire Council,CB/19/00018/BRWN,99/01694/ 16/04143/RM 17/00821/RM,Wixams (original Site),https://centralbedfordshire.box.com/s/8qcrz6udptxobsuqr3dnhghr9mlpbyk0,OSGB36,504075,243468,6.8,Not owned by a public authority,Yes,Permissioned,Reserved Matters Approval,14/09/2017,217,Reserved matters following permission of CB/11/02181/VOC for 217 dwellings,217,217,07/12/2018,31/12/2018,
http://opendatacommunities.org/doc/unitary-authority/central-bedfordshire,Central Bedfordshire Council,CB/19/00019/BRWN,CB/16/04703/FULL,"Russel House, 14 Dunstable Street, Ampthill,",https://centralbedfordshire.box.com/s/ix5ermvwuxg8q0qemogsfmbrg35z62zx,OSGB36,503320,237659,0.41,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,04/04/2017,24,Erection of 24 apartments,24,24,07/12/2018,31/12/2018,
http://opendatacommunities.org/doc/unitary-authority/central-bedfordshire,Central Bedfordshire Council,CB/19/00020/BRWN,CB/18/01053/PADO,"Hampton house, Hitchin Road, Arlesey",https://centralbedfordshire.box.com/s/h3z0cmw1w03u1jdtd8r89u22b7mtl9mv,OSGB36,519071,235239,0.27,Not owned by a public authority,Yes,Permissioned,Prior Approval - Approved Change of Use,10/05/2018,41,Erection of 41 dwellings,41,41,07/12/2018,31/12/2018,
http://opendatacommunities.org/doc/unitary-authority/central-bedfordshire,Central Bedfordshire Council,CB/19/00021/BRWN,CB/16/02972/FULL,"Dukeminster, Church Street, Dunstable",https://centralbedfordshire.box.com/s/9shricsdrfs60hphhsp0erxmys4qny3w,OSGB36,502275,222155,5.07,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,04/04/2018,270,Erection of 270 dwellings,270,270,07/12/2018,31/12/2018,
http://opendatacommunities.org/doc/unitary-authority/central-bedfordshire,Central Bedfordshire Council,CB/19/00022/BRWN,CB/15/04829/FULL,"Downing View, Dunstable",https://centralbedfordshire.box.com/s/g19ra28oe5wmg2e9v6ee8rnhwqw8h5mz,OSGB36,501050,222194,0.24,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,02/06/2016,17,Erection of 17 Dwellings,17,17,07/12/2018,31/12/2018,
http://opendatacommunities.org/doc/unitary-authority/central-bedfordshire,Central Bedfordshire Council,CB/19/00023/BRWN,CB/16/03188/FULL,"Ashton Middle School, Dunstable",https://centralbedfordshire.box.com/s/1elnwj9reautwkdhbmyfga18pyo3sxtx,OSGB36,501655,222314,2.05,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,08/03/2017,113,Demolition of a school and erection of 113 dwellings,113,113,07/12/2018,31/12/2018,
http://opendatacommunities.org/doc/unitary-authority/central-bedfordshire,Central Bedfordshire Council,CB/19/00024/BRWN,CB/15/02821/OUT,"Linpac GPG International, Luton Road, Dunstable",https://centralbedfordshire.box.com/s/easw1cikqgarz9bqf4fikj1nliz3ok1v,OSGB36,503076,221930,3.19,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,31/08/2016,100,Erection of 100 dwellings,100,100,07/12/2018,31/12/2018,
http://opendatacommunities.org/doc/unitary-authority/central-bedfordshire,Central Bedfordshire Council,CB/19/00025/BRWN,CB/17/05913/FULL,"Land at Taylors Road, Stotfold",https://centralbedfordshire.box.com/s/wx0igmywk9zpzmmutsjlu0oilk4787cd,OSGB36,521862,237674,1.02,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,13/09/2018,32,Erection of 32 dwellings,32,32,07/12/2018,31/12/2018,
http://opendatacommunities.org/doc/unitary-authority/central-bedfordshire,Central Bedfordshire Council,CB/19/00026/BRWN,CB/16/02301/FULL,"Aldi Foord Store Ltd, Vinnie Road, Leighton Linslade",https://centralbedfordshire.box.com/s/b8j1zonk2bx4yp0j5sd0d3qay93cdm24,OSGB36,491739,225217,0.92,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,26/09/2016,10,Erection of 10 dwellings,10,10,07/12/2018,31/12/2018,
http://opendatacommunities.org/doc/unitary-authority/central-bedfordshire,Central Bedfordshire Council,CB/19/00027/BRWN,CB/18/02212/FULL,"2 mayfields, Shefford",https://centralbedfordshire.box.com/s/osnqtve2nk7jii1z068bi5ixtglsaaf5,OSGB36,514639,239103,0.3,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,06/07/2018,10,Erection 10 Dwellings,10,10,07/12/2018,31/12/2018,
