OrganisationURI,SiteReference,SiteNameAddress,SiteplanURL,GeoY,GeoX,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/teignbridge,BFR001,"Glendaragh, Barn Park Road, Teignmouth TQ14 8PN",http://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=01%2f03478%2fCOU,50.549744,-3.493786,0.26,not owned by a public authority,permissioned,full planning permission,2001-10-26,,yes,15,15,,"Part of this site was started in 2002, no progress since so remaining as brownfield land",2017-11-01,2017-11-01,
http://opendatacommunities.org/id/district-council/teignbridge,BFR002,"Rosemary Avenue, Newton Abbot TQ12 1SB",http://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=05%2f04278%2fFUL,50.533836,-3.626255,0.12,not owned by a public authority,permissioned,full planning permission,2006-03-22,,yes,6,6,,"Groundworks commenced keeping this live, so this remains on the brownfield register",2017-11-01,2017-11-01,
http://opendatacommunities.org/id/district-council/teignbridge,BFR003,"Platway House, Torquay Road, Shaldon TQ14 0AU",http://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=08%2f01449%2fMAJ,50.5399,-3.510666,0.47,not owned by a public authority,permissioned,full planning permission,2008-07-01,,yes,9,9,,"started - this is partly completed and rest started so there is an end date, this will no longer be on the brownfield register",2017-11-01,2017-11-01,2019-07-24
http://opendatacommunities.org/id/district-council/teignbridge,BFR004,"Shapters Yard, Strand Hill, Dawlish EX7 9PS",http://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=12%2f01811%2fFUL,50.58151,-3.466788,0.04,not owned by a public authority,permissioned,full planning permission,2012-07-31,,yes,9,9,,Site completed,2017-11-01,2018-03-16,2018-03-16
http://opendatacommunities.org/id/district-council/teignbridge,BFR005,"Former Wolborough Hospital, Old Totnes Road, Newton Abbot TQ12 6AA",http://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=13%2f01497%2fMAJ,50.520592,-3.620686,1.14,not owned by a public authority,permissioned,full planning permission,2013-01-21,,yes,13,15,,started,2017-11-01,2017-11-01,
http://opendatacommunities.org/id/district-council/teignbridge,BFR006,"Holcombe Hall, Holcombe Drive, Dawlish  EX7 0JW",http://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=13%2f02517%2fFUL,50.563331,-3.474219,0.73,not owned by a public authority,permissioned,full planning permission,2014-10-10,,yes,7,7,,Site completed,2017-11-01,2018-08-28,2018-08-28
http://opendatacommunities.org/id/district-council/teignbridge,BFR007,"14 Barton Villas, Dawlish EX7 9QJ",http://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=13%2f03658%2fFUL,50.580036,-3.476809,0.04,not owned by a public authority,permissioned,full planning permission,2014-10-10,,yes,5,5,,started - near completions Feb 2020 therefore end date as will no longer be brownfield,2017-11-01,2017-11-01,2020-02-01
http://opendatacommunities.org/id/district-council/teignbridge,BFR008,"22 - 26 Wolborough Street, Newton Abbot TQ12 1JJ",http://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=17%2f02715%2fMAJ,50.52908,-3.613841,0.18,not owned by a public authority,permissioned,full planning permission,2014-10-10,,yes,38,38,,started,2017-11-01,2017-11-01,
http://opendatacommunities.org/id/district-council/teignbridge,BFR009,"Clay Lane, Teignmouth TQ14 8FW",http://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=14%2f01918%2fMAJ,50.547259,-3.501459,0.08,not owned by a public authority,permissioned,full planning permission,2014-10-09,,yes,21,21,,2 phase scheme part 1 completed in 2009 - this phase started - under construction Feb 2020 therefore end date as will no longer be brownfield,2017-11-01,2017-11-01,2020-02-01
http://opendatacommunities.org/id/district-council/teignbridge,BFR010,"land at Ilford Park, Stover, Newton Abbot TQ12 6PW",http://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=14%2f02580%2fMAJ,50.562608,-3.654263,26.45,not owned by a public authority,permissioned,full planning permission,2016-06-01,,yes,23,23,,unimplemented,2017-11-01,2017-11-01,
