OrganisationURI,Organisation Label,Site Reference,Previously Part Of,Site Name Address,Site plan URL,Coordinate Reference System,GeoX,GeoY,Hectares,Ownership Status,Deliverable,Planning Status,Permission Type,Permission Date,Planning History,Proposed For PIP,Min Net Dwellings,Development Description,Non Housing Development,Part2,Net Dwellings Range From,Net Dwellings Range To,Hazardous Substances,Site Information,Notes,First Added Date,Last Updated Date,Location
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR2,,1 To 4A Church Lane And 12 To 14 Parsons Street Banbury,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,445507,240613,0.12,Not owned by a public authority,yes,Permissioned,full planning permission,17/11/2016,https://planningregister.cherwell.gov.uk/Search,,8,16/01932/F - Retention of ground floor retail units and conversion of first floor over shops to form eight flats - re-submission of 16/00815/F,,,,,,,,04/12/2017,04/12/2017,Banbury
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR4,,"27 Park Road, Banbury",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,444776,240472,0.07,Not owned by a public authority,yes,Not permissioned,,,https://planningregister.cherwell.gov.uk/Search,,6,15/01555/F - Conversion of the existing building to form 6 no. self contained flats with associated car parking.,,,,,,,Planning permission expired in December 2018.,04/12/2017,30/10/2019,Banbury
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR5,,"3 West Bar Street, Banbury",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,445179,240322,0.14,Not owned by a public authority,yes,Permissioned,full planning permission,"2019-09-02
2017-07-04",https://planningregister.cherwell.gov.uk/Search,,12,"19/00958/F - Change of Use of existing building together with a 2.5 storey high extension to the eastern elevation to facilitate the conversion of the building to 8 No residential units.

17/00914/F - Demolition of existing single storey element (currently used as a driving test centre) and erection of new building to provide 4 flats.",,,,,,,,04/12/2017,30/10/2019,Banbury
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR7,,"Admiral Holland, Woodgreen Avenue, Banbury",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,444442,240624,0.4,Owned by a public authority,yes,Permissioned,full planning permission,28/03/2019,https://planningregister.cherwell.gov.uk/Search,,14,18/01591/CDC - proposed development of 8 no houses and 6 no flats,,,,,,,2017 HELAA Site - HELAA253,04/12/2017,30/10/2019,Banbury
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR9,,"Canalside, Banbury",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,446105,240254,24.78,Mixed ownership,,Not permissioned,,,,,649,"Local Plan strategic allocation - Banbury 1. Proposes 700 dwellings and 15,000 sqm of commercial uses (only limited new B1a office use classes)",Commercial uses - only limited new B1a office use (15000 sqm),,,,,,2018 HELAA site - HELAA258. A Canalside Supplementary Planning Documents is being prepared. Planning permission for 51 homes at Crown House has already been given and is under construction. The 51 homes have been deducted from the total of 700 homes.,04/12/2017,03/12/2018,Banbury
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR10,,"Car Park Edmunds House, 40 South Bar Street, Banbury",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,445258,240190,0.08,Not owned by a public authority,yes,Permissioned,full planning permission,31/07/2017,https://planningregister.cherwell.gov.uk/Search,,6,16/02154/F - 6 dwellings,,,,,,,,04/12/2017,03/12/2018,Banbury
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR11,,"Land at Bolton Road, Banbury",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,445482,240714,2,Unknown ownership,,Not permissioned,,,,,200,"Local Plan strategic allocation - Banbury 8. Proposes 200 dwellings and retail, hotel, leisure and car parking.","Retail, hotel, leisure and car parking (commensurate scale)",,,,,,2018 HELAA site - HELAA257.,04/12/2017,03/12/2018,Banbury
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR12,,"Land at Higham Way, Banbury",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,446500,240186,3,Not owned by a public authority,yes,Not permissioned,,,,,150,Local Plan strategic allocation - Banbury 19. Proposes 150 dwellings.,,,,,,,2018 HELAA site - HELAA254.,04/12/2017,04/12/2017,Banbury
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR15,,"P R Alcock And Sons Ltd, Castle Street, Banbury",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,445571,240807,0.16,Not owned by a public authority,yes,Not permissioned,,,,,5,15/01788/F - Redevelopment of the existing builders yard buildings to create 4 No dwellings and the extension of the existing terrace of dwellings to create 1 No further dwelling.,,,,,,,Planning permission expired in November 2018.,04/12/2017,04/12/2017,Banbury
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR16,,"Poundland, 1 - 6 Malthouse Walk, Banbury",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,445797,240546,0.07,Not owned by a public authority,yes,Not permissioned,,,,,20,15/01691/O56 - Change of use of building (first and second floors) from class B1(a) offices to class C3 dwelling houses (20 No one bedroom flats).,,,,,,,Planning permission expired in November 2018.,04/12/2017,30/10/2019,Banbury
