OrganisationURI,SiteReference,SiteNameAddress,GeoY,GeoX,SiteplanURL,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/unitary-authority/luton,SHLAA138,"High Town Block C, Midland Road Passage",51.883154,-0.413124,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/138-and-139.pdf,0.16,,not permissioned,,,,,6,7,,No planning history provided as site covers multiple plots with multiple histories,2017-12-01,2019-11-18,
http://opendatacommunities.org/id/unitary-authority/luton,SHLAA148,Station Quarter,51.881328,-0.412433,https://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps1/148-and-149.pdf,1.48,,not permissioned,,,,,375,413,,No planning history provided as site covers multiple plots with multiple histories,2017-12-01,2019-11-18,
http://opendatacommunities.org/id/unitary-authority/luton,SHLAA149,Marsh Farm Central Area,51.917995,-0.453512,https://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps1/148-and-149.pdf,3.91,,permissioned,full planning permission,2018-12-09,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0029QGKGLI000,yes,94,103,,,2017-12-01,2019-11-18,
http://opendatacommunities.org/id/unitary-authority/luton,SHLAA150,Power Court,51.879618,-0.40828,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/150-and-151.pdf,7.21,,permissioned,full planning permission,2019-09-30,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=IHI6YZKGM5018,,550,605,,Temporary permission for use as car parking exists (17/00976/TEMP),2017-12-01,2019-11-18,
http://opendatacommunities.org/id/unitary-authority/luton,SHLAA160,Moreton Park Estate,51.892792,-0.399109,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/160-and-161.pdf,0.83,,permissioned,full planning permission,2018-07-27,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0020XNKGLI000,yes,41,45,,,2017-12-01,2019-11-18,
http://opendatacommunities.org/id/unitary-authority/luton,SHLAA161,"Oxen Industrial Estate, Oxen Road",51.887092,-0.405778,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/160-and-161.pdf,0.6,,not permissioned,,,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001UOTKGLI000,,48,53,,,2017-12-01,2019-11-18,
http://opendatacommunities.org/id/unitary-authority/luton,SHLAA174,Land at Caleb Close,51.89343,-0.448048,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/174-and-175.pdf,2.5,,permissioned,full planning permission,2018-03-09,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=MDFDW6KG09800,yes,208,229,,The site also has extant permission (15/01507/OUT),2017-12-01,2019-11-18,
http://opendatacommunities.org/id/unitary-authority/luton,SHLAA175,Car Parks on Dunstable Place,51.879201,-0.420048,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/174-and-175.pdf,0.29,,not permissioned,,,,,41,45,,No planning history provided as site covers multiple plots with multiple histories,2017-12-01,2019-11-18,
http://opendatacommunities.org/id/unitary-authority/luton,SHLAA180,Dalroad Industrial Estate,51.883456,-0.434327,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/180-and-181.pdf,0.79,,pending decision,,,,,32,35,,No planning history provided as site covers part of wider employment estate,2017-12-01,2019-11-18,
http://opendatacommunities.org/id/unitary-authority/luton,SHLAA183,"The Windsor Castle, 12 Albert Road",51.875393,-0.411712,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/182-and-183.pdf,0.08,,permissioned,full planning permission,2017-06-16,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=M8UM6IKG09600,yes,119,131,,The permission applies across this site and site reference SHLAA222,2017-12-01,2019-11-18,
http://opendatacommunities.org/id/unitary-authority/luton,SHLAA188,142-144 Midland Road,51.883341,-0.416343,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/187-and-188.pdf,0.08,,permissioned,full planning permission,2018-12-18,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001P6MKGLI000,yes,47,52,,"The site also benefits for other, extant permissions (17/02167/FUL)",2017-12-01,2019-11-18,
http://opendatacommunities.org/id/unitary-authority/luton,SHLAA190,Extension to Mall,51.880502,-0.415135,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/189-and-190.pdf,2.4,,not permissioned,,,,,35,39,,No planning history provided as site covers multiple plots with multiple histories,2017-12-01,2019-11-18,
http://opendatacommunities.org/id/unitary-authority/luton,SHLAA191,"Napier Park, Kimpton Road",51.876775,-0.395596,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/191-and-192.pdf,24.44,,permissioned,full planning permission,2017-08-11,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=MDFQB2KG09600,yes,1268,1395,,Other parts of the site also have extant permission  (16/01340/REM and 17/00283/FUL ,2017-12-01,2019-11-18,
http://opendatacommunities.org/id/unitary-authority/luton,SHLAA198,Rear of 66-76 Castle Street,51.874744,-0.41756,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/197-and-198.pdf,0.21,,not permissioned,,,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=JDRB9ZKG47000,,11,12,,,2017-12-01,2019-11-18,
http://opendatacommunities.org/id/unitary-authority/luton,SHLAA199,27-37 Chapel Street,51.876048,-0.416962,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/199-and-200.pdf,0.14,,permissioned,full planning permission,2017-03-30,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=IGS8MXKGM5000,yes,18,20,,,2017-12-01,2019-11-18,
http://opendatacommunities.org/id/unitary-authority/luton,SHLAA202,37-47 Cheapside,51.880151,-0.414465,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/201-and-202.pdf,0.11,,not permissioned,,,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=HDFKADKGD0000,,59,65,,,2017-12-01,2019-11-18,
http://opendatacommunities.org/id/unitary-authority/luton,SHLAA208,13-31 Dunstable Road,51.881527,-0.424499,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/207-and-208.pdf,0.24,,permissioned,full planning permission,2017-11-17,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001YY1KGLI000,yes,183,201,,,2017-12-01,2019-11-18,
http://opendatacommunities.org/id/unitary-authority/luton,SHLAA210,"Land opposite Whitbread House, Flowers Way",51.876803,-0.414248,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/209-and-210.pdf,0.45,,permissioned,full planning permission,2017-10-13,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001Z7AKGLI000,yes,318,350,,,2017-12-01,2019-11-18,
http://opendatacommunities.org/id/unitary-authority/luton,SHLAA213,33 Guildford Street,51.880589,-0.412953,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/213-and-214.pdf,0.01,,permissioned,full planning permission,2019-06-21,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=N4JFA5KG09600,,11,12,,The permission applies across this site and site reference SHLAA214,2017-12-01,2019-11-18,
http://opendatacommunities.org/id/unitary-authority/luton,SHLAA214,35 Guildford Street,51.880537,-0.413071,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/213-and-214.pdf,0.04,,permissioned,full planning permission,2019-06-21,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=N4JFA5KG09600,,14,15,,The permission applies across this site and site REFERENCE 213,2017-12-01,2019-11-18,
http://opendatacommunities.org/id/unitary-authority/luton,SHLAA218,39-51 John Street,51.880227,-0.412748,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/217-and-218.pdf,0.03,,not permissioned,,,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001NAGKGLI000,,39,43,,,2017-12-01,2019-11-18,
http://opendatacommunities.org/id/unitary-authority/luton,SHLAA220,"Luton Town Football Club, Kenilworth Road",51.884113,-0.431674,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/219-and-220.pdf,1.58,,permissioned,full planning permission,2019-07-11,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001ZW8KGLI000,,59,65,,,2017-12-01,2019-11-18,
http://opendatacommunities.org/id/unitary-authority/luton,SHLAA222,"Crescent House, 1-5 Latimer Road",51.875593,-0.412548,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/221-and-222.pdf,0.17,,permissioned,full planning permission,2017-06-16,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=M8UM6IKG09600,yes,119,131,,The permission applies across this site and site reference SHLAA183,2017-12-01,2019-11-18,
http://opendatacommunities.org/id/unitary-authority/luton,SHLAA241,43 Ridgway Road,51.888359,-0.408363,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/241-and-243.pdf,0.22,,permissioned,full planning permission,2017-04-10,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=P5W32GKG05503,yes,14,15,,,2017-12-01,2019-11-18,
http://opendatacommunities.org/id/unitary-authority/luton,SHLAA254,"Gloucester House 
Manor Road",51.876389,-0.40758,https://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps1/254-and-255.pdf,0.1,,permissioned,full planning permission,2018-11-22,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001O3LKGLI000,yes,5,6,,,2019-11-18,2019-11-18,
http://opendatacommunities.org/id/unitary-authority/luton,SHLAA300,"Chaucer House, 134 Biscot Road",51.890512,-0.428036,https://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps1/300-and-301.pdf,0.14,,permissioned,other,2018-07-17,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001QLDKGLI000,yes,,,,,2018-12-28,2019-11-18,
http://opendatacommunities.org/id/unitary-authority/luton,SHLAA303,Car park adjacent to 69 Adelaide Street,51.877792,-0.422262,https://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps1/302-and-303.pdf,0.13,,permissioned,full planning permission,2018-09-21,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001UYOKGLI000,yes,13,14,,,2017-12-01,2019-11-18,
http://opendatacommunities.org/id/unitary-authority/luton,SHLAA304,89 - 93 Park Street,51.876308,-0.408905,https://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps1/304-and-305.pdf,0.08,,permissioned,full planning permission,2019-06-12,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001OE7KGLI000,,13,14,,,2017-12-01,2019-11-18,
http://opendatacommunities.org/id/unitary-authority/luton,SHLAA320,111 North Street,51.886247,-0.413756,https://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps1/320-and-321.pdf,0.17,,not permissioned,,,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001PERKGLI000,,14,15,,,2017-12-01,2019-11-18,
http://opendatacommunities.org/id/unitary-authority/luton,SHLAA321,"Petrol Station, 116-124 Wingate Road",51.894274,-0.443194,https://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps1/320-and-321.pdf,0.32,,permissioned,outline planning permission,2017-06-05,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001S3ZKGLI000,yes,13,14,,,2017-12-01,2019-11-18,
http://opendatacommunities.org/id/unitary-authority/luton,SHLAA339,Land at Stockingstone Road,51.89344,-0.4058,https://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps1/338-and-339.pdf,2.25,,not permissioned,,,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=00254LKGLI000,,56,62,,,2017-12-01,2019-11-18,
http://opendatacommunities.org/id/unitary-authority/luton,SHLAA345,"Milan Day Centre, Solway Road North",51.901213,-0.440279,https://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps1/344-and-345.pdf,0.2,,permissioned,outline planning permission,2017-11-02,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=00253VKGLI000,yes,8,9,,The permission applies across this site and site reference SHLAA471,2017-12-01,2019-11-18,
http://opendatacommunities.org/id/unitary-authority/luton,SHLAA348,27 Crawley Road,51.883347,-0.422111,https://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/348-and-349.pdf,0.03,,not permissioned,,,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000CQFKGLI000,,11,12,,,2017-12-01,2019-11-18,
http://opendatacommunities.org/id/unitary-authority/luton,SHLAA351,27A Upper George Street,51.879508,-0.420139,https://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps1/350-and-351.pdf,0.1,,permissioned,full planning permission,2018-07-11,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0027X4KGLI000,yes,46,51,,,2017-12-01,2019-11-18,
http://opendatacommunities.org/id/unitary-authority/luton,SHLAA352,40-58 Collingdon Street,51.882121,-0.42057,https://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps1/352-and-353.pdf,0.22,,permissioned,full planning permission,2019-11-12,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001MXFKGLI000,yes,88,97,,Site is under construction from earlier permission (14/01369/FUL),2017-12-01,2019-11-18,
http://opendatacommunities.org/id/unitary-authority/luton,SHLAA353,Car park adjacent to 95 Maple Road East,51.884634,-0.435041,https://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/352-and-353.pdf,0.65,,not permissioned,,,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001RY1KGLI000,,49,54,,,2017-12-01,2019-11-18,
http://opendatacommunities.org/id/unitary-authority/luton,SHLAA359,"Bramingham Centre, Weltmore Road",51.908818,-0.4531,https://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/359-and-360.pdf,1.4,,permissioned,outline planning permission,2017-06-16,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001R8EKGLI000,yes,51,56,,,2017-12-01,2019-11-18,
http://opendatacommunities.org/id/unitary-authority/luton,SHLAA361,2 to 32 Beechwood Road,51.892888,-0.449244,https://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps1/361-and-362.pdf,0.61,,not permissioned,,,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001S75KGLI000,,15,17,,,2017-12-01,2019-11-18,
