OrganisationURI,SiteReference,SiteNameAddress,SiteplanURL,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/dartford,1,"Ebbsfleet Central including car parks and land east
of International Way",https://www.dartford.gov.uk/__data/assets/pdf_file/0006/885849/001-Ebbsfleet-Central-BLR2019.pdf,0.321166,51.439855,31.92,not owned by a public authority,,permissioned,outline planning permission,2003-11-01,,1000,3382,,,2017-12-19,2019-12-16,
http://opendatacommunities.org/id/district-council/dartford,4,"Rear of Two Brewers, 33 Lowfield Street, Dartford DA1 1EW","https://www.dartford.gov.uk/__data/assets/pdf_file/0008/885851/004-Two-Brewers,-Lowfield-Street-BLR2019.pdf",0.216323,51.443171,0.05,not owned by a public authority,yes,permissioned,full planning permission,2015-05-26,https://publicaccess.dartford.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=N5BF90BQ9N000,11,11,,,2017-12-19,2019-12-16,
http://opendatacommunities.org/id/district-council/dartford,5,"St Marys Church Hall, Church Hill, Stone, DA9 9BP",https://www.dartford.gov.uk/__data/assets/pdf_file/0012/885855/005-St-Marys-Church-Hall-BLR2019.pdf,0.26488,51.45048,0.1,not owned by a public authority,yes,permissioned,reserved matters approval,2018-11-09,https://publicaccess.dartford.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PDGD5VBQ00L00,6,6,,,2017-12-19,2019-12-16,
http://opendatacommunities.org/id/district-council/dartford,8,"Land Adjacent To The Rear Of 1-12 Cressener Place, Burnham Road, Dartford",https://www.dartford.gov.uk/__data/assets/pdf_file/0007/885859/008-Land-Adjacent-To-The-Rear-Of-1-12-Cressener-Place-BLR2019.pdf,0.211807,51.45038,0.14,not owned by a public authority,yes,permissioned,full planning permission,2016-12-16,https://publicaccess.dartford.gov.uk/online-applications/applicationDetails.do?keyVal=O7DEOJBQGO900&activeTab=summary,5,5,,,2017-12-19,2019-12-16,
http://opendatacommunities.org/id/district-council/dartford,10,"Steam Crane Wharf, Lower Hythe Street, Dartford","https://www.dartford.gov.uk/__data/assets/pdf_file/0008/885860/010-Steam-Crane-Wharf,-Lower-Hythe-Street-BLR2019.pdf",0.218695,51.45025,0.48,not owned by a public authority,,not permissioned,,,,19,30,,,2017-12-19,2019-12-16,
http://opendatacommunities.org/id/district-council/dartford,14,"Land East Of Lowfield Street, Dartford",https://www.dartford.gov.uk/__data/assets/pdf_file/0009/885861/014-Land-East-of-Lowfield-Street-BLR2019.pdf,0.216804,51.442101,2.55,not owned by a public authority,yes,permissioned,full planning permission,2017-09-07,https://publicaccess.dartford.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OHKJDCBQMMW00,548,548,,,2017-12-19,2019-12-16,
http://opendatacommunities.org/id/district-council/dartford,15,"Former Croxton and Garry Site, Tiltman Avenue, Swanscombe",https://www.dartford.gov.uk/__data/assets/pdf_file/0011/885863/015-Former-Croxton-and-Garry-BLR2019.pdf,0.296768,51.451775,2.57,not owned by a public authority,yes,permissioned,outline planning permission,2018-12-12,http://applications.ebbsfleetdc.org.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OVFNE0UAKRW00,220,220,,,2017-12-19,2017-12-19,
http://opendatacommunities.org/id/district-council/dartford,17,"Station Approach, Dartford DA1 1BP",https://www.dartford.gov.uk/__data/assets/pdf_file/0004/885865/017-Station-Approach-BLR2019.pdf,0.218567,51.447005,1.76,mixed ownership,,not permissioned,,,,106,274,,,2017-12-19,2019-12-16,
http://opendatacommunities.org/id/district-council/dartford,18,"Thames Europort (Dartford International Ferry Terminal), Clipper Boulevard, Dartford",,0.264299,51.455321,17.93,not owned by a public authority,,not permissioned,,,,,,,,2017-12-19,2017-12-19,2019-12-16
http://opendatacommunities.org/id/district-council/dartford,19,"Glentworth Club Site, 154 Lowfield Street, Dartford DA1 1JB",https://www.dartford.gov.uk/__data/assets/pdf_file/0005/885866/019-Glentworth-Club-BLR2019.pdf,0.216359,51.440338,0.55,not owned by a public authority,,not permissioned,,,,10,31,,,2017-12-19,2019-12-16,
http://opendatacommunities.org/id/district-council/dartford,20,"Former Co-Op 20-54 Hythe Street and Westgate Car Park, Kent Road, Dartford",https://www.dartford.gov.uk/__data/assets/pdf_file/0006/885885/020-Former-Co-Op-and-Westgate-Car-Park-BLR2019.pdf,0.215652,51.445657,1.08,mixed ownership,yes,not permissioned,,,,60,140,,,2017-12-19,2019-12-16,
