Organisation URL,Organisation Label,Site Reference,Alt Site Reference,Previously Part Of,Site Name Address,Site Plan URL,Geo X,Geo Y,Hectares,Ownership Status,Deliverable,permission,Permission Type,Permission Date,Planning History,Proposed For PIP,Min Net Dwellings,Development Description,Non Housing Development,Notes,First Added date,Last Updated date,CHECK - SUITABLE,CHECK - AVAILABLE,CHECK - ACHIEVABLE,Part 2,Net Dwellings Range From,New Dwellings Range to,Hazardous Substances,Site Information,Notes.1,First Added Date,Last Updated Date
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/PEN/0133,P62,,"Richardsons Timber Merchants, Scotland Road, Penrith",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/PEN/0133,351121.150944849,530927.500089558,0.320740225149957,not owned by a public authority,,,,,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=12/0320&ApplicationNumber=12%2F0320&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=15/0779&ApplicationNumber=15%2F0779&AddressPrefix=&Postcode=&Submit=Search,,,,,,2017-12-01,2018-12-01,,,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/PEN/0050,P2,,"69 Gilwilly Road, Penrith",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/PEN/0050,351061.27949938,530303.411060796,0.331,not owned by a public authority,Yes,,,,,,14.0,,,,2017-12-01,2018-12-01,yes - Local Plan allocation,yes - Local Plan allocation,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/EAM/0002,"REB3, 14/0151",,"Park Holme, Eamont Bridge",http://eforms.eden.gov.uk/fastweb_upload/2014%20Planning%20Applications/14-0151/0151-Site-Location-Plan.pdf,352356.0,528540.0,0.35,not owned by a public authority,Yes,permission,full planning permission,2014-07-15,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=09/0440&ApplicationNumber=09%2F0440&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=09/0820&ApplicationNumber=09%2F0820&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=10/0900&ApplicationNumber=10%2F0900&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=14/0151&ApplicationNumber=14%2F0151&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=17/0384&ApplicationNumber=17%2F0384&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=07/0388&ApplicationNumber=07%2F0388&AddressPrefix=&Postcode=&Submit=Search,,24.0,Proposed extra care apartments (over 55).,,site is currently under construction,2017-12-01,2018-12-01,yes - extant pp,yes - extant pp,,,,,,,yes - site under construction,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/ALS/0049,AL8,,"Tyne Café and garage buildings, Alston",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/ALS/0049,371726.137114939,546302.93324516,0.351,mixed ownership,Yes,,,,,,18.0,,,,2017-12-01,2018-12-01,yes - Local Plan allocation,yes - Local Plan allocation,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/PEN/0046,"P61, 17/0771",,"Armstrong and Fleming Garage, Roper Street, Penrith",http://eforms.eden.gov.uk/fastweb_upload/2017%20Planning%20Applications/17-0771/17-0771-Site-Location-Plan.pdf,351865.820770484,529897.937900706,0.358307437307518,not owned by a public authority,Yes,permission,full planning permission,2018-03-16,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=04/0949&ApplicationNumber=04%2F0949&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=05/1036&ApplicationNumber=05%2F1036&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=07/0188&ApplicationNumber=07%2F0188&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=07/0658&ApplicationNumber=07%2F0658&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=09/0024&ApplicationNumber=09%2F0024&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=09/0100&ApplicationNumber=09%2F0100&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=16/0765&ApplicationNumber=16%2F0765&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=16/1071&ApplicationNumber=16%2F1071&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=17/0771&ApplicationNumber=17%2F0771&AddressPrefix=&Postcode=&Submit=Search,,54.0,"Demolition of existing buildings and erection of 54no. retirement living apartments, including communal facilities, car parking and landscaping.",,site is currently under construction,2017-12-01,2018-12-01,yes - extant pp,yes - extant pp,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/APP/0053,AP24,,"Land at Westmorland Road, Appleby",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/APP/0053,368519.10446148,520896.273315686,0.504,not owned by a public authority,Yes,,,,,,15.0,,,,2017-12-01,2018-12-01,yes - Local Plan allocation,yes - Local Plan allocation,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/PEN/0132,P77,,"Old Fire Station, Bridge Lane, Penrith",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/PEN/0132,352069.36522837,529408.063581808,0.575385980717256,not owned by a public authority,,,,,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=07/9001&ApplicationNumber=07%2F9001&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=10/9013&ApplicationNumber=10%2F9013&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=14/0577&ApplicationNumber=14%2F0577&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=14/0783&ApplicationNumber=14%2F0783&AddressPrefix=&Postcode=&Submit=Search,,,,,,2017-12-01,2018-12-01,,,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/PEN/0048,P94,,"QEGS Annexe, Ullswater Road, Penrith",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/PEN/0048,351221.475107977,529764.05841045,0.579,not owned by a public authority,Yes,,,,,,18.0,,,,2017-12-01,2018-12-01,yes - Local Plan allocation,yes - Local Plan allocation,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/NEN/0047,LNE3,,"Wright Bros Garage, Nenthead",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/NEN/0047,378027.289814837,543726.076607332,0.586,not owned by a public authority,Yes,,,,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=06/0696&ApplicationNumber=06%2F0696&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=10/1082&ApplicationNumber=10%2F1082&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=12/0599&ApplicationNumber=12%2F0599&AddressPrefix=&Postcode=&Submit=Search │  http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=16/0071&ApplicationNumber=16%2F0071&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=17/0179&ApplicationNumber=17%2F0179&AddressPrefix=&Postcode=&Submit=Search,,13.0,,,,2017-12-01,2018-12-01,yes - Local Plan allocation,yes - Local Plan allocation,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/SHA/0052,LSH16,,"Former Food Factory, Shap",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/SHA/0052,356460.426257505,514347.900468756,0.631,not owned by a public authority,,permission,full planning permission,2018-05-30,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=18/0167&submit1=View+current+applications,,15.0,Partial Demolition of Industrial Building and Erection of New B8 / B2 Unit.,,"Despite the site's allocation in the Local Plan for housing, planning permission was granted in May 2018 to redevelop the existing employment site for B2/B8 purposes",2017-12-01,2018-12-01,yes - Local Plan allocation,yes - Local Plan allocation,,,,,,,,,
