OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/district-council/north-warwickshire,North Warwickshire Borough Council,BFR001,,"Former Leisure Centre, Park Road, Coleshill",,OSGB36,419785,288910,0.32,owned by a public authority,yes,pending decision,,,,,23,"The land is allocated for residential development within the New Local Plan, reference H4",,,,,,,An application is currently being considered by the authority for 23 dwellings on the site - PAP/2018/0030,13/12/2018,13/12/2018
http://opendatacommunities.org/id/district-council/north-warwickshire,North Warwickshire Borough Council,BFR002,,"Former Polesworth Learning Centre, High Street, Polesworth",,OSGB36,426363,302528,0.62,not owned by a public authority,yes,pending decision,,,,,11,"The land is allocated for residential development within the New Local Plan, reference H10",,,,,,,An application is currently being considered by the authority for 11 dwellings on the site - PAP/2017/0425,13/12/2018,13/12/2018
http://opendatacommunities.org/id/district-council/north-warwickshire,North Warwickshire Borough Council,BFR003,,"Land at Spon Lane, Grendon (former Sparrowdale School and Former Recycling Centre)",,OSGB36,427619,299548,2.1,owned by a public authority,yes,pending decision,,,,,56,"The land is allocated for residential development within the New Local Plan, reference H17",,,,,,,An application is currently being considered by the authority for 56 dwellings on the site - PAP/2018/0287,13/12/2018,13/12/2018
http://opendatacommunities.org/id/district-council/north-warwickshire,North Warwickshire Borough Council,BFR004,,"Water Orton Primary School, Attleborough Lane, Water Orton ",,OSGB36,417596,290571,2.8,owned by a public authority,yes,not permissioned,,,,,48,"The land is allocated for residential development within the Submission Local Plan, reference H21",,,,,,,,13/12/2018,13/12/2018
http://opendatacommunities.org/id/district-council/north-warwickshire,North Warwickshire Borough Council,BFR005,,"Land at Village Farm, Birmingham Road, Ansley",,OSGB36,429594,291905,0.6,not owned by a public authority,yes,not permissioned,,,,,12,"The land is allocated for residential development within the Submission Local Plan, reference H22",,,,,,,,13/12/2018,13/12/2018
http://opendatacommunities.org/id/district-council/north-warwickshire,North Warwickshire Borough Council,BFR006,,"Ex Police Station, Park Road, Coleshill",,OSGB36,419674,288867,0.58,not owned by a public authority,yes,permissioned,full planning permission,12/10/2016,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=112999,,16,"Demolition of existing police station building. Construction of four storey (including basement) Care Home (use class C2), with associated car parking.",,,,,,,"Site currently under construction, if units are not complete, could be suitable for residentilal use",13/12/2018,13/12/2018
http://opendatacommunities.org/id/district-council/north-warwickshire,North Warwickshire Borough Council,BFR007,,"Ansley Social Club, Birmingham Road, Ansley",,OSGB36,429981,291418,0.31,not owned by a public authority,yes,permissioned,outline planning permission,04/10/2017,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=114172,,10,"Outline application (all matters reserved) for the demolition of former social club and residential dwelling and the erection of up to 10 dwellings, along with associated open space and drainage infrastructure",,,,,,,"Variation of conditions approved in 2018, PAP/2017/0683",13/12/2018,13/12/2018
http://opendatacommunities.org/id/district-council/north-warwickshire,North Warwickshire Borough Council,BFR008,,"Britannia Mill, Coleshill Road, Atherstone",,OSGB36,430657,297398,0.42,not owned by a public authority,yes,permissioned,full planning permission,17/01/2017,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=111425,,59,"Part demolition, new build & refurbishment to create 59  residential dwellings ",,,,,,Listed Building,"Discharge of conditions applications currently under consideration, DOC/2018/0095 and DOC/2018/0096",13/12/2018,13/12/2018
http://opendatacommunities.org/id/district-council/north-warwickshire,North Warwickshire Borough Council,BFR009,,"Durnos Nurseries, Old Holly Lane, Atherstone",,OSGB36,430481,298924,3.65,not owned by a public authority,yes,permissioned,full planning permission,,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=110855,,121,Demolition of Virginia House and nursery buildings and erection of 121 dwellings with public open space and associated infrastructure,,,,,,,"On-going dicussions between LPA and developer with regards to S106 agreements, decision pending",13/12/2018,13/12/2018
http://opendatacommunities.org/id/district-council/north-warwickshire,North Warwickshire Borough Council,BFR010,,"Phoenix Yard, Church Street, Atherstone",,OSGB36,430735,297927,0.6,not owned by a public authority,yes,permissioned,full planning permission,16/10/2007,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=81727,,73,"Planning Permission and Conservation Area Consent to demolish unlisted buildings within the Atherstone Conservation Area, and to redevelop the site so as to provide 73 residential units through conversion and new build, together with associated access and parking provision",,,,,,,"Variation of conditions approved in 2013, PAP/2013/0405, Further application expected this year",13/12/2018,13/12/2018
