OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,Development Description,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,BNG_Easting,BNG_Northing,
http://opendatacommunities.org/id/district-council/bolsover,Bolsover District Council,15/00218/FUL,,"""The Sportsman, New Bolsover, Bolsover, Chesterfield, S44 6QD""",https://www.bolsover.gov.uk/images/LIVE/Brownfield_Land_Register/The-Sportsman-New-Bolsover.pdf,ETRS89,-1.30583,53.22861,0.05,not owned by a public authority,yes,permissioned,full planning permission,2015-06-23,http://planning.bolsover.gov.uk/online-applications/applicationDetails.do?keyVal=NNXLE4DD06X00&activeTab=summary,,6,"The application is for the conversion of the building to 5, one bedroom flats and 1, two bedroom flat. The proposal includes internal alterations, external repairs and installation of new windows. ",,,,,,,,2017-10-31,2018-10-31,446438,370397,
http://opendatacommunities.org/id/district-council/bolsover,Bolsover District Council,16/00504/FUL,,"""Shirebrook Miners Welfare Institute, Central Drive, Shirebrook, Mansfield, NG20 8BA""",https://www.bolsover.gov.uk/images/LIVE/Brownfield_Land_Register/Shirebrook-Miners-Welfare.pdf,ETRS89,-1.21846,53.20153,0.2,not owned by a public authority,yes,permissioned,full planning permission,2017-01-23,http://planning.bolsover.gov.uk/online-applications/applicationDetails.do?keyVal=OEXZ81DDIY400&activeTab=summary,,7,First floor extension to side/rear to create 7 apartments at first and second floor and refurbishment of miners welfare club ,Refurbishment of miners welfare club ,,,,,,,2017-10-31,2018-10-31,452303,367445,
http://opendatacommunities.org/id/district-council/bolsover,Bolsover District Council,17/00082/OUT,,"""The White Swan, Market Place, Bolsover, Chesterfield, S44 6PH""",https://www.bolsover.gov.uk/images/LIVE/Brownfield_Land_Register/The-White-Swan-Bolsover.pdf,ETRS89,-1.29166,53.23012,0.2,not owned by a public authority,yes,permissioned,outline planning permission,2017-04-04,http://planning.bolsover.gov.uk/online-applications/applicationDetails.do?keyVal=OLS1IKDDMPW00&activeTab=summary,,14,Residential development on land to the rear of the White Swan and the conversion of the pub to create retail use at ground floor with 3 or 4 apartments to the first floor. ,Conversion of the pub to create retail use at ground floor.,,,,,,,2017-10-31,2018-10-31,447382,370574,
http://opendatacommunities.org/id/district-council/bolsover,Bolsover District Council,17/00104/FUL,,"""Land along Railway, North East of Southfield Lane, Whitwell""",https://www.bolsover.gov.uk/images/LIVE/Brownfield_Land_Register/Land-Along-Railway-Southfield-Lane-Whitwell.pdf,ETRS89,-1.20208,53.2793,0.83,not owned by a public authority,yes,pending decision,full planning permission,,http://planning.bolsover.gov.uk/online-applications/applicationDetails.do?keyVal=OME71SDD04100&activeTab=summary,,19,Erection of 19 dwellings. ,,,,,,,,2017-10-31,2018-10-31,453301,376108,
http://opendatacommunities.org/id/district-council/bolsover,Bolsover District Council,17/00114/FUL,,"""Site of Bolsover District Council Depot, Meadow Lane, South Normanton""",https://www.bolsover.gov.uk/images/LIVE/Brownfield_Land_Register/Former-District-Council-Depot-Meadow-Lane-Bolsover.pdf,ETRS89,-1.34248,53.11025,0.28,owned by a public authority,yes,permissioned,full planning permission,2017-11-22,http://planning.bolsover.gov.uk/online-applications/applicationDetails.do?keyVal=OMI9YDDDFGV00&activeTab=summary,,10,Residential development for 10 two storey dwellings with associated parking spaces and landscaping,,,,,,,,2017-10-31,2018-10-31,444112,357207,
http://opendatacommunities.org/id/district-council/bolsover,Bolsover District Council,Bolsover-35,,"""Fourways Garage, Rotherham Road, Bolsover""",https://www.bolsover.gov.uk/images/LIVE/Brownfield_Land_Register/Fourways-Garage-Rotherham-Road-Bolsover.pdf,ETRS89,-1.27021,53.22368,0.42,not owned by a public authority,,not permissioned,,,,,12,The site is curently in use as a car sales depot and does not have planning permission.  The site could accommodate 12 dwellings. ,,,,,,http://www.bolsover.gov.uk/images/LIVE/P/Plan_EB_HLAA_Summaries_Bolsover_1710.pdf,,2017-10-31,2018-10-31,448821,369872,
http://opendatacommunities.org/id/district-council/bolsover,Bolsover District Council,Clowne-17,,"""Land East of Station Road, Clowne""",https://www.bolsover.gov.uk/images/LIVE/Brownfield_Land_Register/Land-East-of-Station-Road-Clowne.pdf,ETRS89,-1.2589,53.27633,1.75,not owned by a public authority,,not permissioned,,,,,52,The site is currently in use as a waste management depot and does not have planning permission.  The site could accommodate 52 dwellings.    ,,,,,,http://www.bolsover.gov.uk/images/LIVE/P/Plan_EB_HLAA_Summaries_Clowne_1710.pdf,,2017-10-31,2018-10-31,449516,375737,
http://opendatacommunities.org/id/district-council/bolsover,Bolsover District Council,16/00530/FUL,,"""Land at former Shirebrook Station, Shirebrook""",https://www.bolsover.gov.uk/images/LIVE/Brownfield_Land_Register/Former-Shirebrook-Station.pdf,ETRS89,-1.21264,53.21309,2.2,not owned by a public authority,yes,permissioned,full planning permission,2017-04-17,https://planning.bolsover.gov.uk/online-applications/applicationDetails.do?keyVal=OFPP54DD06X00&activeTab=summary,,68,This former railway land site could accommodate 68 dwellings.  ,,,,,,,,2017-10-31,2018-10-31,452674,368733,
http://opendatacommunities.org/id/district-council/bolsover,Bolsover District Council,18/00452/OUT,,"""Former Whitwell Colliery, Whitwell""",https://www.bolsover.gov.uk/images/LIVE/Brownfield_Land_Register/Whitwell-Tip--Surrounding-Land.pdf,ETRS89,-1.19975,53.2787,9.68,not owned by a public authority,,pending decision,outline planning permission,,https://planning.bolsover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PE6DFPDD0HN00,,186,This site is part of a colliery tip and could accommodate 186 dwellings.   ,,,,,,http://www.bolsover.gov.uk/images/LIVE/P/Plan_EB_HLAA_Summaries_Whitwell_1710.pdf,"The LAA shows a much larger site, however that includes an area of greenfield land which is not included within the figures recorded in this register.   ",2017-10-31,2018-10-31,453619,376113,
http://opendatacommunities.org/id/district-council/bolsover,Bolsover District Council,17/00314/FUL,,"""Former Courtaulds PLC, Oxcroft Lane, Bolsover""",https://www.bolsover.gov.uk/images/LIVE/Brownfield_Land_Register/Former-Courtaulds-PLC-Oxcroft-Lane.pdf,ETRS89,-1.28894,53.23773,1.4,not owned by a public authority,yes,permissioned,full planning permission,2017-11-15,https://planning.bolsover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ORYCA4DDIJ700,,35,Residential development of 35 dwellings (a revised scheme of a part implemented permission),,,,,,,,2018-10-31,2018-10-31,447555,371422,
