OrganisationURI,OrganisationLabel,Site Ref,PreviouslyPartOf,SiteNameAddress,SitePlanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,Ownership Status,Site Yes (within 5 years),Planning_Status_Reference,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,
http://opendatacommunities.org/id/metropolitan-district-council/sandwell,Sandwell MBC,1440,,"John Street North,
West Bromwich",http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,OSG36,399892,291968,0.50,,,Permissioned,Other,2012,,No,18,,,,,30/06/2016,15/01/2020,
http://opendatacommunities.org/id/metropolitan-district-council/sandwell,Sandwell MBC,1440,,"John Street North,
West Bromwich",http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,OSG36,399892,291968,1.40,,Yes,Permissioned,Full,13.09.2019,,No,31,,,,DC/19/62932,15/01/2020,,
http://opendatacommunities.org/id/metropolitan-district-council/sandwell,Sandwell MBC,1443,,"Working Mens Club,
Cardigan Close,
West Bromwich",http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,OSG36,400194,293024,0.14,,,Permissioned,Other,2012,,No,5,,,,,30/06/2016,30/06/2016,
http://opendatacommunities.org/id/metropolitan-district-council/sandwell,Sandwell MBC,1446,,"(Site of Former Primrose Centre),                                               Holly Lane Clinic,
St. Pauls Road,
Smethwick",http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,OSG36,401343,289192,0.18,Not in Public Ownership,,Permissioned,Other,2012,,No,16,,,,,30/06/2016,30/06/2016,
http://opendatacommunities.org/id/metropolitan-district-council/sandwell,Sandwell MBC,1451,,"28-64 High Street,
West Bromwich",http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,OSG36,401044,290609,1.04,,,Permissioned,Other,2012,,No,53,,,,,30/06/2016,30/06/2016,
http://opendatacommunities.org/id/metropolitan-district-council/sandwell,Sandwell MBC,1456,,"Sandwell College,
Smethwick Campus,
Crocketts Lane,
Smethwick",http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,OSG36,402391,288347,2.41,Not in Public Ownership,Yes,Permissioned,Full,21.03.2016,,No,181,,,,all under construction,30/06/2016,15/01/2020,
http://opendatacommunities.org/id/metropolitan-district-council/sandwell,Sandwell MBC,1461,,"Waterfall Lane (West),
Cradley Heath",http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,OSG36,396288,285996,0.46,,,Permissioned,Other,2012,,No,8,,,,,30/06/2016,15/01/2020,
http://opendatacommunities.org/id/metropolitan-district-council/sandwell,Sandwell MBC,1463,,"Lower City Road,
Oldbury",http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,OSG36,397789,290173,2.33,,,Permissioned,Other,2012,,No,82,,,,,30/06/2016,01/12/2017,
http://opendatacommunities.org/id/metropolitan-district-council/sandwell,Sandwell MBC,1533,,Great Bridge  - Car Park,http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,OSG36,397988,292420,0.37,,Yes,Permissioned,Full,27.04.2017,,No,48,,,,DC/17/60197,30/06/2016,01/12/2017,
http://opendatacommunities.org/id/metropolitan-district-council/sandwell,Sandwell MBC,1546,,"Heartlands Furniture
Cranford Street
Smethwick",http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,OSG36,403764,288256,2.40,,,Permissioned,Other,2012,,No,84,,,,,13/12/2018,01/12/2017,
http://opendatacommunities.org/id/metropolitan-district-council/sandwell,Sandwell MBC,1698,,"Units 1-7 Wellesley Road,
Oldbury",http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,OSG36,400004,288809,0.26,,,Permissioned,Other,2012,,No,9,,,,,30/06/2016,01/12/2017,
http://opendatacommunities.org/id/metropolitan-district-council/sandwell,Sandwell MBC,1727,,"31-33 Carters Green
West Bromwich
B70 9QP",http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,OSG36,399838,291850,0.04,,Yes,Permissioned,Full,26.06.2019,,No,11,,,,DC/18/62016,15/01/2020,,
http://opendatacommunities.org/id/metropolitan-district-council/sandwell,Sandwell MBC,1855,,"Adjacent 12 Bearmore Road
Cradley Heath",http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,OSG36,400004,288809,0.19,,Yes,Permissioned,Full,03.05.2013,,No,20,,,,All under construction,13/12/2018,01/12/2017,
http://opendatacommunities.org/id/metropolitan-district-council/sandwell,Sandwell MBC,1919,,"Former Starlight Auto Sales
Wolverhampton Road
Oldbury",http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,OSG36,398939,287425,0.23,,,Permissioned,Other,2012,,No,14,,,,Allocated,,,
http://opendatacommunities.org/id/metropolitan-district-council/sandwell,Sandwell MBC,1994,,"Land And Premises At Winkle Street And John Street,
West Bromwich",http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,OSG36,399941,291835,0.87,,,Permissioned,Other,2012,,No,31,,,,,30/06/2016,01/12/2017,
http://opendatacommunities.org/id/metropolitan-district-council/sandwell,Sandwell MBC,1997,,"Tudor Works,
36A Windmill Lane,
Smethwick, B66 3EU",http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,OSG36,402965,288018,0.25,,,Permissioned,Other,2012,,No,24,,,,,30/06/2016,30/06/2016,
http://opendatacommunities.org/id/metropolitan-district-council/sandwell,Sandwell MBC,2001,,"Tudor Works,
36A Windmill Lane,
Smethwick, B66 3EU",http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,OSG36,400396,288988,0.17,,,Permissioned,Outline,04.01.2018,,No,7,,,,DC/17/61276,13/12/2018,30/06/2016,
http://opendatacommunities.org/id/metropolitan-district-council/sandwell,Sandwell MBC,2013,,"Land Between No.32 And George Betts School,
West End Avenue,
Smethwick",http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,OSG36,400510,289326,0.29,Public Ownership,,Permissioned,Other,2012,,No,11,,,,,30/06/2016,30/06/2016,
http://opendatacommunities.org/id/metropolitan-district-council/sandwell,Sandwell MBC,2043,,"The Lagoon,
159 High Street,
Princes End,
Tipton",http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,OSG36,395847,293875,0.13,,,Permissioned,Outline,08.12.2017,,No,9,,,,DC/17/61176,30/06/2016,30/06/2016,
http://opendatacommunities.org/id/metropolitan-district-council/sandwell,Sandwell MBC,2085,,"Block A And Block B Brunswick Park Trading Estate,
Brunswick Park Road,
Wednesbury",http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,OSG36,399775,295716,0.39,,Yes,Permissioned,Full,31.03.2008,,No,54,,,,12 units completed,30/06/2016,30/06/2016,
http://opendatacommunities.org/id/metropolitan-district-council/sandwell,Sandwell MBC,2172,,"Land at 12 Grange Road and The Wharf PH
Grange Road
Cradley Heath",http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,OSG36,396476,285946,1.00,,,Permissioned,Other,2012,,No,40,,,,,01/12/2017,01/12/2017,
http://opendatacommunities.org/id/metropolitan-district-council/sandwell,Sandwell MBC,2192,,"Land at Mill Lane,
Oldbury",http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,OSG36,399507,288041,2.40,,Yes,Permissioned,Full,21.03.2016,,No,85,,,,DC/18/61546,30/06/2016,30/06/2016,
