OrganisationURI,OrganisationLabel,SIteReference,PreviouslyPartOf,SiteNameAddress,SitePlanURL,CoordinateReferenceSystem,GeoX,GeoY,Easting,Northing,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/BAR/003,,"""Beaufort Walk, Gorwell   Barnstaple EX32 7JD""",https://www.northdevon.gov.uk/media/379119/bfl-bar-003-beaufort-walk-barnstaple-1-1250.pdf,ETRS89,-4.0470982356,51.0837527859,256715,133598,0.41,Not owned by a Public Authority,Yes,Pending Decision,Permission in principle,,,,32,"""DEMOLITION OF EXISTING DWELLINGS & CAR PARKING AREAS & ERECTION OF 32 DWELLINGS, COMMUNITY CENTRE & ASSOCIATED AMENITY SPACE, LANDSCAPING & PARKING""",,,32,,,,"""Gross 32 residential units net 16.""",2017-08-02,2018-12-17
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/ILF/006,,"""Willow Court, Torrs Park   ILFRACOMBE EX34 8AZ""",https://www.northdevon.gov.uk/media/379133/bfl-ilf-006-willow-court-torrs-park-ilfracombe-1-1250.pdf,ETRS89,-4.1307075534,51.2065305758,251255,147416,0.24,Not owned by a Public Authority,Yes,Permissioned,Full planning permission,2007-02-22,,,6,"""CONVERSION OF NURSING HOME TO FORM 11 APARTMENTS""",,,6,,,,"""Planning permission has been implemented and part of the development has been completed. Of the remaining part, the central link is currently under construction but the remaining part of the site has stalled. Six units remain undeveloped.""",2017-08-02,2018-12-17
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/GEO/012,,"""Bay View Farm, Croyde Road Croyde  Braunton EX33 1PN""",https://www.northdevon.gov.uk/media/379129/bfl-geo-012-bay-view-caravan-park-croyde-1-750.pdf,ETRS89,-4.2266187219999996,51.1269849367,244288,138770,0.25,Not owned by a Public Authority,,Not permissioned,,,,,3,,,,3,6.0,,,"""Car parking / reception area and traditional stone barn attached to existing camping and caravan site.""",2017-08-02,2018-12-17
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/GEO/017,,"""Fairleigh, Crowborough Road Georgeham  Braunton EX33 1JZ""",https://www.northdevon.gov.uk/media/379130/bfl-geo-017-fairleigh-crowborough-road-georgeham-1-1250.pdf,ETRS89,-5.9328850215,51.0874951222,124688,139380,0.37,Not owned by a Public Authority,,Permissioned,Full planning permission,2017-04-19,,,8,"""DEMOLITION OF EXISTING BUILDINGS & ERECTION OF 8 DWELLINGS TOGETHER WITH THE ERECTION OF 2 ADDITIONAL DWELLINGS (GROSS 10 NET 8)""",,,8,10.0,,,"""Gross 8 residential units net 6.

63390 : ERECTION OF TWO DWELLINGS (ADDITIONAL TO 8 APPROVED DWELLING UNDER PLANNING PERMISSION 59996). Approved subject to s106.""",2017-08-02,2018-12-17
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/BAR/018,,"""The Tile Centre, 113 Boutport Street   Barnstaple EX31 1TD""",https://www.northdevon.gov.uk/media/379116/bfl-bar-018-113-boutport-street-barnstaple-1-750.pdf,ETRS89,-4.0589737839,51.081727437,255877,133396,0.03,Not owned by a Public Authority,Yes,Permissioned,Full planning permission,2018-11-06,,,6,"""ALTERATIONS TO & CONVERSION OF BUILDING TO FORM 6 FLATS TO INCLUDE SEVERAL MINOR AMENDMENTS FROM THE ORIGINAL APPROVAL (61963)""",,,6,6.0,,,,2017-08-02,2018-12-17
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/MOR/021,,"""The Rocks Hotel, Beach Road Woolacombe  Ilfracombe EX34 7BT""",https://www.northdevon.gov.uk/media/379146/bfl-mor-021-the-rocks-hotel-woolacombe-1-750.pdf,ETRS89,-4.2046280206,51.172693654,245979,143806,0.06,Not owned by a Public Authority,Yes,Permissioned,Full planning permission,2015-04-14,,,5,"""RETENTION OF TWO RESIDENTIAL FLATS & EXTENSION / CONVERSION OF HOTEL TO FORM FIVE RESIDENTIAL FLATS""",,,5,7.0,,,"""Gross 7 residential units net 5. Previous planning permission 57076 lapsed in April 2018. No subsequent permissions have been sought as a renewal of the previous consent.""",2017-08-02,2018-12-17
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/ILF/022,,"""John Fowler Holidays, Ilfracombe Holiday Park Marlborough Road  Ilfracombe EX34 8PF""",https://www.northdevon.gov.uk/media/379134/bfl-ilf-022-former-john-fowler-holiday-park-ilfracombe-1-2500.pdf,ETRS89,-4.112173796,51.200103820100004,252529,146664,3.14,Not owned by a Public Authority,Yes,Permissioned,Outline planning permission,2016-06-10,,,60,"""OUTLINE PLANNING APPLICATION FOR DEMOLITION OF HOLIDAY CHALETS, ERECTION OF UP TO 80 DWELLINGS, FORMATION OF PUBLIC OPEN SPACE, RECONFIGURATION OF EXISTING ACCESSES ONTO WORTH ROAD & OLD BARNSTAPLE ROAD""",,,60,80.0,,,,2017-08-02,2018-12-17
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/LAN/027,,"""Westacott Heights, Whiddon Valley   BARNSTAPLE EX32 7NF""",https://www.northdevon.gov.uk/media/379144/bfl-lan-027-westacott-heights-barnstaple-1-1250.pdf,ETRS89,-4.0208502693,51.0787506693,258538,132991,0.6,Not owned by a Public Authority,,Not permissioned,,,,,18,,,,18,21.0,,,"""This site forms part of the strategic urban extension at Westacott in the emerging Local Plan (BAR01). Redevelopment of this brownfield site must not prejudice the comprehensive delivery of BAR01.""",2017-08-02,2018-12-17
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/FRE/028,,"""Land at Yelland Quay, Yelland   BARNSTAPLE EX31 3EZ""",https://www.northdevon.gov.uk/media/379126/bfl-fre-028-land-at-yelland-quay-fremington-1-3500.pdf,ETRS89,-4.1622466572,51.06977088479999,248605,132274,11.9,Not owned by a Public Authority,,Pending Decision,,,,,250,"""OUTLINE APPLICATION FOR 280 DWELLINGS (USE CLASS C3)""","EMPLOYMENT (USE CLASS B1) SPACE OF UP TO 6000 SQM GROSS FLOORSPACE; EMPLOYMENT (USE CLASS B2) SPACE OF UP TO 5,500 SQM; STORAGE OR DISTRIBUTION (CLASS USE B8) SPACE OF UP TO 7000 SQM GROSS FLOORSPACE; COMMUNITY FACILITIES (USE CLASS D1) OF UP TO 300 SQM; RESTAURANT & CAFE (USE CLASS A3) OF UP TO 300 SQM; (C) ALL THE ASSOCIATED INFRASTRUCTURE INCLUDING REMOVAL OF ANY CONTAMINATION, ROADS, FOOTPATHS, CYCLEWAYS, DRAINAGE (INCLUDING ATTENUATION WORKS), FLOOD DEFENCE WORKS, LANDSCAPING, PUBLIC OPEN SPACE, UTILITIES & VEHICLE PARKING ALSO INCLUDING DEMOLITION OF BUILDINGS",,250,280.0,,,"""Site is allocated for approximately 250 dwellings in the Local Plan (FRE02).""",2017-08-02,2018-12-17
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/MOR/029,,"""Panorama, Rockfield Road Woolacombe  Ilfracombe EX34 7DH""",https://www.northdevon.gov.uk/media/379145/bfl-mor-029-panorama-rockfield-road-woolacombe-1-750.pdf,ETRS89,-4.2112746969999995,51.1758597408,245525,144172,0.54,Not owned by a Public Authority,Yes,Permissioned,Full planning permission,2018-10-17,,,5,"""APPLICATION FOR A NON MATERIAL AMENDMENT TO PLANNING PERMISSIONS 56934 (DEMOLITION OF ONE DWELLING & ERECTION OF FIVE FLATS TOGETHER  WITH ASSOCIATED WORKS) & 62118 (NON-MATERIAL AMENDMENT TO PLANNING PERMISSION 56934 IN RESPECT OF ALTERATIONS TO FOOTPRINT TO MEET CURRENT BUILDING REGULATIONS) IN RESPECT OF AMENDED DESIGN & MATERIALS""",,,5,,,,"""Gross 5 residential units net 4.

56934 : DEMOLITION OF ONE DWELLING & ERECTION OF FIVE FLATS TOGETHER  WITH ASSOCIATED WORKS. Approved 02/06/14

54876 : EXTENSION OF TIME LIMIT FOR IMPLEMENTATION OF PLANNING PERMISSION 50819 DEMOLITION OF BUNGALOW & ERECTION OF 5 APARTMENTS TOGETHER WITH  FORMATION OF PARKING AREA. Approved 21/12/12

50819 : EXTENSION OF TIME LIMIT FOR IMPLEMENTATION OF PLANNING PERMISSION 45947 FOR DEMOLITION OF BUNGALOW & ERECTION OF 5 APARTMENTS WITH PARKING AREA. Approved 22/09/10

45947 : DEMOLITION OF BUNGALOW & ERECTION OF 5 APARTMENTS TOGETHER WITH  FORMATION OF PARKING AREA (AMENDMENT TO PLANNING PERMISSION  41949). Approved 31/03/08

41949 : DEMOLITION OF BUNGALOW & ERECTION OF 5 APARTMENTS TOGETHER WITH  FORMATION OF PARKING AREA (AMENDMENT TO PLANNING PERMISSION 40183) (AMENDED PLANS). Approved 08/09/06

40183 : DEMOLITION OF BUNGALOW & ERECTION OF 4 APARTMENTS TOGETHER WITH FORMATION OF PARKING AREA (AMENDED PLANS & DESCRIPTION). Approved 03/01/06""",2017-08-02,2018-12-17
