Organisation URL,Organisation Label,Site Reference,Alt Site Reference,Previously Part Of,Site Name Address,Site Plan URL,Geo X,Geo Y,Hectares,Ownership Status,Deliverable,permission,Permission Type,Permission Date,Planning History,Proposed For PIP,Min Net Dwellings,Development Description,Non Housing Development,Notes,First Added date,Last Updated date,CHECK - SUITABLE,CHECK - AVAILABLE,CHECK - ACHIEVABLE,Part 2,Net Dwellings Range From,New Dwellings Range to,Hazardous Substances,Site Information,Notes.1,First Added Date,Last Updated Date
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/PEN/0130,,,"Telephone Exchange, Friargate, Penrith, CA11 7XR",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/PEN/0130,351846.956856395,530145.547499951,0.483728768291775,not owned by a public authority,,,,,,,,,,,2017-12-01,2018-12-01,,,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/APP/0053,AP24,,"Land at Westmorland Road, Appleby",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/APP/0053,368519.10446148,520896.273315686,0.504,not owned by a public authority,Yes,,,,,,15.0,,,,2017-12-01,2018-12-01,yes - Local Plan allocation,yes - Local Plan allocation,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/PEN/0132,,,"Old Fire Station, Bridge Lane, Penrith",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/PEN/0132,352069.36522837,529408.063581808,0.575385980717256,not owned by a public authority,,,,,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=07/9001&ApplicationNumber=07%2F9001&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=10/9013&ApplicationNumber=10%2F9013&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=14/0577&ApplicationNumber=14%2F0577&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=14/0783&ApplicationNumber=14%2F0783&AddressPrefix=&Postcode=&Submit=Search,,,,,,2017-12-01,2018-12-01,,,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/PEN/0048,P94,,"QEGS Annexe, Ullswater Road, Penrith",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/PEN/0048,351221.475107977,529764.05841045,0.579,not owned by a public authority,Yes,,,,,,18.0,,,,2017-12-01,2018-12-01,yes - Local Plan allocation,yes - Local Plan allocation,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/NEN/0047,LNE3,,"Wright Bros Garage, Nenthead",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/NEN/0047,378027.289814837,543726.076607332,0.586,not owned by a public authority,Yes,,,,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=06/0696&ApplicationNumber=06%2F0696&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=10/1082&ApplicationNumber=10%2F1082&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=12/0599&ApplicationNumber=12%2F0599&AddressPrefix=&Postcode=&Submit=Search │  http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=16/0071&ApplicationNumber=16%2F0071&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=17/0179&ApplicationNumber=17%2F0179&AddressPrefix=&Postcode=&Submit=Search,,13.0,,,,2017-12-01,2018-12-01,yes - Local Plan allocation,yes - Local Plan allocation,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/SHA/0052,LSH16,,"Former Food Factory, Shap",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/SHA/0052,356460.426257505,514347.900468756,0.631,not owned by a public authority,,permission,full planning permission,2018-05-30,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=18/0167&submit1=View+current+applications,,15.0,Partial Demolition of Industrial Building and Erection of New B8 / B2 Unit. ,,"Despite the site's allocation in the Local Plan for housing, planning permission was granted in May 2018 to redevelop the existing employment site for B2/B8 purposes",2017-12-01,2018-12-01,yes - Local Plan allocation,yes - Local Plan allocation,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/PEN/0051,P8,,"Myers Lane depot, Norfolk Road, Penrith",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/PEN/0051,351070.015,529967.568,0.634,not owned by a public authority,Yes,permission,full planning permission,2017-02-09,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=16/1101&submit1=View+current+applications |,,20.0,Extension to existing MOT Servicing & Repair centre to provide additional workshop.,,,2017-12-01,2018-12-01,yes - Local Plan allocation,yes - Local Plan allocation,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/APP/0054,,,"Land at Belgravia, off Long Marton Road, Appleby",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/APP/0054,368265.0,521164.0,0.66,mixed ownership,Yes,,,,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=11/0300&ApplicationNumber=11%2F0300&AddressPrefix=&Postcode=&Submit=Search,,10.0,,,,2017-12-01,2018-12-01,,,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/CUL/0073,LCU3,,"Lime Tree Farm, Culgaith, Penrith, CA10 1QW",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/CUL/0073,360752.0,529656.0,0.76,not owned by a public authority,Yes,,,,,,18.0,,,,2017-12-01,2018-12-01,yes - Local Plan allocation,yes - Local Plan allocation,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/GLA/0139,,,"Farmyard Adjacent Midtown Farm, Glassonby",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/GLA/0139,357769.0,538888.0,0.8,not owned by a public authority,Yes,,,,,,9.0,,,,2017-12-01,2018-12-01,,,,,,,,,,,
http://opendatacommunities.org/doc/district-council/eden,Eden District Council,17/KIN/0091,,,"Land at Hill Top Farm, Kings Meaburn",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/KIN/0091,362019.0,521059.0,0.84,not owned by a public authority,,,,,,,10.0,,,,2017-12-01,2018-12-01,,,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/HHE/0044,15/0841,,"Land at Old Town, High Hesket",http://eforms.eden.gov.uk/fastweb_upload/2015%20Planning%20Applications/15-0841/2.%2012-47-PL110a%20Site%20Location%201-2500%20at%20A4.pdf,347959.0,543753.0,1.05,not owned by a public authority,Yes,permission,outline planning permission,2017-08-23,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=11/0853&ApplicationNumber=11%2F0853&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=15/0840&ApplicationNumber=15%2F0840&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=15/0841&ApplicationNumber=15%2F0841&AddressPrefix=&Postcode=&Submit=Search,,27.0,Residential development with all matters reserved.,,,2017-12-01,2018-12-01,yes - extant pp ,yes - extant pp ,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/GRE/0033,16/0218,,"Mayflower Cottage, Greystoke Gill",http://eforms.eden.gov.uk/fastweb_upload/2016%20Planning%20Applications/16-0218/Site%20Location%20Plan.pdf,345013.0,529776.0,1.5,not owned by a public authority,Yes,permission,full planning permission,2016-08-18,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=08/0551&ApplicationNumber=08%2F0551&AddressPrefix=&Postcode=&Submit=Search │  http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=15/0218&ApplicationNumber=15%2F0218&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=17/0063&ApplicationNumber=17%2F0063&AddressPrefix=&Postcode=&Submit=Search,,2.0,Reinstatement of Mayflower and Ghyll Cottages into two dwellings.,,Planning permission was extant at 1/9/18,2017-12-01,2018-12-01,yes - extant pp ,yes - extant pp ,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/CDY/0146,16/0792,,"Land at Wetheriggs Pottery, Clifton Dykes, Penrith CA10 2DH",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/CDY/0146,355498.0,526254.0,1.6,not owned by a public authority,Yes,permission,full planning permission,2017-02-03,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=16/0792&submit1=View+current+applications,,15.0,"Development for holiday use including the restoration of the existing grade II listed beehive kiln, associated drying sheds and workshops adjoining the kiln as well as the existing engine room. Conversion of existing buildings and new build creating 22 no. holiday apartments, 5 no. holiday lodges, swimming pool, communal building (inclusive of site managers apartment) and associated car park and landscaping. Demolition of former cafe building and numerous outbuildings identified on the proposed site plan drawing.",,,2017-12-01,2018-12-01,yes - extant pp ,yes - extant pp ,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/LSA/0003,14/0354,,"Former Thompsons Board Mill, Little Salkeld",http://eforms.eden.gov.uk/fastweb_upload/2014%20Planning%20Applications/14-0354/0354-Location%20Plan%20-%20fmr%20Thompsons%20Board%20Paper%20Mill%20Little%20Salkeld.pdf,356639.0,535406.0,1.83,not owned by a public authority,Yes,permission,reserved matters approval,2017-10-20,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=14/0354&ApplicationNumber=14%2F0354&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=17/0602&ApplicationNumber=17%2F0602&AddressPrefix=&Postcode=&Submit=Search,,18.0,Outline application for redevelopment of former factory site for residential purposes with all matters reserved.,,,2017-12-01,2018-12-01,yes - extant pp ,yes - extant pp ,,,,,,,yes - permission extant at 30/09/18,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/EAM/0001,09/0098,,"Land at Beacon Farm, Eamont Bridge ",http://eforms.eden.gov.uk/fastweb_upload/2009%20Planning%20Applications/09-0098/0098-Site-Plan.pdf,352068.0,528849.0,1.91,not owned by a public authority,Yes,,,,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=08/0447&ApplicationNumber=08%2F0447&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=09/0098&ApplicationNumber=09%2F0098&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=11/0446&ApplicationNumber=11%2F0446&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=13/0514&ApplicationNumber=13%2F0514&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=15/0095&ApplicationNumber=15%2F0095&AddressPrefix=&Postcode=&Submit=Search,,24.0,,,Planning permission has lapsed (Outline: 09/0098; Reserved Matters: 15/0095),2017-12-01,2018-12-01,yes - extant pp ,yes - extant pp ,,,,,,,Yes albeit permission has lapsed (RM: 15/0095),,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/NEWS/0123,17/0774,,"Land at Newbiggin, Blencow Quarry, Quarry Lane, Newbiggin, CA11 0DE",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/NEWS/0123,346536.0,530263.0,3.11,not owned by a public authority,Yes,pending decision,outline planning permission,,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=08/0731&ApplicationNumber=08%2F0731&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=09/0189&ApplicationNumber=09%2F0189&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=11/0001&ApplicationNumber=11%2F0001&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=12/0405&ApplicationNumber=12%2F0405&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=12/0795&ApplicationNumber=12%2F0795&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=17/0205&ApplicationNumber=17%2F0205&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=17/0774&ApplicationNumber=17%2F0774&AddressPrefix=&Postcode=&Submit=Search,,,Outline application for residential development with all matters reserved,,,2017-12-01,2018-12-01,yes - extant pp ,yes - extant pp ,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/BOL/0043,15/0728,,"Eden Grove, Bolton",http://eforms.eden.gov.uk/fastweb_upload/2015%20Planning%20Applications/15-0728/PL-01%20Existing%20Site%20Location%20Plan.pdf,363808.0,523539.0,8.5,not owned by a public authority,Yes,permission,full planning permission,2017-02-20,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=07/0603&ApplicationNumber=07%2F0603&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=08/0288&ApplicationNumber=08%2F0288&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=10/0689&ApplicationNumber=10%2F0689&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=11/0400&ApplicationNumber=11%2F0400&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=15/0633&ApplicationNumber=15%2F0633&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=15/0728&ApplicationNumber=15%2F0728&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=15/0917&ApplicationNumber=15%2F0917&AddressPrefix=&Postcode=&Submit=Search,,31.0,converson of buildings to residential use and construction of new dwellings to provide 31 units on site,,,2017-12-01,2018-12-01,yes - extant pp ,yes - extant pp ,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/PEN/0027,15/1027,,"21 Sandgate, Penrith",http://eforms.eden.gov.uk/fastweb_upload/2015%20Planning%20Applications/15-1027/1027-Location-Plan.pdf,351733.0,530317.0,,not owned by a public authority,Yes,permission,full planning permission,2016-01-14,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=11/0698&ApplicationNumber=11%2F0698&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=15/1027&ApplicationNumber=15%2F1027&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=16/0529&ApplicationNumber=16%2F0529&AddressPrefix=&Postcode=&Submit=Search,,1.0,Change of use of beauty salon to residential.,,,2017-12-01,2018-12-01,yes - extant pp ,yes - extant pp ,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,18/KST/0001,17/0075,17/KST/0039,"Potlands House, South Road, Kirkby Stephen",http://eforms.eden.gov.uk/fastweb_upload/2017%20Planning%20Applications/17-0075/17-0075-Amended-Location-Plan.pdf,377042.16,507592.28,0.4,,Yes,permission,full planning permission,,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=17/0075&submit1=View+current+applications,,1.0,Change of use of gymnasium to residential dwelling including alterations (revision of approval 16/0803).,,Permission in the process of being implemented at 1/9/18,2018-12-01,,yes - extant pp ,yes - extant pp ,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,18/YAN/0002,17/0159,,"Former Yanwath Care Home, Yanwath",http://eforms.eden.gov.uk/fastweb_upload/2017%20Planning%20Applications/17-0159/17-0159-Site%20Location%20Plan.pdf,351104.34,527910.03,0.5,,Yes,permission,full planning permission,2017-06-30,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=17/0159&submit1=View+current+applications,,8.0,Demolition of existing care home and construction of 8 new dwellings,,site under construction at 1/9/18,2018-12-01,,yes - extant pp ,yes - extant pp ,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,18/NEWS/0003,17/0725,,"Land at Fell View, Newbiggin",http://eforms.eden.gov.uk/fastweb_upload/2017%20Planning%20Applications/17-0725/17-0725-Location-Plan.pdf,347054.05,529453.4,0.26,,Yes,permission,full planning permission,2017-11-10,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=17/0725&submit1=View+current+applications,,2.0,Demolition and replacement of two dwellings.,,,2018-12-01,,yes - extant pp ,yes - extant pp ,,,,,,,,,
