OrganisationURI,SiteReference,SiteNameAddress,SiteplanURL,GeoY,GeoX,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/geography/administration/nmd/E07000089,15/01083/FUL,"Rose Court, Rye Common Lane, Crondall, Farnham, GU10 5DD",https://publicaccess.hart.gov.uk/online-applications/,51.246721,-0.878382,0.3,not owned by a public authority,permissioned,full planning permission,10/09/2015,,,14,14,,"Demolition of office building, car parking and hard standing and erection of new building to create 14 x 2 bed apartments. Development complete at April 2019.",22/12/2017,22/12/2017,20/11/2019
http://opendatacommunities.org/id/geography/administration/nmd/E07000089,14/00106/MAJOR,"Land Rear Of, 102-108 Fleet Road, Fleet, Hampshire, GU51 4PA",https://publicaccess.hart.gov.uk/online-applications/,51.2828,-0.840724,0.09,not owned by a public authority,permissioned,reserved matters approval,01/07/2015,,,12,12,,Reserved matters 15/00276/REM granted for demolition of existing storage buildings and erection of a single block containing 10 x 1-bed & 2 x 2-bed residential flats. Development complete at April 2019.,22/12/2017,22/12/2017,20/11/2019
http://opendatacommunities.org/id/geography/administration/nmd/E07000089,15/01540/FUL,"Pioneer House, Unit 2 Fleetwood Park, Barley Way, Fleet, Hampshire",https://publicaccess.hart.gov.uk/online-applications/,51.298456,-0.831667,0.48,not owned by a public authority,permissioned,full planning permission,14/10/2015,,Y,33,33,,Conversion of the building into 33 residential units. Application lapsed 2018-10-14.,22/12/2017,22/12/2017,20/11/2019
http://opendatacommunities.org/id/geography/administration/nmd/E07000089,16/01441/FUL,"Oak House, Harvest Crescent, Fleet, Hampshire, GU51 2QW",https://publicaccess.hart.gov.uk/online-applications/,51.298164,-0.82585,0.61,not owned by a public authority,permissioned,full planning permission,14/11/2016,,,14,31,,To create 14 new flats on the second floor of Oak House. Previous approval 16/01445/PRIOR for Change of use from offices (Class B1a) to form 31 apartments granted 2016-07-26.,22/12/2017,22/12/2017,
http://opendatacommunities.org/id/geography/administration/nmd/E07000089,17/00530/FUL,"White Hart House, London Road, Blackwater, Camberley, Surrey, GU17 9AD",https://publicaccess.hart.gov.uk/online-applications/,51.331569,-0.777384,0.16,not owned by a public authority,permissioned,full planning permission,07/09/2017,,,5,23,,Construction of a new 3rd floor for 5 apartments. Previous approval 16/03072/PRIOR for Change of use of 1st and 2nd floors from B1(a) to 18 dwellings granted 2017-01-19. Development complete  at April 2019.,22/12/2017,22/12/2017,21/11/2019
http://opendatacommunities.org/id/geography/administration/nmd/E07000089,17/01111/FUL,"Land To The Rear Of, Acorn House, Elms Road, Hook, Hampshire, RG27 9DU",https://publicaccess.hart.gov.uk/online-applications/,51.283276,-0.962391,0.18,not owned by a public authority,permissioned,full planning permission,18/08/2017,,Y,5,5,,Erection of 5 dwellings,22/12/2017,22/12/2017,
http://opendatacommunities.org/id/geography/administration/nmd/E07000089,15/00230/FUL,"Fleet Autos, St James Road, Fleet, Hampshire, GU51 3YX",https://publicaccess.hart.gov.uk/online-applications/,51.277732,-0.845712,0.05,not owned by a public authority,permissioned,full planning permission,06/07/2015,,Y,5,5,,"Residential development to provide five residential units, comprising 1 studio unit, 3 one bed houses and 1 two-bed house. Part under construction at April 2019.",22/12/2017,22/12/2017,21/11/2019
http://opendatacommunities.org/id/geography/administration/nmd/E07000089,15/02977/FUL,"Clare Park Private Retirement Residences Ltd, Clare Park, Farnham, Hampshire, GU10 5DT",https://publicaccess.hart.gov.uk/online-applications/,51.224315,-0.846304,2.15,not owned by a public authority,permissioned,full planning permission,22/04/2016,,Y,7,7,,Extension of original General Managers Cottage to form additional cottage for residents and construction of five new residents cottages. No. dwellings corrected in 2019 following a review of the original permission. Part completed (the conversion) at April 2019.,22/12/2017,14/11/2019,21/11/2019
http://opendatacommunities.org/id/geography/administration/nmd/E07000089,17/02311/PRIOR,"Branksome Chambers, Branksomewood Road, Fleet, Hampshire, GU51 4JS",https://publicaccess.hart.gov.uk/online-applications/,51.281214,-0.843116,0.08,not owned by a public authority,permissioned,other,01/12/2017,,,5,5,,Change of use from office under Class B1(a) to dwelling under Class C3: 5 x 2-bed flats. Previous permission (14/02454/PNDW) for 5 dwellings granted 2014-12-03. Development 17/02311/PRIOR complete at April 2019.,22/12/2017,21/11/2019,21/11/2019
http://opendatacommunities.org/id/geography/administration/nmd/E07000089,17/00244/PRIOR,"Silvergate, Redfields Industrial Park, Church Crookham, Fleet, Hampshire",https://publicaccess.hart.gov.uk/online-applications/,51.252444,-0.849139,0.45,not owned by a public authority,permissioned,other,12/04/2017,,,44,44,,"Change of use from office (B1a) to dwellings (C3) for 44 dwellings . 
Scheme has no SANG mitigation and therefore can not be considered deliverable. Site not included in housing trajectory. Site covered by Article 4 Direction removing right to change from B1 to C3 with effect from 2019-05-06. Permission lapses 2020-04-12.",22/12/2017,20/12/2018,
