OrganisationURI,SiteReference,SiteNameAddress,SiteplanURL,GeoY,GeoX,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes
http://opendatacommunities.org/id/geography/administration/nmd/E07000062,BL1,"Site of Mount Pleasant Hospital, Frederick Road, St Leonards ",https://www.hastings.gov.uk/content/planning/planning_policy/pdfs/BL1.pdf,583028.1739,111013.5395,1.84,Not owned by a public authority,Pending decision,,,http://publicaccess.hastings.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_HSTBC_DCAPR_114879 | http://publicaccess.hastings.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_HSTBC_DCAPR_116561 | http://publicaccess.hastings.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_HSTBC_DCAPR_116555 | http://publicaccess.hastings.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_HSTBC_DCAPR_116552,Y,40,56,,Refused planning application for half of the proposed site.  Planning applications pending for 3 portions of site
http://opendatacommunities.org/id/geography/administration/nmd/E07000062,BL2,"123-125 West Hill Road, Hastings (former Malmesbury House)",https://www.hastings.gov.uk/content/planning/planning_policy/pdfs/BL2.pdf,578919.9156,108898.6841,0.7,Not owned by a public authority,Permissioned,Reserved matters approval,11/09/1989,http://publicaccess.hastings.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_HSTBC_DCAPR_3205,,117,117,,
http://opendatacommunities.org/id/geography/administration/nmd/E07000062,BL3,"Hastings Station Yard (Part), Hastings (also known as Station Plaza, Station Approach, Devonshire Road)",https://www.hastings.gov.uk/content/planning/planning_policy/pdfs/BL3.pdf,581608.6117,109727.8685,0.44,Not owned by a public authority,Permissioned,Full planning permission,11/11/2009,http://publicaccess.hastings.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_HSTBC_DCAPR_84409,,103,103,,Site is part of last uncompleted and unimplemented phase of larger station plaza redevelopment
http://opendatacommunities.org/id/geography/administration/nmd/E07000062,BL4,"Former Observer Building, 53 Cambridge Road, Hastings",https://www.hastings.gov.uk/content/planning/planning_policy/pdfs/BL4.pdf,581400.5956,109361.4304,0.07,Not owned by a public authority,Permissioned,Full planning permission,18/06/2018,http://publicaccess.hastings.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_HSTBC_DCAPR_103671,,39,50,,
http://opendatacommunities.org/id/geography/administration/nmd/E07000062,BL5,"Seaside Road, West St Leonards",https://www.hastings.gov.uk/content/planning/planning_policy/pdfs/BL5.pdf,578666.5493,108725.7479,2.22,Owned by a public authority,Not permissioned,,,,,120,120,,Site part of wider West Marina redevelopmnet area to potentially include mix of commerical residential and leisure uses
http://opendatacommunities.org/id/geography/administration/nmd/E07000062,BL6,"Broomgrove Redevelopment area, Former Power Station, Ore Valley, Hastings",https://www.hastings.gov.uk/content/planning/planning_policy/pdfs/BL6.pdf,582574.3212,110881.5496,2.35,Owned by a public authority,Not permissioned,,,,,50,50,,
http://opendatacommunities.org/id/geography/administration/nmd/E07000062,BL7,"12-19 Braybrooke Terrace, Hastings",https://www.hastings.gov.uk/content/planning/planning_policy/pdfs/BL7.pdf,581292.2831,109686.5049,0.23,Not owned by a public authority,Not permissioned,,,,,25,25,,
http://opendatacommunities.org/id/geography/administration/nmd/E07000062,BL8,"Taxi Office, Site of Former social club, St John's Road, St Leonards",https://www.hastings.gov.uk/content/planning/planning_policy/pdfs/BL8.pdf,580365.2712,109362.1313,0.12,Not owned by a public authority,Not permissioned,,,,,30,30,,
http://opendatacommunities.org/id/geography/administration/nmd/E07000062,BL10,"Site of former West St Leonards Primary School, Bexhill Road, Hastings",https://www.hastings.gov.uk/content/planning/planning_policy/pdfs/BL10.pdf,578340.9836,108963.4186,3.92,Owned by a public authority,Permissioned,?,14/02/2019,http://publicaccess.hastings.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_HSTBC_DCAPR_115732,,100,100,,Application for health centre on part of the site
http://opendatacommunities.org/id/geography/administration/nmd/E07000062,BL11,"Gambier House, 111 West Hill Road, Hastings",https://www.hastings.gov.uk/content/planning/planning_policy/pdfs/BL11.pdf,579157.8154,108885.4835,0.23,Not owned by a public authority,Not permissioned,,,,,15,15,,
http://opendatacommunities.org/id/geography/administration/nmd/E07000062,BL12,"Site of Hollingsworth Garage, Braybrooke Road, Hastings",https://www.hastings.gov.uk/content/planning/planning_policy/pdfs/BL12.pdf,581695.531,109962.9688,0.4,Not owned by a public authority,Not permissioned,,,,,56,56,,
http://opendatacommunities.org/id/geography/administration/nmd/E07000062,BL13,"Former Westerleigh School, Hollington Park Close, Hastings",https://www.hastings.gov.uk/content/planning/planning_policy/pdfs/BL13.pdf,579085.751,109986.9224,2.15,Not owned by a public authority,Not permissioned,,,http://publicaccess.hastings.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_HSTBC_DCAPR_116149,,68,68,,Demolition has taken place on site
http://opendatacommunities.org/id/geography/administration/nmd/E07000062,BL15,"West Hill Road Reservoir, St Leonards",https://www.hastings.gov.uk/content/planning/planning_policy/pdfs/BL15.pdf,579410.8093,108918.6106,0.19,Not owned by a public authority,Not permissioned,,,,,14,14,,
http://opendatacommunities.org/id/geography/administration/nmd/E07000062,BL16,"Mount Denys, Pine Hill & Ridgeway, The Ridge, Hastings",https://www.hastings.gov.uk/content/planning/planning_policy/pdfs/BL16.pdf,582704.2054,111879.1444,0.64,Owned by a public authority,Not permissioned,,,,,31,31,,Demolition has taken place on site
http://opendatacommunities.org/id/geography/administration/nmd/E07000062,BL17,"Horntye Park, Bohemia Road, Hastings",https://www.hastings.gov.uk/content/planning/planning_policy/pdfs/BL17.pdf,580586.2413,109859.1917,1.01,Not owned by a public authority,Not permissioned,,,,,115,115,,
http://opendatacommunities.org/id/geography/administration/nmd/E07000062,BL18,"Land at Church Street, Hastings",https://www.hastings.gov.uk/content/planning/planning_policy/pdfs/BL18.pdf,583291.5729,111351.1056,0.35,Not owned by a public authority,Permissioned,Reserved matters approval,20/07/2017,http://publicaccess.hastings.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_HSTBC_DCAPR_104541,Y,5,5,,Development of site to provide 5 dwellings
http://opendatacommunities.org/id/geography/administration/nmd/E07000062,BL19,"4-5 Stockleigh Road, St Leonards",https://www.hastings.gov.uk/content/planning/planning_policy/pdfs/BL19.pdf,580118.2915,109190.8222,0.03,Not owned by a public authority,Pending decision,,,http://publicaccess.hastings.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_HSTBC_DCAPR_116839,,12,12,,12 new flats on previously developed land
http://opendatacommunities.org/id/geography/administration/nmd/E07000062,BL21,"37 Charles Road West (former Filsham Nurseries), St Leonards",https://www.hastings.gov.uk/content/planning/planning_policy/pdfs/BL21.pdf,579621.6682,109904.0078,0.26,Not owned by a public authority,Permissioned,Full planning permission,20/07/2017,http://publicaccess.hastings.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_HSTBC_DCAPR_103716 | http://publicaccess.hastings.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_HSTBC_DCAPR_116619,,7,7,,"Demolition of existing buildings and ancillary buildings. Erection of 7no residential units, landscape and parking.  Application pending for proposed development of 10 x 3 bedroom dwellinghouses. "
http://opendatacommunities.org/id/geography/administration/nmd/E07000062,BL22,"14 Westfield Lane, St Leonards",https://www.hastings.gov.uk/content/planning/planning_policy/pdfs/BL22.pdf,579996.2386,113417.852,0.33,Owned by a public authority,Not permissioned,,,,Y,14,14,,
http://opendatacommunities.org/id/geography/administration/nmd/E07000062,BL27,"12-13 York Buildings, Wellington Place, Hastings",https://www.hastings.gov.uk/content/planning/planning_policy/pdfs/BL27.pdf,581734.9565,109415.7798,0.02,Owned by a public authority,Permissioned,Full planning permission,20/01/2017,http://publicaccess.hastings.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_HSTBC_DCAPR_103972,Y,6,6,,Alteration works to ground floor stair and to three upper storeys of existing building and conversion into six flats for residential accommodation (Application HS/LB/16/00661 also applies)
http://opendatacommunities.org/id/geography/administration/nmd/E07000062,BL28,"The Grove School (Former St Leonards Academy, Darwell Campus, Darwell Close), St Leonards",https://www.hastings.gov.uk/content/planning/planning_policy/pdfs/BL28.pdf,578477.5481,110419.6918,9.4,Owned by a public authority,Permissioned,Outline planning permission,17/11/2017,http://publicaccess.hastings.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_HSTBC_DCAPR_102356,,210,240,,"Outline application for the erection of up to 210 dwellings (25% affordable) with associated open space, play areas, landscaping and access."
http://opendatacommunities.org/id/geography/administration/nmd/E07000062,BL31,"1 & 2 Wayside, 490-492 Sedlescombe Road North, St Leonards",https://www.hastings.gov.uk/content/planning/planning_policy/pdfs/BL31.pdf,579452.663,112663.4382,0.19,Owned by a public authority,Not permissioned,,,http://publicaccess.hastings.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_HSTBC_DCAPR_105013,,5,5,,
http://opendatacommunities.org/id/geography/administration/nmd/E07000062,BL33,"309-311 Harold Road, Hastings",https://www.hastings.gov.uk/content/planning/planning_policy/pdfs/BL33.pdf,583671.8616,110807.9533,0.09,Not owned by a public authority,Permissioned,Full planning permission,23/11/2018,http://publicaccess.hastings.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_HSTBC_DCAPR_115587,Y,6,7,,Demolition of the existing buildings and erection of 7 terraced dwellings (6 x two bedroom and 1 x one bedroom) with associated off-street parking
http://opendatacommunities.org/id/geography/administration/nmd/E07000062,BL34,"Cinques Port Way (Former Stamco Timber Yard and TA Centre), St Leonards",https://www.hastings.gov.uk/content/planning/planning_policy/pdfs/BL34.pdf,578453.8885,108726.3927,0.65,Not owned by a public authority,Not permissioned,,,,,25,25,,
http://opendatacommunities.org/id/geography/administration/nmd/E07000062,BL35,"Part of the former Spyway School Buildings, Hollington Park School Grounds, Gillsmans Hill, St Leonards",https://www.hastings.gov.uk/content/planning/planning_policy/pdfs/BL35.pdf,579463.4977,110290.2694,0.32,Not owned by a public authority,Permissioned,Outline planning permission,24/05/2018,http://publicaccess.hastings.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_HSTBC_DCAPR_105161 | http://publicaccess.hastings.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_HSTBC_DCAPR_116603,,8,8,,"Outline application,(seeking approval of Access), for erection of 8 dwellings together with parking and access(amended proposal).  Reserved matters application pending relating to the layout, scale, external appearance of the buildings, means of access and soft and hard landscaping of Planning permission HS/OA/17/00812 - Outline application,(seeking approval of Access), for erection of 8 dwellings together with parking and access(amended proposal).  Previously part of BL14."
http://opendatacommunities.org/id/geography/administration/nmd/E07000062,BL36,"Former Spyways School (part), Gillsmans Hill, St Leonards",https://www.hastings.gov.uk/content/planning/planning_policy/pdfs/BL36.pdf,579393.9785,110327.7777,0.72,Not owned by a public authority,Not permissioned,,,,,25,25,,Formerly part of BL14.
http://opendatacommunities.org/id/geography/administration/nmd/E07000062,BL37,381-391 Old London Road (Former Hare & Hounds public house & adjoining car sales yard),https://www.hastings.gov.uk/content/planning/planning_policy/pdfs/BL37.pdf,583615.4024,111266.2783,0.08,Not owned by a public authority,Pending decision,,,http://publicaccess.hastings.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_HSTBC_DCAPR_116394,,6,6,,"Planning permission pending for redevelopment to form 10No. self-contained flats, with associated off-road parking"
http://opendatacommunities.org/id/geography/administration/nmd/E07000062,BL38,"107 The Ridge (Simes & Sons), Hastings",https://www.hastings.gov.uk/content/planning/planning_policy/pdfs/BL38.pdf,583071.2546,111745.7164,0.22,Not owned by a public authority,Not permissioned,,,http://publicaccess.hastings.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_HSTBC_DCAPR_100096,,8,8,,
http://opendatacommunities.org/id/geography/administration/nmd/E07000062,BL39,"43-45 Queens Road (upper floors), Hastings",https://www.hastings.gov.uk/content/planning/planning_policy/pdfs/BL39.pdf,581871.9701,109639.9665,0.02,Not owned by a public authority,Permissioned,Full planning permission,23/08/2018,http://publicaccess.hastings.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_HSTBC_DCAPR_114917,,5,5,,"Above shop space (first, second and loft space) into 5 self-contained flats, incorporating with ground floor entrance alteration and rear roof dormers construction."
http://opendatacommunities.org/id/geography/administration/nmd/E07000062,BL41,"West House, 115 West Hill Road",https://www.hastings.gov.uk/content/planning/planning_policy/pdfs/BL41.pdf,579098.7714,108884.0987,0.33,Not owned by a public authority,Not permissioned,,,,,,,,
http://opendatacommunities.org/id/geography/administration/nmd/E07000062,BL42,"Bilmore Corner, Battle Road",https://www.hastings.gov.uk/content/planning/planning_policy/pdfs/BL42.pdf,579816.1959,111225.2154,0.06,Not owned by a public authority,Permissioned,Full planning permission,25/03/2019,http://publicaccess.hastings.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_HSTBC_DCAPR_116054,,8,2,,Demolition of office unit and erection of detached building comprising 2 flats.  permission for part of site - 2 dwellings
