FirstAddedDate,LastUpdatedDate,ID,OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,PlanningReference,DevelopmentDescription,NonHousingDevelopment,ConstructionStatus,OtherSiteInformation,Part2allocation,ProposedForPIP,Notes,Hazardous Substances Regs 2015,NetDwellingsRangeFrom,NetDwellingsRangeTo
20-Nov-17,11-Dec-18,1,http://opendatacommunities.org/doc/district-council/boston,Boston Borough Council,BLR/BOS/001,,"Whitehorse Lane, Boston",http://www.boston.gov.uk/CHttpHandler.ashx?id=22152&p=0,OSGB36,532779,343690,0.48,not owned by public authority,yes,permissioned,full planning permission,06/06/2018,http://www.boston.gov.uk/index.aspx?articleid=6208&ApplicationNumber=B/17/0121,50,B/17/0121,"1. Erection of two apartment blocks, one fronting John Adams Way and the other fronting White Horse Lane, Boston 2. Erection of one dwelling attached to the north gable of 82 High Street, Boston 3. Conversion of Haven Wharf warehouse to provide 21 flats 4. Relevant demolition in a conservation area including the demolition of outbuilding to the rear of 78 High Street Boston, an industrial building attached to the south elevation of Haven Wharf Warehouse and buildings nos 1, 2 and 3",,not started,http://www.southeastlincslocalplan.org/south-east-lincolnshire-strategic-housing-land-availability-assessment-april-2018-up-date/,no,no,"Planning permission for the development of 60 dwellings (B/17/0121). The site is identified as a housing allocation capable of providing 50 dwellings in the South East Lincolnshire Local Plan 2011-2036: Publication Version (March 2017), site ref no: Cen001.",,,
20-Nov-17,11-Dec-18,2,http://opendatacommunities.org/doc/district-council/boston,Boston Borough Council,BLR/BOS/002,,"138-142 High Street, Boston",http://www.boston.gov.uk/CHttpHandler.ashx?id=22153&p=0,OSGB36,532756,343410,0.19,not owned by public authority,yes,permissioned,full planning permission,18/09/2003,http://www.boston.gov.uk/index.aspx?articleid=6208&ApplicationNumber=B/03/0358,17,B/03/0358,Residential development for 17 houses,,under construction,,no,no,"9 dwellings completed, 8 outstanding",,,
20-Nov-17,11-Dec-18,3,http://opendatacommunities.org/doc/district-council/boston,Boston Borough Council,BLR/BOS/003,,"Land to the north of Langrick Road, Boston",http://www.boston.gov.uk/CHttpHandler.ashx?id=22154&p=0,OSGB36,531238,344591,1.16,not owned by public authority,yes,pending decision,outline planning permission,,http://www.boston.gov.uk/index.aspx?articleid=6208&ApplicationNumber=B/18/0435,35,B/18/0435,"Outline planning permission with some matters reserved (Appearance, Landscaping, Layout, and Scale) for later approval for up to 46 no. residential dwellings and access",,not started,http://www.southeastlincslocalplan.org/south-east-lincolnshire-strategic-housing-land-availability-assessment-april-2018-up-date/,no,no,"The site is identified as a housing allocation capable of providing 35 dwellings in the South East Lincolnshire Local Plan 2011-2036: Publication Version (March 2017), site ref no: Fen002.""",,,
20-Nov-17,11-Dec-18,5,http://opendatacommunities.org/doc/district-council/boston,Boston Borough Council,BLR/BOS/005,,"Land adjacent to 155 Swineshead Road, Frampton Holme, Boston",http://www.boston.gov.uk/CHttpHandler.ashx?id=22156&p=0,OSGB36,529364,342891,0.34,not owned by public authority,yes,permissioned,full planning permission,04/07/2007,http://www.boston.gov.uk/index.aspx?articleid=6208&ApplicationNumber=B/07/0282,8,B/07/0282,"Erection of 7 no. houses, 1 no. bungalow and new vehicular accesses",,under construction,,no,no,"7 dwellings completed, 1 outstanding",,,
20-Nov-17,11-Dec-18,7,http://opendatacommunities.org/doc/district-council/boston,Boston Borough Council,BLR/BOS/007,,"Land to the north of Main Ridge East, Boston",http://www.boston.gov.uk/CHttpHandler.ashx?id=22158&p=0,OSGB36,533258,344202,0.25,not owned by public authority,yes,not permissioned,,,http://www.boston.gov.uk/index.aspx?articleid=6208&ApplicationNumber=B/09/0074,8,,,,not started,http://www.southeastlincslocalplan.org/south-east-lincolnshire-strategic-housing-land-availability-assessment-april-2018-up-date/,no,no,An outline  planning application B/09/0074 for residential development (maximum 14 dwellings) plus means of access has lapsed. The South East Lincolnshire Strategic Housing Land Availability Assessment (April 2017) indicates the redevelopment of the site would not harm the character of the area or natural or heritage assets. Facilities are available on foot or bicycle owing to being centrally located. ref no: Pil005,If the site is allocated in Part 2 it requires assessment against Reg26(3) of Hazardous Substances Regulations and Schedule 2(3) of Brownfield Land Register Regulations 2017.,8,14
20-Nov-17,11-Dec-18,8,http://opendatacommunities.org/doc/district-council/boston,Boston Borough Council,BLR/BOS/009,,"Boston College De Montfort Campus, Mill Road, Boston",http://www.boston.gov.uk/CHttpHandler.ashx?id=22159&p=0,OSGB36,533914,343457,3.63,not owned by public authority,yes,permissioned,full planning permission,27/10/2015,http://www.boston.gov.uk/index.aspx?articleid=6208&ApplicationNumber=B/15/0100,108,B/15/0100,Demolition of university campus and erection of 108 dwellings and associated infrastructure,,under construction,,no,no,"69dwellings completed, 29 under construction, 10 outstanding",,,
20-Nov-17,11-Dec-18,9,http://opendatacommunities.org/doc/district-council/boston,Boston Borough Council,BLR/BOS/010,,"Land to the north-east of Freiston Road, Boston",http://www.boston.gov.uk/CHttpHandler.ashx?id=22160&p=0,OSGB36,533529,344204,0.26,not owned by public authority,yes,not permissioned,,,,8,,,,not started,http://www.southeastlincslocalplan.org/south-east-lincolnshire-strategic-housing-land-availability-assessment-april-2018-up-date/,no,no,"""The South East Lincolnshire Strategic Housing Land Availability Assessment (SHLAA) (April 2017) identifies that great care would need to be taken in producing a layout and design to ensure a satisfactory relationship to neighbouring dwellings. The site's development would require the use of a relatively narrow existing vehicular access, subject to the Highway Authority's approval. SHLAA ref no: Ski003""",If the site is allocated in Part 2 it requires assessment against Reg26(3) of Hazardous Substances Regulations and Schedule 2(3) of Brownfield Land Register Regulations 2017.,8,10
20-Nov-17,11-Dec-18,10,http://opendatacommunities.org/doc/district-council/boston,Boston Borough Council,BLR/BOS/011,,"Former Norton Lea (NHS) Site, Cork Tree Crescent, London Road, Boston",http://www.boston.gov.uk/CHttpHandler.ashx?id=22161&p=0,OSGB36,532514,342566,2.08,owned by public authority,yes,not permissioned,,,http://www.boston.gov.uk/index.aspx?articleid=6208&ApplicationNumber=B/15/0009,60,,,,not started,,no,no,"A planning application B/15/0009 for the Demolition of existing buildings and outline consent (up to 60 dwellings) with consideration given to access. (Matters relating to appearance, landscaping, layout and scale are reserved for later approval) has lapsed.  The Site is also a SHLAA site, Sou007 and is shown as a commitment on the SE Lincolnshire Local Plan. (The application had not lapsed on 31 Match 2017, which is the date housing data is calculated at).",If the site is allocated in Part 2 it requires assessment against Reg26(3) of Hazardous Substances Regulations and Schedule 2(3) of Brownfield Land Register Regulations 2017.,60,62
20-Nov-17,11-Dec-18,11,http://opendatacommunities.org/doc/district-council/boston,Boston Borough Council,BLR/BOS/012,,"Magnadata International, Norfolk Street, Boston",http://www.boston.gov.uk/CHttpHandler.ashx?id=22162&p=0,OSGB36,532974,344776,1.21,not owned by public authority,yes,pending decision,outline planning permission,,http://www.boston.gov.uk/index.aspx?articleid=6208&ApplicationNumber=B/16/0007,36,B/16/0007,Outline application the demolition of industrial building and the development of up to 48no. dwellings with consideration given to access only,,not started,http://www.southeastlincslocalplan.org/south-east-lincolnshire-strategic-housing-land-availability-assessment-april-2018-up-date/,no,no,Planning permission granted subject to the signing of a s106 agreement (B/16/0007). The site is in the South East Lincolnshire Strategic Housing Land Availability Assessment (April 2017) ref no: Wit008,,,
20-Nov-17,11-Dec-18,12,http://opendatacommunities.org/doc/district-council/boston,Boston Borough Council,BLR/BOS/013,,"Magnadata International, Horncastle Road, Boston",http://www.boston.gov.uk/CHttpHandler.ashx?id=22163&p=0,OSGB36,532890,345187,5.78,not owned by public authority,yes,pending decision,full planning permission,,http://www.boston.gov.uk/index.aspx?articleid=6208&ApplicationNumber=B/16/0011,173,B/16/0011,Outline application for the demolition of the existing industrial buildings and the redevelopment of the site for up to 173no. dwellings with consideration given to access only,,not started,,no,no,Planning permission granted subject to the signing of a s106 agreement (B/16/0011). South East Lincolnshire Strategic Housing Land Availability Assessment (SHLAA)(April 2017) ref nos: Wit006 and Wit007 are within the site. There is also land that is in the site and not in the SHLAA.,,,
