OrganisationURI,OrganisationLabel,SiteReference,AlternativeReferences,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Easting,Northing,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,OtherNotes 
http://opendatacommunities.org/id/unitary-authority/poole,Borough of Poole,P/BLR/0011,APP/14/00644/F,,"""69 High Street, Poole, BH15 1AF""",https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_227406,ETRS89,49.90022141,-1.978678565,401627.5384,91070.1513,0.02,Unknown ownership,Yes,Permissioned,Full planning permission,27/08/2014,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_227406,,5,Demolish existing buildings at rear and erect a 2-storey building comprising 4no. Studio Flats and a 2 1/2 -storey building comprising 1no. 6-bedroom HMO fronting Prosperous Street (amended plans received 13/08/2014).,,,,,,,,01/12/2017,01/12/2017,
http://opendatacommunities.org/id/unitary-authority/poole,Borough of Poole,P/BLR/0012,APP/14/00808/L,,"""94 High Street, Poole, BH15 1DB""",https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_227642,ETRS89,49.90022259,-1.985738179,401120.5419,90496.2454,0.03,Unknown ownership,Yes,Permissioned,Full planning permission,28/08/2014,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_227642,,5,Change of Use from B1 office on first and second floor to C3 residential. With erection of 2 no. new build dwellings to rear.(revised scheme),,,,,,,,01/12/2017,01/12/2017,
http://opendatacommunities.org/id/unitary-authority/poole,Borough of Poole,P/BLR/0013,APP/14/01074/P,,"""1 De Mauley Road, Poole, BH13 7HD""",https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_227987,ETRS89,49.90022252,-1.985209219,401158.5299,90629.6922,0.17,Unknown ownership,Yes,Permissioned,Outline planning permission,18/12/2014,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_227987,,8,"""Outline planning application to demolish existing dwelling house and garage, and erect a three storey block of 8 flats with car parking spaces. (Resubmission)""",,,,,,,,01/12/2017,01/12/2017,
http://opendatacommunities.org/id/unitary-authority/poole,Borough of Poole,P/BLR/0014,APP/15/00012/F,,"""370 Ashley Road, Poole, BH14 9DQ""",https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_228793,ETRS89,49.90019816,-1.924656048,405507.2466,90153.7554,0.04,Unknown ownership,Yes,Permissioned,Full planning permission,03/03/2015,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_228793,,5,"Demolition of existing structure. Construction of new building comprising commercial retail and office uses (A1/A2/A3) to ground floor, with 4no. self-contained residential accommodation units to first floor and a further self-contained residential accommodation unit to the rear at second floor. Existing site access points retained",,,,,,,,01/12/2017,01/12/2017,
http://opendatacommunities.org/id/unitary-authority/poole,Borough of Poole,P/BLR/0015,APP/15/00135/PA,,"""St Johns House, Serpentine Road, Poole, BH15 2DX"" ",https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_228954,ETRS89,49.90020683,-1.939085368,404470.9828,92161.9186,0.26,Unknown ownership,Yes,Permissioned,Full planning permission,27/03/2015,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_228954,,52,Prior Approval for Change of Use of existing office building (Class B1) to form a total of 52 apartments (36no. 1-bed; 16no. 2-bed)- (Class C3)(amended plans received 27/03/2015),,,,,,,,01/12/2017,01/12/2017,
http://opendatacommunities.org/id/unitary-authority/poole,Borough of Poole,P/BLR/0016,APP/15/00224/F,,"""48 Banks Road, Poole, BH13 7QF""",https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_229073,ETRS89,49.90022204,-1.982080742,401383.2061,91174.3272,0.14,Unknown ownership,Yes,Permissioned,Full planning permission,23/06/2015,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_229073,,7,Demolition of existing dwelling and construction of 7no apartment dwellings with associated parking (Amended plans received 18/05/2015),,,,,,,,01/12/2017,01/12/2017,
http://opendatacommunities.org/id/unitary-authority/poole,Borough of Poole,P/BLR/0017,APP/15/00417/F,,"""Sea View Hotel, 638 Ashley Road, Poole, BH14 0AW""",https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_229338,ETRS89,49.90020374,-1.933593422,404865.3953,92933.4206,0.14,Unknown ownership,Yes,Permissioned,Full planning permission,20/06/2016,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_229338,,10,"""Demolition of existing Class A4 public house and redevelopment of the site to provide a three storey building comprising a ground floor Class A1 convenience store including ATM and 10 Class C3 apartments at first and second floor level with dedicated external servicing, refuse and plant area, associated car parking, access arrangements and landscaping.""",,,,,,,,01/12/2017,01/12/2017,
http://opendatacommunities.org/id/unitary-authority/poole,Borough of Poole,P/BLR/0018,APP/15/00875/F,,"""Salterns Harbourside Hotel, 38 Salterns Way, Poole, BH14 8JR""",https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_229944,ETRS89,49.90020972,-1.944695768,404068.0635,87375.9509,1.63,Unknown ownership,Yes,Permissioned,Full planning permission,05/10/2016,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_229944,,73,"""Demolition of the existing buildings and the erection of 2 multi-storey mixed use developments containing 73 residential units, a 60 bedroom hotel as well as restaurants, offices and marina service facilities. Construction of a new quay wall around the development and raising of sea defences to 3.6m AOD.""",,,,,,,,01/12/2017,01/12/2017,
http://opendatacommunities.org/id/unitary-authority/poole,Borough of Poole,P/BLR/0019,APP/15/00933/P,,"""1 & 3 St Georges Avenue, Poole, BH12 4ND""",https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_230019,ETRS89,49.90021368,-1.953442857,403439.8781,92401.1046,0.07,Unknown ownership,Yes,Permissioned,Outline planning permission,18/03/2016,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_230019,,10,Outline application for demolition of existing buildings and the erection of a block of 10 flats with associated access and parking.,,,,,,,,01/12/2017,01/12/2017,
http://opendatacommunities.org/id/unitary-authority/poole,Borough of Poole,P/BLR/0020,APP/15/00940/F,,"""Apex Works, Wills Road, Poole, BH12 1NQ""",https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_230030,ETRS89,49.90021239,-1.950435148,403655.8812,89643.7323,0.16,Unknown ownership,Yes,Permissioned,Full planning permission,04/11/2015,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_230030,,6,Demolish existing buildings and erect 6 new detached houses and associated garages.,,,,,,,,01/12/2017,01/12/2017,
