OrganisationURL,SiteReference,SiteNameAddress,GeoY,GeoX,SiteplanURL,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",44864,"Former Eagle Pottery, Ivy House Road",347311.4448,389215.5134,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,1.76,not owned by a public authority,permissioned,full planning permission,31/05/2006,,yes,22,22,,,31/12/2017,31/12/2017,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",48119,"Edinburgh House, YMCA, Harding Road, Hanley",346742.6396,388383.9141,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,1.49,not owned by a public authority,permissioned,full planning permission,02/05/2008,,yes,40,40,,,31/12/2017,31/12/2017,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",51283,"Land off Westport Road, Hall Street & Pack Horse Lane, Burslem,
Stoke-on-Trent, ST6 4BB",349819.1018,386634.6633,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.46,not owned by a public authority,permissioned,outline planning permission,30/04/2013,,yes,43,43,,,31/12/2017,31/12/2017,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",51841,"Land at, Central Outpatients/Central Pathology Laboratory, Thornburrow
Drive, Hartshill, Stoke-on-Trent",345580.3737,386234.3225,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,2.36,not owned by a public authority,permissioned,outline planning permission,02/04/2015,,yes,69,69,,,31/12/2017,31/12/2017,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",52839,"Land at, North Staffordshire Royal Infirmary, Princes Road / Queens Road, Hartshill, Stoke on Trent",345466.0748,386693.742,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,8.75,not owned by a public authority,permissioned,outline planning permission,26/03/2014,,yes,236,236,,,31/12/2017,31/12/2017,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",53413,"Land at Trentham Lakes, Stanley Matthews Way, Stoke-on-Trent",341889.5794,388437.8548,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,7.2,not owned by a public authority,permissioned,outline planning permission,31/03/2015,,yes,147,147,,Site is under construction,31/12/2017,05/12/2018,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",54289,"Former Simpsons Pottery, Grange Street, Cobridge, Stoke-on-Trent, ST6
2JT",348822.2008,387510.7654,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.73,not owned by a public authority,permissioned,full planning permission,05/02/2013,,yes,17,17,,Site is under construction,31/12/2017,26/09/2019,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",56801,"Former Falcon Works, Sturgess Street, Stoke-on-Trent, ST4 7QH",344939.2676,387386.1167,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.62,not owned by a public authority,permissioned,full planning permission,12/11/2014,,yes,43,43,,,31/12/2017,31/12/2017,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",57805,"Land at 31-33 Houghton Street, Hanley, Stoke On Trent, ST1 3BJ",346824.6865,388388.803,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.05,not owned by a public authority,permissioned,full planning permission,19/02/2015,,yes,5,5,,,31/12/2017,31/12/2017,
"Click here to go to the city council entry on the Ministry of Housing, Communities and Local Government website",57972,"17/19 Glebe Street, Stoke On Trent, ST4 1JG",345194.4263,387844.122,Click here to go to the city council strategic housing land availability assessment (SHLAA) and brownfield land register map,0.02,not owned by a public authority,permissioned,full planning permission,19/11/2015,,yes,7,7,,Site is under construction,31/12/2017,26/09/2019,
