1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19,20
Mandatory,Mandatory,Mandatory,Optional,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Optional,Mandatory,Optional,Optional,Optional,Mandatory,Optional,Optional
OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SitePlanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,Permission Date,Planning History,MinNetDwellings,DevelopmentDescription,NonHousing development
http://opendatacommunities.org/doc/district-council/maldon,Maldon District Council,MDCBLR001,N/A,171-173 STATION ROAD BURNHAM-ON-CROUCH,,WGS84,594967,195684,0.06,Not owned by a public authority,YES,Permissioned ,Full Planning Application,2016-06-17,https://publicaccess.maldon.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0002O0OWLI000,7,"Retention of exitsing retail frontage and unit at 173 station road, but with a reduced floor area. Conversion of 171 station road to 7 self-contained flats. Retention and refurbishment of brick outbuilding to accommodate residential accomodation.",1 single storey retail unit
http://opendatacommunities.org/doc/district-council/maldon,Maldon District Council,MDCBLR002,N/A,123 HIGH STREET MALDON,,WGS84,585381,206911,0.02,Not owned by a public authority,YES,Permissioned ,Full Planning Application,2014-08-27,https://publicaccess.maldon.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000AGBOWLI000,5,Mixed use scheme comptrising of 1 single storey retail and 5 residential units. Demolition of existing single storey outbuildings and extensions.,1 single storey retail unit
http://opendatacommunities.org/doc/district-council/maldon,Maldon District Council,MDCBLR003,N/A,THE OLD ENGINE SHED STATION ROAD MALDON,,WGS84,589774,211067,0.27,Not owned by a public authority,YES,Permissioned ,Outline Planning Application,2017-02-16,https://publicaccess.maldon.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001532OWLI000,20,At first floor level it is proposed that there be B1 offices (638 sq metres) with 20 two bedroomed apartments at second and third floor levels with 40% affordable housing.,10 B1 office units
http://opendatacommunities.org/doc/district-council/maldon,Maldon District Council,MDCBLR004,N/A,"ALL SAINTS CHURCH OF ENGLAND PRIMARY SCHOOL, LONDON ROAD MALDON",,WGS84,584590,207076,0.24,Not owned by a public authority,YES,Permissioned ,Full Planning Application,2016-06-07,https://publicaccess.maldon.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=OZCPTCKK00402,8,"Conversion of former All Saints CE primary school to 8 residential units, associated amenity space and parking.",-
http://opendatacommunities.org/doc/district-council/maldon,Maldon District Council,MDCBLR005,N/A,SADDS WHARFS STATION ROAD MALDON,,WGS84,589774,211067,2.07,Not owned by a public authority,YES,Permissioned ,Full Planning Application,2012-11-30,https://publicaccess.maldon.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0010DZOWLI000,93,"Mixed use development comprising 93 residential units (mix of 1, 2 and 3 bedroom apartments and houses), Office accomodation (1480msq Class B1 Business units) and Leisure accomodation (680msq Classes A3, A4, A5 and D1 restaurants, Public House, bars, take-a-ways and non-residential institutions i.e health centre, creche, day nurseries, museum, libaries, place of worship or non-residetial education)",-
http://opendatacommunities.org/doc/district-council/maldon,Maldon District Council,MDCBLR006,N/A,HEYBRIDGE SWIFTS SCARLEY ROAD MALDON,,WGS84,587047,209063,0.3,Not owned by a public authority,YES,Not permissioned ,Application Refused/Rejected,-,-,101,,
