OrganisationURI,SiteReference,SiteNameAddress,SiteplanURL,GeoY,GeoX,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate,KEYVAL,REFVAL,Id
http://opendatacommunities.org/id/geography/administration/nmd/E07000084,16/02664/FUL,JA Hirst & Sons Recycling Yard Hurstbourne Station Stoke Lane,,149151.2715,443329.301,2.440332,not owned by a public authority,permissioned,full planning permission,20171109,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?keyVal=OAO18FCRMAW00&activeTab=summary,yes,44,44,,This site has detailed planning permission (16/02664/FUL) granted in November 2017. The applicant is working to discharge relevant conditions (including in relation to contaminated land) and expects completions on site from 2021.  The site is deliverable within five years.,2018-12-31,2019-12-23,,OAO18FCRMAW00,16/02664/FUL,
http://opendatacommunities.org/id/geography/administration/nmd/E07000084,16/02676/FUL,20  Winchester Street Basingstoke,,151891.565,463705.993,0.08928,not owned by a public authority,permissioned,full planning permission,20161020,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?keyVal=OAPTJXCRMDS00&activeTab=summary,yes,15,15,,Planning permission was granted in October 2013 for the conversion of the upper floors of the building to form 14 residential units (BDB/75489). A further application has since been granted for one additional flat (16/02676/FUL in September 2016). The site is under construction and is due to be completed in 2019/20.  The site is deliverable within five years.,2017-12-31,2019-12-23,,OAPTJXCRMDS00,16/02676/FUL,
http://opendatacommunities.org/id/geography/administration/nmd/E07000084,16/03918/OUT,Whitway Farm Whitway Newbury,,159205.226,445908.0655,1.009092,not owned by a public authority,permissioned,outline planning permission,20170411,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?keyVal=OFCTUICRJ1O00&activeTab=summary,yes,5,5,,Small site granted permission (16/03918/OUT) in April 2017. No start on site recorded at 1 April 2019 but site considered deliverable within five years.,2018-12-31,2019-12-23,,OFCTUICRJ1O00,16/03918/OUT,
http://opendatacommunities.org/id/geography/administration/nmd/E07000084,16/04074/FUL,Mulfords Hill Centre 37-39 Mulfords Hill,,162027.71,459874.145,0.15046500000000002,not owned by a public authority,permissioned,full planning permission,20170302,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?keyVal=OG0M89CRJN700&activeTab=summary,yes,8,8,,Small site granted permission for 8 self contained apartments (C3) in March 2017 (16/04074/FUL). As at the 1 April 2018 construction was yet to start. Site considered deliverable within five years.,2018-12-31,2019-12-23,2019-12-23,OG0M89CRJN700,16/04074/FUL,
http://opendatacommunities.org/id/geography/administration/nmd/E07000084,16/04288/FUL,The Former Lamb Inn Hackwood Road,,151578.779,464000.1965,0.12801300000000002,not owned by a public authority,permissioned,full planning permission,20170519,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?keyVal=OGUIDVCRKFQ00&activeTab=summary,yes,10,10,,The site gained full planning permission for 10 units in May 2017  (16/04288/FUL). The site is under construction and completions are expected from 2019/20. The site is deliverable within five years.,2017-12-31,2019-12-23,,OGUIDVCRKFQ00,16/04288/FUL,
http://opendatacommunities.org/id/geography/administration/nmd/E07000084,16/04684/GPDOFF,5-9 Summerlea Court Herriard,,144749.168,467095.283,0.14307899999999998,not owned by a public authority,permissioned,planning permission granted under an order,20170426,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?keyVal=OIFK4QCR0GT00&activeTab=summary,yes,5,5,,Small site granted permission via prior approval  (16/04684/GPDOFF) in April 2017. Site under construction and  considered deliverable within five years.,2018-12-31,2019-12-23,2019-12-23,OIFK4QCR0GT00,16/04684/GPDOFF,
http://opendatacommunities.org/id/geography/administration/nmd/E07000084,16/04685/FUL,10 Winchester Street Basingstoke,,151888.345,463745.535,0.018705,not owned by a public authority,permissioned,full planning permission,20170301,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?keyVal=OIFLPRCRLST00&activeTab=summary,yes,5,5,,Small site granted permission (16/04685/FUL) in March 2017. No start on site has been recorded at 1 April 2018 but the site considered deliverable within five years.,2017-12-31,2019-12-23,2019-12-23,OIFLPRCRLST00,16/04685/FUL,
http://opendatacommunities.org/id/geography/administration/nmd/E07000084,16/04693/FUL,Former Dairy Farm  Reading Road Sherfield On Loddon,,155880.1295,466786.1915,0.2798,not owned by a public authority,permissioned,full planning permission,20170308,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?keyVal=OIGOOFCRLTU00&activeTab=summary,yes,9,9,,Small site granted permission (16/04693/FUL) in March 2017. The site is under construction. Site considered deliverable within five years.,2017-12-31,2019-12-23,2019-12-23,OIGOOFCRLTU00,16/04693/FUL,
http://opendatacommunities.org/id/geography/administration/nmd/E07000084,16/04730/FUL,4 Fairfields Road,,151466.5135,463852.851,0.087623,not owned by a public authority,permissioned,full planning permission,20170609,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?keyVal=OIKXLMCRLY000&activeTab=summary,yes,8,8,,Small site granted permission (16/04730/FUL) in June 2017. As at the 1 April 2019 construction was yet to start. Site considered deliverable within five years.,2018-12-31,2019-12-23,,OIKXLMCRLY000,16/04730/FUL,
http://opendatacommunities.org/id/geography/administration/nmd/E07000084,17/00135/GPDOFF,32 Copenhagen Court New Street,,151890.918,463638.5065,0.187878,not owned by a public authority,permissioned,planning permission granted under an order,20170605,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?keyVal=OJQ2J6CR0AP00&activeTab=summary,yes,38,38,,The site gained prior approval for 38 units in June 2017  (17/00135/GPDOFF). A further application for 20 units (17/02933/FUL) was refused in December 2017.  The site is deliverable within five years.,2017-12-31,2019-12-23,,OJQ2J6CR0AP00,17/00135/GPDOFF,
http://opendatacommunities.org/id/geography/administration/nmd/E07000084,17/00625/FUL,Churchill Plaza  Churchill Way Basingstoke,,152293.759,463974.7445,0.825477,not owned by a public authority,permissioned,full planning permission,20170420,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?keyVal=OLIJC5CRGQO00&activeTab=summary,yes,285,285,,"A prior notification was first approved for the conversion of the building to residential use (16/00504/GPDOFF) in  May 2016 for 257 flats. This was increased to 283 flats by a further prior notification in April 2017 (17/00416/GPDOFF) and  for an additional 2 (penthouse) flats also in April (17/00625/FUL).   The investor and developer (Seven Capital) has confirmed, through the site monitoring consultation, that all 285 units will be delivered in 2019, although a slightly more cautious approach has been used for land supply purposes. Construction is currently ongoing. The site is deliverable within five years.",2017-12-31,2019-12-23,,OLIJC5CRGQO00,17/00625/FUL,
http://opendatacommunities.org/id/geography/administration/nmd/E07000084,17/00965/FUL,Bank Top Spring Hill Lane St Mary Bourne,,150602.91,442182.137,0.813264,not owned by a public authority,permissioned,full planning permission,20171211,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?keyVal=OMRFGNCR0GT00&activeTab=summary,yes,8,8,,Small site granted permission (17/00965/FUL ) in December 2017. As at the 1 April 2019 construction has started on site. Site considered deliverable within five years.,2018-12-31,2019-12-23,,OMRFGNCR0GT00,17/00965/FUL,
http://opendatacommunities.org/id/geography/administration/nmd/E07000084,17/01207/FUL,Land Adjacent To 96 Paddock Road Basingstoke,,150959.2685,461473.528,0.11521700000000001,owned by a public authority,permissioned,full planning permission,20170731,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?keyVal=ONKV6ZCRILM00&activeTab=summary,yes,5,5,,Planning permission granted in July 2017 for 5 affordable units (17/01207/FUL). The site is vacant and has been cleared.  It is considered that the site is deliverable within five years.,2017-12-31,2019-12-23,2019-12-23,ONKV6ZCRILM00,17/01207/FUL,
