OrganisationURI,SiteReference,SiteNameAddress,SiteplanURL,GeoY,GeoX,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate,KEYVAL,REFVAL,Id
http://opendatacommunities.org/id/geography/administration/nmd/E07000084,18/01270/FUL,12 London Street Basingstoke,,151889.815,463876.13,0.031583,not owned by a public authority,permissioned,full planning permission,20180713,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?keyVal=P820CXCRLQC00&activeTab=summary,yes,10,10,,This site gained planning permission in July 2018 (18/01270/FUL) for 10 units. The agent has confirmed that the development is under construction and completions are expected in 2019/20.  The site is deliverable within five years.,2018-12-31,2019-12-23,,P820CXCRLQC00,18/01270/FUL,
http://opendatacommunities.org/id/geography/administration/nmd/E07000084,18/01504/GPDOFF,Innovation Court  New Street Basingstoke,,151932.2715,463598.0475,0.409138,not owned by a public authority,permissioned,planning permission granted under an order,20180809,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?keyVal=P9862DCR0AQ00&activeTab=summary,yes,46,46,,A prior notification was approved for the conversion of the building to residential use (16/00031/GPDOFF) in March 2016 for 35 flats. A further prior notification was approved to take the number of units up to 46 was approved in August 2018 (18/01504/GPDOFF).   The site is deliverable within five years.,2017-12-31,2019-12-23,,P9862DCR0AQ00,18/01504/GPDOFF,
http://opendatacommunities.org/id/geography/administration/nmd/E07000084,18/02735/PIP,Kings School Brambleys Close Basingstoke,,151890.9985,463411.1045,0.18265699999999999,not owned by a public authority,permissioned,planning permission granted under an order,20181019,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?keyVal=PF1WD8CR0AP00&activeTab=summary,yes,9,9,,This site benefits from permission in principle granted in October 2018 (18/02735/PIP). The site is currently being marketed. The site is deliverable within five years.,2018-12-31,2019-12-23,,PF1WD8CR0AP00,18/02735/PIP,
http://opendatacommunities.org/id/geography/administration/nmd/E07000084,18/03671/GPDOFF,Riverside View Basing Road Old Basing,,152914.3785,466025.311,0.323839,not owned by a public authority,permissioned,planning permission granted under an order,20190509,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?keyVal=PJXX6TCR0AP00&activeTab=summary,yes,11,11,,A prior notification was approved for the conversion of the building to residential use (18/03671/GPDOFF) in May 2019. The site is deliverable within five years.,2019-05-14,2019-12-23,,PJXX6TCR0AP00,18/03671/GPDOFF,
http://opendatacommunities.org/id/geography/administration/nmd/E07000084,18/03684/FUL,Global House Victoria Street Basingstoke,,151679.6695,463650.134,0.12128,not owned by a public authority,permissioned,full planning permission,20190225,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?keyVal=PJZODJCRGW900&activeTab=summary,yes,40,40,,The site gained prior approval for 40 units in September 2018 (18/02398/GPDOFF). Following this full planning permision was granted in Feburary 2019 (18/03684/FUL).  Previously the site had prior approval (17/01714/GPDOFF) and full planning permission (17/03275/FUL) for 37 units. The site is deliverable within five years.,2017-12-31,2019-12-23,,PJZODJCRGW900,18/03684/FUL,
http://opendatacommunities.org/id/geography/administration/nmd/E07000084,19/00373/FUL,Minchens Court Minchens Lane Bramley,,159527.2635,465078.5415,0.188227,not owned by a public authority,permissioned,full planning permission,20190205,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?keyVal=PMH8UOCRIRD00&activeTab=summary,yes,14,14,,Prior approval granted for 14 flats (18/01517/GPDOFF) in October 2018. External alterations were then approved in April 2019 (19/00373/FUL). The site is deliverable within five years.,2019-05-14,2019-12-23,,PMH8UOCRIRD00,19/00373/FUL,
http://opendatacommunities.org/id/geography/administration/nmd/E07000084,19/00717/GPDOFF,Unity Place Lime Tree Way Chineham,,155862.9745,465347.456,3.138532,not owned by a public authority,permissioned,planning permission granted under an order,20190430,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?keyVal=POARJZCR0AQ00&activeTab=summary,yes,240,240,,A prior notification was approved for the conversion of the building to residential use (19/00717/GPDOFF) in April 2019. An application for condition discharge was submitted in early May (19/01269/CONDN). The site is deliverable within five years.,2019-05-14,2019-12-23,,POARJZCR0AQ00,19/00717/GPDOFF,
http://opendatacommunities.org/id/geography/administration/nmd/E07000084,BAS004,Basing View Basingstoke,,152581.801097,464490.394389,25.85579,owned by a public authority,not permissioned,,,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?keyVal=&activeTab=summary,,300,300,,"The regeneration of Basing View  is being actively pursued by the borough council. This is reflected in  Local Plan policy SS8 which supports the redevelopment of the area for a mix of uses including a residential component of approximately 300 units. The site is in a suitable location for housing development, lying in a highly accessible location with good access to public transport interchanges, town centre facilities and employment opportunities. The Council has recently published the Basing View Masterplan which includes provision for residential development.  The site plan shows the whole of basing view reflecting the local plan allocation. The precise location of the residential element will be determined through site masterplanning.",2017-12-31,2018-12-31,,,BAS004,0
http://opendatacommunities.org/id/geography/administration/nmd/E07000084,BAS012,Police Station London Road Basingstoke,,151922.474152,464111.015,0.325571,not owned by a public authority,pending decision,,,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?keyVal=&activeTab=summary,,30,30,,The site is a SHELAA site (BAS012) which falls within the built up area of Basingstoke and within the SPB in an area of predominantly residential development in close proximity to the town. The current use as a police station is due to cease (as part of the wider review of Hampshire Constabulary sites) and the site is currently being marketed for redevelopment.  An applicaton was submited in Feburary 2019 (19/00436/FUL) and is pending consideration for 55 retirements apartments.,2017-12-31,2019-05-14,,,BAS012,0
http://opendatacommunities.org/id/geography/administration/nmd/E07000084,BAS031,Land At Former Newman Bassett House Basingstoke,,152720.429818,461266.817039,0.38055700000000003,owned by a public authority,not permissioned,,,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?keyVal=&activeTab=summary,,12,12,,"Consent was originally granted on the wider site  for the demolition of the Former Newman Bassett House building and a replacement smaller ‘respite unit’ which has now been completed. (Hindson House).Therefore, this retains the facility and service use and frees up the remainder of the land for residential redevelopment. The land is vacant but not currently available as it is being used as a temporary construction compound, the requirement for which is due to cease in late 2018. Afterwhich HCC confirm that they intend to apply for planning permission for residential development.",2017-12-31,2019-05-14,,,BAS031,0
http://opendatacommunities.org/id/geography/administration/nmd/E07000084,BDB/63103,Cheam Hawtreys  Newbury Road Headley,,161998.0065,451799.63,0.284375,owned by a public authority,permissioned,full planning permission,20060621,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZTBZCRBJ724&activeTab=summary,,6,6,,"The site is the remainder of a larger scheme for tied staff accommodation at Cheam Hawtreys School  (BDB/63103, approved 2006).  The school has confirmed, through the site monitoring consultation, that whilst the site will be delivered in due course, at present they have no intention to build out the remaining 6 units within the next 5 years.  The site has therefore been phased into the 5-10 year time band and its future delivery will continue to be reviewed through the annual monitoring process.",2017-12-31,2019-12-23,,ZZZTBZCRBJ724,BDB/63103,
http://opendatacommunities.org/id/geography/administration/nmd/E07000084,WHIT004,Police Station Dances Lane Whitchurch,,148624.34,446564.041386,0.430117,owned by a public authority,not permissioned,,,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?keyVal=&activeTab=summary,,15,15,,The site is allocated for approximately 15 dwellings in the Whitchurch Neighbourhood Plan (Policy HA1)  which was made in October 2017 . The brownfield site is currently in use as a police station and is therefore not currently available. The Police Commissioners have confirmed that this site will cease to be used for its present purpose and will be available for housing development within the Plan Period which ends in 2029.,2017-12-31,2018-12-31,,,WHIT004,0
http://opendatacommunities.org/id/geography/administration/nmd/E07000084,WHIT007,57 Winchester Road (Whitchurch Car Centre) Whitchurch,,147748.53,446343.225,0.16630799999999998,not owned by a public authority,not permissioned,,,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?keyVal=&activeTab=summary,,10,10,,"The site is allocated for approximately 10 dwellings in the Whitchurch Neighbourhood Plan (Policy HA3)  which was made in October 2017 . The brownfield site is currently in use as a car centre and is therefore not currently available.  However, the owners have confirmed their intention to redevelop the site for housings over the Local Plan period which runs to 2029.",2017-12-31,2018-12-31,,,WHIT007,0
http://opendatacommunities.org/id/geography/administration/nmd/E07000084,BAS009,Festival Place Hampstead House Kensington House Chelsea House and Westminster House Basingstoke,,152231.722551,463710.475,0.42073999999999995,owned by a public authority,not permissioned,,,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?keyVal=&activeTab=summary,,300,300,,The site has been promoted for development through the council's Call for Sites in 2019 and the council consider this site to be potentially developable for 300 dwellings within a 5-10 year time period,2019-12-23,2019-12-23,,,BAS009,0
http://opendatacommunities.org/id/geography/administration/nmd/E07000084,BAS054,Former Fort Hill Community School,,152893.1,461331.775,7.252992999999999,owned by a public authority,not permissioned,,,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?keyVal=&activeTab=summary,,74,74,,The site has been promoted for development through the council's Call for Sites in 2019 by HCC. The site is considered to be potentially developable for 74 dwellings within a 5-10 year time period.,2019-12-23,2019-12-23,,,BAS054,0
http://opendatacommunities.org/id/geography/administration/nmd/E07000084,BAS024,Camrose Stadium Winchester Road,,150690.531554,462180.305,1.8563,not owned by a public authority,pending decision,,,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?keyVal=&activeTab=summary,,160,160,,The site has been promoted for development through the council's Call for Sites in 2019 and the council consider this site to be potentially developable for 160 dwellings within a 5-10 year time period,2019-12-23,2019-12-23,,,BAS024,0
http://opendatacommunities.org/id/geography/administration/nmd/E07000084,BAS029,Land west of 2 Kite Hill,,150989.72,460111.005,0.47151400000000004,not owned by a public authority,not permissioned,,,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?keyVal=&activeTab=summary,,10,10,,The site has been promoted for development through the council's Call for Sites in 2019 and the council consider this site to be potentially developable for 10 dwellings within a 5-10 year time period,2019-12-23,2019-12-23,,,BAS029,0
http://opendatacommunities.org/id/geography/administration/nmd/E07000084,BAS032,Land off Ashford Way,,153166.907608,461836.770181,0.52485,owned by a public authority,not permissioned,,,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?keyVal=&activeTab=summary,,18,18,,The site has been promoted for development through the council's Call for Sites in 2019 by HCC and the council consider this site to be potentially developable for 18 dwellings within a 5-10 year time period,2019-12-23,2019-12-23,,,BAS032,0
http://opendatacommunities.org/id/geography/administration/nmd/E07000084,RO002,The Hollies Aldermaston Road,,154255.995789,462042.09,0.299651,not owned by a public authority,pending decision,,,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?keyVal=&activeTab=summary,,21,21,,The site has been promoted for development through the council's Call for Sites in 2019 . The site is considered to be potentially developable for 21 dwellings within a 5-10 year time period.,2019-12-23,2019-12-23,,,RO002,0
http://opendatacommunities.org/id/geography/administration/nmd/E07000084,19/00579/FUL,Boundary Place,,162472.263,459577.3105,0.17569,not owned by a public authority,permissioned,full planning permission,20191015,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?keyVal=PNJZMICRJOC00&activeTab=summary,,17,17,,The site gained permission in October 2019 for 17 dwellings (17/03849/FUL). The site is considered potentially developable within a 5-10 year period.,2019-12-23,2019-12-23,,PNJZMICRJOC00,19/00579/FUL,
