OrgURL,OrgLabel,SiteRefere,Previously,SiteNameAd,SiteplanUR,Coordinate,GeoX,GeoY,Hectares,OwnershipS,Deliverabl,PlanningSt,PermiType,PermiDate,PlanningHi,ProposedFo,MinNetDwel,Developmen,NonHousing,Part2,NetDwellin,NetDwell00,HazardousS,SiteInform,Notes,FirstAdded,LastUpdate,PlanningA1,PlanningA2,PlanningAu,SOURCE,MI_PRINX,EASTING,NORTHING
http://opendatacommunities.org/id/london-borough-council/havering,London Borough of Havering,BRK1,n/a,"""69 Oldchurch Road, Romford""",https://www.havering.gov.uk/download/downloads/id/2960/map_brooklands_december_2018.pdf,ETRS89,0.180367,51.570636,0.31,Not owned by a local authority,yes,permissioned,full planning permission,10/03/2015,,,36,"""P1020.12-Demolition of warehouse and office, construction of 34 flats in two blocks with underground parking and 2 semi detached houses""",n/a,n/a,,,,,,31/12/2018,31/12/2018,APPROVAL,Brooklands,Havering,LDD,7,551204,188004
http://opendatacommunities.org/id/london-borough-council/havering,London Borough of Havering,BRK10,n/a,Como Street Car Park,https://www.havering.gov.uk/download/downloads/id/2960/map_brooklands_december_2018.pdf,ETRS89,0.177348,51.580243,0.63,Owned by a public authority,no,not permissioned,n/a,n/a,,,150,Romford Strategic Development Area Site,n/a,n/a,,,,,,31/12/2018,31/12/2018,ALLOCATION,Brooklands,Havering,SHLAA,10,550963,189066
http://opendatacommunities.org/id/london-borough-council/havering,London Borough of Havering,BRK11,n/a,"""MATALAN RETAIL LTD, 117 North Street, Romford""",https://www.havering.gov.uk/download/downloads/id/2960/map_brooklands_december_2018.pdf,ETRS89,0.175975,51.581419,0.81,Not owned by a public authority,no,not permissioned,n/a,n/a,,,147,"""Identified in the Romford Area Action PLan 2008""",n/a,n/a,,,,,,31/12/2018,31/12/2018,ALLOCATION,Brooklands,Havering,SHLAA,14,550864,189194
http://opendatacommunities.org/id/london-borough-council/havering,London Borough of Havering,BRK2,n/a,"""Brooklands House and Detection House, Brooklands Approach""",https://www.havering.gov.uk/download/downloads/id/2960/map_brooklands_december_2018.pdf,ETRS89,0.174322,51.583068,0.32,Not owned by a public authority,yes,not permissioned,n/a,n/a,,,67,"""P2075.17-Redevelopment to provide 67 apartments, with associated car parking, open space and landscaping""",n/a,n/a,,,,,"""Pre-application advice sought""",31/12/2018,31/12/2018,POTENTIAL DEVELOPMENT,Brooklands,Havering,SHLAA,9,550744,189374
http://opendatacommunities.org/id/london-borough-council/havering,London Borough of Havering,BRK3,n/a,"""Romford Gas Works, Crow Lane, Romford""",https://www.havering.gov.uk/download/downloads/id/2960/map_brooklands_december_2018.pdf,ETRS89,0.173229,51.570798,6.06,Not owned by a public authority,yes,not permissioned,n/a,n/a,,,450,Romford Strategic Development Area Site,n/a,n/a,,,,,,31/12/2018,31/12/2018,POTENTIAL DEVELOPMENT,Brooklands,Havering,SHLAA,28,550716,188000
http://opendatacommunities.org/id/london-borough-council/havering,London Borough of Havering,BRK4,n/a,"""Land at Rom Valley Way (Former Romford Ice Rink)""",https://www.havering.gov.uk/download/downloads/id/2960/map_brooklands_december_2018.pdf,ETRS89,0.181507,51.569636,2.88,Not owned by a public authority,yes,permissioned,full planning permission,22/08/2018,,,620,"""Redevlopment of the site to provide 650 residentail units and 830 sqm of commercial floorspace (Use class A1/A3/& D1) in buildings extending to between 4 and 8 storeys in height, to gether with associated car and cycle parking, hard and soft landscaping""","""830 sqm commercial floorspace""",n/a,,,,,,31/12/2018,31/12/2018,APPROVAL,Brooklands,Havering,SHLAA,29,551294,187886
http://opendatacommunities.org/id/london-borough-council/havering,London Borough of Havering,BRK5,n/a,"""Oldchurch Gardens, Rush Green, Romford""",https://www.havering.gov.uk/download/downloads/id/2960/map_brooklands_december_2018.pdf,ETRS89,0.176077,51.568636,1.13,Owned by a public authority,no,not permissioned,n/a,n/a,,,220,"""Council Regeneration Site, loss of 86 units yielding a net total 220 units""",n/a,n/a,,,,,,31/12/2018,31/12/2018,POTENTIAL DEVELOPMENT,Brooklands,Havering,SHLAA,42,550908,187779
http://opendatacommunities.org/id/london-borough-council/havering,London Borough of Havering,BRK6,n/a,"""143 North Street, Romford (Rear of)""",https://www.havering.gov.uk/download/downloads/id/2960/map_brooklands_december_2018.pdf,ETRS89,0.175034,51.581967,0.28,Not owned by a public authority,yes,permissioned,full planning permission,05/06/2018,,,40,"""P0096.15-Demolition of the existing buildings and construction of 40units in two blocks with parking and landscaping""",n/a,n/a,,,,,,31/12/2018,31/12/2018,APPROVAL,Brooklands,Havering,LDD,52,550797,189253
http://opendatacommunities.org/id/london-borough-council/havering,London Borough of Havering,BRK7,n/a,"""213 North Street, Romford""",https://www.havering.gov.uk/download/downloads/id/2960/map_brooklands_december_2018.pdf,ETRS89,0.173573,51.584305,0.31,Not owned by a public authority,yes,pending decision,full planning permision ,n/a,http://development.havering.gov.uk/OcellaWeb/planningDetails?reference=P0600.16&from=planningSearch,,29,"""P0915.17-Residential development comprising of a new block of 20no. flats (in place of a commercial building to be demolished), a block of 6no. flats fronting North Street (replacing an existing residential building, conversion of a brick barn and listed",n/a,n/a,,,,,,31/12/2018,31/12/2018,SUBMITTED,Brooklands,Havering,LDD,53,550688,189510
http://opendatacommunities.org/id/london-borough-council/havering,London Borough of Havering,BRK8,n/a,"""Crown Public House, London Road, Romford""",https://www.havering.gov.uk/download/downloads/id/2960/map_brooklands_december_2018.pdf,ETRS89,0.164654,51.574632,0.17,Not owned by a public authority,yes,permissioned,full planning permission,15/09/2016,,,15,"""Allowed on appeal AppB5480/W/16/3153011 (P1154.15)-Change of use from A4 to C3.  Part demolition of existing public house and new construction to provide 24no. apartments""",n/a,n/a,,,,,,31/12/2018,31/12/2018,APPROVAL,Brooklands,Havering,LDD,54,550102,188416
