OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/doc/district-council/north-hertfordshire,North Hertfordshire District Council,BR1,SHLAA 2016 Update (307),"Deans Yard, South Road, Baldock",https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Baldock%20Sites.pdf,OSGB36,525107.28,233548.95,0.32,not owned by a public authority,Yes,Not permissioned,,,,,20,,,,20,20,,,,2017-12-31,2018-12-31
http://opendatacommunities.org/doc/district-council/north-hertfordshire,North Hertfordshire District Council,BR2,SHLAA 2016 Update (B/e03),"Land at Icknield Way, Baldock",https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Baldock%20Sites.pdf,OSGB36,524255.73,234137.17,0.52,not owned by a public authority,Yes,Not permissioned,,,,,26,,,,26,26,,,,2017-12-31,2018-12-31
http://opendatacommunities.org/doc/district-council/north-hertfordshire,North Hertfordshire District Council,BR5,SHLAA 2016 Update (366),"Former B&Q, at junction of Nightingale and Walsworth Road, Hitchin",https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Hitchin%20Sites.pdf,OSGB36,519255.59,229763.25,0.68,not owned by a public authority,Yes,Not permissioned,,,,,60,,,,60,60,,,,2017-12-31,2018-12-31
http://opendatacommunities.org/doc/district-council/north-hertfordshire,North Hertfordshire District Council,BR8,SHLAA 2016 Update (KB/m01),"Chas Lowe, London Road, Knebworth",https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Knebworth%20Sites.pdf,OSGB36,525122.24,220165.17,0.41,not owned by a public authority,Yes,Not permissioned,,,,,14,,,,14,14,,,,2017-12-31,2018-12-31
http://opendatacommunities.org/doc/district-council/north-hertfordshire,North Hertfordshire District Council,BR9,SHLAA 2016 Update (234),"Pixmore Centre, Pixmore Avenue, Letchworth",https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Letchworth%20Sites.pdf,OSGB36,522467.85,232957.68,0.39,not owned by a public authority,Yes,Not permissioned,,,,,31,,,,31,31,,,,2017-12-31,2018-12-31
http://opendatacommunities.org/doc/district-council/north-hertfordshire,North Hertfordshire District Council,BR10,SHLAA 2016 Update (337),"Freeman House, Radburn Way, Letchworth",https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Letchworth%20Sites.pdf,OSGB36,522819.66,232146.65,0.31,public authority,Yes,Permissioned,Outline planning permission,2016-08-25,https://pa2.north-herts.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZYUZLKID974&activeTab=summary,,8,Outline application (all matters reserved except access) for a residential development comprising of 8 dwellings including new access from Radburn Way following demolition of existing elderly persons' home,,,,,,,,2017-12-31,2018-12-31
http://opendatacommunities.org/doc/district-council/north-hertfordshire,North Hertfordshire District Council,BR11,SHLAA 2016 Update (338),"Foundation House, Icknield Way, Letchworth",https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Letchworth%20Sites.pdf,OSGB36,522491.20,233389.39,0.78,not owned by a public authority,Yes,Not permissioned,,,,,47,,,,47,47,,,,2017-12-31,2018-12-31
http://opendatacommunities.org/doc/district-council/north-hertfordshire,North Hertfordshire District Council,BR12,SHLAA 2016 Update (339),"Glebe Road industrial estate, Letchworth",https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Letchworth%20Sites.pdf,OSGB36,522294.87,233371.86,0.26,not owned by a public authority,Yes,Pending decision,,,https://pa2.north-herts.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PJMN5ZLKKGW00,,9,"Erection of 9 x 3 bedroom dwellings following demolition of existing industrial buildings, with all associated landscaping and ancillary works, including creation of new highway and pedestrian access.",,,9,9,,,,2017-12-31,2018-12-31
http://opendatacommunities.org/doc/district-council/north-hertfordshire,North Hertfordshire District Council,BR13,SHLAA 2016 Update (357),"Hamonte, Letchworth",https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Letchworth%20Sites.pdf,OSGB36,523093.21,231817.53,1.16,not owned by a public authority,Yes,Permissioned,Full planning permission,2017-05-26,https://pa2.north-herts.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZYV2LKID807&activeTab=summary,,30,"3/4 storey building to provide 71 x 2-bedroom assisted living apartments together with communal facility and amenity area, provision of refuse & cycle store and 76 parking spaces for residents, staff and visitors and all associated works following demolition of existing 39 unit sheltered apartment scheme.",,,,,,,,2017-12-31,2018-12-31
http://opendatacommunities.org/doc/district-council/north-hertfordshire,North Hertfordshire District Council,BR14,SHLAA 2016 Update (354),"Nursery, Icknield Way, Letchwoth",https://www.north-herts.gov.uk/sites/northherts-cms/files/Brownfield%20Land%20Register%20-%20Letchworth%20Sites.pdf,OSGB36,521402.18,232780.77,0.43,not owned by a public authority,Yes,Not permissioned,,,,,8,,,,8,8,,,,2017-12-31,2018-12-31
