OrganisationURL,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinDetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,162480,#N/A,"Site at Old Grammar School, Church Street, Bromyard, Herefordshire, HR7 4DP",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=162480,OSGB36,365599.000,254829.000,0.09,,,permissioned,full planning permission,2016-12-21,,#N/A,0,Conversion of former Grammar school building into five residential~dwellings. Demolition works include the removal of part of an~extension to the west elevation (For DOC 5 see 193830).,,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,162820,#N/A,"Flats at 38 High Street, Bromyard, Herefordshire, HR7 4AE",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=162820,OSGB36,365408.000,254717.000,0.05,,,permissioned,full planning permission,2016-11-07,,#N/A,3,Change of use of first and second floors to create three flats and~associated minor alterations to the listed building.,,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,153810,#N/A,"Tillington Fruit Farm, Tillington, Hereford, Herefordshire, HR4 8LD",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=153810,OSGB36,346714.000,244778.000,0,,,permissioned,full planning permission,2016-11-03,,#N/A,0,Proposed change of use of agricultural office building to residential~dwelling (C3 use) (For DOC 5 7 & 9 174386),,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,160600,#N/A,"Coach House at Fruit Farm Tillington Estate, Crowmoor Lane, Tillington, Herefordshire, HR4 8LD",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=160600,OSGB36,346680.000,244844.000,0,,,permissioned,full planning permission,2016-11-03,,#N/A,0,Proposed change of use of Coach House to residential dwelling (Class~C3) including associated conversion works and demolition of~outbuilding. (For DOC 6 & 7 see 193032),,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,174386,#N/A,"Tillington Fruit Farm, Tillington, Hereford, Herefordshire, HR4 8LD",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=174386,OSGB36,346714.000,244778.000,0,,,permissioned,,2018-02-14,,#N/A,0,Application for approval of details reserved by conditions 5 7 & 9~attached to planning permission 153810,,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,160340,#N/A,"Stables at The Backwoods, Westhope, Hereford, Herefordshire, HR4 8BU",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=160340,OSGB36,347023.000,251087.000,0,,,permissioned,full planning permission,2017-02-09,,#N/A,1,Conversion of outbuilding to a two bedroom living accommodation.(For~DOC 3 & 4 see 183295),,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,162311,#N/A,"Site adjacent to Summerlease, Westhope Hill, Westhope, Herefordshire",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=162311,OSGB36,346372.000,250960.000,0.39,,,permissioned,outline planning permission,2016-10-28,,#N/A,0,Demolition of outbuildings and erection of four dwellings.  (For DOC~16 see 170695),,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,142860,#N/A,"Part OS 1330, The Garlands, Priory Wood, Clifford, Herefordshire",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=142860,OSGB36,326170.000,245299.000,0,,,permissioned,full planning permission,2015-10-20,,#N/A,1,Erection of dwelling on site of part built commercial buidling,,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,160200,#N/A,"Site adjacent to Oakdene, Clifford, Whitney on Wye, Herefordshire",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=160200,OSGB36,324709.000,245852.000,0,,,permissioned,full planning permission,2016-04-04,,#N/A,0,Demolition of existing shed and construction of 1 no. dwelling and~replacement garage/store,,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,170353,#N/A,"Land at The Garlands, Priory Wood, Clifford, Herefordshire",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=170353,OSGB36,326176.000,245299.000,0,,,permissioned,full planning permission,2017-03-17,,#N/A,0,Proposed variation of condition 2 of planning permission 142860~(Erection of dwelling on site of part built commercial building)~amendment to approved drawing to assist with building regulations~compliance.,,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,163936,#N/A,"Flats at Queenswood, Cradley, Malvern, WR13 5NF",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=163936,OSGB36,373678.000,247454.000,0,,,permissioned,full planning permission,2017-02-03,,#N/A,0,Alterations and extension to create 2 no additional flats and~enlargement of domestic curtilage (by change of use) and erection of~carport with room above. (For DOC 5 8 & 9 see 170479).,,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
