OrganisationURL,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinDetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,151075,#N/A,"Land at 1 Bridge Street, Ledbury, Herefordshire, HR8 2AJ",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=151075,OSGB36,370810.000,237647.000,0,,,,full planning permission,2015-06-23,,#N/A,0,Proposed change of use of redundant building into single dwelling.,,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,162063,#N/A,"4 High Street, Ledbury, Herefordshire, HR8 1DS",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=162063,OSGB36,371141.000,237693.000,0.04,,,permissioned,full planning permission,2016-10-17,,#N/A,0,Proposed conversion of redundant upper floor accommodation into one~three bedroom self contained dwelling.,,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,163055,#N/A," 4 The Southend, Ledbury, Herefordshire, HR8 2EY",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=163055,OSGB36,371118.000,237545.000,0,,,permissioned,full planning permission,2017-02-14,,#N/A,0,Proposed flat conversion and formation of  dormer at the rear.,,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,150996,#N/A,"Land at rear of 48 Watling Street, Leintwardine, Craven Arms, Shropshire, SY 7 0LL",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=150996,OSGB36,340505.000,274267.000,0,,,permissioned,full planning permission,2015-05-27,,#N/A,1,"Proposed demolition of redundant outbuilding and garage. Construction~of new dwelling, garage and covered way.",,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,100122,#N/A,"Barons Cross Camp, Cholstrey Road, Leominster, HR6 8RT",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=100122,OSGB36,347448.000,258786.000,1.39,,,permissioned,reserved matters approval,2010-03-22,,#N/A,425,,"Erection of 425 dwellings, community building, vehicular access foul~pumping station, association works.(Reserved matters application)~(Landscaping only)",#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,141006,#N/A,"Land off Ebnal Close, Leominster, Herefordshire",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=141006,OSGB36,348125.000,258701.000,0,,,permissioned,full planning permission,2014-11-26,,#N/A,4,Proposed construction of 4 no. self-contained flats (For DOC 4 9 10 &~11 see 171850),,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,141022,#N/A,"Land at, Pinsley Road, Leominster, Herefordshire, HR6 8NN",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=141022,OSGB36,350091.000,259085.000,0.45,,,permissioned,full planning permission,2016-05-13,,#N/A,0,,"Proposed demolition of existing building and erection of 29 dwellings~with associated private drive, landscaping and external works.(For DOC~11 (part) see 191394.",#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,160226,#N/A,"Land adjacent 87 Bridge Street, Leominster, Herefordshire, HR6 8EA",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=160226,OSGB36,349345.000,259724.000,0,,,permissioned,full planning permission,2016-06-22,,#N/A,0,Proposed 2 storey dwelling.,,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,161456,#N/A," 26 High Street, Morris Mews, Leominster",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=161456,OSGB36,349599.000,259038.000,0.04,,,permissioned,full planning permission,2016-08-23,,#N/A,0,Proposed change of use from office accommodation to 3 no. flats,,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,161937,#N/A,"Site at The Birdcage, Barons Cross Road, Leominster, Herefordshire",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=161937,OSGB36,348021.000,258586.000,0.04,,,permissioned,outline planning permission,2016-11-01,,#N/A,0,Proposed erection of a pair of semi-detached houses. (For DOC 6 see~182220),,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,153016,#N/A,"East View, Bromsash, Ross-On-Wye, Herefordshire, HR9 7PN",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=153016,OSGB36,364972.000,224034.000,0,,,permissioned,full planning permission,2015-11-25,,#N/A,1,"Demolition of existing garage, construction of new dwelling. Minor~alterations to existing dwelling.",,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,163753,#N/A,"Land at The Three Horseshoes Inn, Little Cowarne, Hereford, Herefordshire",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=163753,OSGB36,360382.000,250832.000,0,,,permissioned,full planning permission,2017-01-13,,#N/A,0,Variation of condition 2 for a dwelling and garage(153174) - to~relocate access and garage.,,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,161338,#N/A,"Tredunnock Farm, Llangarron, Ross-on-Wye, Herefordshire",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=161338,OSGB36,352003.000,220954.000,0,,,permissioned,full planning permission,2016-07-04,,#N/A,0,Proposed change of use of former agricultural building currently used~as an aircraft hanger to one residential unit. (For DOC 6 9 10~11 & 14 see 180046),,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,163814,#N/A,"Building adjacent The Old Vicarage, Lucton, Leominster, Herefordshire, HR6 9PN",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=163814,OSGB36,343846.000,264797.000,0,,,permissioned,full planning permission,2017-02-21,,#N/A,0,"Change of use of light industrial building to a domestic dwelling,~including allocation of a parcel of land to provide amenity space.~(For DOC 3, 4, 5, 6, 8 see 172217)",,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,132123,#N/A,"Chapel adjacent to The Cottage, New Street, Lyonshall, Herefordshire, HR5 3HT",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=132123,OSGB36,333648.000,256728.000,0,,,permissioned,full planning permission,2013-10-02,,#N/A,1,Conversion of chapel into two bedroom dwelling.,,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,161501,#N/A,"Penrhos Court, Lyonshall, Kington, Herefordshire",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=161501,OSGB36,331714.000,256106.000,0.38,,,permissioned,full planning permission,2016-09-14,,#N/A,0,"Change of use of The Court to a single dwelling house, including new~kitchen and bathroom, and private driveway to connect to existing~gated access to highway; improvements to part of The Cartshed for use~as a secure private store, and creation of private garden.~Construction of detached garage previously approved.",,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,152247,#N/A,"Llanrosser Methodist Church, Michaelchurch Escley, Hereford, Herefordshire, HR2 0PU",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=152247,OSGB36,328896.000,237708.000,0.08,,,permissioned,full planning permission,2015-09-15,,#N/A,1,Proposed change of use and renovation of former chapel to three~bedroom dwelling including replacement rear extension and associated~landscaping and drainage.,,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,143339,#N/A,"Former village hall and rifle club, Kingsthorne, Herefordshire",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=143339,OSGB36,346079.000,222692.000,0,,,permissioned,full planning permission,2015-01-14,,#N/A,2,Proposed demolition of redundant former village hall and rifle range~and erection of two detached dwellings.,,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,153552,#N/A,"Land adjacent Rangers Lodge, Little Birch Road, Kingsthorne, Herefordshire",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=153552,OSGB36,350370.000,231787.000,0,,,permissioned,full planning permission,2016-02-23,,#N/A,1,Proposed new 3 bedroom detached dwelling. (For DOC 12 see 170242For~DOC  4 5 6 8 9 11 see 190694),,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,160819,#N/A,"Land to the rear of Post Office and Shop, Wormelow, Hereford",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=160819,OSGB36,349214.000,230075.000,0,,,permissioned,outline planning permission,2016-05-26,,#N/A,0,Proposed dwelling and garage.,,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,150405,#N/A,"Fir Tree Inn, Much Cowarne, Herefordshire, HR7 4JN",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=150405,OSGB36,365128.000,246746.000,0,,,permissioned,full planning permission,2015-07-09,,#N/A,3,Proposed conversion of former public house to 3 no. residential units.,,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,143737,#N/A,"Land at Park House, Wormelow, Hereford, Herefordshire, HR2 8EQ",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=143737,OSGB36,348892.000,230205.000,0.08,,,permissioned,full planning permission,2015-02-24,,#N/A,1,Proposed new dwelling,,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,151492,#N/A,"Land to the rear of Myrtle Cottage, Much Dewchurch, Herefordshire, HR2 8DL",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=151492,OSGB36,348211.000,231249.000,0.12,,,permissioned,full planning permission,2015-10-09,,#N/A,2,Proposed 2 no. three bedroom dwellings.,,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,163531,#N/A,"The Castle, Ashperton, Ledbury",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=163531,OSGB36,365002.000,240685.000,0.03,,,permissioned,full planning permission,2017-01-20,,#N/A,0,Proposed conversion of outbuilding to single dwelling. (For DOC 5 7 8~& 9 see 180093),,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,162150,#N/A," Norton House School, Norton Canon, Herefordshire, HR4 7BH",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=162150,OSGB36,338006.000,248147.000,0,,,permissioned,full planning permission,2016-09-05,,#N/A,0,Change of use from Nursery School with residential accommodation to~sole use as residential dwelling. For DOC 4 5 6 7 8 & 9 see 180537.,,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,160258,#N/A,"Burley Gate House, Burley Gate, Hereford, Herefordshire, HR1 3QR",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=160258,OSGB36,359674.000,247281.000,0,,,permissioned,full planning permission,2016-03-22,,#N/A,1,Conversion of coach house building to residential use.,,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,160489,#N/A,"The Cave, Orcop Hill, Orcop, Herefordshire, HR2 8SF",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=160489,OSGB36,347753.000,227993.000,0,,,permissioned,full planning permission,2016-05-24,,#N/A,0,Proposed refurbishment of existing rural building and ground floor~side extension to use the building as a residential dwelling.,,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,161033,#N/A,"Workshop at Orchard Farm, Orleton, Herefordshire, SY8 4HE",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=161033,OSGB36,349428.000,267741.000,0.14,,,permissioned,full planning permission,2016-05-26,,#N/A,1,Change of use from chocolate factory to ancillary/holiday~accommodation for residential use,,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,151944,#N/A,"Former Doctors Surgery, East Street, Pembridge, Herefordshire, HR6 9HA",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=151944,OSGB36,339274.000,258214.000,0,,,permissioned,full planning permission,2015-10-23,,#N/A,1,Proposed conversion to a dwelling.,,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,152982,#N/A,"Coach House at Wellbrook, Peterchurch, Herefordshire",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=152982,OSGB36,335129.000,238506.000,0,,,permissioned,full planning permission,2015-12-08,,#N/A,1,"Proposed conversion of the Coach House to form a one bedroom dwelling,~demolition and rebuilding of a single storey extension. (For DOC 3 see~ 172227)(For DOC 5 & 9 see 180211)",,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,143204,#N/A,"Mason's Potatoes, The Packhouse,, Dadnor, Ross-on-Wye, Herefordshire",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=143204,OSGB36,356414.000,226096.000,0.7,,,permissioned,full planning permission,2015-03-18,,#N/A,3,"Demolition of existing buildings and site clearance. Proposed 3 no.~4/5 bedroom dwellings and office building, with landscaping and~Sustainable Urban Drainage Scheme. (For DOC 3 & 8 see 180407)",,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,152872,#N/A,"White House, Preston Wynne, Herefordshire",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=152872,OSGB36,355555.000,246948.000,0,,,permissioned,full planning permission,2015-11-04,,#N/A,1,Proposed conversion of and alterations to offices to create one~holiday letting unit.,,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,150419,#N/A,"High Bank, Richards Castle, Ludlow, Herefordshire, SY8 4EL",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=150419,OSGB36,349452.000,269562.000,0.44,,,permissioned,full planning permission,2015-05-06,,#N/A,1,Proposed erection of dwelling (Re-submission of planning application~P140962/F),,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,142121,#N/A,"Watsons Car Park Site, Church Street, Ross-on-Wye, Herefordshire",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=142121,OSGB36,359883.000,224067.000,0.16,,,permissioned,full planning permission,2014-12-11,,#N/A,6,"Demolition of garages and stores, removal of 4 mature trees, erection~of terrace of four, two  storey houses, semi-detached pair of two~storey three bed houses, communal bin store and alteration of walls,~parking & landscaping",,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,160868,#N/A,"Workshop Adjacent to Quyfields, Shobdon, Leominster, Herefordshire, HR6 9NX",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=160868,OSGB36,341378.000,262241.000,0,,,permissioned,full planning permission,2016-05-09,,#N/A,0,Conversion of redundant rural building to form a single dwelling.,,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,152414,#N/A,"Oakfields, Stoke Lacy, Bromyard, Herefordshire, HR7 4HE",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=152414,OSGB36,362580.000,250318.000,0.06,,,permissioned,full planning permission,2015-09-29,,#N/A,1,Proposed three bed detached house.,,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,153149,#N/A,"The Forge, Tarrington, Herefordshire, HR1 4HX",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=153149,OSGB36,361713.000,240786.000,0,,,permissioned,full planning permission,2016-05-10,,#N/A,0,Proposed conversion of former forge into one unit of self-contained~holiday accommodation.,,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,160774,#N/A,"Site of former Myrtle Cottage, Vowchurch, Herefordshire, HR2 0RL",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=160774,OSGB36,336745.000,237281.000,0,,,permissioned,full planning permission,2016-07-12,,#N/A,0,"Reinstatement of former cottage to residential accommodation, to~include two-storey extension, upgraded/improved driveway, a new~detached garage/workshop and associated works. (For DOC application~see 184199)(For DOC 4 see 190684)",,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,153570,#N/A,"Stable Block At Arthurs Dingle, Leys Hill, Walford, Ross-On-Wye, Herefordshire, HR9 5QU",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=153570,OSGB36,358669.000,218765.000,4.82,,,permissioned,full planning permission,2016-02-11,,#N/A,0,Proposed conversion of existing stable block to 2 no. holiday units~with artist studio. Erection of timber stable block with all~associated work,,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,161689,#N/A,"Land at Cats, Leys Hill Road, Walford, Ross-on-Wye, Herefordshire, HR9 5QU",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=161689,OSGB36,358664.000,218820.000,1.46,,,permissioned,full planning permission,2017-01-05,,#N/A,5,"The demolition of all existing structures on the site, the permanent~cessation of existing uses and the erection of five detached dwelling~houses with associated garaging (For DOC 3 4 5 10 11 & 12 see 193439).",,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,170294,#N/A,"Kiln Rise, Howle Hill, Ross-On-Wye, Herefordshire, HR9 5SH",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=170294,OSGB36,360285.000,220371.000,0.26,,,permissioned,full planning permission,2017-03-20,,#N/A,0,Change of use into 1 bedroom holiday let with single integral garage.~(For DOC 4 & 5 see 174050),,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,160358,#N/A,"Welsh Newton Garage, Welsh Newton, Herefordshire",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=160358,OSGB36,349805.000,218194.000,0,,,permissioned,full planning permission,2016-04-08,,#N/A,0,Amended house design for plot 5 and retention of existing dwelling.,,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,143436,#N/A,"Land adjoining Porch Cottages, Weston Under Penyard, Ross-on-Wye, Herefordshire, HR9 7PG",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=143436,OSGB36,363636.000,224127.000,0,,,permissioned,full planning permission,2015-03-13,,#N/A,0,Erection of 2 dwellinghouses (House Type 1 on Plots 3 & 4 ONLY) with~detached double garages.,,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,160282,#N/A,"Land at Wigmore Hall, Wigmore, Leominster, Herefordshire, HR6 9UL",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=160282,OSGB36,341548.000,268698.000,0,,,permissioned,full planning permission,2016-04-06,,#N/A,0,Conversion of redundant buildings to form a single dwelling. (For DOC~4 & 6 see 184049),,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,140905,#N/A,"St Andrews Church, Wolferlow, Bromyard, Herefordshire, HR7 4QA",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=140905,OSGB36,366871.000,261731.000,0.12,,,permissioned,full planning permission,2014-08-07,,#N/A,1,Proposed conversion of church to dwelling with detached double garage,,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,161056,#N/A,"Workshop opposite Terrace Hall, Woolhope, Herefordshire",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=161056,OSGB36,360295.000,235036.000,0.02,,,permissioned,full planning permission,2016-05-25,,#N/A,0,The conversion of an ex studio/workshop building into a dwelling. (For~DOC 3 see 171602),,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,123177,#N/A,"Land East of 20 Belmont Avenue, Hereford, Herefordshire, HR2 7JQ",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=123177,OSGB36,350534.000,239190.000,0.29,,,permissioned,full planning permission,2015-01-21,,#N/A,10,,Erection of three storey sheltered accommodation block with associated~parking and landscaping 'off site parking omitted'.,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,142197,#N/A,"Land at Bridge Inn, College Road, Hereford, Herefordshire",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=142197,OSGB36,351518.000,241715.000,0.29,,,permissioned,reserved matters approval,2014-09-08,,#N/A,13,,Approval of reserved matter of landscaping for Outline permission~S122600/O - (erection of 13 dwellings),#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,143495,#N/A,"11-13 Maylord Street, Hereford, Herefordshire, HR1 2DS",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=143495,OSGB36,351018.000,240143.000,0.01,,,permissioned,full planning permission,2015-01-14,,#N/A,4,"Proposed redesign of shop front, convert first floor front offices to~2 x 1 bedroom flats. Subdivide second floor flat into 2 x 1 bedroom~flats. Insert 2 windows in rear elevation.",,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,143799,#N/A,"Land off Grosvenor Place, Hereford",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=143799,OSGB36,349129.000,241850.000,0.07,,,permissioned,full planning permission,2015-02-27,,#N/A,3,Proposed development of 3 no. houses and associated access and~landscape works.,,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,150244,#N/A,"30 Union Street, Hereford, Herefordshire, HR1 2BT",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=150244,OSGB36,351219.000,240048.000,0,,,permissioned,full planning permission,2015-04-07,,#N/A,1,"Proposed renewal of roof to rear wing, to facilitate an additional~residential dwelling within and associated alterations.",,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,150630,#N/A,"Land off Catherine Street, Hereford",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=150630,OSGB36,351124.000,240281.000,0.07,,,permissioned,full planning permission,2016-03-14,,#N/A,4,Proposed erection of 8 dwellings. (For DOC application see 184271),,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,151031,#N/A,"8 Cotterell Street, Hereford, HR4 0HQ",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=151031,OSGB36,349969.000,240263.000,0.02,,,permissioned,outline planning permission,2015-07-13,,#N/A,2,Site for proposed erection of 2 dwellings.,,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,151077,#N/A,"Chandos Street Methodist Church, Chandos Street, Hereford, Herefordshire, HR4 0EX",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=151077,OSGB36,349965.000,240113.000,0.04,,,permissioned,full planning permission,2015-10-02,,#N/A,1,Proposed conversion of church to residential dwelling.,,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,151352,#N/A,"85 Aylestone Hil, Hereford, Herefordshire, HR1 1HX",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=151352,OSGB36,352236.000,241134.000,0.04,,,permissioned,full planning permission,2015-07-17,,#N/A,1,Proposed demolition of an existing garage and construction of a new~dwelling. (For DOC  3 7 & 9 see 170839),,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,152246,#N/A,"1 St Martins Street, Hereford, Herefordshire, HR2 7RD",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=152246,OSGB36,350829.000,239538.000,0.03,,,permissioned,full planning permission,2015-11-18,,#N/A,6,Proposed conversion of former pub function rooms into 6 self-contained~apartments and external stair to north elevation (For DOC 2 & 3 see~172539).,,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,152422,#N/A,"Outbuilding at Mavis Holt, 35 Hampton Park Road, Hereford, Herefordshire",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=152422,OSGB36,352707.000,239267.000,0,,,permissioned,full planning permission,2016-10-24,,#N/A,0,Proposed conversion of outbuilding into a dwelling,,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
http://opendatacommunities.org.id/unitary-authority/herefordshire,Herefordshire Council,153057,#N/A,"Land at 114 Eign Road, Hereford, Herefordshire, HR1 2RX",https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=153057,OSGB36,352040.000,239378.000,0,,,permissioned,full planning permission,2016-05-19,,#N/A,1,"Demolish of existing block of three garages and construction of a two~bedroom, two storey annexe.",,#N/A,#N/A,#N/A,#N/A,,,#N/A,#N/A
