Reference,SiteNameAddress,SiteplanURL,Settlement,Locations Coordinates East West,Location Coordinates North South ,Coordinate Reference System,Area of Land in Hectares,Name of Local Authority,Organisation URI,Ownership Status,Deliverable,Planning Status ,PermissionDate,Permission Type,Development Description,Min-Max range of Net Dwellings,Min Net Dwellings,First Added Date,Last updated date
BF032,"""GaragesAndBusDepot,CottonLane,BuryStEdmunds""",My West Suffolk,Bury St Edmunds,585733,264460,OSGB36,0.65,StEdmundsburyBoroughCouncil,St Edmundsbury ,not owned by a public authority,yes,not permissioned,,,"""Brownfield - bus depot and car repairs/ dealership""",50,50,2017-09-01 00:00:00,2018-12-13 00:00:00
BF033,"""HospitalSite,HospitalRoad,BuryStEdmunds""",My West Suffolk,Bury St Edmunds,584638,263851,OSGB36,1.59,StEdmundsburyBoroughCouncil,St Edmundsbury ,owned by public authority,yes,not permissioned,,,"""Brownfield - hospital""",45,45,2017-09-01 00:00:00,2018-12-13 00:00:00
BF035,"""LandAtRamMeadow,BuryStEdmunds""",My West Suffolk,Bury St Edmunds,585844,264675,OSGB36,0.98,StEdmundsburyBoroughCouncil,St Edmundsbury ,owned by public authority,yes,not permissioned,,,"""Mixed - carpark, meadow and football ground""",84,84,2017-09-01 00:00:00,2018-12-13 00:00:00
BF037,"""SchoolYard,BuryStEdmunds""",My West Suffolk,Bury St Edmunds,585081,264406,OSGB36,0.28,StEdmundsburyBoroughCouncil,St Edmundsbury ,mixed ownership,yes,not permissioned,,,"""Brownfield  - auctioneers and car park""",32,32,2017-09-01 00:00:00,2018-12-13 00:00:00
BF039,"""StationHill,BuryStEdmunds""",My West Suffolk,Bury St Edmunds,585236,265067,OSGB36,1.41,StEdmundsburyBoroughCouncil,St Edmundsbury ,not owned by a public authority,yes,permissioned,,,"""Brownfield - underused railway sidings and vacant land""",300,300,2017-09-01 00:00:00,2018-12-13 00:00:00
BF040,"""TayfenRoad,BuryStEdmunds""",My West Suffolk,Bury St Edmunds,585022,264886,OSGB36,2.2,StEdmundsburyBoroughCouncil,St Edmundsbury ,mixed ownership,yes,permissioned,2017-12-01 00:00:00,outline planning permission,"""Brownfield - commercial/ vacant uses and decommissioned gas holder""",100,100,2017-09-01 00:00:00,2018-12-13 00:00:00
BF041,"""WeymedSite,BuryStEdmunds""",My West Suffolk,Bury St Edmunds,585754,263888,OSGB36,0.37,StEdmundsburyBoroughCouncil,St Edmundsbury ,not owned by a public authority,yes,permissioned,2017-08-08 00:00:00,full planning permission,"""Brownfield - vacant County council offices""",14,14,2017-09-01 00:00:00,2018-12-13 00:00:00
BF042,"""AttertonAndEllisSite,Haverhill """,My West Suffolk,Haverhill,567783,244938,OSGB36,0.56,StEdmundsburyBoroughCouncil,St Edmundsbury ,not owned by a public authority,yes,permissioned,,,"""Brownfield - engineering works""",39,39,2017-09-01 00:00:00,2018-12-13 00:00:00
BF044,"""FormerGasworks,WithersfieldRoad,Haverhill""",My West Suffolk,Haverhill,566847,246006,OSGB36,0.25,StEdmundsburyBoroughCouncil,St Edmundsbury ,not owned by a public authority,yes,not permissioned,,,"""Brownfield - gasworks""",10,10,2017-09-01 00:00:00,2018-12-13 00:00:00
BF045,"""FormerWestfieldPrimarySchool,ManorRoad,Haverhill""",My West Suffolk,Haverhill,567926,245342,OSGB36,0.44,StEdmundsburyBoroughCouncil,St Edmundsbury ,owned by public authority,yes,not permissioned,,,"""Brownfield - previous school""",30,30,2017-09-01 00:00:00,2018-12-13 00:00:00
