OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedforPIP,MinNetDwellings,DevelopmentDesciption,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazourdousSubstances,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,Easting,Northing
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,E/ANSF/0010/,,"""Land at Ansford Farm, Cumnock Road, Castle Cary""",https://www.southsomerset.gov.uk/media/902300/ansf0010.pdf,ETRS89,-2.511486,51.093419,0.15,not owned by a public authority,yes,not permissioned,,,,,5,,,,5,5,,,,,16/11/2017,16/11/2017,348440,128762
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,E/CACA/1101,,"""BMI Site, Cumnock Road, Castle Cary""",https://www.southsomerset.gov.uk/media/902307/caca1101.pdf,ETRS89,-2.511463,51.091342,1.3,not owned by a public authority,,not permissioned,,,,,29,,,,29,32,,,,,16/11/2017,16/11/2017,346346,119213
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,E/CACA/B001,,"""Constitutional Club, Station Road, Castle Cary""",https://www.southsomerset.gov.uk/media/903713/cacab001.pdf,ETRS89,-2.519581,51.088222,0.2,not owned by a public authority,yes,permissioned,outline planning permission,20/06/2016,,,8,,,,8,8,,,,,16/11/2017,16/11/2017,345776,118521
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,E/LIMI/B001,,"""The Old Forge, Limington""",https://www.southsomerset.gov.uk/media/902342/limib001.pdf,ETRS89,-2.656998,50.999737,0.31,not owned by a public authority,yes,permissioned,outline planning permission,23/02/2017,,,5,,,,5,5,,,,,16/11/2017,16/11/2017,350445,115433
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,E/NOCA/B001,,"""Harvester Works, Mayfield Close, Galhampton""",https://www.southsomerset.gov.uk/media/902350/nocab001.pdf,ETRS89,-2.521272,51.067109,0.5,not owned by a public authority,yes,permissioned,full planning permission,09/10/2013,,,14,,,,14,14,,,,,16/11/2017,16/11/2017,344933,112345
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,E/SPAR/0005/,,"""Haynes Publishing, High Street, Sparkford""",https://www.southsomerset.gov.uk/media/902346/spar0005.pdf,ETRS89,-2.565174,51.034426,2.3,not owned by a public authority,yes,permissioned,outline planning permission,29/03/2017,,,37,,2260sq.m B1,,37,48,,,,,16/11/2017,16/11/2017,345401,108487
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,E/WINC/0007/,,"""The Tythings, Southgate Road, Wincanton""",https://www.southsomerset.gov.uk/media/902296/winc0007-b001.pdf,ETRS89,-2.41359,51.052577,2.73,not owned by a public authority,yes,not permissioned,,,,,49,,,,49,55,,,,,16/11/2017,16/11/2017,348606,128533
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,E/WINC/B001,,"""Former Works, Southgate Road, Wincanton""",https://www.southsomerset.gov.uk/media/902293/wincb001.pdf,ETRS89,-2.413138,51.051491,0.03,not owned by a public authority,yes,permissioned,full planning permission,30/01/2007,,,19,,,,19,19,,,,,16/11/2017,16/11/2017,363706,132229
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,N/HEUP/B001,,"""Great Orchard Stores. Brookland Road, Huish Episcopi""",https://www.southsomerset.gov.uk/media/902361/huepb001.pdf,ETRS89,-2.81733,51.042347,0.08,not owned by a public authority,yes,permissioned,full planning permission,28/07/2006,,,8,,,,8,8,,,,,16/11/2017,16/11/2017,342796,127317
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,N/MART/0005,,"""Rear of the Rose & Crown, Hurst, Bower Hinton""",https://www.southsomerset.gov.uk/media/902326/mart0005.pdf,ETRS89,-2.77351,50.963548,0.25,not owned by a public authority,yes,not permissioned,,,,,5,,464sq.m B1,,5,5,,,,,16/11/2017,16/11/2017,353994,122466
