OrganisationURI,"Organisation
Label",SiteReference,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PlanningHistory,ProposedforPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,PlanningApplicationReference,PermissionDate,Brownfield/GreenfieldMix?,Settlement
http://opendatacommunities.org/id/unitary-authority/west-berkshire,West Berkshire District Council,BR/2017/17,"""25 Bartholomew Street, Newbury""",https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=ONOAODRD0IP00,OSGB36,447022,166955,0.17,not owned by a public authority,yes,permissioned,full planning permission,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=ONOAODRD0IP00,,16,"Conversion, extensions (to rear and third floor) and alterations to existing building to create 16 no. residential units (C3)",Retail space (A1) 359 sq.m,,,17/10/2017,08/01/2019,17/00836/FULEXT,30/08/2017,N,Newbury
http://opendatacommunities.org/id/unitary-authority/west-berkshire,West Berkshire District Council,BR/2017/18,"""Land at Former Travis Perkins, Carpenters Close, Newbury""",https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O44Z06RD04Z00,OSGB36,447713,167086,0.24,not owned by a public authority,yes,permissioned,full planning permission,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=O44Z06RD04Z00,,22,"Full planning application for the proposed conversion of extant permission of B1a offices to residential use - erection of 22 residential dwellings including 50% affordable housing with associated car parking , cycles parking and associated works",N,,,17/10/2017,17/10/2017,16/00657/FULEXT,10/01/2017,N,Newbury
http://opendatacommunities.org/id/unitary-authority/west-berkshire,West Berkshire District Council,BR/2017/19,"""115 London Road and part of Merchant Court, Kelvin Road, Newbury""",https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OSXGHQRD04Z00,OSGB36,447618,167664,0.3,not owned by a public authority,yes,permissioned,reserved matters approval,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=OSXGHQRD04Z00,,35,"Development of 35 apartments containing a mixture of 1, 2 and 3 bedrooms and 1,700sqm B1 Office Space. Matters to be considered: Access, Layout and Scale",Office (use class B1a) 1700 sq.m,,,17/10/2017,07/01/2019,17/01892/RESMAJ,31/10/2017,N,Newbury
http://opendatacommunities.org/id/unitary-authority/west-berkshire,West Berkshire District Council,BR/2017/20,"""J & P Motors, Newtown Road, Newbury""",https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=JMECZERD79000,OSGB36,447327,165378,0.34,not owned by a public authority,yes,permissioned,full planning permission,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=JMECZERD79000,,37,Demolition of existing garage and change of use to erect 37 No.1 and 2 bedroom apartments and associated works,N,,,17/10/2017,17/10/2017,07/01687/FULEXT,23/11/2007,N,Newbury
http://opendatacommunities.org/id/unitary-authority/west-berkshire,West Berkshire District Council,BR/2017/21,"""11 -15 Bartholomew Street, Newbury""",https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NYTX63RD0JA00,OSGB36,447071,167042,0.33,not owned by a public authority,yes,permissioned,full planning permission,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=NYTX63RD0JA00,,47,"Demolition of all existing buildings to facilitate the mixed use redevelopment of the site for residential and commercial uses comprising 4 units for Class A1/ A2/A3 use at ground floor with 47no. Class 3 flats (15 x 1 bed and 32 x 2 beds) on up to three upper floors, provision of ground floor car/cycle parking and refuse storage areas and landscaped amenity areas at ground and first floor levels",N,,,17/10/2017,17/10/2017,15/03228/FULEXT,05/08/2016,N,Newbury
http://opendatacommunities.org/id/unitary-authority/west-berkshire,West Berkshire District Council,BR/2017/23,"""Land to rear of 1-15 The Broadway, Newbury""",https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OTC6K7RD0HE00,OSGB36,446996,167557,0.43,not owned by a public authority,yes,permissioned,reserved matters approval,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=OTC6K7RD0HE00,,72,"Development of 72 Flats. Matters to be considered: Access, Appearance, Layout and Scale",N,,,17/10/2017,07/01/2019,17/01999/RESMAJ,22/11/2017,N,Newbury
http://opendatacommunities.org/id/unitary-authority/west-berkshire,West Berkshire District Council,BR/2017/24,"""Land off Faraday Road and Kelvin Road, Newbury""",https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=M2F4YVRD0EA00,OSGB36,447623,167540,1.3,owned by a public authority,,permissioned,outline planning permission,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=M2F4YVRD0EA00,,160,"Mixed use redevelopment comprising approximately 26,554sqm (gross external) of floor space providing offices (B1), retail (A1), Financial and Professional Services (A2), hotel (C1), restaurant (A3), hot food takeaways (A5) motor dealership and residential apartments (160 units including 48 affordable) together with 330 car parking spaces, new junction on to A339, site access and ancillary development","Retail (A1) 1,200 sq.m, restaurants/hot food takeaway (A3/A5) 1,100 sq.m, offices (B1a) 7,700sq.m, hotel (C1) 5,200 sq.m, other 751 sq.m",,,17/10/2017,17/10/2017,12/00772/XOUTMA,01/02/2016,N,Newbury
http://opendatacommunities.org/id/unitary-authority/west-berkshire,West Berkshire District Council,BR/2017/25,"""Sterling Industrial Estate, Kings Road, Newbury""",https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NJYMYWRD04Z00,OSGB36,447757,166869,0.96,not owned by a public authority,yes,permissioned,full planning permission,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=NJYMYWRD04Z00,,167,"Demolition of existing buildings and structures, site remediation and the erection of 167 apartments, a new link road, car parking and landscaping",N,,,17/10/2017,17/10/2017,15/00319/FULEXT,31/03/2015,N,Newbury
http://opendatacommunities.org/id/unitary-authority/west-berkshire,West Berkshire District Council,BR/2017/26,"""Newbury Racecourse Plc East, Newbury                                                    """,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NHEJ02RD0EF00,OSGB36,448307,166669,,not owned by a public authority,yes,permissioned,reserved matters approval,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=NHEJ02RD0EF00,,708,"Approval of reserved matters following outline permission 09/00971/OUTMAJ. Construction of 708 dwellings, retail/community facilities, coach park, temporary marketing suite and associated works (Reserved matters) for area A Eastern development area. Matters seeking consent: appearance, landscaping, layout and scale",N,,,17/10/2017,17/10/2017,14/03377/RESMAJ,28/07/2015,N,Newbury
http://opendatacommunities.org/id/unitary-authority/west-berkshire,West Berkshire District Council,BR/2017/27,"""Newbury Racecourse Plc Central, Newbury""",https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=LNSVWMRD02K00,OSGB36,448307,166669,,not owned by a public authority,yes,permissioned,reserved matters approval,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=LNSVWMRD02K00,,366 (283 oustanding),Demolition and construction of 366 dwellings with associated access and amenities (Reserved Matters) for Area 'B' - Central area of outline planning permission reference 09/00971/OUTMAJ,N,,,17/10/2017,17/10/2017,11/01359/RESMAJ,17/11/2011,N,Newbury
http://opendatacommunities.org/id/unitary-authority/west-berkshire,West Berkshire District Council,BR/2017/28,"""Market Street Redevelopment, Newbury""",https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O3NY9PRD0JA00,OSGB36,447169,166794,2.16,mixed ownership,yes,permissioned,full planning permission,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=O3NY9PRD0JA00,,226,"Erection of 232 dwellings with associated car parking, residents' hub and management office",816 sqm of commercial floor space (Class A1 (retail) / A2 (financial services)/A3 (restaurants and cafes) / A4 (drinking establishments) or B1 (offices)) and a multi-storey car park,,,17/10/2017,17/10/2017,16/00547/FULEXT,11/04/2017,N,Newbury
http://opendatacommunities.org/id/unitary-authority/west-berkshire,West Berkshire District Council,BR/2017/29,"""London Road Industrial Estate, Newbury""",http://info.westberks.gov.uk/CHttpHandler.ashx?id=36401&p=0,OSGB36,447072,167691,0.3,owned by a public authority,,not permissioned,,,,,,,http://info.westberks.gov.uk/shlaa | http://info.westberks.gov.uk/hsa,"The site was assessed as 'potentially developable' within the Council's 2013 Strategic Land Availability Assessment.

Within the adopted Housing Site Allocations Development Plan Document, it is noted that the redevelopment of the London Road Industrial Estate is a long term vision of the Council. ",17/10/2017,17/10/2017,,,N,Newbury
http://opendatacommunities.org/id/unitary-authority/west-berkshire,West Berkshire District Council,BR/2017/30,"""Land adjacent to Bath Road known as Elliott Hire, Padworth""",https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OIYCLVRD0IP00,OSGB36,460885,168175,0.42,not owned by a public authority,yes,permissioned,reserved matters approval,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=OIYCLVRD0IP00,,18,Approval of matters reserved following outline permission 15/02320/OUTMAJ- for the erection of 18 dwellings together with means of access from Bath Road,N,,,17/10/2017,17/10/2017,16/03615/RESMAJ,11/08/2017,N,Padworth
http://opendatacommunities.org/id/unitary-authority/west-berkshire,West Berkshire District Council,BR/2017/31,"""67A Reading Road, Pangbourne, Reading""",https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NXAPNARD0E700,OSGB36,463871,176453,0.13,not owned by a public authority,yes,permissioned,full planning permission,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=NXAPNARD0E700,,8,"4 no. new-build flats as an extension to existing apartments that are to be refurbished, and works to improve an existing office to provide 4 no.apartments together with associated works including laying out of parking, gardens and amenities",N,,,17/10/2017,17/10/2017,15/02935/FULD,29/07/2016,N,Pangbourne
http://opendatacommunities.org/id/unitary-authority/west-berkshire,West Berkshire District Council,BR/2017/32,"""72 Purley Rise, Purley on Thames""",http://info.westberks.gov.uk/CHttpHandler.ashx?id=43955&p=0,OSGB36,465368,176372,1.47,not owned by a public authority,,not permissioned,,,,35,,N,http://info.westberks.gov.uk/CHttpHandler.ashx?id=43955&p=0,The site is included as an allocation within the adopted Housing Site Allocations Development Plan Document,17/10/2017,08/01/2019,,,Y,Purley on Thames
http://opendatacommunities.org/id/unitary-authority/west-berkshire,West Berkshire District Council,BR/2017/33,"""Lord Lyon, Stockcross, Newbury""",https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OD6DM7RD0JH00,OSGB36,443585,168560,0.13,not owned by a public authority,yes,permissioned,full planning permission,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=OD6DM7RD0JH00,,9,"Proposed erection of ground and first floor side and rear extension: conversion of the extended premises to nine apartments (four with one bedroom, five with two bedrooms) following removal of the rear emergency staircase and first floor privacy screen",N,,,17/10/2017,17/10/2017,16/02403/FULD,13/03/2013,N,Stockcross
http://opendatacommunities.org/id/unitary-authority/west-berkshire,West Berkshire District Council,BR/2017/34,"""58 The Broadway, Thatcham""",https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=MV88STRD02N00,OSGB36,451772,167397,0.05,not owned by a public authority,yes,permissioned,full planning permission,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=MV88STRD02N00,,9,"Conversion of No. 58 The Broadway to three flats (retention of shop at ground floor), demolition and re-building of rear element. Four new build terraced houses and two flats on land to the rear. Nine new dwellings in total",N,,,17/10/2017,17/10/2017,13/02624/FULD,29/04/2014,N,Thatcham
http://opendatacommunities.org/id/unitary-authority/west-berkshire,West Berkshire District Council,BR/2017/35,"""1 The Broadway, Thatcham""",https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OIMT2ORD0K500,OSGB36,451768,167471,0.07,not owned by a public authority,yes,permissioned,full planning permission,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=OIMT2ORD0K500,,10," Application for variation of condition of  06/02314/FULMAJ - Demolition of existing building comprising of 1 no. two bedroom flat, offices and a industrial unit. Construction of 6 no. two bedroom flats, 5 no. one bedroom flats and a bike store",N,,,17/10/2017,08/01/2019,16/03490/FULMAJ ,24/05/2017,N,Thatcham
