OrganisationURI,"Organisation
Label",SiteReference,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PlanningHistory,ProposedforPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,PlanningApplicationReference,PermissionDate,Brownfield/GreenfieldMix?,Settlement
http://opendatacommunities.org/id/unitary-authority/west-berkshire,West Berkshire District Council,BR/2018/06,"""Units 3-6, The Vo-Tec Centre, Hambridge Lane""",https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=ORY7RBRD09N00,OSGB36,449483,166932,0.68,not owned by a public authority,yes,permissioned,other,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=ORY7RBRD09N00,,24,Application to determine if Prior Approval is required for conversion of existing office B1 building to 24 x 2 bedroom residential flats,N,,,02/01/2019,08/01/2019,17/01698/PACOU,17/08/2017,N,Greenham
http://opendatacommunities.org/id/unitary-authority/west-berkshire,West Berkshire District Council,BR/2018/07,"""Beansheaf Farm, Bourne Close""",https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OCQ1MARD09N00,OSGB36,465574,171641,0.63,not owned by a public authority,yes,permissioned,full planning permission,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=OCQ1MARD09N00,,27,Change of use/conversion of 5 buildings from offices to residential use for 27 units. Internal and external alterations,N,,,02/01/2019,08/01/2019,16/02330/FULEXT,01/03/2018,N,Holybrook
http://opendatacommunities.org/id/unitary-authority/west-berkshire,West Berkshire District Council,BR/2018/08,"""Station Yard, Station Road, Hungerford, Berkshire""",https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O53V7SRD0E700,OSGB36,434202,168425,0.31,not owned by a public authority,yes,permissioned,full planning permission,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=O53V7SRD0E700,,8,"Erection of 8 no. dwellings with associated new bin/cycle store, access road, landscaping and parking on land at Station Yard",N,,,02/01/2019,08/01/2019,16/00787/FULD,01/07/2016,N,Hungerford
http://opendatacommunities.org/id/unitary-authority/west-berkshire,West Berkshire District Council,BR/2018/09,"""26 Charnham Street, Hungerford, Berkshire""",https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OH5IO1RD0K500,OSGB36,433906,168948,0.18,not owned by a public authority,yes,permissioned,full planning permission,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=OH5IO1RD0K500,,7,"Removal of existing porch, the change of use of No. 26 from part retail/part residential (A1/C3) to full residential use (C3), in the form of three apartments (incl. internal/external alterations). Change of use of garden cottage, and orangery for retail",N,,,02/01/2019,08/01/2019,16/03205/FULD,26/05/2017,N,Hungerford
http://opendatacommunities.org/id/unitary-authority/west-berkshire,West Berkshire District Council,BR/2018/10,"""Consort House, 42 Bone Lane, Newbury""",https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O1VAL8RD0HD00,OSGB36,448174,167022,0.31,not owned by a public authority,,permissioned,other,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=O8TK3URD09N00,,17,Application to determine if Prior Approval is required for the Change of Use of the first floor from B1 (a) to C3 with the installation of an internal courtyard and refuse/recycling/parking and cycle provision,N,,,02/01/2019,08/01/2019, 16/00169/PACOU,30/03/2016,N,Newbury
http://opendatacommunities.org/id/unitary-authority/west-berkshire,West Berkshire District Council,BR/2018/11,"""31-34 Bartholomew Street, Newbury""",https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=P3F46ORD09N00,OSGB36,446972,166905,0.06,not owned by a public authority,yes,permissioned,reserved matters approval,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=P3F46ORD09N00,,12,Approval of reserved matters following outline planning permission 16/01942/OUTMAJ -development of 14 no: 2 bed apartments and an A1 unit ,A1 unit 86 sq.m,,,02/01/2019,08/01/2019,18/00226/RESMAJ,18/05/2018,N,Newbury
http://opendatacommunities.org/id/unitary-authority/west-berkshire,West Berkshire District Council,BR/2018/12,"""Manor Farm, Fidlers Lane, East Ilsley, Newbury""",https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=ODG824RD0E700,OSGB36,449141,181248,0.24,not owned by a public authority,yes,permissioned,full planning permission,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=ODG824RD0E700,,7,Conversion of existing stables to C3 residential use,N,,,02/01/2019,08/01/2019,16/02452/FULD,19/05/2017,N,Newbury
http://opendatacommunities.org/id/unitary-authority/west-berkshire,West Berkshire District Council,BR/2018/13,"""108 Bartholomew Street and Land to the rear of Newbury""",https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=PB19Y9RD0HE00,OSGB36,446979,166837,0.07,not owned by a public authority,yes,permissioned,full planning permission,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=PB19Y9RD0HE00,,8,Development of 8 apartments,N,,,02/01/2019,08/01/2019,18/01620/FULD ,05/12/2018,N,Newbury
http://opendatacommunities.org/id/unitary-authority/west-berkshire,West Berkshire District Council,BR/2018/14,"""Lambourn, Nexus and Derby House, Newbury Business Park""",https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OMSZX0RD0HE00,OSGB36,448256,167510,1.24,not owned by a public authority,yes,permissioned,other,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=OMSZX0RD0HE00,,129,"Application for prior approval of conversion of Lambourn House, Derby House and Nexus House into 129 x 1 bed flats",N,,,02/01/2019,08/01/2019,17/00648/PACOU,15/05/2017,N,Newbury
http://opendatacommunities.org/id/unitary-authority/west-berkshire,West Berkshire District Council,BR/2018/15,"""Land at Hutton Close ,Newbury""",https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OQ74F7RD0K400,OSGB36,447723,167895,1.48,not owned by a public authority,yes,permissioned,full planning permission,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=OQ74F7RD0K400,,27,"Removal of existing buildings (bungalows and flats) and erection of 80 residential dwellings, associated car/cycle parking, landscaping, access and infrastructure",N,,,02/01/2019,08/01/2019,17/01348/FULEXT,05/01/2018,N,Newbury
http://opendatacommunities.org/id/unitary-authority/west-berkshire,West Berkshire District Council,BR/2018/16,"""55 - 56 Cheap Street and 7, 9, 15 Kings Road, Newbury""",https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OQG5R6RD0K500,OSGB36,447280,166890,0.07,not owned by a public authority,yes,permissioned,full planning permission,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=OQG5R6RD0K500,,5,"Convert 55 - 56 Cheap Street to 2 x 2 bed flats, 7 Kings Road to a 2 bed flat, 9 Kings Road to a 2 bed flat and 15 Kings Road to a 1 bed flat",N,,,02/01/2019,08/01/2019,17/01392/FULD,10/07/2017,N,Newbury
http://opendatacommunities.org/id/unitary-authority/west-berkshire,West Berkshire District Council,BR/2018/17,"""75 London Road, Newbury""",https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OT9ZUVRD0K400,OSGB36,447364,167679,0.04,not owned by a public authority,yes,permissioned,full planning permission,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=OT9ZUVRD0K400,,5,"Change of use from house with multiple rooms accommodation to 6 self contained flats with internal alterations, replacement of windows, repair and alteration of single storey element to rear and conversion of basement to living accommodation and associated parking",N,,,02/01/2019,08/01/2019,17/01963/FULD,31/08/2017,N,Newbury
http://opendatacommunities.org/id/unitary-authority/west-berkshire,West Berkshire District Council,BR/2018/18,"""Derby House, Newbury Business Park, London Road, Newbury""",https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=P1DDOERD0HE00,OSGB36,448216,167589,0.31,not owned by a public authority,yes,permissioned,other,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=P1DDOERD0HE00,,31,Application to determine if Prior approval is required for Change of Use to 31 no. 2 bed units,N,,,02/01/2019,08/01/2019,17/03491/PACOU,12/02/2018,N,Newbury
http://opendatacommunities.org/id/unitary-authority/west-berkshire,West Berkshire District Council,BR/2018/19,"""Crown Yard and 171, 181 and 183
Station Road, Thatcham""",https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OE9S20RD0HE00,OSGB36,452603,166426,0.82,not owned by a public authority,,permissioned,outline planning permission,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=OE9S20RD0HE00,,33,Outline planning application for - Demolition of existing commercial buildings and the erection of up to 33 new dwellings.  Matters for consideration: access.,N,,,02/01/2019,08/01/2019,16/02611/OUTMAJ,15/06/2017,N,Thatcham
http://opendatacommunities.org/id/unitary-authority/west-berkshire,West Berkshire District Council,BR/2018/20,"""19 and 19A High Street, Theale, Reading""",https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OMHPGBRD09N00,OSGB36,464330,171344,0.16,not owned by a public authority,yes,permissioned,other,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=OMHPGBRD09N00,,10,Application to determine if Prior Approval is required for change of use from offices (use class B1) to 10 no. residential dwellings,N,,,02/01/2019,08/01/2019,17/00581/PACOU,03/05/2017,N,Theale
http://opendatacommunities.org/id/unitary-authority/west-berkshire,West Berkshire District Council,BR/2018/21,"""Britwell Farm, Oxford Road, Chieveley """,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=PJ7XPRRD04Z00,OSGB36,448404,176095,0.23,not owned by a public authority,,permissioned,permission in principle,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=PJ7XPRRD04Z00,,4,Application for Permission in Principle for residential development for a maximum of 4 dwellings,N,,,27/02/2019,27/02/2019,18/03151/PIP,08/02/2019,N,Beedon
