OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/district-council/hart,Hart District Council,18/00931/PRIOR,,"125-147 Fleet Road, Fleet",https://publicaccess.hart.gov.uk/online-applications/,OSGB36,-0.838514,51.283452,0.59,not owned by a public authority,yes,permissioned,other,2018-10-25,,,30,Change of use of B1 offices to 30 apartments,,,,,2017-12-22,2018-12-20
http://opendatacommunities.org/id/district-council/hart,Hart District Council,17/00219/PRIOR,,"Europa House, 5 Bartley Wood Business Park, Bartley Way, Hook",https://publicaccess.hart.gov.uk/online-applications/,OSGB36,-0.955023,51.279398,1.11,not owned by a public authority,,permissioned,other,2017-03-23,,,116,Change of use of B1 offices to 116 dwellings,,,,Scheme has no SANG mitigation and therefore can not be considered deliverable. Site not included in housing trajectory.,2018-12-20,2018-12-20
http://opendatacommunities.org/id/district-council/hart,Hart District Council,17/02484/PRIOR,,"Flagship House, Reading Road, Fleet",https://publicaccess.hart.gov.uk/online-applications/,OSGB36,-0.846838,51.279128,0.49,not owned by a public authority,,permissioned,other,2017-11-30,,,31,Change of use of B1 office to 23 apartments,,,,Scheme has no SANG mitigation and therefore can not be considered deliverable. Site not included in housing trajectory.,2018-12-20,2018-12-20
http://opendatacommunities.org/id/district-council/hart,Hart District Council,16/02784/PRIOR,,"110 Fleet Road, Fleet",https://publicaccess.hart.gov.uk/online-applications/,OSGB36,-0.841032,51.282533,0.11,not owned by a public authority,,permissioned,other,2016-11-23,,,15,Change of use of office to 15 dwellings,,,,,2018-12-20,2018-12-20
http://opendatacommunities.org/id/district-council/hart,Hart District Council,16/02083/PRIOR,,"Technology House, 1 Fleetwood Park, Barley Way, Fleet",https://publicaccess.hart.gov.uk/online-applications/,OSGB36,-0.831302,51.298686,0.5,not owned by a public authority,yes,permissioned,other,2016-10-04,,,43,Change of use from B1 offices to 43 apartments,,,,,2018-12-20,2018-12-20
http://opendatacommunities.org/id/district-council/hart,Hart District Council,16/01267/PRIOR 16/03332/FUL,,"Fleet House, 3 Fleetwood Park, Barley Way, Fleet",https://publicaccess.hart.gov.uk/online-applications/,OSGB36,-0.830492,51.297814,0.77,not owned by a public authority,yes,permissioned,other,2016-10-14,,,60,Change of use as office to form 46 apartments and create a second floor to provide 14 flats,,,,,2018-12-20,2018-12-20
http://opendatacommunities.org/id/district-council/hart,Hart District Council,16/01704/PRIOR,,"Rosebank Parade, Plough Road, Yateley",https://publicaccess.hart.gov.uk/online-applications/,OSGB36,-0.820929,51.341889,0.11,not owned by a public authority,,permissioned,other,2016-08-19,,,11,Change of use as office to form 11 flats,,,,Scheme has no SANG mitigation and therefore can not be considered deliverable. Site not included in housing trajectory.,2018-12-20,2018-12-20
http://opendatacommunities.org/id/district-council/hart,Hart District Council,17/01912/FUL,,"The Acorn, London Road, Hook",https://publicaccess.hart.gov.uk/online-applications/,OSGB36,-0.96225,51.283158,0.09,not owned by a public authority,yes,permissioned,full planning permission,2018-01-24,,,5,Conversion of existing commercial property into 5 dwellings,,,,,2018-12-20,2018-12-20
http://opendatacommunities.org/id/district-council/hart,Hart District Council,17/01793/FUL,,"Shapley Ranch, London Road, Hook",https://publicaccess.hart.gov.uk/online-applications/,OSGB36,-0.920967,51.291831,0.37,not owned by a public authority,yes,permissioned,full planning permission,2018-01-19,,,7,Redevelopment of the site to provide 7 dwellings,,,,,2018-12-20,2018-12-20
http://opendatacommunities.org/id/district-council/hart,Hart District Council,17/00471/OUT,,Hartland Park,https://publicaccess.hart.gov.uk/online-applications/,OSGB36,-0.807055,51.283946,56,not owned by a public authority,yes,permissioned,full planning permission,2018-07-13,,,1500,1500 units,Local centre with retail and commercial uses. Primary School,,,,2017-12-22,2018-12-20
