OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SitePlanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedforPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,Alternative Reference 1 (Planning permission),Alternative Reference 2 (Site Assessment),Alternative Reference 2 (Local Plan PS Jan 2018)
http://opendatacommunities.org/id/unitary-authority/peterborough,Peterborough,PDL/0011/17,,"Car Park
Hampton Court
Westwood
Peterborough

",https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=P0N9FVML0CW00,OSGB36,517398,300627,10,Unknown,Yes,Permissioned,Full,2017/02/22,https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=P0N9FVML0CW00,,16,,,,16,16,,,,2017/12/19,2017/12/19,16/02184/R4FUL,,
http://opendatacommunities.org/id/unitary-authority/peterborough,Peterborough,PDL/0012/17,,"Coneygree Lodge
Coneygree Road
Stanground
Peterborough

",https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=P0N9N0ML0CW00,OSGB36,520515,297024,3.5,Unknown,Yes,Permissioned,Full,2013/08/29,https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=P0N9N0ML0CW00,,14,,,,14,14,,,,2017/12/19,2017/12/19,13/00736/FUL,,
http://opendatacommunities.org/id/unitary-authority/peterborough,Peterborough,PDL/0014/17,,"Land At
East Station Road
Fletton Quays
Peterborough

",https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=P0NEXAML0CW00,OSGB36,519498,298029,67.9,Unknown,Yes,Not permissioned,,,https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=P0NEXAML0CW00,,100,,,,100,100,,,,2017/12/19,2017/12/19,,FLS004O,
http://opendatacommunities.org/id/unitary-authority/peterborough,Peterborough,PDL/0015/17,,"1 Grove Street
Woodston
Peterborough
PE2 9AG
",https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O8CN74ML0CW00,OSGB36,518890,297648,0.7,Unknown,Yes,Permissioned,Outline,2015/07/31,https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=O8CN74ML0CW00,,6,,,,6,6,,,,2017/12/19,2017/12/19,15/00653/OUT,,
http://opendatacommunities.org/id/unitary-authority/peterborough,Peterborough,PDL/0016/17,,"Former John Mansfield School Remote Playing Field
Poplar Avenue
Dogsthorpe
Peterborough

",https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=P0NFZ2ML0CW00,OSGB36,520201,301911,40.6,Unknown,Yes,Permissioned,Full,2017/11/03,https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=P0NFZ2ML0CW00,,116,,,,116,116,,,,2017/12/19,2017/12/19,17/00013/R4FUL,DOG002H,
http://opendatacommunities.org/id/unitary-authority/peterborough,Peterborough,PDL/0017/17,,"Land To The West Of
London Road
Peterborough

",https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O851BHML0CW00,OSGB36,517869,293987,745.3,Unknown,Yes,Permissioned,Outline,1993/03/09,https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=O851BHML0CW00,,2349,,,,2349,2349,,,,2017/12/19,2017/12/19,91/P0556,,
http://opendatacommunities.org/id/unitary-authority/peterborough,Peterborough,PDL/0018/17,,"Johnston Publishing
Oundle Road
Woodston
Peterborough
PE2 9QR
",https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O879GOML0CW00,OSGB36,518061,297289,30.5,Unknown,Yes,Permissioned,Full,2015/04/02,https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=O879GOML0CW00,,86,,,,86,86,,,,2017/12/19,2017/12/19,14/02012/FUL,,
http://opendatacommunities.org/id/unitary-authority/peterborough,Peterborough,PDL/0019/17,,"117 Park Road
Peterborough
PE1 2TR
",https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O859STML0CW00,OSGB36,519332,299408,1.1,Unknown,Yes,Permissioned,Prior Approval,2016/07/05,https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=O859STML0CW00,,24,,,,24,24,,,,2017/12/19,2017/12/19,16/00965/PRIOR,,
http://opendatacommunities.org/id/unitary-authority/peterborough,Peterborough,PDL/0020/17,,"143 Oundle Road
Woodston
Peterborough
PE2 9PW
",https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O8CMQXML0CW00,OSGB36,518529,297823,1.3,Unknown,Yes,Permissioned,Full,2015/01/12,https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=O8CMQXML0CW00,,10,,,,10,10,,,,2017/12/19,2017/12/19,13/00136/FUL,,
http://opendatacommunities.org/id/unitary-authority/peterborough,Peterborough,PDL/0021/17,,"28 - 30 Priestgate
Peterborough
PE1 1JA
",https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O8CMX5ML0CW00,OSGB36,519050,298535,1.2,Unknown,Yes,Permissioned,Full,2015/07/09,https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=O8CMX5ML0CW00,,8,,,,8,8,,,,2017/12/19,2017/12/19,15/00684/FUL,,
