entry-date,organisation,site,site-address,site-plan-url,deliverable,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
,,SHA/LYN/38,,,,,,,0.51,,,,,a67314bbafd3fc3b864fb2ee7c631e13621ca37daf02a97cef53856d8c0a6afd
,,SHA/LYN/2,,,,,,,0.41,,,,,a67314bbafd3fc3b864fb2ee7c631e13621ca37daf02a97cef53856d8c0a6afd
,,SHA/LYN/15,,,,,,,0.33,,,,,a67314bbafd3fc3b864fb2ee7c631e13621ca37daf02a97cef53856d8c0a6afd
,,6/14/16/102,,,,,,,0.49,,,,,a67314bbafd3fc3b864fb2ee7c631e13621ca37daf02a97cef53856d8c0a6afd
,,6/27/18/115,,,,,,,0.28,,,,,a67314bbafd3fc3b864fb2ee7c631e13621ca37daf02a97cef53856d8c0a6afd
,,6/13/18/104,,,,,,,0.35,,,,,a67314bbafd3fc3b864fb2ee7c631e13621ca37daf02a97cef53856d8c0a6afd
