entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
,local-authority-eng:WGN,,,,,not owned by a public authority,,,,53.557786,-2.636107,0.08,,,2016-04-01,,c9bfc4133f0e2192bc4b92f2717b6c04544d111bedb9e307985eac35426999e6
,local-authority-eng:WGN,,,,,not owned by a public authority,,,,53.524839,-2.715197,0.09,,,2017-07-01,,c9bfc4133f0e2192bc4b92f2717b6c04544d111bedb9e307985eac35426999e6
,local-authority-eng:WGN,,,,,not owned by a public authority,,,,53.526908,-2.496844,0.48,,,2017-07-01,,c9bfc4133f0e2192bc4b92f2717b6c04544d111bedb9e307985eac35426999e6
,local-authority-eng:WGN,,,,,not owned by a public authority,,,,53.539778,-2.652908,0.08,,,2017-07-01,,c9bfc4133f0e2192bc4b92f2717b6c04544d111bedb9e307985eac35426999e6
,local-authority-eng:WGN,,,,,not owned by a public authority,,,,53.539374,-2.610725,0.03,,,2017-07-01,,c9bfc4133f0e2192bc4b92f2717b6c04544d111bedb9e307985eac35426999e6
,local-authority-eng:WGN,,,,,not owned by a public authority,,,,53.535458,-2.708117,0.24,,,2017-07-01,,c9bfc4133f0e2192bc4b92f2717b6c04544d111bedb9e307985eac35426999e6
,local-authority-eng:WGN,,,,,not owned by a public authority,,,,53.585483,-2.658704,0.15,,,2017-07-01,,c9bfc4133f0e2192bc4b92f2717b6c04544d111bedb9e307985eac35426999e6
,local-authority-eng:WGN,,,,,not owned by a public authority,,,,53.485711,-2.52343,0.13,,,2017-07-01,,c9bfc4133f0e2192bc4b92f2717b6c04544d111bedb9e307985eac35426999e6
,local-authority-eng:WGN,,,,,not owned by a public authority,,,,53.533452,-2.686742,0.1,,,2017-07-01,,c9bfc4133f0e2192bc4b92f2717b6c04544d111bedb9e307985eac35426999e6
,local-authority-eng:WGN,,,,,not owned by a public authority,,,,53.56332,-2.627707,1.12,,,2017-07-01,,c9bfc4133f0e2192bc4b92f2717b6c04544d111bedb9e307985eac35426999e6
,local-authority-eng:WGN,,,,,owned by a public authority,,,,53.542599,-2.604827,0.79,,,2017-07-01,,c9bfc4133f0e2192bc4b92f2717b6c04544d111bedb9e307985eac35426999e6
,local-authority-eng:WGN,,,,,not owned by a public authority,,,,53.495184,-2.644406,0.28,,,2017-07-01,,c9bfc4133f0e2192bc4b92f2717b6c04544d111bedb9e307985eac35426999e6
,local-authority-eng:WGN,,,,,not owned by a public authority,,,,53.498439,-2.529581,0.21,,,2017-07-01,,c9bfc4133f0e2192bc4b92f2717b6c04544d111bedb9e307985eac35426999e6
,local-authority-eng:WGN,,,,,not owned by a public authority,,,,53.513983,-2.419756,0.11,,,2017-07-01,,c9bfc4133f0e2192bc4b92f2717b6c04544d111bedb9e307985eac35426999e6
,local-authority-eng:WGN,,,,,not owned by a public authority,,,,53.503416,-2.468824,0.51,,,2017-07-01,,c9bfc4133f0e2192bc4b92f2717b6c04544d111bedb9e307985eac35426999e6
,local-authority-eng:WGN,,,,,not owned by a public authority,,,,53.552655,-2.595274,9.66,,,2017-07-01,,c9bfc4133f0e2192bc4b92f2717b6c04544d111bedb9e307985eac35426999e6
,local-authority-eng:WGN,,,,,not owned by a public authority,,,,53.515533,-2.546693,0.1,,,2017-07-01,,c9bfc4133f0e2192bc4b92f2717b6c04544d111bedb9e307985eac35426999e6
,local-authority-eng:WGN,,,,,not owned by a public authority,,,,53.535968,-2.61515,0.33,,,2017-07-01,,c9bfc4133f0e2192bc4b92f2717b6c04544d111bedb9e307985eac35426999e6
,local-authority-eng:WGN,,,,,not owned by a public authority,,,,53.554133,-2.658843,3.66,,,2016-04-01,,c9bfc4133f0e2192bc4b92f2717b6c04544d111bedb9e307985eac35426999e6
,local-authority-eng:WGN,,,,,not owned by a public authority,,,,53.537417,-2.619898,0.17,,,2016-04-01,,c9bfc4133f0e2192bc4b92f2717b6c04544d111bedb9e307985eac35426999e6
,local-authority-eng:WGN,,,,,not owned by a public authority,,,,53.537537,-2.633357,0.04,,,2016-04-01,,c9bfc4133f0e2192bc4b92f2717b6c04544d111bedb9e307985eac35426999e6
,local-authority-eng:WGN,,,,,owned by a public authority,,,,53.534984,-2.628809,28.93,,,2016-04-01,,c9bfc4133f0e2192bc4b92f2717b6c04544d111bedb9e307985eac35426999e6
,local-authority-eng:WGN,,,,,not owned by a public authority,,,,53.489163,-2.633658,0.3,,,2016-04-01,,c9bfc4133f0e2192bc4b92f2717b6c04544d111bedb9e307985eac35426999e6
,local-authority-eng:WGN,,,,,not owned by a public authority,,,,53.541546,-2.598661,0.31,,,2016-04-01,,c9bfc4133f0e2192bc4b92f2717b6c04544d111bedb9e307985eac35426999e6
,local-authority-eng:WGN,,,,,owned by a public authority,,,,53.519763,-2.594006,0.4,,,2017-07-01,,c9bfc4133f0e2192bc4b92f2717b6c04544d111bedb9e307985eac35426999e6
,local-authority-eng:WGN,,,,,owned by a public authority,,,,53.516077,-2.512881,3.11,,,2017-07-01,,c9bfc4133f0e2192bc4b92f2717b6c04544d111bedb9e307985eac35426999e6
,local-authority-eng:WGN,,,,,not owned by a public authority,,,,53.528093,-2.500419,0.12,,,2017-07-01,,c9bfc4133f0e2192bc4b92f2717b6c04544d111bedb9e307985eac35426999e6
,local-authority-eng:WGN,,,,,not owned by a public authority,,,,53.493877,-2.559981,1.31,,,2017-07-01,,c9bfc4133f0e2192bc4b92f2717b6c04544d111bedb9e307985eac35426999e6
,local-authority-eng:WGN,,,,,not owned by a public authority,,,,53.539044,-2.659123,0.82,,,2017-07-01,,c9bfc4133f0e2192bc4b92f2717b6c04544d111bedb9e307985eac35426999e6
,local-authority-eng:WGN,,,,,not owned by a public authority,,,,53.473898,-2.552725,1.07,,,2017-07-01,,c9bfc4133f0e2192bc4b92f2717b6c04544d111bedb9e307985eac35426999e6
,local-authority-eng:WGN,,,,,owned by a public authority,,,,53.544995,-2.628574,0.22,,,2017-07-01,,c9bfc4133f0e2192bc4b92f2717b6c04544d111bedb9e307985eac35426999e6
,local-authority-eng:WGN,,,,,not owned by a public authority,,,,53.496724,-2.524375,0.22,,,2017-07-01,,c9bfc4133f0e2192bc4b92f2717b6c04544d111bedb9e307985eac35426999e6
,local-authority-eng:WGN,,,,,not owned by a public authority,,,,53.522914,-2.514956,0.61,,,2017-07-01,,c9bfc4133f0e2192bc4b92f2717b6c04544d111bedb9e307985eac35426999e6
,local-authority-eng:WGN,,,,,not owned by a public authority,,,,53.466593,-2.568471,0.75,,,2017-07-01,,c9bfc4133f0e2192bc4b92f2717b6c04544d111bedb9e307985eac35426999e6
,local-authority-eng:WGN,,,,,not owned by a public authority,,,,53.508932,-2.527645,0.69,,,2017-07-01,,c9bfc4133f0e2192bc4b92f2717b6c04544d111bedb9e307985eac35426999e6
,local-authority-eng:WGN,,,,,owned by a public authority,,,,53.509714,-2.520669,0.37,,,2017-07-01,,c9bfc4133f0e2192bc4b92f2717b6c04544d111bedb9e307985eac35426999e6
,local-authority-eng:WGN,,,,,not owned by a public authority,,,,53.497238,-2.524048,0.23,,,2017-07-01,,c9bfc4133f0e2192bc4b92f2717b6c04544d111bedb9e307985eac35426999e6
,local-authority-eng:WGN,,,,,not owned by a public authority,,,,53.54973,-2.627593,0.25,,,2017-07-01,,c9bfc4133f0e2192bc4b92f2717b6c04544d111bedb9e307985eac35426999e6
,local-authority-eng:WGN,,,,,owned by a public authority,,,,53.536822,-2.609682,0.92,,,2017-07-01,,c9bfc4133f0e2192bc4b92f2717b6c04544d111bedb9e307985eac35426999e6
,local-authority-eng:WGN,,,,,owned by a public authority,,,,53.538783,-2.56741,1.8,,,2017-07-01,,c9bfc4133f0e2192bc4b92f2717b6c04544d111bedb9e307985eac35426999e6
,local-authority-eng:WGN,,,,,not owned by a public authority,,,,53.516828,-2.595835,1.23,,,2017-07-01,,c9bfc4133f0e2192bc4b92f2717b6c04544d111bedb9e307985eac35426999e6
,local-authority-eng:WGN,,,,,owned by a public authority,,,,53.493834,-2.542686,20.81,,,2017-07-01,,c9bfc4133f0e2192bc4b92f2717b6c04544d111bedb9e307985eac35426999e6
