entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
,local-authority-eng:TEI,BFR001,"Glendaragh, Barn Park Road, Teignmouth TQ14 8PN",,yes,not owned by a public authority,permissioned,full planning permission,,,,0.26,15,15,2017-11-01,,fbb2e387ccb2486b8bffb9545563a67bfc028d3c814f3763c2e08febb17088ac
,local-authority-eng:TEI,BFR002,"Rosemary Avenue, Newton Abbot TQ12 1SB",,yes,not owned by a public authority,permissioned,full planning permission,,,,0.12,6,6,2017-11-01,,fbb2e387ccb2486b8bffb9545563a67bfc028d3c814f3763c2e08febb17088ac
,local-authority-eng:TEI,BFR003,"Platway House, Torquay Road, Shaldon TQ14 0AU",,yes,not owned by a public authority,permissioned,full planning permission,,,,0.47,9,9,2017-11-01,,fbb2e387ccb2486b8bffb9545563a67bfc028d3c814f3763c2e08febb17088ac
2018-03-16,local-authority-eng:TEI,BFR004,"Shapters Yard, Strand Hill, Dawlish EX7 9PS",,yes,not owned by a public authority,permissioned,full planning permission,,,,0.04,9,9,2017-11-01,,fbb2e387ccb2486b8bffb9545563a67bfc028d3c814f3763c2e08febb17088ac
,local-authority-eng:TEI,BFR005,"Former Wolborough Hospital, Old Totnes Road, Newton Abbot TQ12 6AA",,yes,not owned by a public authority,permissioned,full planning permission,,,,1.14,13,15,2017-11-01,,fbb2e387ccb2486b8bffb9545563a67bfc028d3c814f3763c2e08febb17088ac
2018-08-28,local-authority-eng:TEI,BFR006,"Holcombe Hall, Holcombe Drive, Dawlish EX7 0JW",,yes,not owned by a public authority,permissioned,full planning permission,,,,0.73,7,7,2017-11-01,,fbb2e387ccb2486b8bffb9545563a67bfc028d3c814f3763c2e08febb17088ac
,local-authority-eng:TEI,BFR007,"14 Barton Villas, Dawlish EX7 9QJ",,yes,not owned by a public authority,permissioned,full planning permission,,,,0.04,5,5,2017-11-01,,fbb2e387ccb2486b8bffb9545563a67bfc028d3c814f3763c2e08febb17088ac
,local-authority-eng:TEI,BFR008,"22-26 Wolborough Street, Newton Abbot TQ12 1JJ",,yes,not owned by a public authority,permissioned,full planning permission,,,,0.18,38,38,2017-11-01,,fbb2e387ccb2486b8bffb9545563a67bfc028d3c814f3763c2e08febb17088ac
,local-authority-eng:TEI,BFR009,"Clay Lane, Teignmouth TQ14 8FW",,yes,not owned by a public authority,permissioned,full planning permission,,,,0.08,21,21,2017-11-01,,fbb2e387ccb2486b8bffb9545563a67bfc028d3c814f3763c2e08febb17088ac
,local-authority-eng:TEI,BFR010,"land at Ilford Park, Stover, Newton Abbot TQ12 6PW",,yes,not owned by a public authority,permissioned,full planning permission,,,,26.45,23,23,2017-11-01,,fbb2e387ccb2486b8bffb9545563a67bfc028d3c814f3763c2e08febb17088ac
