entry-date,organisation,site,site-plan-url,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
,local-authority-eng:SUR,SHBR39,http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/8SLAA2017Ap2CamberleySiteAssmts.pdf,51.3352,-0.7625,0.34,,38,2017-12-18,,82f630980e6dea13040c8bc2d88ba17f88ecfe7278ad25eabb51a88c33c6fb2d
,local-authority-eng:SUR,SHBR75,http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/8SLAA2017Ap2CamberleySiteAssmts.pdf,51.3391,-0.7468,1.1,,114,2017-12-18,,82f630980e6dea13040c8bc2d88ba17f88ecfe7278ad25eabb51a88c33c6fb2d
,local-authority-eng:SUR,SHBR40,http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/8SLAA2017Ap2CamberleySiteAssmts.pdf,51.3343,-0.7612,0.17,,8,2017-12-18,,82f630980e6dea13040c8bc2d88ba17f88ecfe7278ad25eabb51a88c33c6fb2d
,local-authority-eng:SUR,SHBR41,http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/8SLAA2017Ap2CamberleySiteAssmts.pdf,51.3176,-0.7552,0.14,,5,2017-12-18,,82f630980e6dea13040c8bc2d88ba17f88ecfe7278ad25eabb51a88c33c6fb2d
,local-authority-eng:SUR,SHBR42,http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/8SLAA2017Ap2CamberleySiteAssmts.pdf,51.3289,-0.7552,0.22,,15,2017-12-18,,82f630980e6dea13040c8bc2d88ba17f88ecfe7278ad25eabb51a88c33c6fb2d
,local-authority-eng:SUR,SHBR43,http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/8SLAA2017Ap2CamberleySiteAssmts.pdf,51.326,-0.7553,0.18,,25,2017-12-18,,82f630980e6dea13040c8bc2d88ba17f88ecfe7278ad25eabb51a88c33c6fb2d
,local-authority-eng:SUR,SHBR52,http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/10SLAA2017Ap2ChobhamSiteAssmts.pdf,51.3446,-0.5955,1.4,,14,2017-12-18,,82f630980e6dea13040c8bc2d88ba17f88ecfe7278ad25eabb51a88c33c6fb2d
,local-authority-eng:SUR,SHBR53,http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/10SLAA2017Ap2ChobhamSiteAssmts.pdf,51.3536,-0.6034,0.9,,5,2017-12-18,,82f630980e6dea13040c8bc2d88ba17f88ecfe7278ad25eabb51a88c33c6fb2d
,local-authority-eng:SUR,SHBR56,http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/12SLAA2017Ap2DeepcutSiteAssmts.pdf,51.3047,-0.701,44.55,,300,2017-12-18,,82f630980e6dea13040c8bc2d88ba17f88ecfe7278ad25eabb51a88c33c6fb2d
,local-authority-eng:SUR,SHBR61,http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/14SLAA2017Ap2FrimleySiteAssmts.pdf,,,0.32,,91,2017-12-18,,82f630980e6dea13040c8bc2d88ba17f88ecfe7278ad25eabb51a88c33c6fb2d
,local-authority-eng:SUR,SHBR62,http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/14SLAA2017Ap2FrimleySiteAssmts.pdf,51.3124,-0.746,0.27,,35,2017-12-18,,82f630980e6dea13040c8bc2d88ba17f88ecfe7278ad25eabb51a88c33c6fb2d
,local-authority-eng:SUR,SHBR63,http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/14SLAA2017Ap2FrimleySiteAssmts.pdf,51.3247,-0.7033,3.7,,100,2017-12-18,,82f630980e6dea13040c8bc2d88ba17f88ecfe7278ad25eabb51a88c33c6fb2d
,local-authority-eng:SUR,SHBR65,http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/16SLAA2017Ap2FrimleyGreenSiteAssmts.pdf,51.2988,-0.7298,3.5,,60,2017-12-18,,82f630980e6dea13040c8bc2d88ba17f88ecfe7278ad25eabb51a88c33c6fb2d
,local-authority-eng:SUR,SHBR73,http://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2017/22SLAA2017Ap2WindleshamSiteAssmts.pdf,51.3776,-0.6677,0.24,,9,2017-12-18,,82f630980e6dea13040c8bc2d88ba17f88ecfe7278ad25eabb51a88c33c6fb2d
,local-authority-eng:SUR,SHBR74,http://isharemaps.surreyheath.gov.uk/ishare54/custom/planning/?requesttype=parseTemplate&template=DevelopmentControlApplication.tmplt&Filter=^SYSTEMKEY^=%2737580%27&backurl=custom/planning?,51.3417,-0.7188,0.16,,8,2018-12-18,,82f630980e6dea13040c8bc2d88ba17f88ecfe7278ad25eabb51a88c33c6fb2d
,local-authority-eng:SUR,SHBR75,http://isharemaps.surreyheath.gov.uk/ishare54/custom/planning/?requesttype=parseTemplate&template=DevelopmentControlApplication.tmplt&Filter=^SYSTEMKEY^=%2737442%27&backurl=custom/planning?,51.3126,-0.7254,0.31,,5,2018-12-18,,82f630980e6dea13040c8bc2d88ba17f88ecfe7278ad25eabb51a88c33c6fb2d
,local-authority-eng:SUR,SHBR76,http://isharemaps.surreyheath.gov.uk/ishare54/custom/planning/?requesttype=parseTemplate&template=DevelopmentControlApplication.tmplt&Filter=^SYSTEMKEY^=%2737308%27&backurl=custom/planning?,51.3362,-0.759,0.053,,12,2018-12-18,,82f630980e6dea13040c8bc2d88ba17f88ecfe7278ad25eabb51a88c33c6fb2d
,local-authority-eng:SUR,SHBR77,http://isharemaps.surreyheath.gov.uk/ishare54/custom/planning/?requesttype=parseTemplate&template=DevelopmentControlApplication.tmplt&Filter=^SYSTEMKEY^=%2737125%27&backurl=custom/planning?,51.2916,-0.7274,0.38,,8,2018-12-18,,82f630980e6dea13040c8bc2d88ba17f88ecfe7278ad25eabb51a88c33c6fb2d
,local-authority-eng:SUR,SHBR78,http://isharemaps.surreyheath.gov.uk/ishare54/custom/planning/?requesttype=parseTemplate&template=DevelopmentControlApplication.tmplt&Filter=^SYSTEMKEY^=%2737072%27&backurl=custom/planning?,51.3649,-0.6551,0.17,,7,2018-12-18,,82f630980e6dea13040c8bc2d88ba17f88ecfe7278ad25eabb51a88c33c6fb2d
,local-authority-eng:SUR,SHBR79,http://isharemaps.surreyheath.gov.uk/ishare54/custom/planning/?requesttype=parseTemplate&template=DevelopmentControlApplication.tmplt&Filter=^SYSTEMKEY^=%2736895%27&backurl=custom/planning?,51.3231,-0.7254,0.05,,6,2018-12-18,,82f630980e6dea13040c8bc2d88ba17f88ecfe7278ad25eabb51a88c33c6fb2d
,local-authority-eng:SUR,SHBR80,http://isharemaps.surreyheath.gov.uk/ishare54/custom/planning/?requesttype=parseTemplate&template=DevelopmentControlApplication.tmplt&Filter=^SYSTEMKEY^=%2736813%27&backurl=custom/planning?,51.3087,-0.7038,0.15,,6,2018-12-18,,82f630980e6dea13040c8bc2d88ba17f88ecfe7278ad25eabb51a88c33c6fb2d
,local-authority-eng:SUR,SHBR81,http://isharemaps.surreyheath.gov.uk/ishare54/custom/planning/?requesttype=parseTemplate&template=DevelopmentControlApplication.tmplt&Filter=^SYSTEMKEY^=%2736666%27&backurl=custom/planning?,51.3256,-0.7615,0.53,,52,2018-12-18,,82f630980e6dea13040c8bc2d88ba17f88ecfe7278ad25eabb51a88c33c6fb2d
,local-authority-eng:SUR,SHBR82,http://isharemaps.surreyheath.gov.uk/ishare54/custom/planning/?requesttype=parseTemplate&template=DevelopmentControlApplication.tmplt&Filter=^SYSTEMKEY^=%2736646%27&backurl=custom/planning?,51.3536,-0.6032,0.11,,5,2018-12-18,,82f630980e6dea13040c8bc2d88ba17f88ecfe7278ad25eabb51a88c33c6fb2d
,local-authority-eng:SUR,SHBR83,http://isharemaps.surreyheath.gov.uk/ishare54/custom/planning/?requesttype=parseTemplate&template=DevelopmentControlApplication.tmplt&Filter=^SYSTEMKEY^=%2736628%27&backurl=custom/planning?,51.339,-0.7483,0.06,,14,2018-12-18,,82f630980e6dea13040c8bc2d88ba17f88ecfe7278ad25eabb51a88c33c6fb2d
