entry-date,organisation,site,site-address,site-plan-url,deliverable,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
2018-12-06,local-authority-eng:CAR,CA51,"Former Goods Yard, London Road Carlisle",http://www.carlisle.gov.uk/planning-policy/Evidence-Base/Brownfield-Register,,yes,54.886287,-2.918437,1.99,,,2017-12-31,,5c4f158e2121a8c87036e549925a79d730f9d5c81f224dd8f375d4350297845b
2018-12-06,local-authority-eng:CAR,CA25,"South Western Terrace, Carlisle",http://www.carlisle.gov.uk/planning-policy/Evidence-Base/Brownfield-Register,,yes,54.882067,-2.934552,3.11,,,2017-12-31,,5c4f158e2121a8c87036e549925a79d730f9d5c81f224dd8f375d4350297845b
2018-12-06,local-authority-eng:CAR,CA49,Nelson Street Carlisle,http://www.carlisle.gov.uk/planning-policy/Evidence-Base/Brownfield-Register,,,54.888848,-2.944281,2.84,,,2017-12-31,,5c4f158e2121a8c87036e549925a79d730f9d5c81f224dd8f375d4350297845b
2018-12-06,local-authority-eng:CAR,U21,Laings Site Dalston Rd,http://www.carlisle.gov.uk/planning-policy/Evidence-Base/Brownfield-Register,,,54.890886,-2.947993,1.12,,,2017-12-31,,5c4f158e2121a8c87036e549925a79d730f9d5c81f224dd8f375d4350297845b
2018-12-06,local-authority-eng:CAR,CA75,Caxton Rd Carlisle,http://www.carlisle.gov.uk/planning-policy/Evidence-Base/Brownfield-Register,yes,,54.897396,-2.966951,1.4,,,2017-12-31,,5c4f158e2121a8c87036e549925a79d730f9d5c81f224dd8f375d4350297845b
2018-12-06,local-authority-eng:CAR,R11,Harker Carlisle,http://www.carlisle.gov.uk/planning-policy/Evidence-Base/Brownfield-Register,,,54.937828,-2.954388,10.59,,,2017-12-31,,5c4f158e2121a8c87036e549925a79d730f9d5c81f224dd8f375d4350297845b
2018-12-06,local-authority-eng:CAR,U3,Site of Pennine Way Primary School,http://www.carlisle.gov.uk/planning-policy/Evidence-Base/Brownfield-Register,,,54.882323,-2.89453,3.46,,,2017-12-31,,5c4f158e2121a8c87036e549925a79d730f9d5c81f224dd8f375d4350297845b
2018-12-06,local-authority-eng:CAR,17/0429,The Grange Wood St Carlisle,http://www.carlisle.gov.uk/planning-policy/Evidence-Base/Brownfield-Register,yes,,54.891608,-2.901627,0.28,,,2017-12-31,,5c4f158e2121a8c87036e549925a79d730f9d5c81f224dd8f375d4350297845b
2018-12-06,local-authority-eng:CAR,15/1003,St Ninians Road Carlisle,http://www.carlisle.gov.uk/planning-policy/Evidence-Base/Brownfield-Register,,,54.872004,-2.914201,3.09,,,2017-12-31,,5c4f158e2121a8c87036e549925a79d730f9d5c81f224dd8f375d4350297845b
2018-12-06,local-authority-eng:CAR,,Central Plaza Hotel Carlisle,http://www.carlisle.gov.uk/planning-policy/Evidence-Base/Brownfield-Register,,,54.892453,-2.936055,0.08,,,2017-12-31,,5c4f158e2121a8c87036e549925a79d730f9d5c81f224dd8f375d4350297845b
2018-12-06,local-authority-eng:CAR,,The Citadel Carlisle,http://www.carlisle.gov.uk/planning-policy/Evidence-Base/Brownfield-Register,,,54.892054,-2.934159,1.83,,,2017-12-31,,5c4f158e2121a8c87036e549925a79d730f9d5c81f224dd8f375d4350297845b
2018-12-06,local-authority-eng:CAR,,Caldew Riverside Carlisle,http://www.carlisle.gov.uk/planning-policy/Evidence-Base/Brownfield-Register,,,54.892781,-2.940023,5.46,,,2017-12-31,,5c4f158e2121a8c87036e549925a79d730f9d5c81f224dd8f375d4350297845b
2018-12-06,local-authority-eng:CAR,R 4,Site of former Lochinvar School Longtown,http://www.carlisle.gov.uk/planning-policy/Evidence-Base/Brownfield-Register,,,55.011875,-2.966123,3.56,,,2017-12-31,,5c4f158e2121a8c87036e549925a79d730f9d5c81f224dd8f375d4350297845b
2018-12-06,local-authority-eng:CAR,,Former Offices Portland Square Carlisle,http://www.carlisle.gov.uk/planning-policy/Evidence-Base/Brownfield-Register,yes,,54.892583,-2.928372,0.93,,,2017-12-31,,5c4f158e2121a8c87036e549925a79d730f9d5c81f224dd8f375d4350297845b
2017-12-31,local-authority-eng:CAR,,Former Caldew Hospital Carlisle,http://www.carlisle.gov.uk/planning-policy/Evidence-Base/Brownfield-Register,yes,,54.88865,-2.948953,0.38,,,2017-12-31,,5c4f158e2121a8c87036e549925a79d730f9d5c81f224dd8f375d4350297845b
