entry-date,organisation,site,site-address,site-plan-url,deliverable,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
2017-12-22,local-authority-eng:HAT,17/01111/FUL,"Land To The Rear Of, Acorn House, Elms Road, Hook, Hampshire, RG27 9DU",https://publicaccess.hart.gov.uk/online-applications/,yes,,51.283276,-0.962391,0.18,5,5,2017-12-22,,f14c68a28cde2f75a7cf2dbf67d91c861e0b33421139cb9da77f9941fb4a33c8
2017-12-22,local-authority-eng:HAT,15/00230/FUL,"Fleet Autos, St James Road, Fleet, Hampshire, GU51 3YX",https://publicaccess.hart.gov.uk/online-applications/,yes,,51.277732,-0.845712,0.05,5,5,2017-12-22,2019-11-21,f14c68a28cde2f75a7cf2dbf67d91c861e0b33421139cb9da77f9941fb4a33c8
2019-11-14,local-authority-eng:HAT,15/02977/FUL,"Clare Park Private Retirement Residences Ltd, Clare Park, Farnham, Hampshire, GU10 5DT",https://publicaccess.hart.gov.uk/online-applications/,yes,,51.224315,-0.846304,2.15,7,7,2017-12-22,2019-11-21,f14c68a28cde2f75a7cf2dbf67d91c861e0b33421139cb9da77f9941fb4a33c8
2019-11-21,local-authority-eng:HAT,17/02311/PRIOR,"Branksome Chambers, Branksomewood Road, Fleet, Hampshire, GU51 4JS",https://publicaccess.hart.gov.uk/online-applications/,,,51.281214,-0.843116,0.08,5,5,2017-12-22,2019-11-21,f14c68a28cde2f75a7cf2dbf67d91c861e0b33421139cb9da77f9941fb4a33c8
2018-12-20,local-authority-eng:HAT,17/00244/PRIOR,"Silvergate, Redfields Industrial Park, Church Crookham, Fleet, Hampshire",https://publicaccess.hart.gov.uk/online-applications/,,,51.252444,-0.849139,0.45,44,44,2017-12-22,,f14c68a28cde2f75a7cf2dbf67d91c861e0b33421139cb9da77f9941fb4a33c8
2017-12-22,local-authority-eng:HAT,17/02762/FUL,"144 Clarence Road, Fleet, GU51 3RS",https://publicaccess.hart.gov.uk/online-applications/,,,51.279394,-0.840953,0.05,5,5,2017-12-22,2019-11-21,f14c68a28cde2f75a7cf2dbf67d91c861e0b33421139cb9da77f9941fb4a33c8
2018-12-20,local-authority-eng:HAT,17/02011/PRIOR,"Victoria House, 18-22 Albert Street, Fleet, Hampshire, GU51 3RJ",https://publicaccess.hart.gov.uk/online-applications/,,,51.28366,-0.837735,0.1,12,12,2017-12-22,2019-11-21,f14c68a28cde2f75a7cf2dbf67d91c861e0b33421139cb9da77f9941fb4a33c8
2018-12-20,local-authority-eng:HAT,18/00649/PRIOR,"Lorica Consulting Ltd, Lorica House, Fleet Mill, Minley Road, Fleet, Hampshire, GU51 2RD",https://publicaccess.hart.gov.uk/online-applications/,yes,,51.296227,-0.830002,0.32,8,25,2017-12-22,2019-11-21,f14c68a28cde2f75a7cf2dbf67d91c861e0b33421139cb9da77f9941fb4a33c8
2018-12-20,local-authority-eng:HAT,18/00650/PRIOR,"Infineon House, Fleet Mill, Minley Road, Fleet, Hampshire, GU51 2RD",https://publicaccess.hart.gov.uk/online-applications/,yes,,51.296919,-0.830013,0.43,10,29,2017-12-22,2019-11-21,f14c68a28cde2f75a7cf2dbf67d91c861e0b33421139cb9da77f9941fb4a33c8
2018-12-20,local-authority-eng:HAT,17/02118/PRIOR,"Zenith House, 3 Rye Close, Fleet, Hampshire, GU51 2UY",https://publicaccess.hart.gov.uk/online-applications/,,,51.298611,-0.824663,0.29,23,23,2017-12-22,,f14c68a28cde2f75a7cf2dbf67d91c861e0b33421139cb9da77f9941fb4a33c8
2018-12-20,local-authority-eng:HAT,17/02652/PRIOR,"Vantage House, Meridian Office Park, Osborn Way, Hook, Hampshire, RG27 9HY",https://publicaccess.hart.gov.uk/online-applications/,,,51.278869,-0.959207,0.15,2,17,2017-12-22,,f14c68a28cde2f75a7cf2dbf67d91c861e0b33421139cb9da77f9941fb4a33c8
2019-11-21,local-authority-eng:HAT,18/02748/PRIOR,"Building 260 and 270, Bartley Wood Business Park, Bartley Way, Hook, Hampshire",https://publicaccess.hart.gov.uk/online-applications/,,,51.278517,-0.949967,2.15,116,122,2017-12-22,,f14c68a28cde2f75a7cf2dbf67d91c861e0b33421139cb9da77f9941fb4a33c8
2018-12-20,local-authority-eng:HAT,17/00771/FUL,"Guillemont Park, Minley Road, Blackwater, Camberley, Surrey, GU17 9QG",https://publicaccess.hart.gov.uk/online-applications/,yes,,51.305951,-0.79307,12,313,313,2017-12-22,2019-11-21,f14c68a28cde2f75a7cf2dbf67d91c861e0b33421139cb9da77f9941fb4a33c8
2018-12-20,local-authority-eng:HAT,17/02644/PRIOR,"Wimpey Homes Holdings Ltd, Stratfield House, Station Road, Hook, Hampshire, RG27 9PQ",https://publicaccess.hart.gov.uk/online-applications/,,,51.2813,-0.962607,0.19,22,22,2017-12-22,,f14c68a28cde2f75a7cf2dbf67d91c861e0b33421139cb9da77f9941fb4a33c8
2018-12-20,local-authority-eng:HAT,18/00931/PRIOR,"125-147 Fleet Road, Fleet, Hampshire, GU51 3PD",https://publicaccess.hart.gov.uk/online-applications/,,,51.283452,-0.838514,0.59,30,30,2017-12-22,,f14c68a28cde2f75a7cf2dbf67d91c861e0b33421139cb9da77f9941fb4a33c8
2019-12-16,local-authority-eng:HAT,19/00493/PRIOR,"Europa House, 5 Bartley Wood Business Park, Bartley Way, Hook, Hampshire, RG27 9UF",https://publicaccess.hart.gov.uk/online-applications/,,,51.279398,-0.955023,1.11,77,116,2018-12-20,,f14c68a28cde2f75a7cf2dbf67d91c861e0b33421139cb9da77f9941fb4a33c8
2019-11-14,local-authority-eng:HAT,17/02484/PRIOR,"Flagship House, Reading Road North, Fleet, Hampshire, GU51 4WD",https://publicaccess.hart.gov.uk/online-applications/,,,51.279128,-0.846838,0.49,31,31,2018-12-20,,f14c68a28cde2f75a7cf2dbf67d91c861e0b33421139cb9da77f9941fb4a33c8
2018-12-20,local-authority-eng:HAT,16/02784/PRIOR,"110 Fleet Road, Fleet, Hampshire, GU51 4BE",https://publicaccess.hart.gov.uk/online-applications/,,,51.282533,-0.841032,0.11,15,15,2018-12-20,2019-11-21,f14c68a28cde2f75a7cf2dbf67d91c861e0b33421139cb9da77f9941fb4a33c8
2018-12-20,local-authority-eng:HAT,16/02083/PRIOR,"Technology House, 1 Fleetwood Park, Barley Way, Fleet, Hampshire, GU51 2QX",https://publicaccess.hart.gov.uk/online-applications/,yes,,51.298686,-0.831302,0.5,43,43,2018-12-20,2019-11-21,f14c68a28cde2f75a7cf2dbf67d91c861e0b33421139cb9da77f9941fb4a33c8
2018-12-20,local-authority-eng:HAT,16/03332/FUL,"Microgen Management Services Ltd, Fleet House, 3 Fleetwood Park, Barley Way, Fleet, Hampshire, GU51 2QT",https://publicaccess.hart.gov.uk/online-applications/,yes,,51.297814,-0.830492,0.77,60,60,2018-12-20,2019-11-21,f14c68a28cde2f75a7cf2dbf67d91c861e0b33421139cb9da77f9941fb4a33c8
2018-12-20,local-authority-eng:HAT,16/01704/PRIOR,"Rosebank Parade, Plough Road, Yateley, Hampshire, GU17 7RN",https://publicaccess.hart.gov.uk/online-applications/,,,51.341889,-0.820929,0.11,11,11,2018-12-20,2019-11-21,f14c68a28cde2f75a7cf2dbf67d91c861e0b33421139cb9da77f9941fb4a33c8
2019-11-21,local-authority-eng:HAT,19/00101/FUL,"The Acorn, London Road, Hook, Hampshire, RG27 9DY",https://publicaccess.hart.gov.uk/online-applications/,yes,,51.283158,-0.96225,0.09,5,7,2018-12-20,,f14c68a28cde2f75a7cf2dbf67d91c861e0b33421139cb9da77f9941fb4a33c8
2018-12-20,local-authority-eng:HAT,17/01793/FUL,"Shapley Ranch, London Road, Hartley Wintney, Hook, Hampshire, RG27 8HY",https://publicaccess.hart.gov.uk/online-applications/,yes,,51.291831,-0.920967,0.37,7,7,2018-12-20,,f14c68a28cde2f75a7cf2dbf67d91c861e0b33421139cb9da77f9941fb4a33c8
2019-12-16,local-authority-eng:HAT,17/00471/OUT,"Hartland Park, Bramshot Lane, Fleet, Hampshire",https://publicaccess.hart.gov.uk/online-applications/,yes,,51.283946,-0.807055,56,1500,1500,2017-12-22,,f14c68a28cde2f75a7cf2dbf67d91c861e0b33421139cb9da77f9941fb4a33c8
2019-12-16,local-authority-eng:HAT,19/01376/FUL,"Queens Arms, Farnham Road, Ewshot, Farnham, GU10 5AU",https://publicaccess.hart.gov.uk/online-applications/,yes,,51.237508,-0.833672,0.26,9,9,2018-12-20,,f14c68a28cde2f75a7cf2dbf67d91c861e0b33421139cb9da77f9941fb4a33c8
