entry-date,organisation,site,site-address,site-plan-url,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
2017-12-31,local-authority-eng:BAN,13/00747/FUL,Three Barrels Winklebury Centre Basingstoke,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=MO0ZDBCRAT000,51.268051,-1.124352,0.06,,,2017-12-31,,79cdc3e1c43097bd770fcf43fbd54109178ef6c6e8ed0aa7903914919bb3094e
2018-12-31,local-authority-eng:BAN,13/02321/FUL,Main Hall Park Prewett Northbrook Crescent Basingstoke,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=MVYE55CRAT000,51.280815,-1.119274,0.25,,,2017-12-31,,79cdc3e1c43097bd770fcf43fbd54109178ef6c6e8ed0aa7903914919bb3094e
2018-12-31,local-authority-eng:BAN,14/02200/OUT,Burnham Copse Infant School New Church Road Tadley,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=N9F2VTCRHA500,51.355794,-1.150834,1.41,,,2017-12-31,,79cdc3e1c43097bd770fcf43fbd54109178ef6c6e8ed0aa7903914919bb3094e
2018-12-31,local-authority-eng:BAN,14/03214/FUL,Cranbourne House The Harrow Way,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NDWLC6CRL0M00,51.249226,-1.100125,0.07,,,2018-12-31,,79cdc3e1c43097bd770fcf43fbd54109178ef6c6e8ed0aa7903914919bb3094e
2018-12-31,local-authority-eng:BAN,14/03880/FUL,The Railway Inn Station Road,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NGU8J8CRFND00,51.237057,-1.337799,0.14,,,2018-12-31,,79cdc3e1c43097bd770fcf43fbd54109178ef6c6e8ed0aa7903914919bb3094e
2018-12-31,local-authority-eng:BAN,15/00975/FUL,Leamington Court Andover Road Newfound,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NLGY47CRJBL00,51.257887,-1.172445,0.5,,,2017-12-31,,79cdc3e1c43097bd770fcf43fbd54109178ef6c6e8ed0aa7903914919bb3094e
2018-12-31,local-authority-eng:BAN,15/03170/FUL,Wella (Gb) Wella Road Basingstoke,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NUB80JCRFS600,51.252623,-1.10259,0.67,,,2017-12-31,,79cdc3e1c43097bd770fcf43fbd54109178ef6c6e8ed0aa7903914919bb3094e
2018-12-31,local-authority-eng:BAN,15/04189/FUL,Lock Up Garage Site May Street/lower Brook Street Brookvale Basingstoke,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NYBIG0CRJWL00,51.266048,-1.098058,0.21,,,2017-12-31,,79cdc3e1c43097bd770fcf43fbd54109178ef6c6e8ed0aa7903914919bb3094e
2018-12-31,local-authority-eng:BAN,15/04469/RES,Queen Marys College Land Adjacent To Cliddesden Road Basingstoke,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NZI3KXCRKV200,51.255992,-1.086105,0.23,,,2017-12-31,,79cdc3e1c43097bd770fcf43fbd54109178ef6c6e8ed0aa7903914919bb3094e
2018-12-31,local-authority-eng:BAN,15/04506/FUL,Royal British Legion The Street Bramley,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NZPT71CRL0V00,51.355794,-1.150834,1.41,,,2017-12-31,,79cdc3e1c43097bd770fcf43fbd54109178ef6c6e8ed0aa7903914919bb3094e
