entry-date,organisation,site,site-address,site-plan-url,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
2018-12-19,local-authority-eng:BST,09/04693/P,Paintworks (Phase III) Bath Road Bristol,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=KTK2B5DN0QE00,51.443692,-2.564955,2.48,,,2018-12-19,,7ccc2a39bffa39656ac6eb9369644a7b22f5f79968b139e64ae97074ff962d06
2017-12-19,local-authority-eng:BST,10/03955/F,Social Club North Street Bedminster Bristol BS3 1EN,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=L8FR95DNK8000,51.440921,-2.602576,0.27,,,2017-12-19,,7ccc2a39bffa39656ac6eb9369644a7b22f5f79968b139e64ae97074ff962d06
2018-12-19,local-authority-eng:BST,10/05456/F,Former 280-286 Whitehall Road Bristol BS5 7BL,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=LDKEF2DNK8000,51.463277,-2.551858,0.07,,,2018-12-19,,7ccc2a39bffa39656ac6eb9369644a7b22f5f79968b139e64ae97074ff962d06
2018-12-19,local-authority-eng:BST,11/00034/P,Land Surrounding Dove Lane St Pauls Bristol,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=LELZ4EDN00O00,51.461841,-2.581894,1.7,,,2017-12-19,,7ccc2a39bffa39656ac6eb9369644a7b22f5f79968b139e64ae97074ff962d06
2018-12-19,local-authority-eng:BST,11/00221/P,Graphic Packaging Ltd Filwood Road Bristol BS16 3SB,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=LF9WDBDNK8000,51.475509,-2.528689,4.35,,,2018-12-19,,7ccc2a39bffa39656ac6eb9369644a7b22f5f79968b139e64ae97074ff962d06
2018-12-19,local-authority-eng:BST,11/01851/F,Riverview House 171 - 178 Coronation Road Bristol BS3 1RF,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=LKS4LZDNK8000,51.445517,-2.609594,0.51,,,2017-12-19,,7ccc2a39bffa39656ac6eb9369644a7b22f5f79968b139e64ae97074ff962d06
2018-12-19,local-authority-eng:BST,11/03097/F,The Luckwell Club Luckwell Road Bristol BS3 3EW,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=LOY1U8DNK8000,51.440205,-2.611408,0.2,,,2017-12-19,,7ccc2a39bffa39656ac6eb9369644a7b22f5f79968b139e64ae97074ff962d06
2017-12-19,local-authority-eng:BST,11/04301/F,135 Lawrence Hill Bristol BS5 0BT,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=LT0DIPDN00O00,51.458283,-2.565744,0.04,,,2017-12-19,,7ccc2a39bffa39656ac6eb9369644a7b22f5f79968b139e64ae97074ff962d06
2017-12-19,local-authority-eng:BST,12/02256/F,BS2 Lofts Wilder Street Bristol BS2 8UT,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=M449KTDNK8000,51.462539,-2.585082,0.05,,,2017-12-19,,7ccc2a39bffa39656ac6eb9369644a7b22f5f79968b139e64ae97074ff962d06
2018-12-19,local-authority-eng:BST,12/03900/F,Bristol General Hospital Guinea Street Bristol BS1 6SY,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=M9VCCZDN00E00,51.446948,-2.593315,1.54,,,2017-12-19,,7ccc2a39bffa39656ac6eb9369644a7b22f5f79968b139e64ae97074ff962d06
2017-12-19,local-authority-eng:BST,12/04448/F,1-2 Gloucester Road Avonmouth Bristol BS11 9AA,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=MBMEIVDNK8000,51.50054,-2.699911,0.02,,,2017-12-19,,7ccc2a39bffa39656ac6eb9369644a7b22f5f79968b139e64ae97074ff962d06
2018-12-19,local-authority-eng:BST,12/05581/P,City Of Bristol College Bedminster Marksbury Road Bristol BS3 5JL,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=MF835XDN0MC00,51.433485,-2.590165,2.86,,,2018-12-19,,7ccc2a39bffa39656ac6eb9369644a7b22f5f79968b139e64ae97074ff962d06
2018-12-19,local-authority-eng:BST,13/00780/F,2-16 Clifton Down Road Bristol BS8 4AF,http://planningonline.bristol.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=MIMHBODN0DG00,51.455385,-2.618929,0.1,,,2017-12-19,,7ccc2a39bffa39656ac6eb9369644a7b22f5f79968b139e64ae97074ff962d06
