entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
,local-authority-eng:RCH,SH 1236,,,,,not permissioned,,,,,0.06,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 1244,,,,not owned by a public authority,not permissioned,,,,,0.02,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 1253,,,,,not permissioned,,,,,0.47,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 1397,,,,not owned by a public authority,not permissioned,,,,,0.37,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 1398,,,,not owned by a public authority,not permissioned,,,,,0.58,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 1467,,,,,not permissioned,,,,,1.3,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 1469,,,,,not permissioned,,,,,1.68,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 1473,,,,,not permissioned,,,,,2.49,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 1524,,,,,not permissioned,,,,,0.1,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 1528,,,,,not permissioned,,,,,0.8,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 1530,,,,,not permissioned,,,,,0.01,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 1550,,,,,permissioned,,,,,7.5,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 1556,,,,,not permissioned,,,,,1.46,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 1599,,,,,not permissioned,,,,,0.82,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 1635,,,,,not permissioned,,,,,0.04,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 1639,,,,,not permissioned,,,,,0.05,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 1690,,,,not owned by a public authority,not permissioned,,,,,0.32,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 1693,,,,not owned by a public authority,permissioned,,,,,0.86,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 1717,,,,,not permissioned,,,,,0.02,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 1722,,,,,not permissioned,,,,,0.7,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 1739,,,,,not permissioned,,,,,0.24,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 1745,,,,,not permissioned,,,,,1.04,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 1750,,,,not owned by a public authority,not permissioned,,,,,0.31,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 1755,,,,not owned by a public authority,not permissioned,,,,,0.33,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 1756,,,,not owned by a public authority,not permissioned,,,,,0.84,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 1775,,,,,not permissioned,,,,,5.3,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 1778,,,,,not permissioned,,,,,0.92,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 1779,,,,,not permissioned,,,,,0.12,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 1780,,,,,not permissioned,,,,,0.05,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 1791,,,,,not permissioned,,,,,0.48,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 1793,,,,mixed ownership,not permissioned,,,,,0.08,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 1811,,,,,not permissioned,,,,,0.4,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 1840,,,,,not permissioned,,,,,0.33,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 1849,,,,,not permissioned,,,,,0.04,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 1854,,,,,not permissioned,,,,,0.27,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 1882,,,,,not permissioned,,,,,0.43,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 1917,,,,,not permissioned,,,,,0.06,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 1935,,,,,permissioned,,,,,0.79,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 1955,,,,,not permissioned,,,,,0.05,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 1962,,,,,not permissioned,,,,,0.45,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 1998,,,,,not permissioned,,,,,0.09,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 2011,,,,,not permissioned,,,,,0.03,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 2036,,,,,permissioned,,,,,0.01,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 2056,,,,,permissioned,,,,,0.06,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 2059,,,,not owned by a public authority,permissioned,,,,,0.08,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 2061,,,,,permissioned,,,,,0.03,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 2064,,,,,permissioned,,,,,1.59,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 2065,,,,not owned by a public authority,not permissioned,,,,,0.64,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 2066,,,,,not permissioned,,,,,0.25,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 2071,,,,,permissioned,,,,,0.05,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 2072,,,,not owned by a public authority,permissioned,,,,,0.02,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 2077,,,,,permissioned,,,,,0.11,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 2080,,,,mixed ownership,permissioned,,,,,1.34,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 2090,,,,not owned by a public authority,not permissioned,,,,,0.07,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 2100,,,,,permissioned,,,,,0.1,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 2110,,,,,permissioned,,,,,1.28,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 2112,,,,not owned by a public authority,permissioned,,,,,0.16,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 2119,,,,,not permissioned,,,,,0.14,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 2120,,,,,permissioned,,,,,0.2,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 2131,,,,,permissioned,,,,,1.62,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 2132,,,,not owned by a public authority,permissioned,,,,,0.11,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 2139,,,,not owned by a public authority,permissioned,,,,,0.2,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 2140,,,,mixed ownership,permissioned,,,,,0.24,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 2147,,,,,permissioned,,,,,0.09,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 2150,,,,,permissioned,,,,,7.06,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 2166,,,,not owned by a public authority,permissioned,,,,,1.08,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 2171,,,,,permissioned,,,,,0.04,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 2174,,,,,permissioned,,,,,0.14,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 2178,,,,,permissioned,,,,,1.25,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 2181,,,,,permissioned,,,,,4.02,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 2193,,,,not owned by a public authority,permissioned,,,,,0.56,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 2194,,,,,permissioned,,,,,2.62,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 2197,,,,,permissioned,,,,,0.09,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 2198,,,,mixed ownership,permissioned,,,,,2.19,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 2199,,,,not owned by a public authority,permissioned,,,,,0.19,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 2200,,,,,permissioned,,,,,0.05,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 2205,,,,,permissioned,,,,,0.52,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 2207,,,,,permissioned,,,,,0.05,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 2214,,,,,permissioned,,,,,0.76,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 2216,,,,,permissioned,,,,,1.45,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 2217,,,,,permissioned,,,,,0.81,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 2218,,,,,permissioned,,,,,0.04,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 2219,,,,not owned by a public authority,permissioned,,,,,0.27,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
,local-authority-eng:RCH,SH 2222,,,,,permissioned,,,,,0.3,,,,,5ed5da3ec0f3a94a214b1d119b5904625058f5834ca2c5afedaf66df2c19f4bb
