entry-date,organisation,site,site-plan-url,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
,local-authority-eng:REI,RBBCBLR025,http://www.reigate-banstead.gov.uk/downloads/file/3852/rbbcblr025,51.25311,-0.153664,1.2,60,,2017-12-31,,4ef5a19e52792af91d090bf7502f0fead21d0b2ad46aece3dc813d2bd8c0be6b
,local-authority-eng:REI,RBBCBLR026,http://www.reigate-banstead.gov.uk/downloads/file/3849/rbbcblr026,51.240227,-0.16769,0.26,,,2017-12-31,,4ef5a19e52792af91d090bf7502f0fead21d0b2ad46aece3dc813d2bd8c0be6b
,local-authority-eng:REI,RBBCBLR027,http://www.reigate-banstead.gov.uk/downloads/file/3842/rbbcblr027,51.237251,-0.148038,0.4,,,2017-12-31,,4ef5a19e52792af91d090bf7502f0fead21d0b2ad46aece3dc813d2bd8c0be6b
,local-authority-eng:REI,RBBCBLR028,http://www.reigate-banstead.gov.uk/downloads/file/3837/rbbcblr028,51.251425,-0.164894,0.52,,,2017-12-31,,4ef5a19e52792af91d090bf7502f0fead21d0b2ad46aece3dc813d2bd8c0be6b
,local-authority-eng:REI,RBBCBLR029,http://www.reigate-banstead.gov.uk/downloads/file/3843/rbbcblr029,51.235216,-0.170997,0.3,,,2017-12-31,,4ef5a19e52792af91d090bf7502f0fead21d0b2ad46aece3dc813d2bd8c0be6b
,local-authority-eng:REI,RBBCBLR030,http://www.reigate-banstead.gov.uk/downloads/file/3839/rbbcblr030,51.238148,-0.172715,0.03,,,2017-12-31,,4ef5a19e52792af91d090bf7502f0fead21d0b2ad46aece3dc813d2bd8c0be6b
,local-authority-eng:REI,RBBCBLR031,http://www.reigate-banstead.gov.uk/downloads/file/3850/rbbcblr031,51.24224,-0.165833,0.04,,,2017-12-31,,4ef5a19e52792af91d090bf7502f0fead21d0b2ad46aece3dc813d2bd8c0be6b
,local-authority-eng:REI,RBBCBLR032,http://www.reigate-banstead.gov.uk/downloads/file/3846/rbbcblr032,51.239084,-0.169913,0.08,32,,2017-12-31,,4ef5a19e52792af91d090bf7502f0fead21d0b2ad46aece3dc813d2bd8c0be6b
,local-authority-eng:REI,RBBCBLR033,http://www.reigate-banstead.gov.uk/downloads/file/3851/rbbcblr033,51.243471,-0.169208,0.76,60,,2017-12-31,,4ef5a19e52792af91d090bf7502f0fead21d0b2ad46aece3dc813d2bd8c0be6b
,local-authority-eng:REI,RBBCBLR034,http://www.reigate-banstead.gov.uk/downloads/file/3831/rbbcblr034,51.239337,-0.171708,0.22,20,,2017-12-31,,4ef5a19e52792af91d090bf7502f0fead21d0b2ad46aece3dc813d2bd8c0be6b
,local-authority-eng:REI,RBBCBLR035,http://www.reigate-banstead.gov.uk/downloads/file/3856/rbbcblr035,51.244304,-0.167843,0.45,,,2017-12-31,,4ef5a19e52792af91d090bf7502f0fead21d0b2ad46aece3dc813d2bd8c0be6b
,local-authority-eng:REI,RBBCBLR036,http://www.reigate-banstead.gov.uk/downloads/file/3873/rbbcblr036,51.242559,-0.170133,0.4,,,2017-12-31,,4ef5a19e52792af91d090bf7502f0fead21d0b2ad46aece3dc813d2bd8c0be6b
,local-authority-eng:REI,RBBCBLR037,http://www.reigate-banstead.gov.uk/downloads/file/3857/rbbcblr037,51.233912,-0.200586,0.04,,,2017-12-31,,4ef5a19e52792af91d090bf7502f0fead21d0b2ad46aece3dc813d2bd8c0be6b
,local-authority-eng:REI,RBBCBLR038,http://www.reigate-banstead.gov.uk/downloads/file/3854/rbbcblr038,51.233826,-0.200833,0.03,,,2017-12-31,,4ef5a19e52792af91d090bf7502f0fead21d0b2ad46aece3dc813d2bd8c0be6b
,local-authority-eng:REI,RBBCBLR039,http://www.reigate-banstead.gov.uk/downloads/file/3859/rbbcblr039,51.226295,-0.19007,0.2,,,2017-12-31,,4ef5a19e52792af91d090bf7502f0fead21d0b2ad46aece3dc813d2bd8c0be6b
,local-authority-eng:REI,RBBCBLR040,http://www.reigate-banstead.gov.uk/downloads/file/3861/rbbcblr040,51.233691,-0.196125,0.07,,,2017-12-31,,4ef5a19e52792af91d090bf7502f0fead21d0b2ad46aece3dc813d2bd8c0be6b
,local-authority-eng:REI,RBBCBLR041,http://www.reigate-banstead.gov.uk/downloads/file/3876/rbbcblr041,51.243774,-0.216234,1.27,40,,2017-12-31,,4ef5a19e52792af91d090bf7502f0fead21d0b2ad46aece3dc813d2bd8c0be6b
,local-authority-eng:REI,RBBCBLR042,http://www.reigate-banstead.gov.uk/downloads/file/3868/rbbcblr042,51.242776,-0.215642,0.59,20,,2017-12-31,,4ef5a19e52792af91d090bf7502f0fead21d0b2ad46aece3dc813d2bd8c0be6b
,local-authority-eng:REI,RBBCBLR043,http://www.reigate-banstead.gov.uk/downloads/file/3875/rbbcblr043,51.236909,-0.187304,0.57,25,,2017-12-31,,4ef5a19e52792af91d090bf7502f0fead21d0b2ad46aece3dc813d2bd8c0be6b
,local-authority-eng:REI,RBBCBLR044,http://www.reigate-banstead.gov.uk/downloads/file/3864/rbbcblr044,51.236307,-0.211308,0.09,5,,2017-12-31,,4ef5a19e52792af91d090bf7502f0fead21d0b2ad46aece3dc813d2bd8c0be6b
,local-authority-eng:REI,RBBCBLR045,http://www.reigate-banstead.gov.uk/downloads/file/3869/rbbcblr045,51.239244,-0.205111,0.25,23,,2017-12-31,,4ef5a19e52792af91d090bf7502f0fead21d0b2ad46aece3dc813d2bd8c0be6b
