entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
2019-12-04,local-authority-eng:WEA,BFR1,"Land adjoining Shermans Oak, Coldharbour Road, Upper Dicker",http://www.wealden.gov.uk/Wealden/Residents/Planning_and_Building_Control/Planning_Policy/Brownfield_Register/PPolicy_Brownfield_Register.aspx,yes,not owned by a public authority,permissioned,reserved matters approval,,50.865374,0.201156,0.4,,,2017-12-13,,872bf4b3637099c50e341407a4f2e66a30814314ab912c69664a058eed62f410
2017-12-13,local-authority-eng:WEA,BFR2,"Charlwood Manor, Snatts Road, Uckfield",http://www.wealden.gov.uk/Wealden/Residents/Planning_and_Building_Control/Planning_Policy/Brownfield_Register/PPolicy_Brownfield_Register.aspx,yes,not owned by a public authority,permissioned,full planning permission,,50.979027,0.093152,1.2,,,2017-12-13,,872bf4b3637099c50e341407a4f2e66a30814314ab912c69664a058eed62f410
2019-12-04,local-authority-eng:WEA,BFR8,"Land at Heatherlea, Newick Lane, Heathfield",http://www.wealden.gov.uk/Wealden/Residents/Planning_and_Building_Control/Planning_Policy/Brownfield_Register/PPolicy_Brownfield_Register.aspx,yes,not owned by a public authority,permissioned,full planning permission,,50.975279,0.266465,2.13,,,2017-12-13,,872bf4b3637099c50e341407a4f2e66a30814314ab912c69664a058eed62f410
2017-12-13,local-authority-eng:WEA,BFR10,"Rockington Nursery, Blackness Road, Crowborough",http://www.wealden.gov.uk/Wealden/Residents/Planning_and_Building_Control/Planning_Policy/Brownfield_Register/PPolicy_Brownfield_Register.aspx,yes,not owned by a public authority,permissioned,outline planning permission,,51.046492,0.17659,2.04,,,2017-12-13,,872bf4b3637099c50e341407a4f2e66a30814314ab912c69664a058eed62f410
2019-12-04,local-authority-eng:WEA,BFR13,"Beechwood House, Beechwood Lane, Heathfield",http://www.wealden.gov.uk/Wealden/Residents/Planning_and_Building_Control/Planning_Policy/Brownfield_Register/PPolicy_Brownfield_Register.aspx,yes,not owned by a public authority,permissioned,full planning permission,,50.960718,0.263207,0.28,,,2017-12-13,,872bf4b3637099c50e341407a4f2e66a30814314ab912c69664a058eed62f410
2017-12-13,local-authority-eng:WEA,BFR14,"The Cart Barn, Burwash Road, Heathfield",http://www.wealden.gov.uk/Wealden/Residents/Planning_and_Building_Control/Planning_Policy/Brownfield_Register/PPolicy_Brownfield_Register.aspx,yes,not owned by a public authority,permissioned,outline planning permission,,50.973835,0.263916,0.32,,,2017-12-13,,872bf4b3637099c50e341407a4f2e66a30814314ab912c69664a058eed62f410
2019-12-04,local-authority-eng:WEA,BFR17,"The Regent, The Broadway, Crowborough",http://www.wealden.gov.uk/Wealden/Residents/Planning_and_Building_Control/Planning_Policy/Brownfield_Register/PPolicy_Brownfield_Register.aspx,yes,not owned by a public authority,permissioned,planning permission granted under an order,,51.058959,0.162903,0.04,,,2017-12-13,,872bf4b3637099c50e341407a4f2e66a30814314ab912c69664a058eed62f410
2018-12-13,local-authority-eng:WEA,BFR24,"Mayfield Children's Home, East Street, Mayfield",http://www.wealden.gov.uk/Wealden/Residents/Planning_and_Building_Control/Planning_Policy/Brownfield_Register/PPolicy_Brownfield_Register.aspx,yes,not owned by a public authority,permissioned,full planning permission,,51.019539,0.27889,0.42,,,2018-12-13,,872bf4b3637099c50e341407a4f2e66a30814314ab912c69664a058eed62f410
2018-12-13,local-authority-eng:WEA,BFR25,"Kensington Domestic Appliances Ltd., Tilsmore Road, Heathfield",http://www.wealden.gov.uk/Wealden/Residents/Planning_and_Building_Control/Planning_Policy/Brownfield_Register/PPolicy_Brownfield_Register.aspx,yes,not owned by a public authority,permissioned,full planning permission,,50.969966,0.24769,0.07,,,2018-12-13,,872bf4b3637099c50e341407a4f2e66a30814314ab912c69664a058eed62f410
2018-12-13,local-authority-eng:WEA,BFR26,"The Old Loom Mill, Ersham Road, Hailsham",http://www.wealden.gov.uk/Wealden/Residents/Planning_and_Building_Control/Planning_Policy/Brownfield_Register/PPolicy_Brownfield_Register.aspx,yes,not owned by a public authority,permissioned,outline planning permission,,50.842439,0.254879,4.67,,,2018-12-13,,872bf4b3637099c50e341407a4f2e66a30814314ab912c69664a058eed62f410
2018-12-13,local-authority-eng:WEA,BFR27,"Windmill Feeds, Lewes Road, Cross-in-Hand",http://www.wealden.gov.uk/Wealden/Residents/Planning_and_Building_Control/Planning_Policy/Brownfield_Register/PPolicy_Brownfield_Register.aspx,yes,not owned by a public authority,permissioned,outline planning permission,,50.973949,0.217668,0.28,,,2018-12-13,,872bf4b3637099c50e341407a4f2e66a30814314ab912c69664a058eed62f410
2019-12-04,local-authority-eng:WEA,BFR29,"Land at Royal Mail Delivery Office, 74 High Street, Polegate",http://www.wealden.gov.uk/Wealden/Residents/Planning_and_Building_Control/Planning_Policy/Brownfield_Register/PPolicy_Brownfield_Register.aspx,,not owned by a public authority,not permissioned,,,50.823357,0.244915,0.14,6,6,2018-12-13,,872bf4b3637099c50e341407a4f2e66a30814314ab912c69664a058eed62f410
2019-12-04,local-authority-eng:WEA,BFR30,"Cadence, Battle Road, Punnetts Town, Heathfield",http://www.wealden.gov.uk/Wealden/Residents/Planning_and_Building_Control/Planning_Policy/Brownfield_Register/PPolicy_Brownfield_Register.aspx,yes,not owned by a public authority,permissioned,outline planning permission,,50.96,0.3098,0.37,,,2019-12-04,,872bf4b3637099c50e341407a4f2e66a30814314ab912c69664a058eed62f410
2019-12-04,local-authority-eng:WEA,BFR31,"Hamelsham Manor, 80 London Road, Hailsham",http://www.wealden.gov.uk/Wealden/Residents/Planning_and_Building_Control/Planning_Policy/Brownfield_Register/PPolicy_Brownfield_Register.aspx,yes,not owned by a public authority,permissioned,outline planning permission,,50.869,0.2513,0.2,,,2019-12-04,,872bf4b3637099c50e341407a4f2e66a30814314ab912c69664a058eed62f410
2019-12-04,local-authority-eng:WEA,BFR32,"Land adjacent the Drive, Hellingly Hospital, Hellingly",http://www.wealden.gov.uk/Wealden/Residents/Planning_and_Building_Control/Planning_Policy/Brownfield_Register/PPolicy_Brownfield_Register.aspx,yes,not owned by a public authority,permissioned,full planning permission,,50.889,0.2687,0.15,,,2019-12-04,,872bf4b3637099c50e341407a4f2e66a30814314ab912c69664a058eed62f410
2019-12-04,local-authority-eng:WEA,BFR33,"Crown Inn, High Street, Blackboys",http://www.wealden.gov.uk/Wealden/Residents/Planning_and_Building_Control/Planning_Policy/Brownfield_Register/PPolicy_Brownfield_Register.aspx,yes,not owned by a public authority,permissioned,planning permission granted under an order,,50.966,0.1735,0.21,,,2019-12-04,,872bf4b3637099c50e341407a4f2e66a30814314ab912c69664a058eed62f410
2019-12-04,local-authority-eng:WEA,BFR34,"Former Shep Plastics, Lower Dicker",http://www.wealden.gov.uk/Wealden/Residents/Planning_and_Building_Control/Planning_Policy/Brownfield_Register/PPolicy_Brownfield_Register.aspx,yes,not owned by a public authority,permissioned,planning permission granted under an order,,50.968,0.2461,0.02,,,2019-12-04,,872bf4b3637099c50e341407a4f2e66a30814314ab912c69664a058eed62f410
2019-12-04,local-authority-eng:WEA,BFR35,"Quicken Trust, West End, Herstmonceux",http://www.wealden.gov.uk/Wealden/Residents/Planning_and_Building_Control/Planning_Policy/Brownfield_Register/PPolicy_Brownfield_Register.aspx,yes,not owned by a public authority,permissioned,planning permission granted under an order,,50.879,0.2279,0.03,,,2019-12-04,,872bf4b3637099c50e341407a4f2e66a30814314ab912c69664a058eed62f410
2019-12-04,local-authority-eng:WEA,BFR36,"Holdenhurst, Mill Road, Heathfield",http://www.wealden.gov.uk/Wealden/Residents/Planning_and_Building_Control/Planning_Policy/Brownfield_Register/PPolicy_Brownfield_Register.aspx,yes,not owned by a public authority,permissioned,full planning permission,,50.89,0.3215,0.57,,,2019-12-04,,872bf4b3637099c50e341407a4f2e66a30814314ab912c69664a058eed62f410
