entry-date,organisation,site,site-address,site-plan-url,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
2017-10-24,local-authority-eng:CHL,CFS11,Barn at Little Longs Chatham Green Little Waltham Chelmsford Essex,https://www.chelmsford.gov.uk/planning-and-building-control/planning-policy-and-new-local-plan/new-local-plan/call-for-sites-slaa-and-parish-maps/,51.808943,0.48613,0.03,1,,2017-10-24,,3bb6fdd9108068cb0284c9e7ca1b09e3c349825e5f55df94f046504cea71f67b
2017-10-24,local-authority-eng:CHL,CFS197,Former Industrial Site Rignals Lane Galleywood Chelmsford,https://www.chelmsford.gov.uk/planning-and-building-control/planning-policy-and-new-local-plan/new-local-plan/call-for-sites-slaa-and-parish-maps/,51.699586,0.478567,1.64,20,,2017-10-24,,3bb6fdd9108068cb0284c9e7ca1b09e3c349825e5f55df94f046504cea71f67b
2017-10-24,local-authority-eng:CHL,CFS262,Land North West of Lockside Marina Hill Road South Chelmsford,https://www.chelmsford.gov.uk/planning-and-building-control/planning-policy-and-new-local-plan/new-local-plan/call-for-sites-slaa-and-parish-maps/,51.731819,0.48314,0.71,100,,2017-10-24,,3bb6fdd9108068cb0284c9e7ca1b09e3c349825e5f55df94f046504cea71f67b
2017-10-24,local-authority-eng:CHL,CFS263,Baddow Road Car Park Baddow Road Chelmsford,https://www.chelmsford.gov.uk/planning-and-building-control/planning-policy-and-new-local-plan/new-local-plan/call-for-sites-slaa-and-parish-maps/,51.729363,0.478921,0.03,70,,2017-10-24,,3bb6fdd9108068cb0284c9e7ca1b09e3c349825e5f55df94f046504cea71f67b
2017-10-24,local-authority-eng:CHL,CFS266,Waterhouse Lane Depot and Nursery Waterhouse Lane Chelmsford,https://www.chelmsford.gov.uk/planning-and-building-control/planning-policy-and-new-local-plan/new-local-plan/call-for-sites-slaa-and-parish-maps/,51.732211,0.454225,0.84,10,,2017-10-24,,3bb6fdd9108068cb0284c9e7ca1b09e3c349825e5f55df94f046504cea71f67b
2017-10-24,local-authority-eng:CHL,CFS267,Essex Police HQ and Sports Ground New Court Road Chelmsford,https://www.chelmsford.gov.uk/planning-and-building-control/planning-policy-and-new-local-plan/new-local-plan/call-for-sites-slaa-and-parish-maps/,51.738472,0.494267,4.63,200,,2017-10-24,,3bb6fdd9108068cb0284c9e7ca1b09e3c349825e5f55df94f046504cea71f67b
2017-10-24,local-authority-eng:CHL,CFS274,Bell Works Well Lane Danbury Chelmsford,https://www.chelmsford.gov.uk/planning-and-building-control/planning-policy-and-new-local-plan/new-local-plan/call-for-sites-slaa-and-parish-maps/,51.716369,0.566802,0.58,10,,2017-10-24,,3bb6fdd9108068cb0284c9e7ca1b09e3c349825e5f55df94f046504cea71f67b
2017-10-24,local-authority-eng:CHL,CFS276,Former St Peters College Fox Crescent Chelmsford,https://www.chelmsford.gov.uk/planning-and-building-control/planning-policy-and-new-local-plan/new-local-plan/call-for-sites-slaa-and-parish-maps/,51.745237,0.453149,11.19,100,,2017-10-24,,3bb6fdd9108068cb0284c9e7ca1b09e3c349825e5f55df94f046504cea71f67b
,local-authority-eng:CHL,13/00690/ETL,Land north west of Essex County Cricket Ground New Writtle Street Chelmsford,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,51.731124,0.469213,1.12,,,2017-10-30,,3bb6fdd9108068cb0284c9e7ca1b09e3c349825e5f55df94f046504cea71f67b
2017-10-30,local-authority-eng:CHL,14/01692/FUL,24 Duke Street Chelmsford,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,51.73573,0.470391,0.38,,,2017-10-30,,3bb6fdd9108068cb0284c9e7ca1b09e3c349825e5f55df94f046504cea71f67b
