entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
,local-authority-eng:HRW,AAP Site 7,"Christchurch Avenue, Harrow Leisure Centre & former Driving Centre site",https://maps.london.gov.uk/brownfield-site-register,yes,owned by a public authority,not permissioned,,,51.592452,-0.32563,5.76,,,,,e7c2b88e2e60a8f8477e9c9838b57cb1d7f998277df2641673f9ea0cba00e47c
,local-authority-eng:HRW,AAP Site 9,"Station Road, Civic Centre",https://maps.london.gov.uk/brownfield-site-register,yes,owned by a public authority,not permissioned,,,51.589667,-0.33439,4.68,,,,,e7c2b88e2e60a8f8477e9c9838b57cb1d7f998277df2641673f9ea0cba00e47c
,local-authority-eng:HRW,Site Allocations H15,"Bacon Lane, Hill's Yard",https://maps.london.gov.uk/brownfield-site-register,yes,not owned by a public authority,not permissioned,,,51.604852,-0.275029,0.26,,,,,e7c2b88e2e60a8f8477e9c9838b57cb1d7f998277df2641673f9ea0cba00e47c
,local-authority-eng:HRW,AAP Site 13,"Greenhill Way, Car Park South",https://maps.london.gov.uk/brownfield-site-register,yes,owned by a public authority,not permissioned,,,51.583278,-0.332832,0.89,,,,,e7c2b88e2e60a8f8477e9c9838b57cb1d7f998277df2641673f9ea0cba00e47c
,local-authority-eng:HRW,Site Allocations R3,"Northolt Road, Roxeth Library & Clinic",https://maps.london.gov.uk/brownfield-site-register,yes,owned by a public authority,not permissioned,,,51.562481,-0.357072,0.53,,,,,e7c2b88e2e60a8f8477e9c9838b57cb1d7f998277df2641673f9ea0cba00e47c
,local-authority-eng:HRW,Site Allocations H6,"Rayners Lane/High Worple, Rayners Lane Station car park",https://maps.london.gov.uk/brownfield-site-register,yes,owned by a public authority,not permissioned,,,51.575022,-0.372178,0.8,,,,,e7c2b88e2e60a8f8477e9c9838b57cb1d7f998277df2641673f9ea0cba00e47c
,local-authority-eng:HRW,Site Allocations H10,"London Road, Stanmore Station car park",https://maps.london.gov.uk/brownfield-site-register,yes,owned by a public authority,not permissioned,,,51.61893,-0.301375,1.45,,,,,e7c2b88e2e60a8f8477e9c9838b57cb1d7f998277df2641673f9ea0cba00e47c
,local-authority-eng:HRW,Site Allocations H17,"Donnefield Avenue, Canons Park Station car park",https://maps.london.gov.uk/brownfield-site-register,yes,owned by a public authority,not permissioned,,,51.609249,-0.294739,0.42,,,,,e7c2b88e2e60a8f8477e9c9838b57cb1d7f998277df2641673f9ea0cba00e47c
,local-authority-eng:HRW, P/1619/16,5-11 & 37-41 Palmerston Road and 27-33 & land adj 47 Masons Avenue,https://maps.london.gov.uk/brownfield-site-register,yes,not owned by a public authority,pending decision,,,51.592963,-0.333262,0.67,,,,,e7c2b88e2e60a8f8477e9c9838b57cb1d7f998277df2641673f9ea0cba00e47c
,local-authority-eng:HRW,17150212,"Travis Perkins, Palmerston Road",https://maps.london.gov.uk/brownfield-site-register,yes,not owned by a public authority,not permissioned,,,51.593556,-0.332509,0.26,,,,,e7c2b88e2e60a8f8477e9c9838b57cb1d7f998277df2641673f9ea0cba00e47c
,local-authority-eng:HRW,P/0832/11,"Station Road, Tesco store, Harrow",https://maps.london.gov.uk/brownfield-site-register,yes,not owned by a public authority,permissioned,full planning permission,,51.585929,-0.333842,2.21,,,,,e7c2b88e2e60a8f8477e9c9838b57cb1d7f998277df2641673f9ea0cba00e47c
,local-authority-eng:HRW,P/1870/13,"Lyon Road, Congress House, 1st-6th Floors",https://maps.london.gov.uk/brownfield-site-register,yes,not owned by a public authority,permissioned,planning permission granted under an order,,51.580257,-0.333132,0.36,,,,,e7c2b88e2e60a8f8477e9c9838b57cb1d7f998277df2641673f9ea0cba00e47c
,local-authority-eng:HRW,P/4042/13,"College Road, 15, College House, Floors 1-5, Harrow",https://maps.london.gov.uk/brownfield-site-register,yes,not owned by a public authority,permissioned,planning permission granted under an order,,51.579778,-0.3347,0.05,,,,,e7c2b88e2e60a8f8477e9c9838b57cb1d7f998277df2641673f9ea0cba00e47c
,local-authority-eng:HRW,P/3518/13,"Herga Road, 12-22, Interphone House, Wealdstone",https://maps.london.gov.uk/brownfield-site-register,yes,not owned by a public authority,permissioned,planning permission granted under an order,,51.591778,-0.332791,0.08,,,,,e7c2b88e2e60a8f8477e9c9838b57cb1d7f998277df2641673f9ea0cba00e47c
,local-authority-eng:HRW,P/2571/13,"Lowlands Road, 43-51, Intershop House, Harrow",https://maps.london.gov.uk/brownfield-site-register,yes,not owned by a public authority,permissioned,planning permission granted under an order,,51.579382,-0.339112,0.13,,,,,e7c2b88e2e60a8f8477e9c9838b57cb1d7f998277df2641673f9ea0cba00e47c
,local-authority-eng:HRW,17150151,"Waxwell Lane, car park, Pinner",https://maps.london.gov.uk/brownfield-site-register,yes,owned by a public authority,not permissioned,,,51.595819,-0.383776,0.35,,,,,e7c2b88e2e60a8f8477e9c9838b57cb1d7f998277df2641673f9ea0cba00e47c
,local-authority-eng:HRW,P/0607/15,"Kymberley Road, Queens House, Harrow",https://maps.london.gov.uk/brownfield-site-register,yes,not owned by a public authority,permissioned,planning permission granted under an order,,51.580777,-0.338524,0.08,,,,,e7c2b88e2e60a8f8477e9c9838b57cb1d7f998277df2641673f9ea0cba00e47c
