entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
2017-12-31,local-authority-eng:MEL,15/00569/OUT,"7 City Road, Stathern",https://arcg.is/1CDCS,yes,,permissioned,outline planning permission,,52.873447,-0.858327,0.24,,,2017-12-31,,084cafabbdfbc4d33308b30f99b3b8856dc3afae54a0a9eeabba8567c3404ad3
2017-12-31,local-authority-eng:MEL,08/00703/OUT,"26 Chuch Lane, Long Clawson",https://arcg.is/1CDCS,yes,,permissioned,outline planning permission,,52.83931,-0.9275,0.26,,,2017-12-31,,084cafabbdfbc4d33308b30f99b3b8856dc3afae54a0a9eeabba8567c3404ad3
2017-12-31,local-authority-eng:MEL,17/00784/FUL,"1 Old Mill House, Branston Road, Eaton",https://arcg.is/1CDCS,yes,,permissioned,full planning permission,,52.853528,-0.80999,0.27,,,2017-12-31,,084cafabbdfbc4d33308b30f99b3b8856dc3afae54a0a9eeabba8567c3404ad3
2017-12-31,local-authority-eng:MEL,16/00931/FUL,"War Memorial Hospital, Ankle Hill, Melton Mowbray",https://arcg.is/1CDCS,yes,,permissioned,full planning permission,,52.759231,-0.885856,0.3,,,2017-12-31,,084cafabbdfbc4d33308b30f99b3b8856dc3afae54a0a9eeabba8567c3404ad3
2017-12-31,local-authority-eng:MEL,15/00889/FUL,"The Spinney, Thorpe Satchville Road, Kirby Bellars",https://arcg.is/1CDCS,yes,,permissioned,full planning permission,,52.728177,-0.93045,0.33,,,2017-12-31,,084cafabbdfbc4d33308b30f99b3b8856dc3afae54a0a9eeabba8567c3404ad3
2017-12-31,local-authority-eng:MEL,MBC/023/15,"The Rectory, 1 Boyers Orchard, Harby",https://arcg.is/1CDCS,,,not permissioned,,,52.873144,-0.890888,0.34,,,2017-12-31,,084cafabbdfbc4d33308b30f99b3b8856dc3afae54a0a9eeabba8567c3404ad3
2017-12-31,local-authority-eng:MEL,14/00496/FUL,"81 Burton Road, Melton Mowbray",https://arcg.is/1CDCS,yes,,permissioned,full planning permission,,52.752959,-0.876607,0.34,,,2017-12-31,,084cafabbdfbc4d33308b30f99b3b8856dc3afae54a0a9eeabba8567c3404ad3
2017-12-31,local-authority-eng:MEL,16/00202/FUL,"Ashby Folville Lodge, Folville Street/Station Road, Ashby Folville",https://arcg.is/1CDCS,yes,,permissioned,full planning permission,,52.701736,-0.960651,0.34,,,2017-12-31,,084cafabbdfbc4d33308b30f99b3b8856dc3afae54a0a9eeabba8567c3404ad3
2017-12-31,local-authority-eng:MEL,15/00357/FUL,"33 Fair Acre, Paradise Lane, Old Dalby",https://arcg.is/1CDCS,yes,,permissioned,full planning permission,,52.807898,-0.999408,0.36,,,2017-12-31,,084cafabbdfbc4d33308b30f99b3b8856dc3afae54a0a9eeabba8567c3404ad3
2017-12-31,local-authority-eng:MEL,16/00622/FUL,"Paradise Lodge, 44 Main Road, Old Dalby",https://arcg.is/1CDCS,yes,,permissioned,full planning permission,,52.80846,-0.998831,0.37,,,2017-12-31,,084cafabbdfbc4d33308b30f99b3b8856dc3afae54a0a9eeabba8567c3404ad3
2017-12-31,local-authority-eng:MEL,MBC/037/13 (MEL5 in submitted Plan),"Silverdale, Scalford Road, Melton Mowbray",https://arcg.is/1CDCS,,owned by a public authority,not permissioned,,,52.773045,-0.886393,0.4,,,2017-12-31,,084cafabbdfbc4d33308b30f99b3b8856dc3afae54a0a9eeabba8567c3404ad3
2017-12-31,local-authority-eng:MEL,16/00502/FUL,"Covert Farm, Gipsy Nook, Stonesby",https://arcg.is/1CDCS,yes,,permissioned,full planning permission,,52.800047,-0.793132,0.42,,,2017-12-31,,084cafabbdfbc4d33308b30f99b3b8856dc3afae54a0a9eeabba8567c3404ad3
2017-12-31,local-authority-eng:MEL,15/00135/FUL,"25 Broad View, Manor Road, Easthorpe",https://arcg.is/1CDCS,yes,,permissioned,full planning permission,,52.938771,-0.791404,0.43,,,2017-12-31,,084cafabbdfbc4d33308b30f99b3b8856dc3afae54a0a9eeabba8567c3404ad3
2017-12-31,local-authority-eng:MEL,16/00577/FUL,"Greenwood Stock Boxes Ltd, Nottingham Road, Nether Broughton",https://arcg.is/1CDCS,yes,,permissioned,full planning permission,,52.823643,-0.971413,0.46,,,2017-12-31,,084cafabbdfbc4d33308b30f99b3b8856dc3afae54a0a9eeabba8567c3404ad3
2017-12-31,local-authority-eng:MEL,MBC/134/13 (HAR2 in submitted Plan),"Former Cheese producing dairy, Langar Lane, Harby",https://arcg.is/1CDCS,yes,not owned by a public authority,permissioned,full planning permission,,52.874777,-0.896315,0.5,,,2017-12-31,,084cafabbdfbc4d33308b30f99b3b8856dc3afae54a0a9eeabba8567c3404ad3
2017-12-31,local-authority-eng:MEL,MBC/135/13,"Beebys Yard, Burton Street, Melton Mowbray",https://arcg.is/1CDCS,,not owned by a public authority,pending decision,,,52.763439,-0.88397,0.5,,,2017-12-31,,084cafabbdfbc4d33308b30f99b3b8856dc3afae54a0a9eeabba8567c3404ad3
2017-12-31,local-authority-eng:MEL,MBC/136/13,"Wycliffe House, Snow Hill, Melton Mowbray",https://arcg.is/1CDCS,,not owned by a public authority,not permissioned,,,52.76409,-0.889141,0.5,,,2017-12-31,,084cafabbdfbc4d33308b30f99b3b8856dc3afae54a0a9eeabba8567c3404ad3
2017-12-31,local-authority-eng:MEL,16/00838/OUT,"Rydal Manor, Kirby Lane, Eye Kettleby",https://arcg.is/1CDCS,yes,,permissioned,full planning permission,,52.750126,-0.901452,0.5,,,2017-12-31,,084cafabbdfbc4d33308b30f99b3b8856dc3afae54a0a9eeabba8567c3404ad3
2017-12-31,local-authority-eng:MEL,MBC/021/17,"Top End Cattle Market, Melton Mowbray",https://arcg.is/1CDCS,yes,owned by a public authority,not permissioned,,,52.771266,-0.888395,0.79,,,2017-12-31,,084cafabbdfbc4d33308b30f99b3b8856dc3afae54a0a9eeabba8567c3404ad3
2017-12-31,local-authority-eng:MEL,17/00001/FUL,"3 Eastwell Hall, Hall Lane, Eastwell",https://arcg.is/1CDCS,yes,,permissioned,full planning permission,,52.848665,-0.849296,1,,,2017-12-31,,084cafabbdfbc4d33308b30f99b3b8856dc3afae54a0a9eeabba8567c3404ad3
